,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,45.7,46.11,45.51,45.87,3142069,30931,45.86704,45.9803,False,False,92440.0
1,2021-07-01,46.33,46.58,45.92,46.45,3744046,37530,46.323363,46.32,False,True,249926.0
2,2021-07-02,46.43,46.449,45.755,46.05,2830743,26894,46.050235,46.065,False,False,138770.0
3,2021-07-06,45.75,45.83,44.31,44.7,4337558,38803,44.741114,44.655,True,True,121997.0
4,2021-07-07,44.32,44.95,44.2,44.41,4523643,42783,44.53839,44.36,True,True,132655.0
5,2021-07-08,43.65,44.125,42.96,43.54,5326641,41648,43.564761,43.56,True,False,198166.0
6,2021-07-09,44.56,45.34,44.17,45.31,3762033,38705,45.007362,45.01,False,True,99871.0
7,2021-07-12,44.6,46.1,44.36,45.87,3356946,36582,45.650401,45.4,False,True,102081.0
8,2021-07-13,45.59,45.76,44.62,44.84,4470876,44653,44.95227,44.8,False,True,96724.0
9,2021-07-14,44.985,45.65,43.895,44.61,4400632,39110,44.564298,44.52,False,True,188227.0
10,2021-07-15,43.94,45.37,43.82,44.89,4095561,44017,44.771672,44.86,True,True,129267.0
11,2021-07-16,45.07,45.17,42.84,43.0,4396776,42231,43.50059,43.61,False,False,132075.0
12,2021-07-19,41.61,42.08,40.93,41.2,7988725,68674,41.240326,41.831,True,False,332481.0
13,2021-07-20,39.69,43.1,39.555,42.67,6281712,52661,42.350792,42.19,False,True,169524.0
14,2021-07-21,43.24,44.62,43.15,44.0,4282302,42486,44.140538,44.23,True,False,189455.0
15,2021-07-22,43.92,44.04,43.17,43.49,4085062,37350,43.448641,43.47,True,True,122262.0
16,2021-07-23,43.93,44.37,43.39,43.63,2807642,31504,43.692676,43.8,True,False,142980.0
17,2021-07-26,43.84,44.57,43.78,44.21,2929574,29956,44.182306,44.19,False,True,170141.0
18,2021-07-27,43.51,44.64,43.28,44.32,2777468,29426,44.183913,44.38,False,False,145304.0
19,2021-07-28,42.64,43.59,41.905,43.3,10266139,81849,42.832062,42.33,True,True,420324.0
20,2021-07-29,43.59,43.72,42.21,42.85,7595820,68466,42.85281,42.81,True,True,319702.0
21,2021-07-30,42.685,43.34,41.965,42.16,6179559,54559,42.446727,42.78,False,False,192304.0
22,2021-08-02,42.5,43.44,41.745,41.79,5113916,45847,42.200423,42.87,True,False,104186.0
23,2021-08-03,42.09,43.0,40.87,42.87,6591014,54251,42.361161,42.13,True,True,235237.0
24,2021-08-04,42.23,42.805,41.95,42.15,5925099,51439,42.333521,42.57,True,False,191158.0
25,2021-08-05,42.56,43.16,42.5,43.13,7000803,42050,42.956115,42.935,True,True,128224.0
26,2021-08-06,43.9,44.68,43.75,43.97,4400131,48135,44.208152,44.14,False,False,392131.0
27,2021-08-09,43.725,44.41,43.28,43.88,3934108,35683,43.955666,43.71,True,True,102945.0
28,2021-08-10,43.65,44.7865,43.56,44.54,3471820,44020,44.394051,44.59,True,False,229211.0
29,2021-08-11,44.65,45.45,44.14,45.34,4642558,41935,45.168667,44.94,True,True,127279.0
30,2021-08-12,45.38,45.51,44.895,45.3,2885451,28144,45.260541,45.05,True,True,102915.0
31,2021-08-13,45.46,45.63,44.68,44.77,2949640,28617,44.932319,44.84,True,False,106774.0
32,2021-08-16,44.33,44.66,43.83,44.27,2789208,30638,44.214537,44.35,True,False,128968.0
33,2021-08-17,43.7,44.01,42.65,43.32,4338408,47000,43.333564,43.58,False,False,199546.0
34,2021-08-18,43.04,43.84,42.82,42.89,3753195,37938,43.339085,43.56,True,False,154994.0
35,2021-08-19,42.35,42.83,41.56,41.88,6314025,60224,42.033109,42.25,False,False,170234.0
36,2021-08-20,41.76,42.375,41.56,42.34,4380710,41856,42.076218,41.745,False,True,246968.0
37,2021-08-23,42.73,43.04,42.49,42.81,2940137,29119,42.807425,42.63,True,True,133847.0
38,2021-08-24,43.06,43.66,42.95,43.5,3240147,30109,43.460024,43.3,False,True,84694.0
39,2021-08-25,43.72,44.84,43.52,44.4,3141277,32021,44.410888,44.44,True,False,149889.0
40,2021-08-26,44.53,44.72,43.5643,43.7,3015892,28240,44.014741,44.29,False,False,105746.0
41,2021-08-27,43.83,44.82,43.72,44.74,4020432,31385,44.374166,44.31,True,True,99110.0
42,2021-08-30,44.64,44.75,43.45,43.46,2584053,28581,43.783051,43.96,True,False,143206.0
43,2021-08-31,43.69,44.17,43.36,43.79,3979808,32222,43.801716,43.78,True,True,132068.0
44,2021-09-01,43.7,43.85,43.0,43.2,3123341,32717,43.256221,43.42,True,False,124100.0
45,2021-09-02,43.2,43.995,43.04,43.49,3959370,38695,43.507765,43.71,True,False,161640.0
46,2021-09-03,43.5,43.8,42.9,43.07,2704248,31327,43.230737,43.24,False,False,124123.0
47,2021-09-07,43.16,43.81,42.9,42.91,3229099,28077,43.160115,43.42,False,False,155947.0
48,2021-09-08,42.81,43.195,42.45,42.64,4435620,33283,42.668944,42.525,False,True,213877.0
