,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,85.51,85.895,85.05,85.22,1151685,13327,85.252855,85.27,True,False,20634.0
1,2021-07-01,85.7,85.86,84.73,84.9,972356,13299,85.093342,84.8,False,True,25757.0
2,2021-07-02,85.45,85.74,85.01,85.27,809734,11701,85.399211,85.465,True,False,17838.0
3,2021-07-06,85.02,85.92,84.95,85.52,1563782,15575,85.531532,85.3,True,True,17623.0
4,2021-07-07,85.57,87.81,85.5,86.63,1289032,18272,86.875624,87.15,True,False,56272.0
5,2021-07-08,86.7,87.685,85.85,86.51,1045321,15092,86.538066,86.39,False,True,22914.0
6,2021-07-09,86.72,87.17,86.3,86.98,1897745,19508,86.918488,86.71,False,True,44492.0
7,2021-07-12,86.69,86.98,86.2,86.52,1007251,14176,86.47737,86.45,False,True,17974.0
8,2021-07-13,86.31,86.76,85.77,86.03,1197793,12154,86.134766,86.67,True,False,18215.0
9,2021-07-14,85.21,86.11,84.82,85.96,1396984,16407,85.728682,85.64,True,True,55358.0
10,2021-07-15,86.12,86.46,85.05,86.46,871961,13111,85.991845,85.675,False,True,18571.0
11,2021-07-16,86.69,87.63,86.45,87.33,1058677,14230,87.226945,87.15,True,True,28101.0
12,2021-07-19,87.49,88.91,86.58,87.51,1588831,22826,87.470557,87.79,False,False,71827.0
13,2021-07-20,87.5,88.685,86.96,86.99,1123593,15898,87.358329,87.95,True,False,30521.0
14,2021-07-21,86.94,86.962,84.92,84.94,1921577,18720,85.277725,86.3,True,False,17931.0
15,2021-07-22,84.52,85.5,84.04,85.16,1143928,14841,84.966262,84.76,True,True,55676.0
16,2021-07-23,84.73,86.58,84.25,86.48,673782,11611,85.952541,85.32,True,True,12165.0
17,2021-07-26,86.225,86.97,85.98,86.44,1072283,13806,86.525035,86.37,True,True,25776.0
18,2021-07-27,86.63,88.265,86.46,87.05,1094332,16344,87.285392,88.08,True,False,31842.0
19,2021-07-28,86.69,87.05,85.81,86.3,936616,13866,86.342313,86.8,False,False,35313.0
20,2021-07-29,86.65,87.23,86.265,86.91,941927,14243,86.782041,86.34,False,True,26509.0
21,2021-07-30,86.19,88.24,85.245,86.58,2326561,22628,86.837682,87.27,True,False,58837.0
