,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,718.44,723.46,715.75,721.45,896215,14253,720.834138,719.25,False,True,11819.0
1,2021-07-01,721.45,727.97,720.47,721.8,830404,19610,723.39217,722.38,True,False,12086.0
2,2021-07-02,725.56,733.62,723.71,731.92,508973,13648,730.21436,729.66,True,True,18252.0
3,2021-07-06,733.61,735.91,721.76,729.54,613958,17219,727.762627,724.6,False,True,12324.0
4,2021-07-07,731.12,743.51,729.91,742.37,587764,18019,738.982907,733.845,True,True,13607.0
5,2021-07-08,735.98,749.31,736.21,743.5,736110,23358,744.06141,745.57,False,False,29754.0
6,2021-07-09,738.31,745.68,736.21,736.47,762748,22175,740.02191,740.335,True,False,21599.0
7,2021-07-12,728.81,731.0,708.88,719.8,1212633,26372,717.506095,715.89,False,True,55958.0
8,2021-07-13,719.93,723.6,709.68,710.7,699204,20298,714.685668,719.48,False,False,14074.0
9,2021-07-14,713.19,714.91,700.66,701.37,956503,23160,705.496844,711.565,True,False,15372.0
10,2021-07-15,702.95,707.79,700.62,704.93,954738,19898,704.06293,702.05,False,True,19270.0
11,2021-07-16,705.01,717.2,703.845,709.99,596391,16348,711.622809,715.62,True,False,17738.0
12,2021-07-19,708.04,718.56,706.39,711.47,773662,22663,710.923988,707.34,False,True,28304.0
13,2021-07-20,715.94,726.63,712.4,718.76,792477,19722,720.797227,722.98,True,False,21131.0
14,2021-07-21,717.15,720.67,712.72,718.42,586737,19911,717.687894,717.31,True,True,19164.0
15,2021-07-22,718.6,722.77,713.27,720.22,448604,15507,719.27669,720.27,True,False,12326.0
16,2021-07-23,718.57,729.08,717.23,726.81,476848,16297,725.913794,723.285,False,True,10322.0
17,2021-07-26,725.71,731.69,722.21,729.66,461806,15281,729.176167,727.705,True,True,11148.0
18,2021-07-27,729.38,735.75,722.53,726.75,648123,20703,726.806509,729.98,False,False,12082.0
19,2021-07-28,724.01,725.72,716.4,722.26,550038,19418,721.689064,721.02,False,True,15519.0
20,2021-07-29,724.0,727.98,711.32,713.8,846309,23320,716.016848,718.93,True,False,36455.0
21,2021-07-30,715.01,747.87,714.67,744.05,1372810,32244,742.468559,744.695,True,False,77197.0
22,2021-08-02,747.29,751.94,738.75,749.87,725977,23529,746.152056,741.82,False,True,9607.0
23,2021-08-03,755.26,771.11,745.67,770.02,1060231,26932,763.074022,751.135,False,True,19580.0
24,2021-08-04,773.96,771.87,763.0875,770.0,1076849,23960,768.996263,767.75,True,True,50787.0
25,2021-08-05,774.68,777.15,766.8,769.91,813524,18514,770.174452,771.25,False,False,22752.0
26,2021-08-06,764.98,775.58,762.18,770.09,669929,17463,770.490736,769.43,True,True,16270.0
27,2021-08-09,769.74,771.66,762.55,765.5,543803,13302,765.413532,765.875,True,False,8579.0
28,2021-08-10,764.67,768.435,760.97,766.5,586753,14049,765.682847,762.94,True,True,8001.0
29,2021-08-11,770.19,777.0,767.92,776.65,814881,19432,774.901475,771.53,True,True,10986.0
30,2021-08-12,777.68,779.28,771.33,774.57,586352,15923,774.730407,775.27,False,False,13465.0
31,2021-08-13,774.15,778.235,770.79,771.71,462893,13383,772.900086,775.77,False,False,11781.0
32,2021-08-16,771.28,783.26,769.43,782.58,728626,17995,779.241888,775.3,False,True,26064.0
33,2021-08-17,786.28,791.19,780.83,788.37,816236,18295,787.613331,786.895,False,True,16733.0
34,2021-08-18,785.12,793.03,784.53,785.47,895088,18920,788.353145,788.57,False,False,20432.0
35,2021-08-19,784.34,789.82,776.83,785.54,827378,20647,783.661414,780.15,False,True,18287.0
36,2021-08-20,786.94,799.65,784.49,794.09,1000290,22809,794.86613,793.525,False,True,28044.0
37,2021-08-23,792.6,802.315,791.8,797.51,915085,23775,798.708629,799.39,True,False,27790.0
38,2021-08-24,796.84,800.91,791.17,792.64,1055161,20369,795.275465,797.23,False,False,29922.0
39,2021-08-25,791.11,798.98,787.565,796.67,821539,20832,796.571685,796.86,False,False,29541.0
40,2021-08-26,796.95,799.4,792.73,797.4,625815,17729,796.714563,795.51,True,True,19540.0
41,2021-08-27,799.25,811.33,798.64,807.18,711711,20254,807.860795,804.49,False,True,20571.0
42,2021-08-30,810.44,816.14,803.81,814.2,678646,19853,812.797197,808.79,False,True,21650.0
43,2021-08-31,814.67,820.7299,810.68,816.66,1137081,23384,816.901729,817.28,True,False,30254.0
44,2021-09-01,817.95,823.985,816.65,818.44,783701,21758,819.820835,820.47,False,False,26058.0
45,2021-09-02,823.19,825.62,817.53,821.01,592457,16858,821.289378,822.34,False,False,16210.0
46,2021-09-03,812.05,820.1,809.88,811.33,816436,22752,814.590626,814.015,False,False,29516.0
47,2021-09-07,808.5,811.5,800.18,800.83,1095391,31044,803.963333,806.65,False,False,35499.0
48,2021-09-08,800.0,801.62,795.9383,799.79,1112495,28994,799.089278,798.12,False,True,33760.0
49,2021-09-09,802.65,804.41,784.19,785.41,967498,28530,788.974156,793.49,False,False,28138.0
50,2021-09-10,786.9,790.37,780.36,787.12,722242,23237,786.994245,781.82,True,True,21760.0
51,2021-09-13,792.62,804.8,787.51,793.07,834467,27711,795.938774,801.81,False,False,24281.0
52,2021-09-14,795.14,801.36,757.28,761.86,1484219,42773,763.381029,758.965,False,True,82404.0
53,2021-09-15,763.68,774.12,757.28,765.2,872920,25948,767.845504,764.9,True,True,31268.0
54,2021-09-16,766.25,769.24,758.61,765.24,895332,25741,763.551079,760.37,False,True,26320.0
55,2021-09-17,769.18,769.35,757.2354,763.48,3399398,27437,763.006714,760.62,False,True,25054.0
56,2021-09-20,760.01,765.53,747.36,755.9,904099,26984,754.183418,754.36,False,True,20812.0
57,2021-09-21,755.7,760.25,744.99,747.63,749060,23624,749.370021,749.07,True,False,21808.0
58,2021-09-22,752.56,760.96,748.85,751.55,589275,21113,755.646687,758.19,False,False,17330.0
59,2021-09-23,753.69,762.84,738.65,741.95,1371969,34978,746.663173,748.9,False,False,71981.0
60,2021-09-24,737.49,742.46,731.58,739.17,809267,22107,737.354143,733.53,True,True,35267.0
61,2021-09-27,735.42,741.32,732.46,734.41,741328,20705,735.580589,737.06,False,False,29257.0
62,2021-09-28,730.05,736.18,725.0,727.49,868616,28163,729.227162,731.78,False,False,25692.0
63,2021-09-29,729.99,742.715,729.4,733.18,719641,22895,735.312262,741.12,True,False,30656.0
64,2021-09-30,738.59,738.59,727.26,727.56,849523,20728,730.388539,732.67,False,False,27216.0
65,2021-10-01,731.24,742.4683,730.37,738.08,740392,21192,737.905796,730.99,False,True,45089.0
66,2021-10-04,735.73,745.87,733.29,740.96,590410,17988,740.64143,743.73,True,False,18414.0
67,2021-10-05,741.55,750.92,739.98,747.79,650083,18057,747.918194,745.07,False,True,20399.0
68,2021-10-06,743.14,747.78,735.4,743.75,575680,16310,740.824615,740.17,False,True,24339.0
69,2021-10-07,749.99,753.69,740.79,741.95,536510,14463,746.332877,748.87,True,False,28760.0
70,2021-10-08,721.07,726.19,704.57,706.13,1266615,30770,709.792379,707.49,False,False,48282.0
71,2021-10-11,698.71,704.78,693.42,695.23,894284,23048,698.429183,702.78,False,False,31006.0
72,2021-10-12,691.85,695.67,683.44,690.62,1106081,27062,690.780103,691.295,True,False,36446.0
73,2021-10-13,695.27,699.0,688.61,696.23,805156,23097,694.704489,694.53,True,True,17838.0
74,2021-10-14,701.5,708.16,700.45,703.67,775562,19155,704.706593,703.51,False,True,16870.0
75,2021-10-15,706.35,707.81,694.5,699.03,734535,20177,700.556852,706.65,False,False,22441.0
76,2021-10-18,697.11,709.12,692.64,706.88,883537,20382,705.200668,702.64,True,True,21278.0
77,2021-10-19,711.4,720.85,709.12,717.91,667960,19774,717.661526,718.21,False,False,16973.0
78,2021-10-20,719.74,737.97,717.35,734.01,831140,24610,733.012632,731.335,True,True,22102.0
79,2021-10-21,737.64,737.965,723.435,735.67,648997,21336,732.868804,729.06,True,True,14821.0
80,2021-10-22,736.11,739.855,729.65,730.93,783563,21171,732.89049,736.21,False,False,23312.0
81,2021-10-25,732.05,732.0,719.12,731.01,562598,20382,726.998342,725.15,True,True,15197.0
82,2021-10-26,731.0,735.87,724.41,728.23,492855,15090,729.899613,732.605,False,False,8918.0
83,2021-10-27,729.9,730.4,713.525,714.51,876478,23746,719.113576,725.16,True,False,20465.0
84,2021-10-28,694.03,710.55,680.85,706.27,1177711,30730,702.993509,708.68,True,False,26633.0
85,2021-10-29,669.35,687.38,660.0,674.89,2434789,52834,670.840442,662.78,False,True,157790.0
86,2021-11-01,676.4,677.695,665.31,671.37,1412207,30448,670.277783,670.88,True,True,94969.0
87,2021-11-02,670.32,686.5,670.27,681.5,1125441,29317,681.75382,681.83,True,False,45281.0
88,2021-11-03,685.03,694.94,683.5,692.54,850035,24159,691.532993,688.8,False,True,22030.0
89,2021-11-04,690.51,698.35,683.66,686.07,754270,25424,687.975739,694.36,False,False,16088.0
90,2021-11-05,694.51,704.08,688.93,689.32,802516,24601,693.9654,693.98,True,False,19209.0
91,2021-11-08,690.22,696.56,685.885,695.18,833697,24132,691.587397,692.38,True,True,37044.0
92,2021-11-09,698.14,705.0,691.92,696.31,597797,26773,696.302001,695.22,False,True,22542.0
93,2021-11-10,699.0,706.93,697.36,701.25,826034,23555,702.607733,703.11,True,False,97953.0
94,2021-11-11,702.72,706.17,693.96,694.21,537208,18245,699.088095,703.13,True,False,23299.0
95,2021-11-12,697.85,697.92,689.12,689.35,729507,21108,693.33732,696.87,True,False,25673.0
96,2021-11-15,690.32,696.98,689.71,692.91,732169,23785,693.924357,695.945,True,False,29024.0
97,2021-11-16,692.11,698.63,688.57,689.18,683936,21939,691.672478,695.71,False,False,17265.0
98,2021-11-17,690.18,703.65,689.18,691.04,830678,26327,693.770759,695.775,True,False,52573.0
99,2021-11-18,689.63,690.08,679.11,685.88,1097373,32619,684.81897,684.99,False,True,24334.0
100,2021-11-19,686.04,689.42,678.01,682.34,775873,26290,681.946781,684.4,False,False,66229.0
101,2021-11-22,680.2,689.385,668.03,668.32,1249596,31678,675.355427,683.93,True,False,45064.0
102,2021-11-23,667.47,679.32,666.895,674.74,1194868,28602,675.509257,672.525,True,True,48804.0
103,2021-11-24,672.0,677.75,668.5,672.69,827739,24427,673.59479,674.17,True,False,58666.0
104,2021-11-26,663.29,681.89,661.5,672.87,751261,20220,674.105162,665.96,False,True,73740.0
105,2021-11-29,674.54,675.51,664.85,668.19,786449,24519,669.12808,672.29,False,False,31670.0
106,2021-11-30,668.52,670.39,644.42,646.28,2114276,38525,650.336184,666.812,False,False,37015.0
107,2021-12-01,655.31,657.57,633.69,634.2,1077214,32411,645.513256,650.93,False,False,50074.0
108,2021-12-02,639.27,675.52,639.27,670.4,1424828,38258,667.295933,650.37,True,True,47940.0
109,2021-12-03,675.97,681.8,669.505,679.3,1335111,32667,676.675572,673.64,False,True,32514.0
110,2021-12-06,688.11,693.09,669.69,672.95,950650,31702,677.381444,686.08,False,False,66451.0
111,2021-12-07,677.84,678.72,639.28,650.6,2153920,47838,650.532167,670.31,False,False,45390.0
112,2021-12-08,649.41,652.38,630.145,642.07,1717275,40952,639.047273,649.485,False,False,41121.0
113,2021-12-09,634.35,634.505,606.57,611.97,2605164,49014,614.03689,620.585,False,False,182698.0
114,2021-12-10,614.9,620.02,608.39,610.89,1514532,31781,611.246611,617.25,True,False,98491.0
115,2021-12-13,608.64,617.27,600.34,605.55,1411245,32630,608.355055,605.62,False,False,50295.0
116,2021-12-14,599.78,629.93,599.34,621.89,1638562,35669,622.173584,611.16,True,True,40471.0
117,2021-12-15,616.73,622.4,610.93,617.32,1984191,29426,618.813469,613.27,False,True,47713.0
118,2021-12-16,618.42,638.16,617.21,631.58,1904035,32442,629.729758,624.4,True,True,19971.0
119,2021-12-17,632.77,650.2,629.64,650.0,4072585,40321,646.584418,637.11,True,True,151663.0
120,2021-12-20,646.77,652.51,643.08,646.76,1039658,30082,647.923183,643.66,False,True,45577.0
121,2021-12-21,649.71,652.91,640.36,644.33,1139437,21949,644.967303,649.09,False,False,19200.0
122,2021-12-22,647.72,645.18,636.7,639.79,576414,17758,639.94093,639.1525,False,True,15035.0
123,2021-12-23,642.95,651.98,641.01,648.3,559649,17313,648.251301,643.415,True,True,6875.0
124,2021-12-27,650.02,654.0,644.14,652.35,434976,16760,650.841421,645.095,False,True,9552.0
125,2021-12-28,653.73,664.98,652.82,655.79,450558,16450,657.765402,657.81,True,False,34560.0
126,2021-12-29,656.93,661.455,650.97,656.28,532885,17882,655.09815,659.17,True,False,12921.0
127,2021-12-30,659.4,669.865,656.53,657.23,562207,18984,660.77709,668.52,True,False,25764.0
128,2021-12-31,656.97,660.45,650.65,651.97,789260,23322,654.432237,654.36,False,False,16961.0
129,2022-01-03,642.01,651.8,638.68,647.58,1045859,32032,646.64759,645.34,True,True,65095.0
130,2022-01-04,645.83,653.09,628.065,640.77,1281106,34567,637.225565,640.14,False,True,38679.0
131,2022-01-05,645.53,649.315,623.73,624.86,1344551,32657,633.134536,644.01,True,False,78146.0
132,2022-01-06,622.54,638.8,621.23,631.95,1082292,29684,633.384446,629.295,True,True,52166.0
