,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,236.7,237.99,236.46,237.07,1202049,17168,237.150607,237.25,True,False,27524.0
1,2021-07-01,238.36,239.14,236.8504,238.3,2518313,34271,238.119165,237.55,False,True,82244.0
2,2021-07-02,238.3,238.785,236.62,238.03,1473593,22829,237.938175,236.88,False,True,57898.0
3,2021-07-06,237.82,238.02,233.32,235.24,2748631,28260,234.74352,234.84,False,True,38396.0
4,2021-07-07,234.32,236.375,233.1,235.93,2031628,29143,235.361833,233.74,False,True,59752.0
5,2021-07-08,233.73,234.16,230.5,231.41,1394614,29377,231.651115,231.52,True,False,73452.0
6,2021-07-09,233.59,235.145,232.72,234.9,2188497,30585,234.222784,233.99,False,True,45803.0
7,2021-07-12,233.43,235.93,232.0,235.22,2389823,29041,234.91356,235.18,True,True,74473.0
8,2021-07-13,235.67,237.165,234.07,235.56,2538166,31417,235.47712,235.03,True,True,44474.0
9,2021-07-14,236.03,236.815,234.1,236.02,1293571,21397,235.775125,235.92,True,True,46275.0
10,2021-07-15,235.44,235.94,233.12,234.91,1642591,23233,234.878035,234.51,True,True,129000.0
11,2021-07-16,234.84,235.92,233.0401,233.83,1384192,20232,234.113279,233.91,True,False,33553.0
12,2021-07-19,231.89,232.39,225.18,227.63,1694896,29996,227.358917,228.4,True,False,36513.0
13,2021-07-20,228.56,233.2,228.23,232.02,2553961,37896,231.927457,232.0,False,True,60358.0
14,2021-07-21,233.85,235.14,232.59,233.57,1476526,24062,233.768966,234.05,True,False,72145.0
15,2021-07-22,234.105,234.48,231.25,232.24,913894,18088,232.066117,232.71,True,False,13875.0
16,2021-07-23,233.03,234.12,232.095,232.88,1101595,18869,233.201724,232.9,True,False,16364.0
17,2021-07-26,232.3,233.41,228.05,228.44,1673825,29414,229.218813,229.22,False,False,39007.0
18,2021-07-27,226.84,229.0,224.66,228.88,3121444,40704,227.10747,225.85,True,True,225763.0
19,2021-07-28,229.06,229.32,225.15,227.25,1905890,25817,227.118105,225.96,True,True,33012.0
20,2021-07-29,228.47,229.95,227.63,228.95,1198756,20174,229.058524,228.915,True,True,22519.0
21,2021-07-30,228.28,230.9887,227.44,229.49,1778615,21632,229.446602,228.39,True,True,22166.0
22,2021-08-02,230.0,230.84,228.5,229.35,1385595,23060,229.433954,230.12,False,False,36104.0
23,2021-08-03,229.77,234.3789,228.9,233.96,1441380,23625,232.856981,231.12,True,True,43990.0
24,2021-08-04,232.98,233.49,230.8,231.48,1753665,28142,231.815998,232.22,False,False,67952.0
25,2021-08-05,215.72,218.22,199.66,206.21,7961089,106563,204.066265,199.855,False,True,475671.0
26,2021-08-06,207.1,211.13,205.37,209.3,3906002,51127,208.213302,206.325,True,True,172534.0
27,2021-08-09,209.59,213.13,208.72,211.15,2349262,34959,211.265984,211.19,True,False,104881.0
28,2021-08-10,211.16,211.91,209.34,210.95,2369643,31979,210.184076,209.955,False,True,72421.0
29,2021-08-11,212.62,213.14,210.8,211.3,1314120,21564,211.861052,212.075,True,False,35958.0
30,2021-08-12,209.73,211.55,209.25,209.68,1921048,21961,210.140368,210.21,True,False,58997.0
31,2021-08-13,211.8,211.95,209.03,210.61,1160069,21224,210.285853,209.26,False,True,42675.0
32,2021-08-16,209.32,211.5,208.3,210.9,1356952,20812,210.466519,210.2,True,True,34831.0
33,2021-08-17,210.08,212.0103,209.1,210.5,1536720,22676,210.328508,210.35,False,True,36064.0
34,2021-08-18,209.62,209.98,205.41,205.6,3362196,38250,207.363753,208.82,False,False,101726.0
35,2021-08-19,204.74,206.79,204.49,206.18,2642956,31592,205.566378,204.91,False,True,80827.0
36,2021-08-20,206.29,208.91,205.69,207.53,1814158,27182,207.609789,207.52,False,True,39290.0
37,2021-08-23,208.92,209.1,207.2,207.74,1199485,16461,207.983343,207.435,False,True,18071.0
38,2021-08-24,210.49,213.5,209.495,211.89,1690829,27993,212.256104,212.385,True,False,69647.0
39,2021-08-25,211.4,213.4899,209.27,211.39,1739574,28292,211.739652,211.4,True,False,64199.0
40,2021-08-26,210.45,211.6143,207.61,207.79,2067597,23937,208.31996,209.405,False,False,29171.0
41,2021-08-27,208.67,211.58,208.1,210.68,1530968,22947,210.536337,210.38,True,True,54313.0
42,2021-08-30,210.85,210.9,207.25,207.47,1544424,24328,208.857917,210.46,True,False,53633.0
43,2021-08-31,207.0,214.52,206.69,211.65,2789211,38715,211.917039,211.02,False,True,69548.0
44,2021-09-01,212.06,212.86,208.54,211.05,1593591,27186,210.714127,208.9506,True,True,74432.0
45,2021-09-02,212.0,219.58,211.52,218.21,2519018,36580,217.342457,216.0,False,True,80268.0
46,2021-09-03,218.26,218.24,213.33,216.92,1642475,23682,216.69392,215.62,False,True,44406.0
47,2021-09-07,215.28,218.36,214.62,216.32,1839769,28795,216.358981,216.02,True,True,51103.0
48,2021-09-08,216.64,217.01,212.65,213.36,1734115,28880,213.82035,212.95,False,True,79263.0
49,2021-09-09,213.0,215.2972,212.38,213.95,1544991,27495,214.198769,214.52,True,False,95989.0
50,2021-09-10,208.95,209.99,203.2,204.69,4442676,58273,205.132977,204.28,True,True,157969.0
51,2021-09-13,205.155,211.87,204.17,209.1,2523786,36809,209.095927,209.14,True,False,87956.0
52,2021-09-14,209.39,210.79,203.35,203.65,2290840,36252,205.337284,207.59,False,False,87053.0
53,2021-09-15,203.54,208.61,203.16,206.58,2666715,28585,206.657598,204.9,False,True,41280.0
54,2021-09-16,207.49,209.25,203.5,205.52,2524243,27897,204.988333,204.87,False,True,47502.0
55,2021-09-17,205.48,207.47,204.0,205.62,3716866,29494,205.680413,205.99,False,False,42183.0
56,2021-09-20,203.01,204.24,200.83,202.53,2173462,28691,202.19692,202.09,False,True,51560.0
57,2021-09-21,203.92,205.25,201.97,202.39,1937168,26588,202.726427,203.355,True,False,35138.0
58,2021-09-22,204.33,205.17,201.53,201.99,2225797,24995,203.208638,204.99,True,False,94401.0
59,2021-09-23,202.94,204.59,201.62,202.46,2364377,32162,203.047318,203.31,True,False,234006.0
60,2021-09-24,202.56,205.41,202.3,203.89,1711661,23564,203.946971,204.5,False,False,39920.0
61,2021-09-27,204.22,208.29,203.1,206.61,2048900,29086,206.969921,206.61,False,False,67184.0
62,2021-09-28,206.66,208.02,203.0,203.28,1981639,30666,204.280928,205.59,False,False,40140.0
63,2021-09-29,203.55,205.91,203.188,203.93,1442193,22511,204.527988,205.55,True,False,50640.0
64,2021-09-30,206.24,207.55,200.1,200.16,1607189,24383,202.126015,204.03,False,False,35190.0
65,2021-10-01,201.25,203.77,198.86,202.6,1781879,28267,201.518322,199.16,False,True,41713.0
66,2021-10-04,202.52,204.77,198.7,199.45,1735789,27981,200.112293,201.13,False,False,36391.0
67,2021-10-05,200.53,203.99,199.74,201.4,1523519,22563,201.930816,203.3,False,False,48173.0
68,2021-10-06,199.27,203.39,197.291,203.25,1887686,29395,201.336161,198.7,False,True,62288.0
69,2021-10-07,205.0,207.37,204.6,204.71,1726774,26659,205.832045,205.89,False,False,57097.0
70,2021-10-08,207.52,209.0,204.31,205.18,1470808,21370,205.708441,205.62,True,False,26292.0
71,2021-10-11,204.99,207.51,203.56,203.93,1042677,18119,205.133689,207.12,False,False,34244.0
72,2021-10-12,203.96,205.12,201.77,202.1,1358380,17744,202.800077,204.25,True,False,15711.0
73,2021-10-13,201.42,202.0,197.25,199.47,1941957,26790,199.366141,198.11,True,True,53816.0
74,2021-10-14,204.86,207.22,202.88,203.04,2526210,27529,204.012989,205.83,True,False,296105.0
75,2021-10-15,204.24,208.06,204.01,206.19,1423150,21556,205.988878,206.52,False,False,43945.0
76,2021-10-18,205.27,205.87,203.23,204.57,1364477,20001,204.56888,204.67,True,False,36458.0
77,2021-10-19,205.88,207.13,204.57,206.63,1129233,19427,206.195237,205.6018,False,True,29498.0
78,2021-10-20,208.27,216.0,207.33,214.76,2788724,36908,214.156744,212.795,True,True,65921.0
79,2021-10-21,213.38,216.3,213.32,216.23,1476955,23268,215.242479,215.575,True,True,41948.0
80,2021-10-22,216.32,219.12,214.71,216.4,1387900,19774,216.331274,215.94,False,True,32258.0
81,2021-10-25,216.695,218.11,215.415,215.62,1697145,20811,216.073863,216.34,False,False,32362.0
82,2021-10-26,215.7,216.37,213.49,215.67,1424220,23008,215.019944,215.0,False,True,36746.0
83,2021-10-27,216.35,216.5,213.27,213.4,1331400,22894,214.621446,216.095,True,False,43033.0
84,2021-10-28,213.43,216.145,212.97,215.75,1356364,20653,215.208986,215.81,False,False,40189.0
85,2021-10-29,215.45,216.07,213.3,213.61,1476325,25614,214.399724,215.77,True,False,30202.0
86,2021-11-01,214.05,217.53,213.775,216.13,1618840,22928,215.054258,214.88,False,True,48234.0
87,2021-11-02,216.99,217.38,213.54,214.71,1705699,27939,215.23052,215.33,False,False,58812.0
88,2021-11-03,211.57,218.34,209.21,218.25,2926005,42592,215.205921,212.57,True,True,117192.0
89,2021-11-04,225.5,226.7602,210.64,213.16,3720996,56141,216.382607,221.765,True,False,144656.0
90,2021-11-05,214.63,222.82,213.685,214.12,2521492,38886,216.732719,219.14,False,False,58562.0
91,2021-11-08,215.435,219.63,213.74,218.16,1975725,32366,217.738071,215.13,True,True,79201.0
92,2021-11-09,217.87,218.92,216.08,216.2,1965696,26827,216.930177,217.39,False,False,93446.0
93,2021-11-10,217.13,220.9,216.48,217.84,2416745,29495,218.995636,219.495,True,False,126207.0
94,2021-11-11,217.68,219.69,216.98,217.7,1134122,21421,217.846718,218.54,True,False,42090.0
95,2021-11-12,218.31,219.83,217.3774,217.73,1458355,21502,218.189496,219.33,True,False,58977.0
96,2021-11-15,217.55,218.42,215.14,215.53,1549544,22906,216.509942,218.25,True,False,55842.0
97,2021-11-16,216.38,221.765,215.54,217.76,1699706,28214,218.930954,218.37,True,False,65270.0
98,2021-11-17,219.05,220.72,216.91,216.98,1451650,23632,218.369433,218.93,False,False,64993.0
99,2021-11-18,217.83,220.25,216.62,218.75,1916237,34684,218.856537,217.9489,True,True,84724.0
100,2021-11-19,218.12,218.4,208.89,210.51,2979485,47272,211.300147,217.25,False,False,126245.0
101,2021-11-22,211.13,214.95,210.83,211.55,2005284,32952,212.509012,211.7,True,False,91774.0
102,2021-11-23,211.44,214.105,211.22,213.24,2476203,30633,213.248992,213.03,True,True,101190.0
103,2021-11-24,212.51,214.78,209.18,210.58,1744269,25523,210.992002,213.4436,True,False,59186.0
104,2021-11-26,208.0,208.35,200.68,202.03,1893293,26678,202.96254,203.62,False,False,129705.0
105,2021-11-29,203.29,204.9,198.91,199.61,3472448,44095,200.472441,202.4302,False,False,101446.0
106,2021-11-30,198.365,198.72,191.74,191.9,3540858,47121,193.145554,196.25,False,False,82873.0
107,2021-12-01,195.35,201.48,192.36,194.72,2778809,44173,197.39472,196.89,True,False,239518.0
108,2021-12-02,195.1,199.04,193.63,197.79,2213578,28433,197.167021,196.03,True,True,154889.0
109,2021-12-03,199.26,201.7,198.08,199.86,2350189,33122,199.618407,200.94,True,False,82901.0
110,2021-12-06,202.58,208.56,201.62,206.59,1843667,31673,206.186385,204.23,True,True,115786.0
111,2021-12-07,207.32,209.42,206.62,207.97,2023764,30739,207.878905,208.1701,True,False,65509.0
112,2021-12-08,208.33,209.0,206.44,208.31,1460937,26382,207.980513,208.42,True,False,80338.0
113,2021-12-09,208.3,211.37,207.73,211.3,1517019,24378,210.545097,208.13,False,True,82044.0
114,2021-12-10,212.41,215.46,211.97,214.94,2175251,34110,214.034109,214.47,True,True,125415.0
115,2021-12-13,214.95,216.612,212.885,215.15,1857716,28995,215.178809,213.66,False,True,76323.0
116,2021-12-14,213.8,217.85,212.86,216.62,2600723,33264,216.278436,215.25,True,True,127770.0
117,2021-12-15,216.84,218.87,213.65,217.46,2509185,34539,216.780291,215.145,False,True,93802.0
118,2021-12-16,216.62,220.38,216.51,218.67,2058619,33674,218.80866,218.68,True,False,80762.0
119,2021-12-17,218.64,221.0903,216.065,219.62,4074810,34825,219.349046,216.9,False,True,431798.0
120,2021-12-20,217.57,219.54,213.03,217.0,1837024,30300,216.389753,216.64,False,True,113163.0
121,2021-12-21,216.69,221.65,216.0,220.24,1567995,26341,220.016517,220.235,True,True,133953.0
122,2021-12-22,220.38,223.1428,219.93,222.33,1537221,17754,222.118693,221.54,True,True,79673.0
123,2021-12-23,223.02,226.95,222.27,225.89,1284314,17990,225.723261,224.225,True,True,29668.0
124,2021-12-27,227.55,228.6712,225.91,227.86,931318,17104,227.310227,227.465,False,True,46643.0
125,2021-12-28,227.9,230.97,227.78,230.54,863433,18139,230.173461,229.2972,True,True,33095.0
126,2021-12-29,231.02,232.31,230.49,231.65,819992,17215,231.660841,231.06,True,True,45634.0
127,2021-12-30,231.64,232.89,230.59,230.75,768018,14276,231.390712,232.39,True,False,31006.0
128,2021-12-31,230.52,232.28,229.6,229.63,923702,16187,230.612175,231.06,False,False,17251.0
129,2022-01-03,229.67,234.4,228.65,234.2,1433097,24417,232.720414,230.395,True,True,59407.0
130,2022-01-04,234.24,236.95,232.88,233.3,1613178,29837,234.483878,235.35,True,False,77693.0
131,2022-01-05,234.28,239.595,233.39,236.52,1556400,30220,237.592797,235.8,True,True,89189.0
132,2022-01-06,232.14,235.1514,226.08,227.54,2253819,37474,229.925358,234.57,True,False,141663.0
133,2022-01-07,226.96,234.09,225.2001,233.18,2048960,32858,232.265865,227.0,False,True,79512.0
134,2022-01-10,234.1,236.0,230.13,233.69,1668641,31020,233.11237,235.0,True,False,84051.0
135,2022-01-11,235.73,241.19,232.6,240.14,1926451,34641,238.232713,234.87,False,True,59540.0
136,2022-01-12,239.34,240.84,236.08,238.78,1352246,23828,238.299484,239.65,False,False,64438.0
137,2022-01-13,238.14,242.21,237.39,240.55,1133322,22775,240.091932,238.6,True,True,66714.0
138,2022-01-14,239.47,242.35,238.89,242.17,1325172,25802,240.911284,239.75,True,True,39072.0
