,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,81.33,81.67,80.815,81.35,4680739,39285,81.185633,81.06,True,True,171280.0
1,2021-07-01,81.535,81.88,81.245,81.74,3583088,35046,81.636551,81.29,True,True,64202.0
2,2021-07-02,81.92,82.12,81.59,81.7,2745357,27047,81.790599,81.9239,True,False,70430.0
3,2021-07-06,81.75,82.1,81.45,81.97,3217005,28580,81.850491,81.76,True,True,86768.0
4,2021-07-07,82.1,83.09,81.91,82.66,3213462,31837,82.607864,83.005,True,False,78040.0
5,2021-07-08,82.595,83.0,82.05,82.34,3502265,29675,82.406073,82.19,False,True,66976.0
6,2021-07-09,82.56,82.815,82.27,82.43,2791450,24969,82.474608,82.39,False,True,72686.0
7,2021-07-12,82.56,83.12,82.475,82.93,4466591,38968,82.834077,82.895,True,True,86798.0
8,2021-07-13,82.84,83.3154,82.35,82.64,2720385,34252,82.808734,83.15,True,False,64571.0
9,2021-07-14,82.81,83.38,82.28,83.23,2943607,34734,83.069483,83.205,True,True,137052.0
10,2021-07-15,83.31,83.765,82.65,83.63,4187574,37880,83.312831,82.91,False,True,167896.0
11,2021-07-16,83.97,84.495,83.66,84.39,6500737,40045,84.287256,84.16,True,True,86581.0
12,2021-07-19,84.38,84.96,83.18,83.97,4896706,45992,83.921808,84.13,False,False,174904.0
13,2021-07-20,83.85,84.78,82.67,82.69,4862362,46037,83.275637,83.865,False,False,133608.0
14,2021-07-21,82.82,82.98,82.055,82.18,3563068,35762,82.356467,82.655,True,False,109856.0
15,2021-07-22,81.65,82.475,81.29,81.84,3655263,31600,81.807291,81.955,True,False,99298.0
16,2021-07-23,81.7,83.46,81.53,83.28,3099700,32894,82.952639,82.36,True,True,75958.0
17,2021-07-26,83.0,84.3,82.945,84.09,5942840,41977,83.941055,83.54,True,True,174466.0
18,2021-07-27,83.85,84.57,83.44,83.95,4132783,33618,84.020838,84.46,True,False,95980.0
19,2021-07-28,83.88,84.26,83.14,83.18,3098871,31455,83.488361,84.06,False,False,148997.0
20,2021-07-29,83.53,83.83,83.03,83.52,3962380,42082,83.457085,83.115,False,True,128117.0
21,2021-07-30,80.46,81.06,79.225,79.5,9503716,77104,79.961334,80.5,True,False,301916.0
22,2021-08-02,79.575,79.82,78.65,79.54,5326370,50771,79.344661,79.19,True,True,111330.0
23,2021-08-03,79.5,79.88,79.09,79.42,3620410,38416,79.495721,79.7098,False,False,146618.0
24,2021-08-04,79.3,79.47,77.82,78.25,4181089,41613,78.325736,78.555,False,False,115349.0
25,2021-08-05,78.51,79.38,78.4,78.9,4131974,39834,78.851944,78.96,False,False,118100.0
26,2021-08-06,78.98,79.25,78.295,78.63,2874113,32047,78.659581,78.67,False,False,86038.0
27,2021-08-09,78.84,78.93,78.03,78.34,2561818,27578,78.300783,78.26,False,True,120352.0
28,2021-08-10,78.41,78.77,77.99,78.73,2734936,30403,78.420662,78.395,True,True,93171.0
29,2021-08-11,79.05,79.34,78.58,79.1,4233413,33012,79.093916,78.82,False,True,64285.0
30,2021-08-12,79.51,79.64,78.78,78.79,3594165,25436,78.901342,79.07,False,False,56152.0
31,2021-08-13,78.7,79.575,78.68,79.44,3518352,25322,79.373441,79.36,True,True,102125.0
32,2021-08-16,79.73,80.15,79.49,79.78,6095651,31060,79.77649,79.995,False,False,102446.0
33,2021-08-17,79.62,80.72,79.52,80.03,3347996,37264,80.059834,80.22,True,False,136219.0
34,2021-08-18,79.76,79.885,78.12,78.16,3640247,38348,78.639336,78.88,False,False,126273.0
35,2021-08-19,78.29,79.275,78.19,78.97,3505557,37624,78.92035,78.675,False,True,111378.0
36,2021-08-20,79.11,79.43,78.56,78.8,3018914,32455,78.920409,79.22,False,False,135865.0
37,2021-08-23,78.73,78.98,78.33,78.38,3153503,28688,78.56043,78.69,False,False,138949.0
38,2021-08-24,78.17,78.29,77.66,77.67,2922636,29557,77.807002,78.01,False,False,80427.0
39,2021-08-25,77.57,77.835,76.985,77.65,3635832,31494,77.509853,77.16,False,True,80038.0
40,2021-08-26,77.65,77.79,77.045,77.31,2307409,24111,77.372766,77.25,True,True,83476.0
41,2021-08-27,77.4,77.81,77.21,77.44,2283350,23817,77.51417,77.565,False,False,98897.0
42,2021-08-30,77.67,77.94,77.45,77.65,1956710,23073,77.642954,77.58,False,True,66999.0
43,2021-08-31,77.725,78.28,77.52,77.95,3779984,30331,77.878559,77.8622,False,True,70655.0
44,2021-09-01,77.96,78.475,77.83,78.33,2653894,29625,78.267142,78.135,True,True,65775.0
45,2021-09-02,78.33,78.56,78.09,78.52,2544831,27026,78.341352,78.245,False,True,79641.0
46,2021-09-03,78.4,78.45,77.77,77.91,3028966,31667,78.023014,78.12,False,False,83922.0
47,2021-09-07,77.81,77.95,76.83,76.9,3244476,34903,77.087915,77.0,True,False,99993.0
48,2021-09-08,76.68,77.86,76.6,77.78,3837952,45892,77.488651,77.37,True,True,118472.0
49,2021-09-09,78.04,78.215,77.23,77.3,3952754,40863,77.633598,77.89,False,False,137057.0
50,2021-09-10,77.44,77.47,76.79,77.04,3356601,34466,77.0844,76.98,False,True,59467.0
51,2021-09-13,77.42,78.18,77.16,77.38,3366685,35241,77.489144,77.5,False,False,105392.0
