,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,70.98,71.68,70.76,71.34,773821,10903,71.225154,71.305,True,True,13302.0
1,2021-07-01,72.18,72.52,71.27,72.18,940505,15976,72.094639,71.91,False,True,30317.0
2,2021-07-02,72.0,72.15,71.0,71.73,899845,13971,71.650854,71.65,True,True,30488.0
3,2021-07-06,71.28,71.11,68.475,69.08,1194904,18802,69.191732,69.14,True,False,38150.0
4,2021-07-07,68.34,69.16,67.61,68.07,1727231,25105,68.329132,67.91,True,True,27871.0
5,2021-07-08,66.55,67.43,65.88,66.49,1526015,21601,66.588595,66.72,True,False,35388.0
6,2021-07-09,68.58,69.4,67.4,69.25,1369016,20365,68.802164,68.39,False,True,41946.0
7,2021-07-12,68.18,70.155,67.57,69.79,916683,14294,69.584217,69.37,False,True,24800.0
8,2021-07-13,69.3,69.7,68.17,68.94,1076089,17989,68.859534,68.31,False,True,24858.0
9,2021-07-14,69.0,70.1266,66.9,68.58,1484407,20365,68.140855,68.43,False,True,16876.0
10,2021-07-15,67.66,69.62,67.325,69.02,987256,16376,68.807376,68.71,True,True,27952.0
11,2021-07-16,69.48,69.66,66.45,66.66,1371687,19275,67.324834,67.24,False,False,30846.0
12,2021-07-19,64.48,65.375,63.07,63.53,1634731,26675,63.755364,64.82,True,False,36913.0
13,2021-07-20,63.27,66.9,63.22,65.66,1855241,24862,65.845604,65.82,False,False,64983.0
14,2021-07-21,65.7,69.8,66.16,68.39,1505169,23561,68.775101,69.045,False,False,55303.0
15,2021-07-22,67.86,68.28,66.45,67.12,932317,15386,67.118275,67.2,False,False,24287.0
16,2021-07-23,67.98,68.8,66.84,67.02,1272530,16444,67.209885,67.68,True,False,39410.0
17,2021-07-26,67.52,68.695,67.33,67.75,968930,14318,67.717583,67.71,False,True,38383.0
18,2021-07-27,66.75,68.11,66.36,67.63,794433,14566,67.559964,67.77,False,False,35994.0
19,2021-07-28,68.31,69.17,66.89,68.4,1294467,19726,68.261915,67.46,True,True,30320.0
20,2021-07-29,69.45,69.92,68.54,69.39,1469187,21007,69.442182,69.42,True,False,30212.0
21,2021-07-30,69.13,70.19,68.26,68.66,1350381,20008,68.890702,69.2,False,False,34592.0
22,2021-08-02,69.3,70.72,67.63,67.66,1588951,23072,68.390586,69.72,True,False,29655.0
23,2021-08-03,68.23,69.575,66.5,69.37,1096970,19502,68.824226,68.45,True,True,75169.0
24,2021-08-04,68.14,69.85,67.92,68.72,1070644,18417,68.995068,69.64,True,False,37076.0
25,2021-08-05,69.12,70.44,69.39,70.1,1181996,17651,70.039132,69.99,True,True,32769.0
26,2021-08-06,71.545,73.18,71.22,72.25,1209906,21625,72.36995,72.41,True,False,103259.0
27,2021-08-09,71.8,72.81,71.12,71.99,1083407,16149,72.211364,71.89,True,True,20675.0
28,2021-08-10,71.98,73.58,71.72,73.38,925201,16705,73.061991,73.15,True,True,42878.0
29,2021-08-11,73.565,75.15,72.7113,74.89,1337425,21143,74.656424,74.38,True,True,38513.0
30,2021-08-12,75.1,75.52,74.43,75.5,1093916,15061,75.265073,74.72,False,True,21973.0
31,2021-08-13,75.85,75.93,74.51,74.95,845134,14381,74.92285,74.52,False,True,47862.0
32,2021-08-16,74.28,74.75,73.2,74.16,1163497,18807,73.932386,74.0588,True,True,62848.0
33,2021-08-17,73.32,73.91,71.67,72.51,1403197,18957,72.575672,73.12,False,False,38482.0
34,2021-08-18,71.77,73.53,71.63,71.87,1190003,16689,72.445927,72.81,True,False,19093.0
35,2021-08-19,71.07,71.79,70.305,70.91,1231222,19965,70.908665,70.82,False,True,25791.0
36,2021-08-20,70.6,71.5,70.34,71.28,1355335,17725,71.141943,70.69,False,True,33492.0
37,2021-08-23,71.8,73.04,71.79,72.56,1158783,18832,72.602369,72.28,True,True,36434.0
38,2021-08-24,72.89,73.81,72.67,73.65,1220963,18711,73.441345,72.79,False,True,43028.0
39,2021-08-25,73.96,76.005,73.79,75.22,1204515,21052,75.314157,75.16,True,True,41387.0
40,2021-08-26,75.52,75.77,73.95,74.07,1209843,19214,74.583922,75.11,False,False,29958.0
41,2021-08-27,74.26,75.95,74.13,75.63,1366403,23241,75.43078,74.81,True,True,50327.0
42,2021-08-30,75.63,75.87,73.51,73.53,1351875,23678,74.129704,74.78,True,False,34110.0
43,2021-08-31,73.85,74.83,73.3,73.91,1492911,25052,74.042305,74.16,True,False,25477.0
44,2021-09-01,73.91,73.96,71.73,72.47,2444407,32351,72.539146,72.83,False,False,49553.0
45,2021-09-02,72.55,73.37,71.97,72.73,1258772,18612,72.774429,72.95,True,False,84296.0
46,2021-09-03,72.98,73.18,71.825,72.31,1202110,17061,72.257938,72.32,False,False,28828.0
47,2021-09-07,72.8,73.9,72.7,72.86,1590635,24210,73.139841,72.9,False,False,55605.0
48,2021-09-08,72.66,73.16,72.04,72.11,975784,15120,72.374122,72.13,False,False,40345.0
49,2021-09-09,71.77,74.05,71.57,73.12,2005053,27381,73.257426,73.59,True,False,106227.0
50,2021-09-10,73.75,74.11,72.24,72.8,1434839,23145,73.106383,72.79,False,True,44980.0
51,2021-09-13,73.62,74.31,72.64,74.19,1880613,27877,73.742423,73.48,False,True,27440.0
52,2021-09-14,73.6,74.01,71.25,71.51,1917522,29772,72.153701,72.235,False,False,70968.0
53,2021-09-15,71.97,73.77,71.77,73.27,1610679,23534,73.302001,72.64,False,True,43245.0
54,2021-09-16,74.06,74.86,73.42,73.76,1499466,22256,74.113473,73.77,False,False,42015.0
55,2021-09-17,74.41,74.74,73.45,74.07,3547227,29266,74.080248,73.75,False,True,64434.0
56,2021-09-20,71.51,72.07,70.37,71.97,1582998,28493,71.292951,71.1,True,True,39071.0
57,2021-09-21,72.39,72.73,70.81,71.32,931237,14623,71.506461,71.27,False,True,23679.0
