,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,240.87,244.56,240.43,243.81,1009191,17236,242.868663,242.125,True,True,33441.0
1,2021-07-01,245.0,245.68,240.91,242.13,1110214,22080,242.235111,243.35,True,False,21322.0
2,2021-07-02,242.32,242.9,240.81,241.84,779253,11892,241.781242,241.725,False,True,34288.0
3,2021-07-06,240.84,241.405,233.1101,236.33,1036843,22382,236.198,234.86,False,True,58348.0
4,2021-07-07,235.79,239.28,234.61,238.92,767429,17345,238.023216,235.91,False,True,14369.0
5,2021-07-08,236.34,239.27,234.42,237.48,824168,14108,237.224092,237.095,True,True,20735.0
6,2021-07-09,241.49,243.39,241.07,242.7,786210,15627,242.689435,242.44,False,True,27284.0
7,2021-07-12,241.22,243.94,239.6983,243.28,980289,15097,243.005502,242.71,False,True,19556.0
8,2021-07-13,243.22,245.44,241.31,241.49,820875,15633,242.607076,243.25,True,False,21198.0
9,2021-07-14,241.09,242.4,237.78,239.01,868860,15954,239.242015,238.95,False,True,29719.0
10,2021-07-15,239.0,241.505,238.35,240.12,729346,11432,239.906878,240.79,True,False,12588.0
11,2021-07-16,243.27,243.34,238.22,238.62,630603,12746,239.600139,238.7,False,False,17581.0
12,2021-07-19,234.18,235.18,230.26,233.13,915003,20047,232.643063,232.59,True,True,18625.0
13,2021-07-20,233.43,238.72,232.44,237.94,1098342,19451,237.339852,236.36,False,True,27915.0
14,2021-07-21,239.5,241.575,238.28,239.38,675872,13475,239.240145,239.67,True,False,11160.0
15,2021-07-22,239.33,239.64,236.46,237.44,483948,9842,237.452804,237.21,True,True,9910.0
16,2021-07-23,238.7,239.26,236.81,237.44,621380,13177,237.565708,237.8673,True,False,5754.0
17,2021-07-26,237.44,238.69,235.69,236.5,760871,14737,236.835308,236.255,False,True,30284.0
18,2021-07-27,236.25,236.92,231.93,233.8,1260848,21145,234.012743,235.5,True,False,37310.0
19,2021-07-28,233.92,234.57,230.2,232.02,2060546,25090,232.356421,232.89,True,False,82287.0
20,2021-07-29,233.67,234.75,231.03,233.15,1520880,22339,232.83335,232.34,True,True,18715.0
21,2021-07-30,232.29,233.47,231.39,232.1,1059508,17212,232.136112,231.58,False,True,20467.0
22,2021-08-02,232.81,234.15,228.85,229.06,1217172,25685,230.848374,232.27,False,False,28327.0
23,2021-08-03,229.08,235.12,227.2,233.05,1859470,29652,232.018031,232.035,False,True,105386.0
24,2021-08-04,231.61,235.39,230.94,231.07,1153868,20402,232.554283,234.95,True,False,67127.0
25,2021-08-05,232.45,234.25,227.38,228.27,1524855,23294,228.862957,229.2,False,False,68957.0
26,2021-08-06,230.05,231.09,228.85,229.08,942424,16966,229.673387,229.63,False,False,37748.0
27,2021-08-09,228.75,231.43,227.7,230.65,773819,14973,230.363223,229.32,True,True,18583.0
28,2021-08-10,231.67,235.53,230.2225,233.77,918211,16701,233.880765,233.93,True,False,19388.0
29,2021-08-11,234.24,242.13,233.75,241.8,1222915,22689,240.179803,236.85,True,True,15366.0
30,2021-08-12,242.45,242.8,237.49,239.13,952460,14947,239.174095,238.765,False,True,20214.0
31,2021-08-13,239.83,239.79,236.8201,237.72,867965,14151,238.021633,237.67,True,True,13896.0
32,2021-08-16,237.01,239.82,235.59,239.29,808979,16563,238.71346,239.48,True,False,23097.0
33,2021-08-17,237.83,238.06,233.65,235.84,933785,19409,235.7929,235.84,False,False,32124.0
34,2021-08-18,234.47,236.5,233.37,233.58,1080894,22556,234.64813,235.6,False,False,17503.0
35,2021-08-19,230.55,232.94,229.73,231.5,1183102,24456,231.278661,230.04,False,True,32820.0
36,2021-08-20,231.25,232.67,230.11,231.67,994674,19441,231.454955,230.645,False,True,25772.0
37,2021-08-23,233.32,236.23,232.36,235.25,1449687,20148,235.123318,234.51,True,True,32951.0
38,2021-08-24,233.88,237.09,233.2,236.14,1225870,22202,235.592175,235.565,False,True,44787.0
39,2021-08-25,236.5,239.69,235.6881,238.47,1016201,18681,238.420874,239.58,True,False,32050.0
40,2021-08-26,238.02,240.34,236.64,236.98,1114376,19111,237.807843,239.1,False,False,32990.0
41,2021-08-27,237.87,241.73,237.01,240.3,1252333,21873,239.934236,238.965,True,True,26674.0
42,2021-08-30,241.43,241.62,237.22,238.69,924904,16776,239.344147,238.64,True,True,18817.0
43,2021-08-31,238.69,238.86,235.11,235.98,958157,17321,236.376834,236.035,False,False,29696.0
44,2021-09-01,236.09,237.03,231.2,234.87,974841,20382,233.699052,231.5636,False,True,39055.0
45,2021-09-02,235.84,237.77,234.67,236.97,789368,16312,236.430506,237.16,True,False,34375.0
46,2021-09-03,236.87,241.3486,236.96,238.57,991798,21456,239.378407,239.4016,False,False,24085.0
47,2021-09-07,237.99,238.235,232.7,233.85,1108169,20508,233.915232,233.295,False,True,30642.0
48,2021-09-08,232.8,234.22,231.45,233.68,757351,17887,233.201981,231.68,False,True,23633.0
49,2021-09-09,234.43,235.5,232.305,232.98,783342,17149,233.321131,234.8699,False,False,13672.0
50,2021-09-10,234.63,235.36,231.71,233.32,736619,16176,233.650515,232.32,False,True,20058.0
51,2021-09-13,235.82,237.08,233.42,235.61,755025,17338,235.29663,236.16,True,False,25339.0
52,2021-09-14,235.39,236.97,230.79,231.82,782137,18285,232.515964,233.225,False,False,21487.0
53,2021-09-15,231.99,236.42,231.5,234.44,860245,17360,234.703724,233.95,False,True,22813.0
54,2021-09-16,234.84,235.6,229.42,229.71,1080358,20615,230.383513,231.285,False,False,17786.0
55,2021-09-17,228.0,228.84,226.335,227.69,1983974,21953,227.616334,226.925,False,True,19548.0
56,2021-09-20,222.57,224.77,218.275,221.47,1687447,32019,220.273931,220.525,True,True,60238.0
57,2021-09-21,221.9,222.52,217.5,219.54,1030526,22468,219.871781,218.1,False,True,28096.0
58,2021-09-22,221.77,225.51,221.37,221.62,865914,17031,222.797592,223.0,True,False,26971.0
59,2021-09-23,223.33,229.15,222.76,228.33,1202966,20410,227.677765,226.07,True,True,24197.0
60,2021-09-24,228.04,229.9682,227.5001,227.66,753765,14469,228.377269,228.61,False,False,29921.0
61,2021-09-27,228.25,233.08,227.56,230.25,799781,18336,231.229348,232.71,True,False,18829.0
62,2021-09-28,231.0,232.295,228.38,229.46,640279,16454,229.562712,230.395,True,False,22391.0
63,2021-09-29,230.89,232.04,228.27,230.67,681615,16826,230.676396,228.67,True,True,9810.0
64,2021-09-30,232.09,232.32,224.52,224.56,1084097,19149,226.583391,230.89,True,False,13551.0
65,2021-10-01,225.35,229.91,223.75,227.96,770559,18656,227.191568,224.32,False,True,30091.0
66,2021-10-04,228.0,229.2,226.2,227.52,915895,18692,227.761819,227.85,False,False,26169.0
67,2021-10-05,225.39,236.21,223.58,234.67,1583692,26997,233.251624,231.85,True,True,73123.0
68,2021-10-06,232.51,235.01,228.11,234.59,1049760,23821,232.134981,229.1,False,True,29823.0
69,2021-10-07,237.13,238.48,234.5,234.86,905782,15533,235.607347,236.0,False,False,24093.0
70,2021-10-08,233.71,237.96,233.515,236.0,620178,12163,236.603794,237.27,True,False,16650.0
71,2021-10-11,237.48,237.76,232.29,232.44,973183,19088,234.007772,235.35,False,False,47225.0
72,2021-10-12,232.96,234.12,229.52,230.14,860240,15482,231.141094,233.2,True,False,26350.0
73,2021-10-13,229.68,232.33,227.235,231.54,723561,16196,230.60389,229.12,True,True,17847.0
74,2021-10-14,231.57,239.58,231.57,238.83,812223,15864,236.910559,234.44,False,True,29528.0
75,2021-10-15,241.46,241.5,238.03,238.28,662483,12951,239.06992,239.46,True,False,21700.0
76,2021-10-18,236.37,237.8094,235.5354,237.04,735860,11569,236.982087,237.395,True,False,15327.0
77,2021-10-19,238.79,240.65,237.44,240.12,767157,12502,239.693677,239.4,True,True,9207.0
78,2021-10-20,239.81,243.22,239.22,242.83,895509,14607,242.273328,241.95,True,True,34678.0
79,2021-10-21,241.3,242.1337,238.98,240.71,518677,10617,240.189281,239.635,False,True,7103.0
80,2021-10-22,241.0,242.35,239.17,240.71,649219,11059,241.076429,241.38,False,False,22916.0
81,2021-10-25,239.61,242.98,238.75,241.36,660658,14044,241.136964,240.3917,True,True,12896.0
82,2021-10-26,241.38,242.04,238.9,238.9,741150,15631,239.447186,239.22,False,False,19232.0
83,2021-10-27,237.56,238.65,234.235,234.85,780151,17388,235.496605,235.505,False,False,13543.0
84,2021-10-28,235.37,242.82,235.0,242.74,749162,16891,240.859962,238.22,False,True,12420.0
85,2021-10-29,242.39,243.2573,238.55,239.84,1061788,17242,240.560456,242.0,True,False,17788.0
86,2021-11-01,239.96,247.48,240.0,245.33,910082,21635,245.097847,245.09,True,True,33035.0
87,2021-11-02,245.58,245.73,238.56,242.28,1115577,22624,241.250739,239.6,False,True,35384.0
88,2021-11-03,239.7,240.3409,233.5,235.48,1234704,24527,235.597091,235.315,False,True,62056.0
89,2021-11-04,236.0,238.18,234.53,235.16,739454,16204,235.439946,237.16,False,False,12163.0
90,2021-11-05,236.2,238.57,235.14,237.07,682167,14735,236.984847,237.01,True,True,10040.0
91,2021-11-08,238.95,239.8,235.9,238.06,619184,12337,237.899249,238.725,True,False,65050.0
