,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,58.94,59.36,58.72,59.08,2464057,22170,59.035053,59.06,True,True,96715.0
1,2021-07-01,59.15,60.31,58.91,60.07,3738069,27303,59.936544,59.505,True,True,87113.0
2,2021-07-02,60.02,60.16,59.65,59.91,1956547,19951,59.911497,60.02,True,False,39072.0
3,2021-07-06,59.82,59.95,58.63,59.81,3506743,29288,59.529089,59.06,True,True,124901.0
4,2021-07-07,59.62,60.33,59.46,60.15,2702573,27505,60.152984,60.25,False,False,128220.0
5,2021-07-08,60.05,60.35,59.71,60.27,2674817,24312,60.16688,60.11,True,True,63352.0
6,2021-07-09,60.48,60.71,59.92,60.31,2038096,21503,60.266086,60.19,False,True,60273.0
7,2021-07-12,60.17,60.43,59.77,60.36,2350941,23071,60.254086,60.155,False,True,50475.0
8,2021-07-13,60.4,60.545,59.69,60.0,1618978,16971,60.128021,60.4,False,False,34008.0
9,2021-07-14,59.96,60.73,59.8398,60.48,2529117,23696,60.472586,60.35,True,True,39553.0
10,2021-07-15,60.47,61.58,60.42,61.51,2797867,22645,61.21438,60.79,False,True,91891.0
11,2021-07-16,61.57,62.365,61.435,62.01,2591331,20419,62.05027,61.79,False,True,32639.0
12,2021-07-19,62.05,62.4,60.53,61.45,3675388,32960,61.289745,61.6,False,False,67035.0
13,2021-07-20,61.65,62.65,61.65,61.94,2893774,28871,62.135921,62.3,True,False,135364.0
14,2021-07-21,61.95,62.23,61.03,61.04,1433477,17789,61.405105,61.99,True,False,43745.0
15,2021-07-22,61.0,61.49,60.69,61.23,1668642,16393,61.189827,61.01,True,True,32756.0
16,2021-07-23,61.31,62.1,61.295,62.08,1778677,14871,61.833891,61.46,False,True,69581.0
17,2021-07-26,61.96,62.16,61.395,61.98,1923157,15762,61.898412,61.49,False,True,34704.0
18,2021-07-27,62.0,63.395,61.6,63.22,1918742,23471,63.006405,62.56,True,True,60263.0
19,2021-07-28,63.08,63.28,61.72,62.26,1839710,21254,62.216496,62.59,False,False,34650.0
20,2021-07-29,62.29,62.82,61.93,62.35,1201511,15276,62.319934,62.015,False,True,29620.0
21,2021-07-30,62.5,62.9,61.7,61.79,1682715,17952,62.054959,62.32,True,False,29691.0
22,2021-08-02,61.89,62.82,61.82,62.66,1382068,18145,62.54864,62.58,False,True,19887.0
23,2021-08-03,62.66,63.71,62.38,63.24,1612779,22759,63.28672,63.525,True,False,90575.0
24,2021-08-04,62.83,63.29,62.385,63.26,1569739,17131,62.973729,62.89,False,True,32040.0
25,2021-08-05,62.99,63.27,62.56,63.21,1313708,15316,62.972236,62.88,True,True,27719.0
26,2021-08-06,63.06,63.717,62.81,63.27,1402773,15899,63.441054,63.41,True,False,20273.0
27,2021-08-09,63.4,63.57,62.89,63.26,924058,13572,63.161533,63.17,True,True,22706.0
28,2021-08-10,63.15,63.24,62.75,62.94,807855,11614,63.009932,63.0265,True,False,21925.0
29,2021-08-11,63.1,63.49,62.93,63.19,1453962,16272,63.142323,63.16,False,True,46224.0
30,2021-08-12,63.18,63.47,62.93,63.0,748249,10961,63.07617,63.31,True,False,17629.0
31,2021-08-13,62.99,63.63,62.97,63.46,779947,12437,63.396125,63.34,False,True,11044.0
32,2021-08-16,63.61,64.39,63.49,63.87,1197918,12124,63.907811,64.19,False,False,27693.0
33,2021-08-17,63.83,64.3381,63.62,64.27,1427122,15343,64.049963,63.89,False,True,23022.0
34,2021-08-18,64.39,64.4,63.4,63.82,1929682,17969,63.781569,63.79,False,True,21225.0
35,2021-08-19,64.05,64.47,63.63,64.01,2206663,20423,64.002984,63.91,False,True,111330.0
36,2021-08-20,63.87,64.83,63.561,64.81,2093809,17805,64.627077,64.42,False,True,31089.0
37,2021-08-23,64.55,64.69,63.98,64.07,2846222,23241,64.152453,64.295,False,False,37277.0
38,2021-08-24,64.0,64.15,63.27,63.54,2442483,20926,63.621923,63.69,True,False,34067.0
39,2021-08-25,63.44,63.81,63.14,63.64,1311587,15126,63.574781,63.5,False,True,29128.0
40,2021-08-26,63.55,63.94,63.26,63.84,1046806,13247,63.761737,63.65,True,True,23781.0
41,2021-08-27,63.96,64.63,63.88,64.16,1274451,17702,64.242073,64.3,True,False,37523.0
42,2021-08-30,64.21,64.68,64.11,64.48,967678,14209,64.487853,64.52,True,False,22535.0
43,2021-08-31,64.31,64.75,63.77,64.13,2046167,18887,64.191976,64.585,False,False,19070.0
44,2021-09-01,64.23,65.1,64.19,65.05,1204237,14013,64.826565,64.89,False,True,71767.0
45,2021-09-02,65.12,65.61,65.11,65.61,1376255,15003,65.377406,65.4,False,True,46574.0
46,2021-09-03,65.4,65.53,64.95,64.96,1156495,13948,65.175158,65.32,True,False,18035.0
47,2021-09-07,64.65,64.82,63.435,63.52,1315886,16851,63.818626,64.27,False,False,30485.0
48,2021-09-08,63.39,65.02,63.39,64.72,1304494,15285,64.635187,64.52,True,True,21523.0
49,2021-09-09,64.55,64.825,64.32,64.44,773817,9793,64.536047,64.51,False,False,13739.0
50,2021-09-10,64.26,64.49,63.59,63.61,1440534,13457,63.85289,63.84,False,False,53442.0
51,2021-09-13,63.9,64.16,62.86,63.0,1188412,15520,63.239529,63.865,False,False,27595.0
52,2021-09-14,63.23,63.52,63.0,63.18,2107802,19548,63.198698,63.45,True,False,33606.0
53,2021-09-15,62.84,63.491,62.51,62.8,3267824,26183,62.906472,63.06,False,False,33387.0
54,2021-09-16,62.96,63.18,62.39,62.48,1240504,13493,62.627855,62.64,False,False,27835.0
55,2021-09-17,62.55,62.62,61.51,61.66,3023897,16558,61.933479,62.315,False,False,39824.0
56,2021-09-20,61.78,62.25,61.12,61.83,1665067,16752,61.810093,61.995,False,False,23902.0
57,2021-09-21,61.84,62.28,61.52,61.66,1353750,16856,61.798262,62.08,True,False,26656.0
58,2021-09-22,61.59,61.875,61.11,61.49,985341,10980,61.56223,61.64,False,False,10317.0
59,2021-09-23,61.34,61.87,60.59,60.66,1456097,14750,61.074476,61.41,False,False,25739.0
60,2021-09-24,61.0,61.24,60.65,60.76,967585,12452,60.839013,60.755,False,True,13091.0
61,2021-09-27,60.89,61.34,59.37,59.46,1694288,16578,59.924482,61.12,False,False,15970.0
62,2021-09-28,59.35,59.61,58.51,58.86,1436060,16515,58.935203,59.23,False,False,26473.0
63,2021-09-29,59.0,60.28,58.78,59.85,1111852,14296,59.860708,59.53,False,True,15706.0
64,2021-09-30,59.92,60.21,59.5,59.73,2111685,19680,59.841595,59.96,False,False,34100.0
65,2021-10-01,60.13,60.3891,59.69,59.73,1464732,17707,59.967305,59.92,True,False,20588.0
66,2021-10-04,59.65,61.2,59.59,60.87,1566485,17528,60.685277,60.3,True,True,26608.0
67,2021-10-05,60.88,61.04,60.17,60.37,2329590,19449,60.492386,60.58,False,False,57435.0
