,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,73.55,73.78,72.4525,72.93,2956062,28426,72.871037,72.78,False,True,82838.0
1,2021-07-01,73.29,73.83,73.0,73.66,3183942,28461,73.596926,73.45,True,True,141530.0
2,2021-07-02,73.75,73.925,72.91,73.88,3141064,27073,73.563502,73.04,False,True,240385.0
3,2021-07-06,73.57,73.74,72.19,73.61,2721798,24745,73.243637,72.56,True,True,67561.0
4,2021-07-07,73.67,74.205,73.065,74.14,1917990,21532,73.84357,73.1,False,True,66189.0
5,2021-07-08,73.7,73.77,72.02,72.66,2730036,26778,72.611382,72.45,True,True,68752.0
6,2021-07-09,73.69,73.84,73.2375,73.51,1823706,20946,73.480655,73.73,True,False,54487.0
7,2021-07-12,73.145,74.93,73.0,74.7,3284212,32926,74.570166,74.72,True,False,355404.0
8,2021-07-13,74.79,75.5899,74.32,74.57,2397066,23720,74.670673,74.62,False,False,49748.0
9,2021-07-14,74.74,74.765,73.52,73.77,2462630,18788,73.874596,74.12,False,False,77498.0
10,2021-07-15,73.35,74.03,72.62,73.3,4066677,32983,73.284589,72.92,False,True,174615.0
11,2021-07-16,73.3,73.48,72.54,72.66,1790311,20134,72.926096,73.15,True,False,53908.0
12,2021-07-19,72.1,72.69,70.76,71.37,3234802,34257,71.474858,72.11,True,False,60624.0
13,2021-07-20,71.8,72.97,71.39,71.67,2859964,29188,71.949056,72.685,False,False,69289.0
14,2021-07-21,72.0,72.92,71.38,72.91,3801495,25599,72.404868,72.12,True,True,59390.0
15,2021-07-22,73.46,73.5,72.6,73.15,3173546,20865,73.129033,73.22,True,False,90322.0
16,2021-07-23,73.46,73.87,73.07,73.46,3043580,25189,73.468837,73.29,True,True,71533.0
17,2021-07-26,72.97,73.44,72.01,72.67,3512855,34503,72.57815,72.63,False,True,69128.0
18,2021-07-27,70.0,71.1,68.25,70.47,6686159,58396,70.054065,70.62,True,False,172112.0
19,2021-07-28,70.32,70.53,69.46,69.73,3871471,37273,69.841303,69.53,False,True,68256.0
20,2021-07-29,69.9,70.03,68.811,69.08,2675666,29555,69.34308,69.535,True,False,113342.0
21,2021-07-30,68.97,69.3312,68.5,68.61,3812603,29940,68.881264,68.76,True,False,47366.0
22,2021-08-02,68.73,70.46,68.57,70.31,4260676,43690,70.035281,69.9,True,True,80100.0
23,2021-08-03,70.17,70.34,69.01,69.33,2745983,28524,69.326149,69.665,True,False,64073.0
24,2021-08-04,69.0,69.41,68.75,69.09,2621966,29668,69.039213,69.22,False,False,45155.0
25,2021-08-05,69.0,69.09,65.45,67.23,7256060,60337,66.611655,65.955,False,True,192875.0
26,2021-08-06,67.4,68.16,66.09,66.8,5404343,44259,66.573797,66.77,False,True,70111.0
27,2021-08-09,66.84,67.045,66.155,66.19,3785108,27857,66.287599,66.615,True,False,69186.0
28,2021-08-10,66.25,66.36,64.88,64.99,4068681,31406,65.193971,65.85,False,False,64819.0
29,2021-08-11,65.0,65.22,64.34,64.45,3156768,30674,64.725502,64.7,True,False,57200.0
30,2021-08-12,64.28,64.71,63.07,63.11,3655080,32244,63.49651,63.95,False,False,42774.0
31,2021-08-13,63.34,63.47,62.38,63.07,4625153,43763,62.983628,62.585,False,True,242288.0
32,2021-08-16,62.66,64.13,62.41,64.06,2841520,25578,63.647151,63.39,False,True,83344.0
33,2021-08-17,63.81,65.49,63.64,65.41,3100553,34397,64.880454,64.3761,True,True,42386.0
34,2021-08-18,65.25,65.77,63.78,63.82,3149879,34299,64.409504,64.89,False,False,66643.0
35,2021-08-19,63.35,64.67,63.1115,63.91,1967757,20738,63.993286,64.1,False,False,55216.0
36,2021-08-20,63.92,64.52,63.72,64.31,2393076,22988,64.109816,64.1,False,True,98456.0
37,2021-08-23,64.59,65.09,64.52,64.53,2032929,21969,64.748986,64.73,False,False,75604.0
38,2021-08-24,64.49,64.98,64.04,64.58,2182145,22705,64.654457,64.45,False,True,27301.0
39,2021-08-25,64.32,64.45,63.34,63.56,2821491,27362,63.605681,63.84,True,False,46165.0
40,2021-08-26,63.64,63.93,63.3338,63.58,2375389,24195,63.658599,63.6,False,False,32490.0
41,2021-08-27,63.9,64.47,63.45,63.98,1731296,17670,64.040995,63.61,False,True,26040.0
42,2021-08-30,63.93,63.95,63.1606,63.23,2715639,25335,63.403231,63.34,True,False,124724.0
43,2021-08-31,63.03,64.0,62.65,62.98,3816580,38694,63.192994,63.5837,True,False,80372.0
44,2021-09-01,63.26,63.4599,62.15,62.71,2208799,24553,62.783929,62.37,True,True,38338.0
45,2021-09-02,62.85,64.86,62.7,64.61,2203458,25264,64.36246,63.775,False,True,54679.0
46,2021-09-03,64.53,64.66,64.17,64.37,1905398,18935,64.396248,64.41,True,False,54750.0
47,2021-09-07,64.12,64.36,63.21,63.79,2638373,23687,63.741288,63.54,False,True,75802.0
48,2021-09-08,63.76,63.95,62.61,62.85,1914129,19179,63.001902,63.29,False,False,39615.0
49,2021-09-09,62.63,63.12,61.84,61.96,2082688,22639,62.248539,62.89,False,False,51107.0
50,2021-09-10,62.27,62.27,59.67,59.73,3994525,39820,60.245414,60.08,False,False,288454.0
51,2021-09-13,59.97,64.22,59.84,62.9,5967735,56715,62.800914,62.39,False,True,189766.0
52,2021-09-14,62.81,62.82,60.58,60.8,3215234,32261,61.131016,61.355,False,False,73907.0
53,2021-09-15,60.25,62.2,60.17,61.63,3923879,36059,61.711759,61.675,False,False,83429.0
54,2021-09-16,62.01,62.55,61.11,61.59,2068068,23091,61.583817,61.325,True,True,52830.0
55,2021-09-17,61.82,65.05,61.5,64.64,12208817,77725,64.004294,62.7983,True,True,897265.0
56,2021-09-20,63.83,64.91,63.47,64.35,4385988,53055,64.326551,64.49,True,False,136610.0
57,2021-09-21,64.66,64.9,63.0002,63.09,4806371,38889,63.351509,63.99,True,False,257594.0
58,2021-09-22,63.31,64.13,62.82,62.94,2228985,27987,63.312576,63.75,False,False,41335.0
59,2021-09-23,62.69,63.54,62.45,62.6,2436245,24649,62.922372,63.29,False,False,41253.0
60,2021-09-24,62.39,63.03,61.98,62.82,1621415,16929,62.668579,62.38,False,True,25063.0
61,2021-09-27,63.03,64.91,63.0,63.83,3796391,32673,64.314385,64.44,False,False,62884.0
62,2021-09-28,63.74,64.06,62.93,63.5,2826662,25447,63.520902,63.29,True,True,34194.0
63,2021-09-29,63.22,63.73,63.01,63.26,1569517,17398,63.349112,63.6,True,False,24203.0
64,2021-09-30,63.9,64.34,62.07,62.31,4092573,35062,62.5618,62.96,False,False,51939.0
65,2021-10-01,62.72,63.335,61.24,63.05,2481163,29367,62.620937,61.56,False,True,70083.0
66,2021-10-04,63.0,64.01,62.25,62.53,2411194,26470,62.726749,63.32,True,False,60969.0
67,2021-10-05,62.76,63.07,61.94,62.71,4015183,33951,62.641612,62.81,False,False,87467.0
68,2021-10-06,62.01,63.12,60.81,63.04,3310211,33562,62.357654,61.26,False,True,58568.0
69,2021-10-07,63.29,64.62,63.262,63.97,2366348,24772,64.100152,64.03,True,False,51882.0
70,2021-10-08,64.17,64.58,63.64,64.33,2669174,19278,64.261968,64.05,True,True,41884.0
71,2021-10-11,64.11,64.49,63.01,63.1,2240963,21118,63.526849,64.3,False,False,140769.0
72,2021-10-12,63.21,63.85,62.97,63.04,2773875,27752,63.259205,63.37,True,False,44029.0
73,2021-10-13,62.61,62.74,61.21,61.94,3134234,27653,61.996821,61.49,False,True,81985.0
74,2021-10-14,63.75,64.67,62.96,63.23,3868435,33246,63.311159,63.43,True,False,38455.0
75,2021-10-15,63.31,65.55,63.28,65.32,4380784,30725,64.906156,64.045,True,True,167870.0
76,2021-10-18,65.25,65.42,63.99,64.01,2579178,29438,64.287189,64.79,True,False,43424.0
77,2021-10-19,64.37,64.89,64.02,64.71,2434348,26020,64.598017,64.34,True,True,49769.0
78,2021-10-20,65.17,68.35,64.84,68.09,5805907,47473,67.442954,66.54,True,True,199018.0
79,2021-10-21,67.99,69.29,67.68,68.99,4885992,49183,68.66752,68.365,True,True,117232.0
80,2021-10-22,68.83,69.61,68.37,69.24,2957062,27101,69.205056,69.11,False,True,76747.0
81,2021-10-25,68.95,69.15,67.79,67.97,5031726,42303,68.302293,68.76,True,False,150770.0
82,2021-10-26,68.6,71.57,68.11,70.97,10211057,74442,70.043005,69.97,True,True,558135.0
83,2021-10-27,71.18,72.82,70.47,70.55,7681120,60790,71.517684,72.69,True,False,458165.0
84,2021-10-28,70.26,71.71,69.23,71.61,3577119,36994,71.125643,70.67,False,True,68198.0
