,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,60.22,60.945,59.8081,60.9,9301250,69774,60.576754,60.555,False,True,302312.0
1,2021-07-01,62.67,63.57,62.35,62.88,11613922,92775,62.95691,62.895,False,False,289853.0
2,2021-07-02,62.41,63.17,61.59,62.75,7629351,59187,62.643473,62.359,False,True,208613.0
3,2021-07-06,62.85,62.89,60.2099,60.28,11693197,96940,61.052637,61.7138,True,False,434349.0
4,2021-07-07,60.02,60.78,58.6301,59.01,8233771,77217,59.283764,58.84,True,True,337998.0
5,2021-07-08,58.21,59.64,57.99,59.21,10533287,82384,58.96486,58.8,True,True,247131.0
6,2021-07-09,59.86,60.46,59.34,60.13,6949997,56091,60.045819,60.165,False,False,270946.0
7,2021-07-12,59.0,60.44,58.7325,59.8,6057683,54347,59.820646,60.3,False,False,202647.0
8,2021-07-13,59.36,59.99,58.8,59.46,6489925,59638,59.388164,58.84,False,True,342495.0
9,2021-07-14,59.865,60.61,57.34,57.67,8468057,75580,58.32275,59.1701,False,False,232183.0
10,2021-07-15,56.84,58.22,56.79,57.08,8694901,70072,57.390832,57.3,False,False,259897.0
11,2021-07-16,57.84,57.9,55.305,55.5,8788202,71371,56.094667,56.14,False,False,281179.0
12,2021-07-19,53.35,54.3,52.82,53.7,13268387,119868,53.399077,53.54,True,True,464348.0
13,2021-07-20,53.48,55.25,53.28,54.47,9321937,78728,54.463117,54.89,False,False,541905.0
14,2021-07-21,55.71,57.415,55.61,57.02,9347315,79373,56.77445,56.32,True,True,492460.0
15,2021-07-22,57.0,57.21,56.18,56.67,6757373,54653,56.724199,56.46,False,True,213138.0
16,2021-07-23,56.2,56.28,54.735,55.34,10612942,76499,55.295004,55.435,True,False,400220.0
17,2021-07-26,55.57,57.35,55.57,56.87,8750867,62202,56.545325,56.67,False,True,395959.0
18,2021-07-27,56.18,56.62,55.34,56.33,7360826,63822,56.053702,56.11,False,True,342322.0
