,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,397.97,400.47,395.0,395.67,2028147,48225,396.681752,398.14,True,False,38250.0
1,2021-07-01,396.52,397.69,393.88,394.53,1520555,39067,395.172861,395.42,True,False,50789.0
2,2021-07-02,396.21,400.77,396.1136,398.94,1676045,44010,399.223794,398.7245,True,True,48766.0
3,2021-07-06,399.84,401.4,397.11,398.86,2110180,43166,398.996497,399.155,False,False,67325.0
4,2021-07-07,400.74,406.115,399.2,404.68,2305267,55037,404.413065,403.91,True,True,107873.0
5,2021-07-08,403.16,408.64,403.16,407.15,2229935,58367,406.341652,404.29,False,True,96370.0
6,2021-07-09,408.55,414.0,407.59,412.37,2296959,57298,411.659871,411.035,True,True,96629.0
7,2021-07-12,414.04,414.35,404.53,407.88,2489706,58188,408.052316,409.79,True,False,48265.0
8,2021-07-13,404.7,409.29,404.7,407.06,1532870,43014,407.303623,407.76,True,False,44370.0
9,2021-07-14,408.52,410.47,407.26,409.95,1259881,40475,409.343687,409.23,True,True,47403.0
10,2021-07-15,409.98,412.2,407.88,411.82,1887684,41568,410.862193,410.0,False,True,29938.0
11,2021-07-16,412.13,413.42,409.765,410.37,1410349,41824,411.417423,411.23,False,False,48960.0
12,2021-07-19,410.05,415.3171,410.05,414.15,2275027,61626,412.961642,411.94,False,True,78321.0
13,2021-07-20,414.0,418.07,412.85,416.24,2037303,54816,416.087738,414.63,True,True,68392.0
14,2021-07-21,417.11,417.11,412.22,415.01,1492041,42272,414.603249,414.06,True,True,43338.0
15,2021-07-22,416.0,418.6,413.5493,417.54,1336516,35998,417.08468,415.89,True,True,41144.0
16,2021-07-23,418.77,423.9878,417.05,423.43,1341500,39329,421.618417,419.11,True,True,32911.0
17,2021-07-26,423.0,424.4999,420.3477,423.23,1219548,39850,422.952088,421.75,True,True,39458.0
18,2021-07-27,424.08,424.56,421.6,424.34,1664199,47505,423.49021,422.95,False,True,29674.0
19,2021-07-28,423.52,424.8649,420.54,422.22,1355377,40571,422.197915,423.84,False,False,45797.0
20,2021-07-29,421.75,425.851,420.36,425.28,1431148,35911,423.850905,422.2755,False,True,35553.0
21,2021-07-30,426.34,431.5,425.94,429.72,2277327,55003,429.660391,429.78,True,False,61492.0
22,2021-08-02,430.71,430.71,425.48,428.92,1359939,40165,428.604673,428.7,True,True,53055.0
23,2021-08-03,429.92,436.8,429.12,435.07,1441151,45373,434.149715,433.43,True,True,68263.0
24,2021-08-04,435.94,437.99,432.89,435.04,1278406,41979,434.940707,434.05,False,True,80610.0
25,2021-08-05,437.94,443.5,436.73,443.19,1739958,49372,441.737443,442.375,True,True,81789.0
26,2021-08-06,442.66,443.46,438.9,439.63,1788436,49711,440.563634,440.4267,False,False,38003.0
27,2021-08-09,440.65,442.7779,439.31,440.47,1469173,38534,440.800093,442.51,True,False,49527.0
28,2021-08-10,440.66,443.8,440.66,443.03,1891626,44363,442.014977,442.88,False,True,57646.0
29,2021-08-11,445.0,448.0,441.8,444.3,2265559,60590,444.959335,446.2801,False,False,95991.0
30,2021-08-12,443.0,446.63,442.25,445.36,1244286,37650,445.31289,445.305,False,True,41109.0
31,2021-08-13,445.72,448.36,444.5404,447.82,1307129,38369,447.012279,448.225,True,False,55088.0
32,2021-08-16,447.91,453.19,447.0526,452.86,1513868,44908,451.206397,450.29,False,True,61125.0
33,2021-08-17,452.86,453.78,449.7,452.34,1933115,55417,451.599706,450.69,False,True,76271.0
34,2021-08-18,451.15,455.235,445.9,446.21,2025059,52901,449.355004,452.0354,False,False,65672.0
35,2021-08-19,442.76,455.5,441.31,454.26,1948879,58403,452.245369,449.98,False,True,48369.0
36,2021-08-20,455.49,460.62,453.66,458.99,1908857,50256,458.638716,458.7062,True,True,67111.0
37,2021-08-23,457.27,459.06,454.59,454.93,1830641,54331,456.41832,458.01,False,False,54785.0
38,2021-08-24,455.24,455.39,450.3,451.79,1541172,48021,452.205406,452.63,False,False,58659.0
39,2021-08-25,451.23,452.82,447.32,451.23,1520071,47751,450.73014,448.18,False,True,70868.0
40,2021-08-26,451.09,452.48,446.7,449.31,1415253,41753,449.431219,447.9368,True,True,67806.0
