,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,45.78,45.91,45.39,45.59,2897945,22547,45.610772,45.815,True,False,57150.0
1,2021-07-01,45.53,45.955,45.46,45.72,1681797,16615,45.755001,45.79,True,False,40243.0
2,2021-07-02,45.81,45.97,45.5499,45.66,1831237,17964,45.747354,45.65,True,True,31290.0
3,2021-07-06,45.55,45.655,45.27,45.54,1736561,18018,45.49184,45.41,False,True,61578.0
4,2021-07-07,45.49,46.2,45.41,46.08,4118948,26751,46.020664,46.15,True,False,158658.0
5,2021-07-08,46.04,46.68,45.665,45.86,3402753,25738,45.979395,46.08,False,False,78486.0
6,2021-07-09,45.86,46.07,45.515,45.64,2075625,18657,45.680549,45.64,False,False,101626.0
7,2021-07-12,45.52,45.71,45.37,45.55,2465239,17871,45.538371,45.609,False,False,51937.0
8,2021-07-13,45.08,45.36,44.53,44.71,3264223,25651,44.85028,45.16,False,False,57008.0
9,2021-07-14,44.63,44.665,43.82,44.37,2962952,26636,44.280396,44.23,True,True,166723.0
10,2021-07-15,44.42,45.12,44.24,45.06,2152701,17519,44.876482,44.52,False,True,30384.0
11,2021-07-16,45.17,45.59,45.13,45.53,2193731,16428,45.466288,45.3,False,True,38475.0
12,2021-07-19,45.5,46.185,45.101,45.91,2795620,24821,45.671146,45.58,False,True,106563.0
13,2021-07-20,46.13,46.49,45.21,45.28,2959978,29317,45.615497,46.12,True,False,53693.0
14,2021-07-21,45.32,45.41,44.54,44.59,2839379,25988,44.867632,45.13,True,False,66417.0
15,2021-07-22,44.42,44.5237,43.98,44.27,3164468,21530,44.153679,44.0815,True,True,43372.0
16,2021-07-23,44.27,44.69,44.12,44.57,1827072,14770,44.49495,44.35,True,True,37213.0
17,2021-07-26,44.62,44.8,44.405,44.51,1611216,17737,44.59483,44.56,True,False,47449.0
18,2021-07-27,44.55,45.085,44.48,44.69,2272484,23150,44.778489,44.98,True,False,60876.0
19,2021-07-28,44.58,44.715,43.82,44.1,2032477,18713,44.105798,44.36,False,False,36773.0
20,2021-07-29,44.2,44.4,43.91,43.94,1609242,17452,44.062161,43.9723,True,False,70825.0
21,2021-07-30,44.05,44.31,43.71,43.72,3383919,20390,43.844165,44.21,True,False,62609.0
22,2021-08-02,43.73,43.75,43.26,43.31,3078496,28760,43.413854,43.425,False,False,86410.0
23,2021-08-03,43.25,43.77,43.01,43.35,2007014,20230,43.453132,43.705,True,False,58521.0
24,2021-08-04,43.28,43.285,42.36,42.45,2543897,23688,42.566089,42.74,True,False,67073.0
25,2021-08-05,42.45,42.57,42.175,42.23,1814833,17758,42.347301,42.39,False,False,24610.0
26,2021-08-06,42.29,42.59,42.11,42.3,2600471,25547,42.338659,42.28,False,True,113556.0
27,2021-08-09,42.43,42.61,42.25,42.59,1779600,16412,42.48652,42.31,False,True,52038.0
28,2021-08-10,42.45,42.63,42.29,42.51,2163879,19365,42.497653,42.597,True,False,37747.0
29,2021-08-11,42.6,43.14,42.43,42.83,2070291,19582,42.883945,42.91,False,False,52219.0
30,2021-08-12,42.84,43.02,42.5,42.59,1684594,14533,42.688238,42.905,True,False,50136.0
31,2021-08-13,42.735,43.2366,42.72,43.18,1416566,16568,43.104901,42.945,False,True,35921.0
32,2021-08-16,43.28,44.0374,43.2,43.44,2460191,17944,43.559843,43.72,False,False,83888.0
33,2021-08-17,43.5,44.2,43.485,43.9,4281019,26408,43.891913,43.86,True,True,70946.0
34,2021-08-18,43.89,43.89,42.745,42.78,2049758,19668,43.090954,43.22,False,False,52379.0
35,2021-08-19,43.02,43.42,42.84,43.2,2302702,21336,43.175144,43.16,False,True,40185.0
36,2021-08-20,43.11,43.79,42.97,43.28,4778628,22045,43.330493,43.57,True,False,38340.0
