,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,133.37,133.625,131.65,131.83,682925,12329,131.997464,132.37,True,False,17275.0
1,2021-07-01,132.35,135.07,131.92,134.42,741769,12923,134.21383,133.54,True,True,12821.0
2,2021-07-02,135.04,135.97,134.32,135.24,764295,13849,135.218721,134.875,True,True,15750.0
3,2021-07-06,135.53,136.64,134.07,136.59,1181726,19618,135.970443,134.84,True,True,37808.0
4,2021-07-07,137.26,138.95,136.85,138.74,1393982,19709,138.444841,137.82,False,True,38788.0
5,2021-07-08,137.4,139.13,136.28,136.85,1322045,23228,137.664248,138.08,True,False,39322.0
6,2021-07-09,136.57,138.71,136.16,138.49,704009,15369,137.912521,137.34,True,True,18528.0
7,2021-07-12,138.62,140.66,138.545,139.15,924035,16508,139.33087,140.45,False,False,22904.0
8,2021-07-13,139.13,139.4,137.6,138.3,555438,14632,138.329644,138.36,True,False,10871.0
9,2021-07-14,139.71,140.5002,138.99,139.53,649923,13187,139.497595,139.71,True,False,16494.0
10,2021-07-15,139.36,140.04,137.69,139.49,929228,17898,139.066638,139.3,True,True,13188.0
11,2021-07-16,139.91,141.32,139.22,140.14,763353,15714,140.363922,139.69,True,True,18151.0
12,2021-07-19,138.95,140.528,138.65,139.72,1075832,19183,139.460799,139.82,True,False,28336.0
13,2021-07-20,140.11,144.44,139.9,143.45,1310607,20879,143.323227,142.085,True,True,20110.0
14,2021-07-21,143.4,144.5062,143.01,144.4,745183,16504,144.165974,144.02,False,True,16771.0
15,2021-07-22,144.65,146.0,143.45,145.52,684441,14896,145.247061,145.46,True,True,10148.0
16,2021-07-23,146.0,147.555,145.56,146.64,660463,12853,146.81306,147.21,True,False,10440.0
17,2021-07-26,146.62,146.64,144.8338,145.95,864383,15241,145.770182,145.45,True,True,12671.0
18,2021-07-27,146.01,146.77,143.9,146.06,789108,16519,145.3883,145.02,False,True,14189.0
19,2021-07-28,145.69,146.54,144.37,145.6,691772,14736,145.504532,145.56,False,True,11000.0
20,2021-07-29,145.99,147.95,145.12,146.7,581782,13330,146.798053,147.72,True,False,12287.0
21,2021-07-30,146.2,147.2,145.13,147.0,865133,14136,146.83482,146.74,True,True,26592.0
22,2021-08-02,147.47,148.31,145.55,146.04,918616,17874,146.277615,146.605,False,False,29740.0
23,2021-08-03,146.83,148.84,146.28,148.19,743530,16090,147.971591,147.53,True,True,19860.0
24,2021-08-04,147.54,149.065,147.13,148.33,814914,17481,148.213847,147.205,False,True,22344.0
25,2021-08-05,148.31,148.67,146.77,148.21,683780,14642,147.923252,147.48,True,True,16004.0
26,2021-08-06,147.62,148.29,145.658,145.99,931768,17759,146.184217,146.48,False,False,21327.0
27,2021-08-09,145.97,146.39,145.075,146.03,540401,12877,145.916841,145.93,True,True,15360.0
28,2021-08-10,145.86,146.54,143.1,143.33,1018284,18544,144.062466,144.235,False,False,32132.0
29,2021-08-11,144.01,144.44,142.14,143.39,697665,15785,143.155103,143.67,False,False,18160.0
30,2021-08-12,142.91,143.02,140.88,141.36,849009,15239,141.463452,141.14,False,True,23839.0
31,2021-08-13,141.36,141.91,139.69,141.5,790047,14978,141.271235,140.85,False,True,62368.0
32,2021-08-16,140.76,141.04,139.42,140.79,817762,14154,140.577655,140.61,False,True,23781.0
33,2021-08-17,140.3,140.54,138.16,139.03,1036137,18253,138.89726,138.675,False,True,29049.0
34,2021-08-18,138.7,140.29,137.68,137.77,967854,15738,138.39002,139.66,False,False,19609.0
35,2021-08-19,137.02,137.91,136.24,137.59,1049264,18083,137.225158,136.575,False,True,33943.0
36,2021-08-20,138.13,140.67,137.175,139.98,1378213,20152,139.559065,138.49,False,True,23997.0
37,2021-08-23,139.78,140.685,138.83,139.6,781189,13533,139.831184,140.355,True,False,18274.0
38,2021-08-24,139.61,141.83,139.43,141.4,685678,12772,141.095782,141.21,True,True,36113.0
39,2021-08-25,141.01,144.3,140.74,143.93,1292036,18510,143.406756,142.48,True,True,107361.0
40,2021-08-26,144.22,144.4,142.7,142.97,731907,14632,143.154772,143.32,True,False,29699.0
41,2021-08-27,143.14,145.12,142.81,144.44,625182,14304,144.542646,143.805,False,True,8239.0
42,2021-08-30,144.44,146.44,143.69,144.45,1124058,17003,145.049338,145.845,True,False,56696.0
43,2021-08-31,145.31,145.37,143.37,144.32,1114540,17859,144.357775,144.93,True,False,16690.0
44,2021-09-01,144.51,145.15,143.04,144.94,931571,15614,144.524967,143.695,True,True,26136.0
45,2021-09-02,145.64,145.82,144.02,145.06,665986,13638,144.839411,145.185,False,False,30950.0
46,2021-09-03,144.65,146.085,144.08,145.63,660637,11668,145.4666,144.44,False,True,10807.0
