,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,31.91,32.13,31.57,32.08,15021293,82694,31.966077,32.05,True,True,372456.0
1,2021-07-01,32.25,32.445,32.065,32.28,10971945,66868,32.273319,32.26,False,True,199700.0
2,2021-07-02,32.41,32.795,32.23,32.58,11379360,64743,32.57615,32.675,True,False,436542.0
3,2021-07-06,32.5,32.56,31.97,32.4,10501915,61954,32.298691,32.145,False,True,378563.0
4,2021-07-07,32.33,33.04,32.29,32.98,12636198,62358,32.85706,32.77,True,True,365253.0
5,2021-07-08,32.14,32.2,30.84,30.95,24324788,134786,31.183075,31.195,True,False,1483331.0
6,2021-07-09,31.64,31.945,31.59,31.83,15144613,87615,31.792101,31.725,False,True,402768.0
7,2021-07-12,31.85,32.0,31.52,31.74,8417483,58049,31.738859,31.845,False,False,251354.0
8,2021-07-13,31.67,31.92,31.58,31.7,8664204,53767,31.755874,31.74,False,False,261539.0
9,2021-07-14,31.82,31.96,31.57,31.64,11106450,69787,31.682039,31.73,True,False,202190.0
10,2021-07-15,31.52,31.96,31.445,31.81,12299059,61707,31.794616,31.825,True,False,221401.0
11,2021-07-16,31.84,31.97,31.405,31.51,13593069,57605,31.556558,31.535,False,False,361256.0
12,2021-07-19,31.08,31.17,30.64,30.82,13347400,81927,30.818933,30.955,True,False,327795.0
13,2021-07-20,30.885,31.43,30.86,31.18,11202707,59084,31.229442,31.29,True,False,286178.0
14,2021-07-21,31.31,31.7184,31.24,31.57,11286711,57254,31.549121,31.475,False,True,323079.0
15,2021-07-22,32.75,33.27,32.59,32.67,14910549,96360,32.801668,32.88,False,False,481400.0
16,2021-07-23,32.41,32.86,32.38,32.81,10374653,54698,32.689696,32.585,True,True,140406.0
17,2021-07-26,32.83,32.99,32.51,32.89,10940137,60346,32.796203,32.57,False,True,170150.0
18,2021-07-27,32.77,33.01,32.315,32.38,9075231,50262,32.512425,32.8,False,False,161318.0
19,2021-07-28,32.36,32.46,31.85,31.91,10539986,58744,31.974178,31.9999,True,False,198814.0
20,2021-07-29,32.17,32.2902,32.03,32.09,6259987,42572,32.14542,32.205,True,False,181182.0
21,2021-07-30,32.1,32.35,32.025,32.32,7771330,45936,32.244913,32.19,False,True,307205.0
22,2021-08-02,32.46,32.63,31.965,32.09,6678344,53123,32.179454,32.29,False,False,161229.0
23,2021-08-03,32.23,32.54,32.035,32.43,5333858,37239,32.360206,32.18,False,True,193699.0
24,2021-08-04,32.27,32.39,31.7,31.92,8002822,56605,31.964688,32.12,False,False,178776.0
25,2021-08-05,32.02,32.33,31.96,32.15,6029720,36510,32.110283,32.03,True,True,167175.0
26,2021-08-06,32.2,32.47,32.14,32.3,5969188,34271,32.300194,32.3,False,False,142764.0
27,2021-08-09,32.24,32.475,32.155,32.39,6162395,39922,32.366513,32.29,False,True,186309.0
28,2021-08-10,32.53,33.2,32.44,32.95,10373443,62177,32.98287,32.98,True,False,420672.0
29,2021-08-11,33.01,33.995,33.0,33.98,14975827,81931,33.804454,33.73,True,True,513096.0
30,2021-08-12,33.99,34.17,33.61,34.13,8367260,49284,33.982808,33.69,False,True,151855.0
31,2021-08-13,34.22,34.285,33.69,33.87,5619595,42508,33.861485,33.74,True,True,183396.0
32,2021-08-16,33.84,33.89,33.4608,33.87,6910070,42803,33.790089,33.82,False,True,165345.0
33,2021-08-17,33.84,33.855,33.255,33.74,6717321,50321,33.56493,33.42,False,True,207984.0
34,2021-08-18,33.68,34.21,33.631,33.76,8497247,43887,33.837348,34.035,False,False,99169.0
35,2021-08-19,33.57,33.92,33.39,33.59,7581615,52916,33.586016,33.6,False,False,202022.0
36,2021-08-20,33.74,33.86,33.59,33.73,6272844,42794,33.732155,33.655,False,True,302785.0
37,2021-08-23,33.84,34.33,33.765,33.87,7949743,44314,33.996778,34.235,True,False,209502.0
