,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,383.6,383.72,381.46,382.0,364831,10863,382.219426,382.85,False,False,5004.0
1,2021-07-01,382.69,383.88,380.14,380.92,362092,10726,381.396302,381.83,False,False,14335.0
2,2021-07-02,381.87,384.66,380.93,383.5,537495,11896,383.458694,382.86,False,True,20795.0
3,2021-07-06,383.99,384.65,377.9,382.78,455862,13575,381.375237,379.66,False,True,12461.0
4,2021-07-07,383.89,390.165,382.73,389.61,300389,11144,388.067341,387.33,True,True,9172.0
5,2021-07-08,386.77,390.25,384.68,386.8,377944,14368,387.132661,386.96,True,False,7973.0
6,2021-07-09,388.8,389.66,383.785,388.32,251251,11080,387.269503,385.62,False,True,3722.0
7,2021-07-12,388.27,392.25,387.27,392.07,246529,8534,390.851798,390.4,True,True,2259.0
8,2021-07-13,390.0,392.07,380.34,380.98,1163153,17376,384.008561,388.5,True,False,14305.0
9,2021-07-14,379.69,382.5698,376.85,378.95,1044760,20921,379.988704,381.54,True,False,19741.0
10,2021-07-15,376.0,378.32,365.04,369.15,1149806,26167,368.882932,367.6485,False,True,20961.0
11,2021-07-16,374.31,387.87,373.13,386.22,768444,23322,383.50801,379.99,False,True,13770.0
12,2021-07-19,384.36,387.21,375.315,378.58,794873,18945,379.606977,379.35,False,False,21694.0
13,2021-07-20,379.9,391.095,378.455,389.2,512543,15627,388.288299,384.87,True,True,13834.0
14,2021-07-21,389.92,392.44,388.1,392.16,322616,12644,391.022487,389.46,True,True,11192.0
15,2021-07-22,390.54,392.56,389.225,391.07,267759,10087,390.935095,391.66,False,False,3677.0
16,2021-07-23,390.71,395.85,390.33,395.34,345267,8360,393.655694,391.53,False,True,6387.0
17,2021-07-26,394.41,395.775,386.53,388.8,428869,11322,389.604638,387.84,True,True,10511.0
18,2021-07-27,384.4,392.47,382.91,388.86,336694,10809,388.159803,390.82,False,False,12065.0
19,2021-07-28,390.82,393.45,389.16,390.37,301089,9534,391.242757,390.15,False,True,9210.0
20,2021-07-29,393.2,396.38,390.8,393.14,432329,12411,393.813095,395.87,True,False,12111.0
21,2021-07-30,392.7,394.85,391.03,394.18,441668,10231,393.778987,393.13,True,True,6554.0
22,2021-08-02,393.38,396.26,388.65,389.37,345416,11231,391.475821,394.6,False,False,4449.0
23,2021-08-03,390.53,391.365,386.2,390.42,800279,14707,390.064936,389.69,True,True,8459.0
24,2021-08-04,389.93,391.29,386.41,387.81,411731,11941,388.370216,388.4,True,False,10131.0
25,2021-08-05,388.0,392.23,386.07,392.0,442617,10535,389.283237,387.82,True,True,11150.0
