,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,109.055,109.085,107.81,108.12,819030,9430,108.208345,108.535,True,False,11437.0
1,2021-07-01,108.4,110.895,108.12,110.85,758295,12059,109.938884,108.74,False,True,14285.0
2,2021-07-02,110.9,111.36,110.21,111.12,379532,8537,110.915141,110.43,False,True,8233.0
3,2021-07-06,111.24,113.19,111.12,113.15,657071,10691,112.771689,112.795,True,True,31437.0
4,2021-07-07,113.6,114.65,112.89,114.59,842641,14135,114.111247,113.025,False,True,46035.0
5,2021-07-08,112.64,113.82,111.37,112.89,870889,12207,113.113367,112.32,False,True,25550.0
6,2021-07-09,112.65,113.56,112.08,113.25,637502,10051,113.086615,113.1,True,True,12264.0
7,2021-07-12,113.93,114.23,113.06,113.54,476275,7683,113.504042,113.31,False,True,12906.0
8,2021-07-13,113.48,114.72,113.15,113.33,552454,9610,113.754864,113.65,False,False,14260.0
9,2021-07-14,113.62,113.92,110.73,111.14,631738,8723,111.710742,112.86,True,False,17376.0
10,2021-07-15,110.61,111.02,109.01,109.7,648788,8471,109.702618,110.34,False,False,5122.0
11,2021-07-16,109.53,110.71,108.735,109.17,828363,11810,109.673528,109.64,True,False,38070.0
12,2021-07-19,108.47,111.02,108.32,110.84,757818,12601,110.170646,108.845,False,True,27631.0
13,2021-07-20,111.34,112.94,110.6,112.69,677254,12646,112.39459,111.3516,True,True,5736.0
14,2021-07-21,112.97,113.55,111.566,113.54,523415,10003,113.078684,112.67,True,True,10452.0
15,2021-07-22,114.09,115.5,113.65,115.19,418733,7009,114.933821,114.73,True,True,8406.0
16,2021-07-23,115.52,116.88,115.36,116.26,557830,10370,116.262782,115.815,True,True,13527.0
17,2021-07-26,115.77,115.7004,112.77,113.0,446238,8417,113.263752,113.58,True,False,6838.0
18,2021-07-27,112.125,114.08,110.97,114.0,564687,8696,113.279995,111.43,True,True,17280.0
19,2021-07-28,114.65,117.05,114.0,116.51,577122,8680,116.274667,115.45,False,True,19638.0
20,2021-07-29,117.17,120.24,116.55,119.32,745769,10916,119.395657,119.32,True,False,21754.0
21,2021-07-30,119.25,121.11,119.04,119.81,917977,9892,120.302856,120.87,True,False,39330.0
22,2021-08-02,120.23,120.78,117.915,120.34,722063,12136,119.934009,118.57,True,True,27418.0
23,2021-08-03,120.95,122.18,119.84,122.16,709670,10480,121.557653,121.115,True,True,31778.0
