,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,70.0,70.08,68.6088,69.26,3716635,37510,69.174942,68.83,True,True,137867.0
1,2021-07-01,69.43,69.99,68.9365,69.84,2682485,28503,69.645618,69.485,True,True,95766.0
2,2021-07-02,70.14,70.29,69.54,69.61,2081927,24032,69.680709,69.72,True,False,60137.0
3,2021-07-06,69.51,69.57,68.38,68.73,2392736,26087,68.732201,68.655,True,True,60285.0
4,2021-07-07,69.0,69.35,68.695,68.93,2399561,26984,68.926259,68.8,False,True,70764.0
5,2021-07-08,68.25,68.61,67.37,68.37,2523290,31455,68.158849,67.91,True,True,66480.0
6,2021-07-09,68.66,69.25,68.5,69.14,3276988,27906,68.993735,68.81,False,True,63046.0
7,2021-07-12,68.87,69.28,68.31,69.25,3429481,33898,68.97385,68.515,True,True,64025.0
8,2021-07-13,68.97,69.155,68.34,68.7,2551851,26750,68.779294,68.9,True,False,86362.0
9,2021-07-14,69.6,69.97,68.88,69.23,2736032,29076,69.292126,69.28,False,False,77297.0
10,2021-07-15,69.17,69.24,68.65,68.83,2868238,26219,68.854299,68.73,False,True,46063.0
11,2021-07-16,69.03,69.23,68.17,68.24,2012091,19948,68.636368,68.75,False,False,37548.0
12,2021-07-19,67.8,67.87,66.19,66.46,3186094,28816,66.649699,67.0,True,False,107591.0
13,2021-07-20,66.75,68.02,66.68,67.61,2986443,30384,67.692069,67.66,True,False,70286.0
14,2021-07-21,67.49,68.0,67.265,67.75,2737832,27954,67.627357,67.41,False,True,49997.0
15,2021-07-22,68.17,68.22,67.44,68.11,5141621,26917,67.850952,67.95,True,True,257673.0
16,2021-07-23,68.59,69.52,68.46,69.29,2590973,27508,69.232327,69.32,True,False,60830.0
17,2021-07-26,69.38,69.76,68.93,69.43,2933163,29837,69.357321,69.28,True,True,93003.0
18,2021-07-27,69.27,70.06,68.54,69.13,3595092,33148,69.139987,69.06,False,True,195751.0
19,2021-07-28,69.25,70.14,68.94,69.79,3809890,37335,69.745602,69.18,False,True,71079.0
