,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,44.37,44.465,44.035,44.35,3227732,25507,44.282829,44.17,True,True,28164.0
1,2021-07-01,44.49,44.9,44.075,44.62,2090555,19852,44.618681,44.75,True,False,75765.0
2,2021-07-02,44.8,44.82,44.2,44.5,1829636,17943,44.549666,44.56,True,False,69209.0
3,2021-07-06,44.38,44.5,43.82,44.09,2180459,23139,44.09198,43.99,True,True,95398.0
4,2021-07-07,43.88,44.35,42.88,43.38,3344361,32176,43.476602,43.395,False,False,105838.0
5,2021-07-08,42.94,43.29,42.561,42.9,2301484,26860,42.921904,42.93,True,False,60939.0
6,2021-07-09,43.6,43.62,42.955,43.45,3257685,30580,43.334274,43.29,False,True,139525.0
7,2021-07-12,42.76,44.01,42.69,43.8,2483234,21850,43.725197,43.76,False,True,73114.0
8,2021-07-13,43.86,44.1,42.95,43.05,2763294,26303,43.134509,43.09,False,False,58797.0
9,2021-07-14,43.14,43.68,42.58,42.67,3099164,25779,42.804431,42.95,False,False,32113.0
10,2021-07-15,42.47,43.04,42.12,42.42,2897641,24731,42.470929,42.82,False,False,187522.0
11,2021-07-16,42.49,42.65,41.595,41.81,3412027,28406,41.902445,41.945,True,False,51782.0
12,2021-07-19,41.12,41.32,40.6,40.93,4599321,31576,40.900293,41.18,True,False,63648.0
13,2021-07-20,40.88,42.02,40.74,41.73,2964000,24384,41.708837,41.575,False,True,50008.0
14,2021-07-21,42.23,42.68,42.065,42.21,3470037,21811,42.242332,42.4,True,False,44273.0
15,2021-07-22,42.24,42.385,41.725,42.27,1455296,16131,42.159398,41.97,True,True,56366.0
16,2021-07-23,42.38,42.46,41.9,42.13,1586446,17158,42.17085,42.18,True,False,55907.0
17,2021-07-26,42.24,42.45,41.85,42.35,2838911,19411,42.265571,42.13,False,True,42467.0
18,2021-07-27,41.89,42.58,41.41,42.53,2859274,20319,42.376274,42.26,True,True,35142.0
19,2021-07-28,42.71,43.15,42.45,42.82,2810374,20103,42.826458,42.6,True,True,46969.0
20,2021-07-29,43.21,43.78,43.11,43.22,2389734,22767,43.38486,43.42,False,False,131588.0
21,2021-07-30,42.85,43.495,42.72,42.78,2108686,19811,42.858606,42.83,False,False,48513.0
22,2021-08-02,42.93,43.45,42.45,42.48,1793702,21976,42.771699,43.03,True,False,46159.0
23,2021-08-03,42.5,43.105,42.27,43.07,3141693,28143,42.954981,42.985,True,True,51578.0
24,2021-08-04,42.79,42.89,42.24,42.27,2155959,21883,42.439317,42.74,False,False,43761.0
25,2021-08-05,42.36,42.67,41.41,41.44,5049952,37208,41.887161,42.08,True,False,56472.0
26,2021-08-06,44.07,45.71,43.75,44.76,6020454,46978,44.761647,44.61,False,True,282167.0
27,2021-08-09,44.79,45.56,44.56,45.18,4718613,32595,45.241082,45.405,False,False,105605.0
28,2021-08-10,45.11,45.83,45.03,45.63,3041192,29236,45.576582,45.38,False,True,111313.0
29,2021-08-11,45.69,45.88,45.34,45.74,2451482,25668,45.623066,45.645,True,True,76448.0
30,2021-08-12,45.64,46.18,45.11,46.06,2984342,28229,45.787916,45.225,False,True,98732.0
31,2021-08-13,46.19,46.33,45.9,45.99,2870536,27268,46.090129,46.18,False,False,68715.0
32,2021-08-16,45.54,45.66,45.11,45.17,4729107,28985,45.247854,45.5961,True,False,69039.0
33,2021-08-17,44.75,45.25,44.34,45.07,6375518,25292,44.972811,44.96,False,True,86610.0
34,2021-08-18,44.96,45.325,43.9,43.94,3518333,24795,44.396471,45.05,False,False,35668.0
35,2021-08-19,43.27,43.685,42.47,42.55,2449018,28026,42.871172,43.125,False,False,75059.0
36,2021-08-20,42.4,42.81,41.835,41.94,2997933,29045,42.107539,42.14,False,False,105798.0
37,2021-08-23,42.36,42.37,41.855,41.95,3604918,28445,42.077687,42.17,True,False,55743.0
38,2021-08-24,42.11,42.82,42.01,42.55,3524507,25571,42.502293,42.35,False,True,75953.0
