,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,83.21,83.68,82.84,83.44,5030520,42815,83.289264,82.97,False,True,259536.0
1,2021-07-01,83.72,83.73,81.96,82.22,9707792,82637,82.589267,82.9,True,False,180270.0
2,2021-07-02,82.12,82.72,81.46,82.43,5585317,48195,82.314074,82.08,True,True,225493.0
3,2021-07-06,82.1,82.13,80.2515,81.18,6538651,61359,80.949573,80.585,True,True,152049.0
4,2021-07-07,81.0,82.3794,80.44,81.34,6870179,56110,81.267211,80.59,False,True,102328.0
5,2021-07-08,80.59,80.87,79.78,80.22,5402977,49385,80.25835,80.3223,True,False,145596.0
6,2021-07-09,80.95,81.68,80.8744,81.32,3456147,39457,81.402391,81.49,False,False,97164.0
7,2021-07-12,80.88,82.11,80.43,81.82,4008671,39832,81.788713,81.94,True,False,154984.0
8,2021-07-13,82.03,82.34,81.515,81.66,3067431,41511,81.804271,81.86,False,False,122928.0
9,2021-07-14,81.92,82.685,81.5601,82.42,6288331,46848,82.365948,82.2,True,True,136460.0
10,2021-07-15,81.78,82.37,81.51,82.07,3608947,41037,81.94593,81.74,True,True,111537.0
11,2021-07-16,82.4,82.505,81.43,81.72,5453117,35693,81.983101,82.07,True,False,91471.0
12,2021-07-19,80.84,81.55,79.56,80.67,5094102,56615,80.348548,80.3022,False,True,100257.0
13,2021-07-20,80.88,82.89,80.8,81.8,6355332,56239,81.965537,82.34,False,False,197032.0
14,2021-07-21,82.46,83.23,82.05,83.06,6776786,60160,82.870659,82.87,True,True,184647.0
15,2021-07-22,82.65,82.82,81.93,82.63,4671953,40974,82.393621,82.18,True,True,80196.0
16,2021-07-23,83.0,83.625,82.79,83.27,4081455,35298,83.231604,83.12,True,True,80436.0
17,2021-07-26,83.39,84.28,82.72,82.87,4778954,40642,83.02961,82.91,False,False,150616.0
18,2021-07-27,82.56,83.7,82.31,83.64,4302650,41700,83.337819,83.42,True,True,123032.0
19,2021-07-28,83.55,83.7299,82.5,83.3,3269161,36121,83.247957,82.97,True,True,68076.0
20,2021-07-29,83.78,84.15,82.8,83.06,4275148,43939,83.151753,82.92,False,True,152959.0
21,2021-07-30,83.0,83.47,82.13,82.36,5979182,46657,82.546341,82.92,True,False,152390.0
