,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,103.86,104.88,103.72,104.74,7921045,72682,104.546631,104.39,False,True,333165.0
1,2021-07-01,106.53,107.1,105.74,106.21,10846524,99681,106.346969,106.21,False,False,279181.0
2,2021-07-02,105.19,106.4,105.04,106.07,7095176,65613,105.804044,105.3,False,True,244783.0
3,2021-07-06,105.79,105.97,103.39,103.99,10152114,103469,104.174249,104.3,False,False,319476.0
4,2021-07-07,103.9,104.9,102.12,102.93,8228674,91206,103.062689,102.42,True,True,504463.0
5,2021-07-08,101.46,103.09,101.22,102.6,8674259,92494,102.289841,102.22,True,True,301981.0
6,2021-07-09,103.38,104.23,102.36,104.07,8538054,76987,103.751331,103.86,True,True,400885.0
7,2021-07-12,103.73,105.02,103.235,104.28,9888597,71908,104.338528,104.695,False,False,237141.0
8,2021-07-13,103.87,104.58,103.22,103.93,6734942,62892,103.912019,103.35,False,True,306210.0
9,2021-07-14,104.65,105.32,101.72,101.97,9192783,91199,102.790076,103.48,False,False,269255.0
10,2021-07-15,101.12,102.25,100.85,101.3,9647786,84744,101.371479,101.25,True,True,319377.0
11,2021-07-16,101.42,101.69,98.33,98.62,12171859,121002,99.37461,99.345,False,False,522376.0
12,2021-07-19,95.82,96.95,94.52,95.96,17269393,179914,95.405722,95.7,True,True,664986.0
13,2021-07-20,95.77,98.04,95.05,96.53,12057961,118759,96.854795,97.58,False,False,465540.0
14,2021-07-21,97.92,100.4698,97.7,99.82,11442743,98145,99.529699,98.71,True,True,464581.0
15,2021-07-22,99.14,99.41,97.89,98.82,7685286,72095,98.769169,98.64,True,True,253480.0
16,2021-07-23,98.43,99.12,97.94,98.86,7555122,72000,98.625297,98.82,True,True,343576.0
17,2021-07-26,100.47,101.26,99.44,100.95,10208032,89378,100.748664,100.21,False,True,430038.0
18,2021-07-27,99.71,100.72,98.94,100.61,8326399,74910,100.090356,100.1301,True,True,294685.0
19,2021-07-28,100.89,101.81,100.28,101.18,8516747,73277,101.043881,100.33,False,True,244076.0
20,2021-07-29,102.2,102.88,101.94,102.57,8652900,85532,102.518025,102.35,True,True,278310.0
21,2021-07-30,102.95,104.05,100.765,101.81,12272359,105929,101.848008,100.9,False,True,655814.0
22,2021-08-02,101.81,103.98,101.56,101.63,8883529,90441,102.37247,102.56,False,False,337449.0
23,2021-08-03,101.69,102.91,100.67,102.6,8392035,86334,102.202876,102.03,True,True,386168.0
24,2021-08-04,100.43,101.9,100.1,100.3,10374512,103268,100.628189,101.43,False,False,410709.0
25,2021-08-05,101.25,102.43,100.67,101.23,7980560,79224,101.592956,101.8754,False,False,334576.0
26,2021-08-06,102.21,102.58,101.6,101.95,6469816,61502,101.997243,101.8,False,True,248787.0
27,2021-08-09,100.93,101.38,99.93,100.25,9231555,81670,100.41307,100.1,True,True,444521.0
28,2021-08-10,100.76,102.32,100.58,102.08,9748155,76768,101.527695,101.44,False,True,403652.0
29,2021-08-11,102.14,102.97,101.6,102.85,7067283,74337,102.421042,102.1,False,True,333172.0
30,2021-08-12,102.83,103.25,101.78,102.64,7375841,68243,102.400546,102.36,True,True,253047.0
31,2021-08-13,102.33,102.54,101.64,101.96,6568000,61616,102.085895,101.98,True,False,276635.0
32,2021-08-16,101.0,101.2,99.91,100.92,9459053,90337,100.728566,100.58,True,True,522417.0
33,2021-08-17,100.11,101.68,99.63,100.73,11617550,104176,100.622204,101.35,False,False,376077.0
34,2021-08-18,98.67,99.42,96.55,96.7,12856901,130486,98.061958,98.67,True,False,386889.0
35,2021-08-19,94.92,95.31,92.86,94.29,17384919,163832,93.994664,93.11,False,True,714259.0
36,2021-08-20,93.35,94.875,93.21,94.3,9676367,92828,94.287465,93.96,False,True,382130.0
37,2021-08-23,96.15,97.0,96.06,96.73,10251446,100527,96.670049,96.3899,False,True,304011.0
38,2021-08-24,97.72,98.614,97.385,97.84,8924256,84448,97.86085,97.84,False,False,193980.0
39,2021-08-25,97.02,98.72,96.72,98.51,9339984,84666,98.142877,97.92,True,True,380691.0
40,2021-08-26,98.08,98.73,97.2,97.22,8101293,79342,97.902813,98.3101,False,False,218373.0
41,2021-08-27,98.29,99.46,98.05,98.64,10253510,92731,98.726548,99.0,True,False,345625.0
42,2021-08-30,99.065,99.308,97.97,98.39,8120662,79850,98.658977,98.43,True,False,250861.0
43,2021-08-31,98.02,98.41,96.64,96.77,15661649,110137,97.347236,97.9013,True,False,245777.0
44,2021-09-01,96.98,97.07,95.47,95.71,10541611,106473,95.986735,96.02,False,False,513409.0
45,2021-09-02,96.74,98.385,96.55,97.71,12333938,117229,97.703037,98.1421,True,False,558334.0
46,2021-09-03,97.66,98.43,97.38,97.49,9091149,83998,97.744652,97.79,False,False,400973.0
47,2021-09-07,97.01,97.975,96.74,97.06,9235004,84053,97.156865,97.066,False,False,353606.0
48,2021-09-08,97.5,98.47,96.35,96.39,10704242,101179,97.061702,96.75,False,False,571946.0
49,2021-09-09,95.83,97.62,95.35,96.0,10211438,100788,96.34542,97.33,True,False,491841.0
50,2021-09-10,97.28,97.7,95.89,96.07,11000348,83614,96.347797,96.14,False,False,307115.0
51,2021-09-13,97.26,98.7099,97.06,97.97,11489997,116267,97.949414,98.48,True,False,787788.0
52,2021-09-14,98.54,98.74,95.98,96.2,15266022,129907,96.726757,96.74,False,False,464970.0
53,2021-09-15,97.07,98.53,96.99,98.24,11605622,117715,97.926114,97.58,False,True,579381.0
54,2021-09-16,98.37,98.59,96.91,97.32,10611331,107103,97.442895,97.15,False,True,394349.0
55,2021-09-17,98.12,98.38,96.37,96.76,16002130,102096,96.969021,96.67,False,True,405640.0
56,2021-09-20,94.6,95.25,93.31,94.78,15763511,150178,94.254936,94.92,True,False,472588.0
57,2021-09-21,95.65,95.89,94.03,94.85,10950940,98149,94.955452,94.34,False,True,325380.0
58,2021-09-22,96.37,98.78,96.24,97.64,13240343,123032,97.859949,97.83,True,False,429416.0
59,2021-09-23,97.95,100.2662,97.75,100.06,10035730,94178,99.650332,99.24,True,True,410555.0
60,2021-09-24,99.82,100.97,99.65,100.6,8204828,90071,100.553922,100.805,True,False,315667.0
61,2021-09-27,102.75,103.78,102.59,102.97,12668523,112179,103.065015,102.83,False,True,739881.0
62,2021-09-28,104.0,104.89,102.88,103.36,15500129,150805,103.624322,104.375,True,False,599891.0
63,2021-09-29,103.17,104.24,102.34,103.33,10165041,106891,103.56066,103.93,True,False,425453.0
64,2021-09-30,103.32,103.45,101.45,101.45,15108705,141342,102.189405,102.545,True,False,373367.0
65,2021-10-01,102.7,104.54,101.88,104.33,10813228,109377,103.498686,102.15,False,True,359923.0
66,2021-10-04,105.0,105.86,104.11,104.72,13186044,126509,105.086565,104.85,True,False,614198.0
67,2021-10-05,106.0,107.77,105.42,105.86,12976324,128821,106.489185,107.64,True,False,550116.0
68,2021-10-06,104.07,105.345,103.58,104.93,10480994,104185,104.549958,103.87,False,True,415224.0
69,2021-10-07,105.75,106.3,105.215,105.68,8801929,94735,105.847281,105.69,False,False,323575.0
70,2021-10-08,106.99,108.43,106.6,108.05,10545055,107803,107.884385,108.09,True,False,706999.0
71,2021-10-11,109.55,109.63,106.9231,107.13,9758217,96120,107.874638,108.83,True,False,431808.0
72,2021-10-12,106.8,107.58,106.17,107.15,9014733,85666,107.023536,107.03,True,True,293543.0
73,2021-10-13,106.86,108.34,106.48,107.79,9109225,86402,107.582465,107.59,True,True,280927.0
74,2021-10-14,109.0,109.16,108.11,108.81,7624961,78045,108.756912,108.68,False,True,269457.0
75,2021-10-15,109.86,110.025,109.43,109.61,9797491,78061,109.727651,109.74,True,False,250971.0
76,2021-10-18,110.2,110.41,108.955,109.56,10532198,100983,109.624466,109.83,False,False,346349.0
77,2021-10-19,109.89,111.7,109.795,111.7,10271321,89296,111.11767,110.6383,True,True,244219.0
78,2021-10-20,110.99,113.17,110.78,113.16,10718841,99761,112.429995,112.7,True,True,792556.0
79,2021-10-21,112.61,112.805,110.87,111.74,9283191,83110,111.79564,112.43,True,False,233373.0
80,2021-10-22,111.97,112.88,111.45,112.8,8521637,76044,112.426231,112.1566,False,True,175329.0
81,2021-10-25,113.55,114.35,113.3011,113.85,9535994,88599,113.753656,113.84,False,True,349910.0
82,2021-10-26,114.0,114.6,113.51,114.1,7358752,81102,114.207767,114.44,False,False,274745.0
83,2021-10-27,113.04,113.58,111.65,112.07,8997516,94457,112.441181,112.66,False,False,327371.0
84,2021-10-28,111.81,113.27,111.58,113.12,7458901,85827,112.624134,112.14,False,True,234875.0
85,2021-10-29,114.9,115.29,113.15,114.49,15161055,117121,114.513243,114.36,True,True,329632.0
86,2021-11-01,115.0,115.09,114.05,114.53,11154231,106769,114.677228,114.41,True,True,341638.0
87,2021-11-02,114.1,114.19,113.21,113.83,9190471,87653,113.725943,113.35,False,True,633925.0
88,2021-11-03,112.1,113.27,111.97,113.01,10408793,93059,112.789049,112.8736,False,True,488511.0
89,2021-11-04,114.02,114.26,112.91,113.51,9672285,92303,113.368261,113.24,True,True,254929.0
90,2021-11-05,114.35,115.05,113.93,114.74,8111287,83554,114.685423,114.32,False,True,311627.0
91,2021-11-08,115.1,115.99,114.69,115.15,7689704,79135,115.274945,115.83,True,False,688403.0
92,2021-11-09,115.52,116.12,114.46,116.0,10927614,88173,115.570119,114.975,False,True,546852.0
93,2021-11-10,115.9,116.21,113.66,114.15,10282704,105678,114.582645,115.78,True,False,717283.0
94,2021-11-11,113.93,114.67,113.57,114.16,7316977,79743,114.313629,114.37,True,False,537894.0
95,2021-11-12,113.78,114.305,113.59,114.23,8678804,62902,114.000727,114.02,True,True,569637.0
96,2021-11-15,115.09,116.95,114.27,116.82,11039694,108723,116.046745,114.5233,False,True,1176269.0
97,2021-11-16,117.0,118.08,116.86,117.28,10559301,103597,117.452427,117.21,True,True,1148704.0
98,2021-11-17,114.8,116.53,114.66,115.42,11101763,92760,115.41172,116.002,True,False,1081229.0
99,2021-11-18,114.71,115.38,113.41,114.45,8368734,78015,114.498921,115.0,True,False,669163.0
