,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,100.92,104.03,99.83,103.75,2267190,27660,103.020605,102.25,True,True,35521.0
1,2021-07-01,104.6,106.07,102.74,102.9,1894005,27379,103.605065,104.24,False,False,50958.0
2,2021-07-02,103.89,103.89,101.72,102.41,1286792,19714,102.394846,101.85,False,True,46733.0
3,2021-07-06,101.76,102.21,96.92,98.45,3181732,36185,98.545255,99.9207,False,False,69029.0
4,2021-07-07,98.15,99.0695,94.38,95.55,3164137,38783,95.798059,94.6,False,True,197164.0
5,2021-07-08,92.48,96.24,92.01,94.56,2427041,30788,94.592339,95.075,True,False,89288.0
6,2021-07-09,96.42,97.48,95.01,96.86,2398892,28093,96.594054,96.88,True,False,134814.0
7,2021-07-12,97.14,99.0,96.15,98.35,1476494,19878,98.219273,98.44,True,False,212377.0
8,2021-07-13,97.01,97.92,96.05,96.77,1957114,26911,97.028216,96.8353,False,False,48376.0
9,2021-07-14,97.7,99.02,94.13,94.52,2218110,27317,95.850273,96.3,False,False,108002.0
10,2021-07-15,93.49,95.5,92.38,94.47,1858325,22723,93.836913,93.13,False,True,61546.0
11,2021-07-16,95.23,95.6756,89.59,89.9,2330875,31117,91.214254,92.23,False,False,87755.0
12,2021-07-19,86.99,89.97,85.372,87.77,3437228,42492,87.744019,87.905,True,False,83013.0
13,2021-07-20,87.77,92.21,86.76,91.3,2609370,36102,90.611857,89.0153,False,True,95688.0
14,2021-07-21,92.51,96.105,92.06,93.99,2387879,28644,94.378808,94.04,False,False,113824.0
15,2021-07-22,93.49,94.38,91.68,92.52,1564383,23942,92.795076,93.44,True,False,48038.0
16,2021-07-23,92.77,93.73,90.18,90.31,1623207,21330,90.898429,91.815,True,False,64764.0
17,2021-07-26,90.95,93.29,89.47,93.25,1732954,20758,91.778581,90.99,False,True,69452.0
18,2021-07-27,92.2,93.24,88.64,92.51,1906969,25304,91.092308,89.95,False,True,74338.0
19,2021-07-28,93.27,94.84,88.5501,92.37,2879222,33898,91.628088,89.44,True,True,181297.0
20,2021-07-29,93.02,93.02,89.74,89.86,1847945,25561,91.125976,91.91,False,False,62022.0
21,2021-07-30,88.8,90.35,86.59,87.36,2969568,35114,87.724533,87.97,False,False,116543.0
22,2021-08-02,88.05,90.645,86.21,86.5,2058893,27620,87.642789,88.74,False,False,49799.0
23,2021-08-03,87.14,87.32,82.98,86.78,4019595,47435,85.323558,84.15,False,True,145925.0
24,2021-08-04,86.75,88.82,84.63,84.99,4885879,53551,86.010026,85.09,False,False,277860.0
25,2021-08-05,84.99,91.47,84.88,90.5,4130733,42587,89.489257,88.32,False,True,164280.0
26,2021-08-06,90.97,92.23,89.5524,90.5,3145838,35106,90.582645,90.0382,False,True,103423.0
27,2021-08-09,91.94,92.04,89.02,90.84,3229798,32834,90.604093,89.62,True,True,134666.0
28,2021-08-10,91.4,92.1,89.855,90.57,1562346,23577,90.825347,91.8,True,False,149081.0
29,2021-08-11,90.1,93.26,89.3331,92.95,2823233,35758,91.806,90.785,False,True,69842.0
30,2021-08-12,93.0,93.98,90.36,93.76,2041831,27145,92.363725,90.85,False,True,109120.0
31,2021-08-13,93.73,93.97,90.69,91.02,2338757,24600,91.465884,92.44,True,False,75943.0
32,2021-08-16,89.591,89.7,86.5,87.4,1989109,25626,87.675111,88.14,True,False,90960.0
33,2021-08-17,86.09,86.3849,83.06,84.11,2835934,33641,84.301137,85.06,False,False,94903.0
34,2021-08-18,83.86,86.2,82.81,85.01,2401712,27514,84.952804,84.02,True,True,63806.0
35,2021-08-19,83.82,84.4099,80.366,82.47,3147160,35262,82.036602,81.77,False,True,153978.0
36,2021-08-20,82.45,85.86,82.0,85.64,2693761,34068,84.755862,82.56,True,True,68099.0
37,2021-08-23,86.58,89.4,86.3,89.28,2701985,33672,88.491046,87.55,True,True,64296.0
38,2021-08-24,89.96,93.93,89.96,93.86,3207795,39090,92.91332,92.55,True,True,99743.0
39,2021-08-25,93.86,98.03,93.56,97.7,2560393,32402,96.924669,96.21,True,True,83714.0
40,2021-08-26,98.08,101.56,97.745,99.99,3768902,44069,99.814494,98.44,False,True,202515.0
41,2021-08-27,100.29,109.0,100.0001,104.24,3557658,42768,103.835558,102.81,False,True,89563.0
42,2021-08-30,104.01,104.59,101.49,102.12,1928022,27770,102.640588,104.275,True,False,88640.0
43,2021-08-31,102.48,103.5,99.73,101.63,2194289,28517,101.557261,100.27,False,True,153954.0
44,2021-09-01,102.6,103.45,100.53,101.89,1812271,25355,102.000184,102.93,True,False,107219.0
45,2021-09-02,102.62,105.03,101.25,103.5,1672615,27889,103.439712,102.79,False,True,76352.0
46,2021-09-03,102.6,104.93,102.18,103.56,1446127,23310,103.685292,103.89,False,False,44376.0
47,2021-09-07,103.68,107.78,103.02,107.08,2536367,34461,106.644448,106.06,False,True,127456.0
48,2021-09-08,106.41,107.68,103.3276,105.89,1732182,29345,105.333696,104.75,False,True,132542.0
49,2021-09-09,107.45,109.325,105.5,106.59,2555935,35155,107.659961,107.54,True,False,69057.0
50,2021-09-10,107.01,107.46,103.99,104.19,1740287,26039,105.128396,104.68,False,False,60039.0
51,2021-09-13,105.46,105.97,100.82,104.34,1626485,25568,103.652443,104.02,True,True,71711.0
52,2021-09-14,103.32,104.13,101.2,103.07,1412765,23518,102.740027,101.515,True,True,91748.0
53,2021-09-15,103.29,107.79,101.3,107.33,2312324,34959,105.439997,102.4,False,True,60431.0
54,2021-09-16,107.44,109.5,106.79,108.57,1584393,24949,108.335496,109.14,True,False,96788.0
55,2021-09-17,109.17,112.18,105.32,106.07,5767326,47734,107.568251,109.5,False,False,165875.0
56,2021-09-20,103.11,106.39,102.33,104.75,2657188,37120,104.280901,105.59,True,False,55058.0
57,2021-09-21,105.47,107.76,103.193,105.04,1889155,27026,105.516003,104.47,False,True,42494.0
58,2021-09-22,105.93,111.63,105.66,109.91,2623525,41669,109.614036,108.46,True,True,75812.0
59,2021-09-23,110.79,114.6,110.11,111.62,3183252,48680,112.881767,114.37,True,False,216184.0
60,2021-09-24,111.25,113.6279,110.8,112.35,1424397,20476,112.201519,113.0,False,False,36282.0
61,2021-09-27,112.7,117.19,112.54,116.35,3071874,38286,115.769386,114.555,True,True,57924.0
62,2021-09-28,115.18,118.73,114.47,115.48,3078517,40730,116.528196,116.23,True,False,73707.0
63,2021-09-29,116.55,116.72,113.155,113.4,1564650,23787,114.151253,114.6925,True,False,67278.0
64,2021-09-30,113.48,113.6,110.69,112.28,2687811,36039,112.24671,112.8,True,False,73242.0
65,2021-10-01,114.7,119.81,114.52,119.49,2716385,40344,117.99597,115.765,False,True,50148.0
66,2021-10-04,118.62,119.39,116.6,118.11,2645037,38697,118.012944,117.4,True,True,116210.0
67,2021-10-05,118.32,119.59,114.59,114.76,2530666,32678,116.121895,118.36,True,False,113069.0
