,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,73.64,73.84,73.28,73.57,2814814,28116,73.518451,73.47,False,True,61983.0
1,2021-07-01,73.63,74.42,73.11,74.11,2489058,28068,73.995627,73.66,True,True,75162.0
2,2021-07-02,74.19,74.49,73.65,74.21,1826580,20522,74.17575,74.1,True,True,32950.0
3,2021-07-06,74.47,75.41,74.05,75.39,3558592,30272,75.055472,74.47,True,True,67453.0
4,2021-07-07,75.2,75.94,74.89,75.64,2277227,25755,75.587772,75.72,True,False,66222.0
5,2021-07-08,75.37,76.25,75.3,75.95,2520066,29193,75.862947,75.98,True,False,60274.0
6,2021-07-09,75.97,76.0689,74.99,75.55,2150962,26268,75.428888,75.2479,False,True,56996.0
7,2021-07-12,75.29,75.64,74.86,75.55,2324783,26909,75.351527,75.25,False,True,47558.0
8,2021-07-13,75.32,75.48,74.3,74.5,2057906,24635,74.808175,75.15,False,False,51125.0
9,2021-07-14,74.35,75.54,74.1197,75.24,2647458,28029,75.103619,74.79,True,True,58486.0
10,2021-07-15,75.11,76.17,75.02,76.14,3203345,32099,75.78813,75.51,False,True,83185.0
11,2021-07-16,76.31,77.52,76.0,77.16,3391159,33384,77.067947,76.53,False,True,66388.0
12,2021-07-19,77.11,78.13,75.13,75.86,5282808,61340,76.372927,76.84,False,False,189052.0
13,2021-07-20,76.09,76.79,75.49,75.67,3684272,35399,75.959789,76.27,True,False,213837.0
14,2021-07-21,75.56,75.81,74.69,74.72,3005040,34837,75.109508,75.43,True,False,106525.0
15,2021-07-22,74.93,75.15,74.225,74.39,3313533,32583,74.504465,74.37,True,True,74668.0
16,2021-07-23,74.665,75.38,74.29,75.32,3348937,32432,75.102368,74.76,True,True,44993.0
17,2021-07-26,75.1,75.38,74.64,75.09,3187372,33172,75.004789,74.6515,False,True,141850.0
18,2021-07-27,75.37,77.28,74.74,76.83,3187412,34593,76.514968,75.57,True,True,62614.0
19,2021-07-28,76.76,76.88,75.27,75.74,2348522,30765,75.803186,76.195,False,False,51015.0
20,2021-07-29,75.81,75.99,75.045,75.51,2043712,24769,75.471145,75.15,False,True,44745.0
21,2021-07-30,75.7,76.19,74.68,74.87,3331046,24891,75.087147,75.555,True,False,60640.0
22,2021-08-02,74.97,75.73,74.83,75.35,2768377,29158,75.279555,75.34,False,True,71588.0
23,2021-08-03,75.35,76.37,75.13,75.5,2678545,28462,75.651248,76.04,False,False,93389.0
24,2021-08-04,75.05,75.515,74.44,75.47,2829678,31212,75.094028,74.9143,True,True,142031.0
25,2021-08-05,75.59,76.135,75.13,76.08,2517168,29395,75.720857,75.56,True,True,61694.0
26,2021-08-06,76.0,76.38,75.61,76.0,2971956,28322,76.071933,76.04,False,False,188911.0
27,2021-08-09,76.03,76.2,75.33,76.0,3028410,26167,75.815664,75.65,False,True,132009.0
28,2021-08-10,76.18,76.875,75.71,76.44,3922896,37443,76.366165,76.04,True,True,116276.0
29,2021-08-11,76.4,77.105,76.14,76.93,3909369,36861,76.796523,76.67,False,True,68553.0
30,2021-08-12,76.85,77.505,76.76,77.36,3184437,31300,77.272148,77.1999,True,True,51265.0
31,2021-08-13,77.39,77.95,77.1,77.71,2549430,23713,77.687151,77.59,False,True,32892.0
32,2021-08-16,77.805,78.84,77.7,78.46,3076412,31043,78.41254,78.56,False,False,82461.0
33,2021-08-17,78.42,78.81,77.84,78.62,2239923,27318,78.43188,78.3746,False,True,82808.0
34,2021-08-18,78.68,78.73,77.555,77.98,2890878,31904,77.956087,78.12,False,False,55649.0
35,2021-08-19,78.33,79.3082,77.88,79.06,4110936,39944,78.958516,78.66,False,True,107829.0
36,2021-08-20,78.98,80.095,78.69,80.05,3731428,39371,79.889367,79.87,False,True,145777.0
37,2021-08-23,79.84,79.92,78.9,78.98,4133708,34845,79.252765,79.52,False,False,226064.0
38,2021-08-24,78.98,79.05,78.36,78.54,2860237,32933,78.622091,78.71,True,False,57383.0
39,2021-08-25,78.41,78.71,78.01,78.56,2621456,27589,78.418392,78.31,False,True,74024.0
40,2021-08-26,78.31,78.59,77.8,78.45,2164178,21134,78.273919,78.07,True,True,105502.0
41,2021-08-27,78.65,78.72,78.02,78.19,3132097,26346,78.318244,78.25,False,False,48476.0
42,2021-08-30,78.07,78.61,77.89,78.3,2143944,29830,78.337357,78.365,True,False,63220.0
43,2021-08-31,77.89,78.48,77.435,77.84,4353760,39351,77.908786,78.4,True,False,131687.0
44,2021-09-01,77.88,79.1,77.82,78.98,3123126,32865,78.834035,78.94,True,True,137577.0
45,2021-09-02,78.5,79.01,78.48,78.89,2071202,23848,78.717577,78.675,False,True,60635.0
46,2021-09-03,78.87,79.65,78.17,78.38,2133497,22456,78.613994,78.67,True,False,34224.0
47,2021-09-07,78.03,78.13,76.455,76.52,3646563,33672,76.807009,77.075,True,False,100754.0
48,2021-09-08,76.47,78.12,76.12,77.84,3215036,31073,77.683817,77.23,True,True,102167.0
49,2021-09-09,77.54,78.91,77.39,78.46,4489430,41426,78.24317,77.875,True,True,154848.0
50,2021-09-10,78.4,78.41,77.03,77.3,3321513,33343,77.558819,77.62,True,False,299133.0
51,2021-09-13,77.44,77.81,76.35,76.54,3128397,36016,76.854367,77.32,False,False,83596.0
52,2021-09-14,76.63,77.02,75.895,76.15,3181282,35919,76.285015,76.81,True,False,69933.0
53,2021-09-15,75.96,76.45,75.51,75.55,3020660,30619,75.827899,76.04,False,False,77350.0
54,2021-09-16,75.51,75.89,74.6,74.93,3519554,41279,75.005975,74.84,False,True,149360.0
55,2021-09-17,74.65,75.219,74.085,74.12,7588937,32281,74.431002,74.98,False,False,63673.0
56,2021-09-20,74.11,75.43,73.81,74.6,4533394,45341,74.690977,75.06,False,False,185956.0
57,2021-09-21,74.6,75.34,74.17,74.51,3214808,34523,74.661011,75.01,True,False,67786.0
58,2021-09-22,74.5,75.1,74.01,74.84,3340872,38981,74.797175,74.745,False,True,85037.0
59,2021-09-23,74.72,75.37,74.11,74.26,4017096,39473,74.763341,74.82,False,False,85675.0
60,2021-09-24,74.41,75.01,74.17,74.58,3078489,29430,74.593612,74.35,False,True,64067.0
61,2021-09-27,74.66,75.41,73.71,73.81,2893979,28819,74.365039,75.12,True,False,84414.0
62,2021-09-28,73.65,73.87,72.82,73.14,3209471,34319,73.211569,73.43,False,False,107541.0
63,2021-09-29,73.4,74.82,73.05,74.35,2587528,30895,74.252892,74.17,False,True,109322.0
64,2021-09-30,74.61,74.65,72.94,73.02,4233908,39514,73.464509,73.96,False,False,116277.0
65,2021-10-01,73.58,73.58,72.17,72.29,3790536,37192,72.801007,72.91,True,False,93410.0
66,2021-10-04,72.29,73.56,72.21,73.35,3996246,38548,73.057968,72.78,True,True,100471.0
67,2021-10-05,73.33,74.21,72.75,72.78,4836619,40617,73.026867,72.78,False,False,124322.0
68,2021-10-06,72.63,74.19,72.32,74.17,3547854,32109,73.445076,72.73,True,True,74219.0
69,2021-10-07,74.21,75.05,73.8,73.85,3006087,28229,74.264911,74.575,False,False,95409.0
70,2021-10-08,73.93,74.01,72.645,72.7,2944306,27832,72.978767,73.35,True,False,97889.0
71,2021-10-11,72.42,72.7657,71.85,72.12,2768199,26082,72.230537,72.6213,True,False,73344.0
72,2021-10-12,72.27,72.87,72.01,72.52,2197974,25429,72.507218,72.59,False,False,67776.0
73,2021-10-13,72.5,73.43,72.18,73.37,3090676,28229,73.007372,72.475,True,True,68298.0
74,2021-10-14,73.37,74.35,73.21,73.65,3101297,30188,73.81482,73.86,False,False,46046.0
75,2021-10-15,73.65,73.85,72.895,73.1,2696641,28868,73.224332,73.36,False,False,55579.0
76,2021-10-18,72.47,72.6481,71.685,71.96,2941355,26965,72.169386,72.495,True,False,80312.0
77,2021-10-19,73.36,75.44,73.23,75.22,5079556,48817,74.822537,74.79,True,True,136362.0
78,2021-10-20,75.44,76.865,75.38,76.59,3365833,33197,76.498668,76.56,False,True,120324.0
79,2021-10-21,76.73,77.81,76.66,77.29,3754338,36949,77.359036,77.305,False,False,154850.0
80,2021-10-22,77.43,77.74,77.0,77.29,2087914,24134,77.406514,77.57,True,False,58598.0
81,2021-10-25,76.92,77.26,76.45,76.5,2231875,25899,76.75113,76.92,True,False,40879.0
82,2021-10-26,76.39,77.32,76.24,76.59,2445626,22556,76.692246,76.44,False,True,75719.0
83,2021-10-27,76.83,77.03,75.96,75.99,2370008,26683,76.308443,76.83,True,False,67578.0
84,2021-10-28,76.04,76.54,75.88,76.34,2423855,29942,76.196644,76.01,False,True,100684.0
85,2021-10-29,76.29,76.74,75.67,75.93,3026417,27030,76.074102,76.51,False,False,48253.0
86,2021-11-01,75.83,75.93,75.22,75.41,2370106,28206,75.49154,75.43,True,False,73097.0
87,2021-11-02,75.7,77.0,74.81,75.49,2722367,25222,75.349847,75.15,True,True,168725.0
88,2021-11-03,75.45,75.92,74.78,75.48,2323925,23291,75.316775,75.15,False,True,48276.0
89,2021-11-04,75.46,75.83,74.575,75.44,3460825,37505,75.232076,75.445,False,False,55254.0
90,2021-11-05,75.64,76.67,75.5,76.53,2587396,30056,76.315816,76.05,True,True,69015.0
91,2021-11-08,76.28,76.43,73.38,74.58,4093696,44315,74.400224,74.655,False,False,183347.0
92,2021-11-09,74.55,75.27,74.14,74.58,3419204,34669,74.773445,74.395,True,True,137357.0
93,2021-11-10,74.89,75.72,74.85,75.68,2819940,30432,75.458143,75.2812,True,True,166688.0
94,2021-11-11,75.69,75.6421,74.79,75.07,2780057,29251,75.116011,75.43,False,False,145395.0
95,2021-11-12,75.185,75.38,74.705,74.74,3248815,28390,74.895544,75.21,True,False,112121.0
96,2021-11-15,75.08,75.9,74.55,75.88,3153465,32025,75.521874,74.895,False,True,241953.0
97,2021-11-16,75.92,76.32,75.295,75.41,3823423,37053,75.659084,76.26,True,False,140859.0
98,2021-11-17,75.03,75.51,74.54,75.35,3043212,28793,75.077511,74.8,False,True,107644.0
99,2021-11-18,75.43,75.69,74.91,75.19,3322665,35222,75.265799,75.37,False,False,139103.0
100,2021-11-19,75.29,75.41,74.14,74.19,5526074,47994,74.501366,75.14,False,False,341965.0
101,2021-11-22,74.11,74.42,73.45,74.04,4118219,40729,73.92591,73.69,False,True,183296.0
