,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,77.0,77.58,76.88,77.41,1857519,21217,77.331029,77.46,True,False,66876.0
1,2021-07-01,78.035,78.79,77.61,78.6,2276872,25205,78.484142,78.49,True,True,127558.0
2,2021-07-02,78.62,78.97,77.842,78.79,2029044,20694,78.666149,78.515,True,True,54134.0
3,2021-07-06,78.31,78.49,76.41,77.08,3144371,33382,76.972747,76.71,False,True,117943.0
4,2021-07-07,76.7,77.76,76.331,77.75,1881078,25216,77.356775,76.3823,False,True,56694.0
5,2021-07-08,76.56,77.3999,75.835,76.62,3417679,29908,76.580792,76.51,True,True,99529.0
6,2021-07-09,77.79,78.85,77.36,78.48,2267552,23927,78.436198,78.67,True,False,94713.0
7,2021-07-12,77.85,79.69,77.39,79.42,2676055,29385,79.29405,79.27,True,True,56174.0
8,2021-07-13,79.57,79.8777,78.6,79.08,1829323,21933,79.021248,78.76,False,True,50086.0
9,2021-07-14,79.9,80.5,79.0,79.51,2799025,29907,79.533975,79.435,True,True,54766.0
10,2021-07-15,79.18,79.65,78.7,79.55,2505439,25777,79.312042,79.1,False,True,41188.0
11,2021-07-16,79.51,79.67,75.61,76.21,3558718,36041,76.73585,77.97,True,False,54079.0
12,2021-07-19,73.82,74.49,72.35,72.81,6002206,71758,72.986464,73.74,True,False,170432.0
13,2021-07-20,72.86,74.365,72.56,73.71,4771705,50211,73.737911,73.72,False,False,173632.0
14,2021-07-21,74.33,75.83,74.32,74.87,3582510,39728,74.941717,74.91,False,False,96448.0
15,2021-07-22,74.86,75.0,73.553,74.44,1658697,19988,74.299066,74.24,True,True,51300.0
16,2021-07-23,74.97,75.05,73.71,74.22,1841831,22373,74.160967,74.095,True,True,37060.0
17,2021-07-26,74.47,74.85,73.99,74.65,2077660,25286,74.421002,74.07,False,True,61811.0
18,2021-07-27,73.69,74.62,72.84,74.0,2353999,27673,73.976328,74.36,True,False,114146.0
19,2021-07-28,74.0,74.795,73.09,74.25,3561215,34068,74.21519,73.55,True,True,50548.0
20,2021-07-29,74.77,75.63,74.335,75.09,4049216,33772,75.187935,75.15,True,False,119644.0
21,2021-07-30,74.72,75.59,74.31,75.05,2351133,22528,74.994331,74.73,False,True,49437.0
22,2021-08-02,75.32,76.05,74.4,74.65,2634863,36682,74.816197,75.1,False,False,80088.0
23,2021-08-03,75.26,75.45,72.51,74.39,4082043,40658,73.662877,73.57,True,True,109851.0
24,2021-08-04,74.17,75.3,73.9,74.26,2645802,30305,74.550726,74.62,True,False,56612.0
25,2021-08-05,75.25,75.9393,74.11,74.21,3525847,31891,74.694543,75.15,True,False,66591.0
26,2021-08-06,74.78,76.37,74.68,76.07,2211897,24720,75.893655,75.83,False,True,51437.0
27,2021-08-09,76.39,76.58,75.5,75.54,2175040,23251,75.911162,75.8,True,False,60657.0
28,2021-08-10,75.56,77.44,75.39,77.23,2061934,22454,77.002435,76.57,False,True,96732.0
29,2021-08-11,77.52,78.39,76.77,78.3,2199750,25461,77.829814,77.3,True,True,41497.0
30,2021-08-12,78.22,78.29,77.07,78.0,1592898,18105,77.780287,77.365,False,True,43705.0
31,2021-08-13,77.99,78.11,76.78,77.08,1638732,17341,77.17281,77.39,True,False,46398.0
32,2021-08-16,76.44,76.83,75.6,76.72,1709249,20801,76.46028,76.549,True,True,57444.0
33,2021-08-17,76.2,76.34,74.09,75.29,2031389,28638,75.034947,75.432,False,False,42275.0
34,2021-08-18,74.98,75.42,73.81,73.91,2010236,23405,74.467689,75.22,True,False,37946.0
35,2021-08-19,73.0,73.74,72.56,72.92,1895052,23055,73.048615,72.86,False,True,72983.0
36,2021-08-20,72.76,73.46,72.545,72.85,1941447,24099,72.84777,72.74,False,True,50046.0
37,2021-08-23,73.49,74.1,73.15,73.72,1518276,18875,73.745795,73.45,True,True,42004.0
38,2021-08-24,74.22,74.98,74.04,74.75,2105332,22882,74.633543,74.34,False,True,53861.0
39,2021-08-25,74.75,75.43,74.52,75.03,1860328,22824,75.015614,75.41,True,False,67447.0
40,2021-08-26,74.86,74.86,74.06,74.3,1978597,22093,74.329615,74.36,False,False,63613.0
41,2021-08-27,74.68,75.53,74.46,75.15,1880784,22833,75.222039,75.11,False,True,67137.0
42,2021-08-30,75.36,75.5,73.85,73.91,1787084,22360,74.360258,74.74,False,False,60707.0
43,2021-08-31,73.89,74.19,73.31,74.02,2942431,23846,73.935349,73.695,True,True,53804.0
44,2021-09-01,74.03,74.13,73.11,73.44,1889720,23593,73.454888,73.75,True,False,43951.0
45,2021-09-02,73.51,74.58,73.46,73.91,1504770,18939,73.975199,74.42,True,False,72599.0
46,2021-09-03,73.84,73.94,71.785,72.08,3182205,34439,72.238634,72.52,False,False,153560.0
47,2021-09-07,71.58,71.85,71.02,71.42,2290447,29496,71.434277,71.32,False,True,100270.0
48,2021-09-08,71.18,71.24,70.14,70.62,1682825,21826,70.604334,70.266,False,True,117774.0
49,2021-09-09,70.5,71.05,70.25,70.3,1675050,24393,70.512678,70.92,True,False,63081.0
50,2021-09-10,70.98,71.3823,70.38,70.49,2658430,32067,70.877829,71.01,True,False,193012.0
51,2021-09-13,71.25,71.38,70.02,70.67,2914833,37617,70.530925,70.74,True,False,92387.0
52,2021-09-14,70.8,70.87,68.24,68.47,2796731,35657,68.856176,69.03,False,False,160888.0
53,2021-09-15,68.96,70.175,68.77,70.01,2462402,29241,69.781562,68.97,False,True,49404.0
54,2021-09-16,70.04,71.33,69.79,70.64,2566774,32531,70.614369,70.19,False,True,103640.0
55,2021-09-17,71.1,71.2,68.43,68.91,5707773,36689,69.124437,68.985,False,False,70217.0
