,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,348.21,353.39,348.17,352.71,1641843,29653,352.024297,351.14,True,True,24050.0
1,2021-07-01,354.95,356.1875,351.92,354.29,1458339,24839,354.930785,355.83,True,False,41289.0
2,2021-07-02,354.645,355.91,351.21,352.5,1128574,22563,352.54263,352.71,False,False,26354.0
3,2021-07-06,352.63,353.0,344.26,349.45,1923649,35433,348.440428,347.76,False,True,60963.0
4,2021-07-07,349.11,352.56,348.22,351.88,1307586,24586,350.892993,348.49,False,True,49990.0
5,2021-07-08,345.01,347.35,339.5001,343.58,1616166,32517,343.475339,342.19,True,True,60481.0
6,2021-07-09,349.2,350.72,347.55,349.48,1321350,23464,349.679189,349.22,False,True,45519.0
7,2021-07-12,347.69,354.745,345.8101,354.28,1606225,26837,353.168642,352.495,False,True,48726.0
8,2021-07-13,355.01,356.0,350.58,350.77,945781,22093,351.819328,350.86,False,False,31008.0
9,2021-07-14,352.85,353.45,344.53,345.57,1404237,27977,346.81494,347.85,False,False,40321.0
10,2021-07-15,342.99,347.715,342.31,346.1,1511868,27334,345.604776,347.035,True,False,74410.0
11,2021-07-16,347.8,348.4647,342.0,342.49,1148766,21876,343.457363,343.64,True,False,60810.0
12,2021-07-19,334.52,337.34,328.93,334.95,1831402,37826,333.61026,332.505,True,True,98019.0
13,2021-07-20,337.57,349.29,335.0,348.03,2041869,37870,344.884748,342.365,True,True,71577.0
14,2021-07-21,351.97,354.595,350.905,353.0,1471082,26406,352.637734,352.2,False,True,43692.0
15,2021-07-22,352.92,354.25,351.09,351.33,808719,18334,352.108512,352.96,True,False,26469.0
16,2021-07-23,353.93,355.6682,351.55,354.7,793291,18874,354.26639,355.24,True,False,32879.0
17,2021-07-26,354.95,356.89,351.06,355.46,864887,20691,354.379775,351.27,False,True,36298.0
18,2021-07-27,353.46,357.65,350.54,353.52,985609,19855,353.676033,354.95,True,False,184835.0
19,2021-07-28,355.12,356.8799,351.11,353.56,1243982,24031,354.038456,351.51,False,True,32016.0
20,2021-07-29,358.64,362.11,356.14,359.8,1389137,29749,359.812508,358.105,True,True,51053.0
21,2021-07-30,358.91,361.81,357.125,361.59,1051835,22982,360.440831,359.05,True,True,26883.0
22,2021-08-02,364.085,367.41,355.25,355.95,1144214,27876,359.488418,362.62,False,False,26139.0
23,2021-08-03,357.24,366.85,354.36,365.86,987677,23517,363.694231,362.405,True,True,36700.0
24,2021-08-04,364.51,366.6,360.55,360.67,823777,21639,362.210963,364.7399,True,False,32799.0
25,2021-08-05,363.73,365.0,361.33,364.32,794372,17475,363.771194,362.36,True,True,19007.0
26,2021-08-06,366.75,368.69,365.57,366.88,665073,14982,367.14523,367.29,False,False,24166.0
27,2021-08-09,364.9,370.92,363.27,369.32,923026,20408,368.965179,368.48,True,True,47640.0
28,2021-08-10,370.785,377.4155,369.52,376.62,1181492,27168,375.560239,373.66,True,True,64970.0
29,2021-08-11,377.45,386.31,375.46,386.08,1650637,35981,382.423973,379.43,True,True,32329.0
30,2021-08-12,385.68,388.52,383.675,385.62,1314009,27126,385.564432,385.83,False,False,36976.0
31,2021-08-13,386.15,387.24,382.64,384.0,813946,21605,384.456328,384.04,False,False,26588.0
32,2021-08-16,381.45,383.35,378.61,383.03,910382,21639,381.939559,381.87,False,True,30224.0
33,2021-08-17,381.49,382.6112,374.11,376.33,1203745,30544,377.292031,379.6,False,False,50325.0
34,2021-08-18,374.2,376.01,371.42,371.61,1368813,31019,373.705508,374.73,False,False,48508.0
35,2021-08-19,367.69,368.56,354.88,358.98,2274250,47590,359.523306,359.77,False,False,88304.0
36,2021-08-20,363.0,367.17,344.76,351.43,3496238,68951,351.763234,347.705,True,True,356428.0
