,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,217.05,217.4,215.71,216.39,1123602,21169,216.462374,216.405,True,False,21156.0
1,2021-07-01,216.97,218.07,216.13,217.81,1259796,25228,217.288957,216.335,False,True,30199.0
2,2021-07-02,217.62,219.71,217.61,218.53,1082259,19340,218.773524,219.26,True,False,52251.0
3,2021-07-06,218.43,218.95,216.4301,218.4,1260021,24066,217.934064,217.06,False,True,57732.0
4,2021-07-07,218.6,223.14,218.01,221.5,1674499,30268,221.74766,221.85,True,False,52207.0
5,2021-07-08,220.44,221.92,218.745,219.66,1419565,26651,219.840386,219.3,False,True,38685.0
6,2021-07-09,219.83,221.42,219.31,220.77,2015531,25266,220.479674,220.076,False,True,34763.0
7,2021-07-12,220.27,220.57,217.9,219.46,1414260,27510,219.161722,218.375,False,True,58873.0
8,2021-07-13,219.35,221.93,219.39,220.02,1419979,28255,220.499776,220.68,True,False,40127.0
9,2021-07-14,220.56,221.35,219.31,220.89,931353,21037,220.27576,220.3,True,True,44290.0
10,2021-07-15,221.49,222.27,220.27,221.95,1258760,23689,221.538886,221.435,True,True,61498.0
11,2021-07-16,222.82,223.84,221.59,222.17,2140027,23808,222.347392,223.0,True,False,45907.0
12,2021-07-19,221.08,224.94,221.42,224.27,1918350,32242,223.842959,223.755,False,True,49344.0
13,2021-07-20,224.58,227.56,224.15,226.41,1307926,25642,226.481223,226.18,True,True,41203.0
14,2021-07-21,225.97,226.18,224.03,224.22,1043779,20503,224.751112,224.77,True,False,28643.0
15,2021-07-22,224.65,226.49,223.22,225.59,854800,18026,225.271425,224.69,True,True,15528.0
16,2021-07-23,225.79,229.11,225.01,228.9,852220,16478,228.172653,226.89,True,True,11852.0
17,2021-07-26,228.79,230.48,227.11,229.97,1187600,22385,229.425356,228.42,True,True,46556.0
18,2021-07-27,230.2,231.24,228.93,230.15,878177,18083,229.887639,230.155,True,False,22506.0
19,2021-07-28,229.21,231.39,228.2576,230.06,1052618,18384,230.338157,230.78,True,False,37889.0
20,2021-07-29,230.67,233.12,230.52,233.0,998341,17897,232.330632,231.54,True,True,34809.0
21,2021-07-30,232.69,234.35,232.49,232.64,1096771,20446,233.0884,233.565,True,False,50380.0
22,2021-08-02,233.29,233.325,228.92,232.5,1227540,21440,231.733626,231.31,False,True,34988.0
23,2021-08-03,232.88,236.43,232.3962,235.05,1079198,22677,235.024469,235.9,True,False,35000.0
24,2021-08-04,235.13,236.07,233.56,234.9,1088561,20631,234.9688,234.38,True,True,22279.0
25,2021-08-05,235.96,236.72,233.8341,235.81,1018735,18200,235.25204,234.5703,False,True,43656.0
26,2021-08-06,235.62,236.59,234.81,236.15,783279,15630,235.853144,235.52,True,True,16549.0
27,2021-08-09,236.45,236.94,235.21,236.38,1095090,14824,236.207954,236.185,True,True,36774.0
28,2021-08-10,236.16,239.0836,235.71,238.22,1079739,18473,237.995903,237.72,True,True,54038.0
29,2021-08-11,238.95,239.35,237.61,238.0,1096065,20103,238.376135,238.925,True,False,53846.0
30,2021-08-12,238.12,238.5,234.87,236.28,1669589,27102,236.148985,236.375,False,False,60646.0
31,2021-08-13,236.85,237.73,235.5,236.76,1305681,19561,236.397428,236.375,False,True,15821.0
32,2021-08-16,235.41,237.98,233.89,237.84,1142953,21255,236.474633,235.57,True,True,33962.0
33,2021-08-17,236.31,236.25,230.78,231.54,2028739,31499,232.062327,232.355,False,False,145289.0
34,2021-08-18,231.45,234.79,230.41,231.64,1525048,29895,233.011693,233.18,False,False,53381.0
35,2021-08-19,230.19,234.2,228.6,232.47,1135941,20804,232.338616,232.87,False,False,28035.0
36,2021-08-20,232.66,235.93,232.075,234.78,1243348,21409,234.644007,234.35,False,True,87096.0
37,2021-08-23,235.67,238.5,234.38,234.64,1322441,22764,235.214526,236.0,False,False,43265.0
38,2021-08-24,235.11,235.28,232.62,232.75,1367423,24047,233.413148,233.455,False,False,68565.0
39,2021-08-25,233.1,235.375,232.67,234.74,1562422,24906,234.710464,233.91,True,True,41074.0
40,2021-08-26,220.16,227.57,215.1,225.9,5955891,87000,222.392386,218.86,False,True,230614.0
41,2021-08-27,225.03,226.31,222.79,225.25,3004673,42263,224.817367,223.295,True,True,97261.0
42,2021-08-30,225.82,228.24,224.58,225.36,2077493,34474,226.050402,226.89,False,False,88111.0
43,2021-08-31,225.71,226.08,221.77,222.91,2566803,34520,223.063266,223.4,False,False,64952.0
44,2021-09-01,222.91,223.67,220.62,222.69,1289191,23504,222.098912,221.33,True,True,43229.0
45,2021-09-02,222.5,225.02,222.02,224.96,1218646,21085,224.116919,224.0147,False,True,30292.0
46,2021-09-03,224.5,225.62,221.7,222.45,1107569,22709,222.653641,222.56,True,False,52049.0
47,2021-09-07,222.67,223.16,220.35,221.54,1235281,20097,221.556782,220.92,False,True,57122.0
48,2021-09-08,221.65,224.08,220.72,224.04,1435372,23845,223.067967,221.16,False,True,45521.0
49,2021-09-09,223.87,224.195,220.08,220.14,1438721,29221,221.411619,222.875,False,False,27187.0
50,2021-09-10,220.51,221.0,217.69,218.05,1585133,28375,218.862342,218.41,False,False,119212.0
51,2021-09-13,218.03,220.66,217.11,217.6,1324324,23799,218.289082,219.435,False,False,41187.0
52,2021-09-14,217.66,218.18,215.21,216.29,1154282,20260,216.087973,215.73,False,True,29320.0
53,2021-09-15,216.09,218.04,215.15,216.97,1381855,24116,216.706386,216.39,True,True,21319.0
54,2021-09-16,217.3,221.965,217.01,221.56,1701488,31640,220.320514,218.48,True,True,45610.0
55,2021-09-17,223.06,224.38,221.46,222.11,2305261,26909,222.414128,222.28,True,False,36490.0
56,2021-09-20,220.72,223.42,220.03,221.79,1693901,29129,221.537083,221.61,False,True,30658.0
