,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,89.945,90.77,89.52,90.37,3957801,34720,90.357569,90.315,False,True,55937.0
1,2021-07-01,90.79,93.12,90.19,92.81,3254371,39317,92.518157,92.02,True,True,117888.0
2,2021-07-02,93.41,93.6,91.94,92.36,1496964,20499,92.505363,92.4701,False,False,57547.0
3,2021-07-06,92.33,92.69,89.81,90.9,3525286,39035,90.747445,91.0,True,False,87086.0
4,2021-07-07,91.25,93.71,90.89,92.99,2476323,29677,92.923029,92.04,False,True,64528.0
5,2021-07-08,89.2,90.94,88.5,89.09,4104312,45597,89.496196,89.93,True,False,125759.0
6,2021-07-09,89.91,90.53,89.1,89.57,2284626,26744,89.59146,89.5,False,True,85445.0
7,2021-07-12,88.7,89.3,87.77,89.03,2712974,34529,88.591611,88.39,False,True,85680.0
8,2021-07-13,88.35,88.66,86.19,86.51,3062508,42668,86.811773,87.56,True,False,76202.0
9,2021-07-14,87.38,87.83,86.236,86.77,2221969,31030,86.899859,86.43,True,True,53772.0
10,2021-07-15,86.44,87.23,85.61,87.04,1997059,26058,86.576872,86.56,False,True,72216.0
11,2021-07-16,87.245,88.15,86.11,86.3,2194312,25207,86.893934,87.76,True,False,56352.0
12,2021-07-19,85.08,87.49,84.79,86.79,4096075,54051,86.439525,86.28,True,True,139655.0
13,2021-07-20,87.1,89.49,86.62,89.06,3222925,39823,88.804867,88.196,False,True,64138.0
14,2021-07-21,89.09,91.72,88.91,91.47,3313900,41810,90.796277,89.59,True,True,129814.0
15,2021-07-22,87.145,89.935,86.5,89.64,5576287,63023,88.632975,89.2799,True,True,463454.0
16,2021-07-23,91.73,94.02,90.95,93.55,4884200,47701,92.897676,92.965,True,True,108308.0
17,2021-07-26,94.4,94.92,91.75,92.52,3080500,37249,92.605524,92.45,False,True,70652.0
18,2021-07-27,91.98,93.46,90.863,93.14,1824974,24459,92.845017,93.365,True,False,102145.0
19,2021-07-28,92.69,93.29,90.85,91.29,2472223,30789,91.469236,91.59,False,False,78016.0
20,2021-07-29,92.3,95.935,92.0767,95.51,2630238,37223,95.166988,94.4,True,True,62151.0
21,2021-07-30,94.67,96.555,94.62,95.43,3378300,27511,95.605073,95.675,False,False,69957.0
22,2021-08-02,96.33,97.49,95.87,96.49,2573494,37006,96.713623,96.53,False,False,124636.0
23,2021-08-03,96.89,97.66,95.56,97.55,1981205,30622,97.022891,96.565,True,True,52176.0
24,2021-08-04,97.15,97.855,95.8,95.85,2113311,25893,96.316732,97.065,False,False,53620.0
25,2021-08-05,96.1,97.11,95.7227,96.34,1877224,24383,96.244505,96.37,True,False,61364.0
26,2021-08-06,96.61,97.18,94.35,94.7,1810435,25763,95.052,94.83,False,False,61514.0
27,2021-08-09,94.25,95.39,93.59,94.21,1575961,20594,94.555633,94.465,False,False,71968.0
28,2021-08-10,94.39,96.98,94.01,95.71,1788677,22022,95.805641,95.47,True,True,50429.0
29,2021-08-11,95.82,98.55,95.42,98.45,2425659,26551,97.835026,96.8,True,True,37712.0
30,2021-08-12,98.37,98.98,96.87,97.38,1404910,21218,97.574823,97.2,True,True,43294.0
31,2021-08-13,98.12,98.14,96.44,97.78,1283443,18695,97.498845,96.91,False,True,25460.0
32,2021-08-16,97.39,99.6503,96.8,98.41,2574332,27050,98.626173,98.15,False,True,31839.0
33,2021-08-17,97.09,97.46,93.13,94.58,2977043,41970,94.415641,94.71,False,False,97229.0
34,2021-08-18,93.83,95.245,92.83,93.44,2977580,30481,93.951157,94.57,True,False,57202.0
35,2021-08-19,92.02,93.785,91.72,93.24,2587961,36262,92.992679,92.88,False,True,65478.0
36,2021-08-20,93.03,95.49,92.91,94.9,1908823,30336,94.641515,94.41,True,True,125472.0
37,2021-08-23,95.29,95.28,93.0,94.63,1824521,27499,94.186002,93.46,False,True,153045.0
38,2021-08-24,95.3,97.47,94.38,95.96,1638514,25104,96.193221,95.43,True,True,41281.0
39,2021-08-25,96.46,98.0,96.195,97.16,1558384,25528,97.313438,97.525,True,False,50379.0
40,2021-08-26,96.86,97.38,94.92,95.55,1563975,24947,95.676812,95.91,False,False,34848.0
41,2021-08-27,95.83,97.69,95.57,96.96,1590669,25808,96.977748,96.28,True,True,47625.0
42,2021-08-30,97.0,97.24,95.88,96.09,1850565,21526,96.363547,96.8267,True,False,26264.0
43,2021-08-31,96.6,96.87,95.01,95.62,3168711,33323,95.714381,95.5324,True,True,43954.0
44,2021-09-01,95.73,97.15,95.565,97.01,1758903,26865,96.61103,96.17,True,True,39753.0
45,2021-09-02,97.64,97.7,96.13,96.65,1712161,24325,96.723799,96.99,True,False,33565.0
46,2021-09-03,96.13,96.7399,94.15,94.96,2418733,31771,94.957152,94.8,True,True,67087.0
47,2021-09-07,94.49,95.5,93.41,93.79,2846643,36944,94.212393,93.88,True,False,113653.0
48,2021-09-08,91.78,93.21,91.05,91.4,4250543,50316,91.818109,91.575,False,False,180717.0
49,2021-09-09,91.35,91.57,89.36,90.24,4447275,50108,90.359205,90.99,False,False,242805.0
50,2021-09-10,91.26,91.69,89.45,89.59,1913380,31765,90.545055,90.95,False,False,79608.0
51,2021-09-13,90.24,90.16,87.59,89.0,3641112,47046,88.739052,88.76,False,True,106216.0
52,2021-09-14,89.46,89.85,87.22,87.88,2452739,37468,88.031662,88.53,False,False,74565.0
53,2021-09-15,87.51,88.83,87.08,88.64,2945739,44343,88.329392,87.67,False,True,125151.0
54,2021-09-16,88.51,91.47,88.38,90.3,3292838,44024,90.467938,89.87,True,True,99635.0
55,2021-09-17,90.39,91.07,89.795,90.8,4517193,36408,90.483622,90.43,True,True,38293.0
56,2021-09-20,88.72,90.25,86.73,88.08,3560888,40748,87.984109,88.79,True,False,79205.0
57,2021-09-21,87.86,88.79,87.02,87.93,2376809,32421,87.958338,87.52,False,True,68359.0
58,2021-09-22,89.0,89.77,88.27,88.47,1859563,25382,88.82515,88.99,True,False,45941.0
59,2021-09-23,88.74,89.02,87.23,87.32,2936647,36349,87.836795,88.24,False,False,54141.0
60,2021-09-24,87.0,87.67,85.915,87.04,2055190,35612,87.094061,86.4911,False,True,58855.0
61,2021-09-27,86.26,87.76,85.79,87.33,2653351,37355,87.175218,86.91,True,True,62017.0
62,2021-09-28,86.76,87.04,84.24,85.09,2848335,36729,85.1706,85.29,True,False,74285.0
63,2021-09-29,85.72,87.1375,85.59,86.48,2403846,37395,86.552971,86.85,True,False,58203.0
64,2021-09-30,87.03,87.5,83.94,83.97,2816646,34799,84.745861,85.27,False,False,63972.0
65,2021-10-01,84.74,84.81,83.33,83.75,2090664,33212,83.94698,83.405,True,True,36267.0
66,2021-10-04,83.385,84.005,82.66,83.01,2094488,33390,83.20944,83.5965,False,False,59837.0
67,2021-10-05,83.27,83.81,82.31,82.96,2019328,24041,83.210672,83.52,False,False,37257.0
68,2021-10-06,82.43,84.15,82.3,83.2,2295564,32779,83.181566,82.51,False,True,33461.0
69,2021-10-07,84.36,85.67,83.98,84.29,1684981,23669,84.734521,85.3,False,False,80674.0
70,2021-10-08,84.63,84.75,83.02,83.41,2109879,26868,83.519704,83.29,False,True,179939.0
71,2021-10-11,83.3,84.205,83.1,83.29,1988537,18970,83.46362,83.7,False,False,42881.0
72,2021-10-12,83.28,84.265,82.94,83.72,1811815,21747,83.598336,83.52,True,True,74131.0
73,2021-10-13,84.01,85.4,83.92,84.83,2066041,25637,84.804436,84.96,True,False,71168.0
74,2021-10-14,85.33,87.555,85.13,87.44,2220932,25621,87.094238,86.5,False,True,48905.0
75,2021-10-15,88.405,88.64,86.74,87.05,2349693,25865,87.430394,88.31,True,False,34788.0
76,2021-10-18,86.55,88.56,86.47,88.43,1927557,22056,88.105769,87.58,True,True,42032.0
77,2021-10-19,88.6,88.775,87.51,88.29,1229381,18650,88.277877,87.82,True,True,38246.0
78,2021-10-20,88.49,90.0488,88.41,89.52,1690798,21345,89.396796,89.435,True,True,46042.0
79,2021-10-21,88.88,89.3,88.53,89.22,1466577,18914,88.956716,88.91,False,True,17012.0
80,2021-10-22,89.6,90.49,88.51,88.59,1861851,24791,89.25129,90.27,False,False,27197.0
81,2021-10-25,88.63,89.36,88.0,88.57,2251347,27381,88.59305,89.26,True,False,45469.0
82,2021-10-26,88.92,89.09,87.59,88.7,2328128,28092,88.452146,88.27,False,True,96178.0
83,2021-10-27,88.85,92.0,87.72,87.77,2983515,34173,89.379357,89.86,False,False,88203.0
84,2021-10-28,88.05,89.67,87.765,89.36,2353452,30535,89.112134,89.05,True,True,86443.0
85,2021-10-29,89.3,90.58,89.01,89.27,1704848,20583,89.538353,90.28,False,False,34133.0
86,2021-11-01,89.46,90.52,88.1,90.3,2187677,28279,89.870112,89.01,False,True,76176.0
87,2021-11-02,90.37,90.565,88.13,88.5,1792424,25751,88.779603,89.17,False,False,35831.0
