,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,270.28,270.61,266.96,268.36,1867307,28110,268.125777,267.905,False,True,54074.0
1,2021-07-01,267.72,272.29,267.11,272.21,1775160,25390,270.969874,269.47,False,True,44851.0
2,2021-07-02,273.21,274.1,272.13,274.03,1436153,20736,273.425826,272.4195,False,True,23428.0
3,2021-07-06,274.34,278.87,274.21,278.72,2527625,39058,277.706465,276.33,False,True,95374.0
4,2021-07-07,279.61,280.5,275.36,278.55,1835670,28392,277.987915,275.54,False,True,100825.0
5,2021-07-08,275.2,277.83,274.565,276.98,1923755,30268,276.672309,275.56,False,True,58844.0
6,2021-07-09,277.54,278.25,275.87,277.47,1655807,26930,277.34975,277.15,False,True,47282.0
7,2021-07-12,278.82,279.94,277.27,278.01,1778138,23363,278.217466,278.94,True,False,36318.0
8,2021-07-13,278.8,279.96,276.44,276.75,1513891,24439,277.31111,277.6,True,False,32025.0
9,2021-07-14,277.48,277.86,275.89,276.12,1436051,22911,276.571316,277.13,True,False,31945.0
10,2021-07-15,275.95,281.59,275.03,280.95,2259940,33321,280.310141,279.0,True,True,60548.0
11,2021-07-16,282.42,286.16,281.158,284.79,2559147,35764,284.478131,283.14,True,True,56118.0
12,2021-07-19,282.85,285.18,281.39,283.75,2484523,39999,283.320595,281.91,False,True,67834.0
13,2021-07-20,283.75,287.0,281.78,283.6,2411849,36463,284.189515,285.29,True,False,85002.0
14,2021-07-21,283.25,283.535,273.06,279.8,2740355,43736,277.686776,276.61,True,True,98756.0
15,2021-07-22,284.0,290.24,282.13,288.96,2443447,40765,287.679814,286.18,False,True,61787.0
16,2021-07-23,290.9,292.37,288.19,291.27,2073252,29435,290.657756,289.74,True,True,65273.0
17,2021-07-26,290.86,293.13,287.2826,290.18,2016037,27851,290.014331,288.27,True,True,45609.0
18,2021-07-27,291.25,292.25,289.065,290.6,1730198,27772,290.508578,291.03,True,False,38609.0
19,2021-07-28,289.9,293.94,289.28,292.88,2137053,30139,292.822592,291.9,False,True,46262.0
20,2021-07-29,293.73,298.69,293.01,297.63,1775959,29444,297.180155,296.83,False,True,48402.0
21,2021-07-30,297.64,299.73,296.04,297.49,2223986,29705,297.982037,299.09,True,False,69860.0
22,2021-08-02,299.59,300.0,295.01,297.04,1189854,24489,297.423863,297.575,False,False,38446.0
23,2021-08-03,298.01,302.69,297.21,302.33,1946020,29833,300.762475,299.15,False,True,27471.0
24,2021-08-04,302.53,307.1,302.51,305.62,1582313,29630,305.379057,304.58,True,True,57893.0
25,2021-08-05,306.375,308.39,304.645,307.14,1406049,24313,306.575444,306.17,True,True,48405.0
26,2021-08-06,307.19,307.935,303.74,307.28,1660581,24691,306.66413,305.58,False,True,42364.0
27,2021-08-09,307.89,309.14,305.8,307.97,1537274,25251,307.819705,307.23,False,True,28880.0
28,2021-08-10,308.66,312.7,307.87,308.88,1551771,24021,309.598485,309.33,False,False,116735.0
29,2021-08-11,309.63,312.68,307.8,310.57,2155978,34740,310.067447,311.85,True,False,60866.0
30,2021-08-12,309.4,314.59,309.38,313.77,1937105,30607,312.734227,312.05,True,True,58110.0
31,2021-08-13,315.0,315.84,312.73,315.26,1371967,26427,314.570391,314.03,False,True,68307.0
32,2021-08-16,315.42,319.11,314.1,318.8,1617765,28259,316.749027,315.07,False,True,91081.0
33,2021-08-17,319.0,321.31,318.03,320.95,1754551,28902,319.865681,319.955,True,True,34847.0
34,2021-08-18,321.24,323.42,314.72,314.97,3316585,38316,319.110281,319.39,False,False,73769.0
35,2021-08-19,313.6,320.76,312.5351,319.79,3218554,36307,317.200544,318.17,True,True,58704.0
36,2021-08-20,321.12,323.2,319.45,321.54,3291513,30388,321.564272,321.08,True,True,41927.0
37,2021-08-23,322.28,322.66,318.49,318.62,2735817,29584,320.503834,320.66,False,False,47637.0
38,2021-08-24,319.06,322.285,318.17,320.65,1755941,25693,320.988885,320.475,False,True,44032.0
39,2021-08-25,319.92,321.58,318.57,319.48,1341937,24781,319.568799,318.8,False,True,118808.0
40,2021-08-26,319.56,320.98,316.55,318.34,1283154,25183,318.645317,317.62,True,True,43202.0
41,2021-08-27,319.69,321.79,317.58,319.1,1309180,22776,319.61883,320.81,True,False,57002.0
42,2021-08-30,321.4,327.44,320.53,327.01,1710262,31868,325.803822,324.42,True,True,33574.0
43,2021-08-31,328.89,329.47,322.11,324.16,2408382,36454,324.203629,323.27,False,True,57869.0
44,2021-09-01,323.87,328.115,321.04,327.6,2193071,30862,326.25836,324.965,True,True,51660.0
45,2021-09-02,328.93,332.99,328.36,331.43,2273008,31531,330.684183,330.85,False,True,98292.0
