,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,30.35,30.79,29.94,30.68,5643391,33430,30.493234,30.215,False,True,106580.0
1,2021-07-01,30.72,31.88,30.55,31.2,7049393,52250,31.407084,31.4,False,False,254050.0
2,2021-07-02,31.06,31.67,30.8,31.14,4328734,42186,31.189343,31.011,False,True,122300.0
3,2021-07-06,31.14,31.17,30.025,30.34,4470185,40293,30.36324,30.44,False,False,163490.0
4,2021-07-07,30.18,30.3469,29.46,29.56,5166604,44345,29.750316,29.7,True,False,171750.0
5,2021-07-08,29.06,29.25,28.28,28.78,6972040,58912,28.874683,29.025,True,False,156981.0
6,2021-07-09,29.22,29.48,28.87,29.3,3999771,38038,29.165581,29.03,False,True,170643.0
7,2021-07-12,29.24,29.72,28.86,29.65,3263187,32693,29.469887,29.4,False,True,142504.0
8,2021-07-13,29.48,29.73,28.95,29.1,6409573,51208,29.241282,29.49,True,False,203306.0
9,2021-07-14,29.27,29.33,28.55,28.74,5491666,44110,28.874795,29.04,True,False,220731.0
10,2021-07-15,28.61,29.16,28.34,28.46,5214481,42898,28.581736,28.47,False,False,119738.0
11,2021-07-16,28.54,29.08,28.0538,28.18,6279163,48846,28.503027,28.645,True,False,204731.0
12,2021-07-19,27.86,28.21,27.08,27.82,7173364,51428,27.712437,27.7,True,True,284633.0
13,2021-07-20,27.87,28.215,27.52,28.13,3529778,32287,27.983334,27.93,False,True,186211.0
14,2021-07-21,28.29,29.053,28.21,28.79,4028517,34145,28.777896,28.765,True,True,227898.0
15,2021-07-22,28.89,28.93,27.8673,28.48,4514887,37692,28.321482,28.4717,True,True,78167.0
16,2021-07-23,28.53,28.68,27.86,28.47,3026451,28432,28.267257,28.21,True,True,94762.0
17,2021-07-26,28.47,31.4,28.35,29.34,16575676,130779,29.611259,29.79,True,False,3069561.0
18,2021-07-27,29.02,29.58,28.75,28.83,6552227,54791,29.01329,29.49,True,False,231112.0
19,2021-07-28,28.95,29.93,27.34,29.39,15467663,125306,28.642238,28.4,True,True,191589.0
20,2021-07-29,29.53,31.0,29.32,30.18,9361976,73064,30.170793,29.54,True,True,112555.0
21,2021-07-30,29.88,30.1644,28.89,29.01,4099005,38519,29.338721,29.86,True,False,93979.0
22,2021-08-02,29.28,29.59,28.93,29.09,4110503,42612,29.16564,29.17,False,False,137936.0
23,2021-08-03,29.16,29.28,26.85,27.87,13103890,100920,27.678764,27.46,False,True,614373.0
24,2021-08-04,27.66,28.58,27.43,28.34,6218481,61948,28.259776,28.21,False,True,249483.0
25,2021-08-05,28.38,29.395,28.2839,29.2,4563040,42505,29.049186,28.9524,True,True,228622.0
26,2021-08-06,29.39,29.72,28.87,29.04,6597281,48394,29.138022,29.2,False,False,158642.0
27,2021-08-09,29.11,29.305,28.77,29.23,2506262,24519,29.112798,29.14,True,True,91759.0
28,2021-08-10,29.18,29.5,28.815,29.44,4484905,42249,29.269614,29.1231,True,True,145601.0
29,2021-08-11,29.4,29.61,29.05,29.45,2964359,29921,29.404349,29.459,False,False,142273.0
30,2021-08-12,29.55,29.73,28.71,28.9,3949922,32790,28.930949,28.86,False,True,234951.0
31,2021-08-13,29.07,29.21,28.355,28.42,3277721,32514,28.599082,28.69,False,False,104987.0
32,2021-08-16,28.27,28.73,27.801,28.34,5019325,48379,28.335758,28.57,False,False,287777.0
33,2021-08-17,28.01,28.67,27.8,28.61,3808579,35606,28.408822,28.55,True,True,265351.0
34,2021-08-18,28.72,29.23,28.41,28.45,4631697,42702,28.778467,29.03,True,False,253024.0
35,2021-08-19,28.41,28.43,27.685,27.74,5421014,50289,27.994339,28.06,False,False,252671.0
36,2021-08-20,27.65,28.13,27.38,28.07,4085808,38670,27.955798,27.855,True,True,95177.0
37,2021-08-23,28.34,28.685,28.05,28.44,3311265,29303,28.422021,28.25,True,True,99880.0
38,2021-08-24,28.45,28.96,28.445,28.7,3403774,33078,28.672239,28.7,True,False,91006.0
39,2021-08-25,28.7,29.0832,28.45,28.74,2703639,26028,28.762007,28.65,False,True,104216.0
40,2021-08-26,28.86,28.925,27.765,27.89,4013961,39648,28.174387,28.7233,True,False,247126.0
41,2021-08-27,27.9,28.38,27.66,28.28,4007525,39183,28.101836,27.96,True,True,233259.0
42,2021-08-30,28.37,28.48,27.69,27.85,3084878,29416,28.014402,28.17,True,False,95276.0
43,2021-08-31,27.85,28.97,27.79,28.84,5257056,37400,28.708184,28.57,True,True,93605.0
44,2021-09-01,28.76,28.92,28.2937,28.43,3269417,31190,28.500405,28.51,False,False,112757.0
45,2021-09-02,28.52,29.04,28.38,28.94,3623116,36055,28.751863,28.77,True,True,191085.0
46,2021-09-03,28.95,28.95,28.16,28.31,3652935,32135,28.345996,28.28,False,True,225582.0
47,2021-09-07,28.28,28.74,27.925,27.96,3301908,33231,28.1719,28.155,False,False,110269.0
48,2021-09-08,27.9,28.2401,26.94,26.98,5635748,47972,27.406768,27.4516,False,False,361897.0
49,2021-09-09,26.91,27.22,26.61,26.79,4921440,42140,26.868666,27.03,False,False,172628.0
50,2021-09-10,26.8,26.8902,26.105,26.15,6603749,46052,26.454903,26.3948,False,False,246768.0
51,2021-09-13,26.34,27.115,26.18,27.06,5437426,47847,26.81694,26.82,True,True,179037.0
52,2021-09-14,27.02,27.1,25.79,26.26,9892713,66498,26.123815,26.01,False,True,530519.0
53,2021-09-15,26.31,27.05,26.11,26.81,7606530,62292,26.814882,26.78,False,True,328253.0
54,2021-09-16,26.745,27.2,26.545,26.99,4932527,44962,26.917434,26.58,False,True,304345.0
55,2021-09-17,27.0,27.41,26.77,26.88,7554819,55929,27.018639,27.045,False,False,198708.0
56,2021-09-20,26.38,26.44,25.545,26.01,8617687,66445,25.941615,26.24,True,False,202548.0
57,2021-09-21,26.16,26.45,24.9785,25.15,8905621,65518,25.440307,25.585,False,False,423142.0
58,2021-09-22,25.42,26.125,25.36,25.44,6441829,53904,25.713325,25.86,False,False,222070.0
59,2021-09-23,25.49,26.045,25.49,25.53,4150656,34289,25.733752,25.7942,False,False,149568.0
60,2021-09-24,25.56,25.68,25.2,25.3,5635538,39911,25.463266,25.45,False,False,241496.0
61,2021-09-27,25.38,26.52,25.34,26.14,5142475,45603,26.184216,26.15,True,False,257054.0
62,2021-09-28,25.94,26.47,25.55,25.6,3789128,38881,25.858948,25.94,False,False,146298.0
63,2021-09-29,25.72,25.865,25.365,25.42,3534933,35179,25.543329,25.53,False,False,179951.0
64,2021-09-30,25.53,25.57,24.855,25.38,5296365,45419,25.279079,24.92,True,True,228564.0
65,2021-10-01,25.56,26.01,25.33,25.74,3610641,36276,25.71327,25.37,False,True,130400.0
66,2021-10-04,25.66,25.825,25.33,25.61,6500484,60713,25.510502,25.635,True,False,286379.0
67,2021-10-05,25.58,26.38,25.41,26.15,5981654,52354,26.123874,26.06,True,True,146123.0
68,2021-10-06,25.78,25.91,25.065,25.88,7496399,52662,25.532283,25.15,False,True,264338.0
69,2021-10-07,26.05,26.81,25.94,26.46,6735986,50388,26.4983,26.445,False,True,145771.0
70,2021-10-08,26.56,26.99,25.86,25.89,3578197,30871,26.337821,26.815,True,False,92062.0
71,2021-10-11,26.05,26.1,25.17,25.17,4404321,34532,25.459817,25.805,False,False,112892.0
72,2021-10-12,25.22,25.47,24.475,24.58,7403691,56130,24.756512,25.045,True,False,192705.0
73,2021-10-13,24.82,25.535,24.67,25.5,7115949,56719,25.281095,25.185,False,True,280794.0
74,2021-10-14,25.64,25.74,25.11,25.26,4026833,35198,25.388445,25.665,True,False,227296.0
75,2021-10-15,25.47,25.6,24.77,24.83,5399382,41680,25.021343,25.425,True,False,124416.0
76,2021-10-18,24.82,25.21,24.44,24.67,5090027,38287,24.81672,24.77,True,False,210231.0
77,2021-10-19,24.95,25.205,24.635,24.9,6288133,43467,24.895053,24.835,True,True,295952.0
78,2021-10-20,24.76,25.6995,24.74,25.33,5856424,43000,25.356593,25.475,True,False,220024.0
79,2021-10-21,25.32,25.97,24.74,25.0,6029697,45600,25.035595,25.27,True,False,142006.0
80,2021-10-22,25.02,25.27,24.75,25.1,3848868,32064,25.02283,25.12,False,False,170909.0
81,2021-10-25,25.12,25.56,25.03,25.29,5035328,37252,25.249553,25.265,False,True,146739.0
82,2021-10-26,25.5,25.54,24.54,24.64,5823047,42943,24.779271,24.9,False,False,186484.0
83,2021-10-27,24.74,24.76,23.59,23.6,7318018,49194,23.92744,24.155,False,False,227643.0
84,2021-10-28,23.62,24.335,23.52,24.31,4648684,46215,24.038901,23.855,True,True,186126.0
85,2021-10-29,24.13,24.25,23.395,23.44,5807679,41194,23.653726,23.82,False,False,133914.0
86,2021-11-01,23.64,24.7,23.56,24.42,6893284,54013,24.420411,24.505,False,False,242459.0
87,2021-11-02,24.42,24.8,23.85,24.55,10506208,76328,24.489318,24.305,True,True,439002.0
88,2021-11-03,24.42,25.78,23.76,25.6,11271428,83420,25.164014,24.93,True,True,536441.0
89,2021-11-04,25.83,25.84,24.965,25.46,6681169,58318,25.267184,25.26,False,True,221502.0
90,2021-11-05,25.72,26.6,25.41,26.52,6209310,54673,26.239126,25.945,True,True,121189.0
91,2021-11-08,26.83,26.985,26.21,26.28,6797695,55154,26.480913,26.7995,False,False,554129.0
92,2021-11-09,26.5,26.78,25.975,26.65,4300800,36563,26.442546,26.33,False,True,296128.0
93,2021-11-10,26.64,28.06,26.52,27.36,7754275,63094,27.551933,27.04,True,True,679385.0
94,2021-11-11,27.14,28.975,26.75,28.23,12303442,67707,28.484551,26.99,False,True,340924.0
95,2021-11-12,28.16,28.7,27.87,27.91,5413326,42600,28.127999,28.3,False,False,325562.0
96,2021-11-15,28.04,28.88,27.88,28.02,4122171,37943,28.246406,28.67,True,False,258933.0
97,2021-11-16,27.92,28.02,27.495,27.73,4826991,37588,27.708566,27.86,False,False,323457.0
98,2021-11-17,27.61,27.8506,27.2075,27.59,4513034,42359,27.470696,27.66,True,False,182912.0
99,2021-11-18,27.51,27.5999,26.51,26.85,5128001,51354,26.848868,27.41,False,False,223126.0
100,2021-11-19,26.76,26.82,24.83,25.26,11188296,89331,25.528579,26.6017,False,False,340528.0
101,2021-11-22,25.3,25.93,24.66,25.71,5607434,49714,25.399974,25.15,False,True,374049.0
102,2021-11-23,25.71,26.155,25.17,25.6,6231789,48488,25.693962,25.32,False,True,377433.0
103,2021-11-24,25.47,25.56,25.07,25.17,3779847,35032,25.235523,25.42,False,False,189156.0
104,2021-11-26,24.45,24.815,24.14,24.72,3387817,31200,24.575906,24.49,True,True,381554.0
105,2021-11-29,25.0,25.05,24.01,24.59,5137990,55441,24.426207,24.48,False,True,363923.0
106,2021-11-30,24.28,24.34,22.67,23.27,11428016,85650,23.179526,24.0318,False,False,325083.0
107,2021-12-01,23.61,23.931,22.2,22.26,10490863,86679,22.72281,23.81,True,False,295464.0
108,2021-12-02,22.4,23.39,22.31,23.25,8898317,74130,22.991052,22.8,True,True,316819.0
109,2021-12-03,23.25,24.03,23.04,23.99,9169901,81000,23.721696,23.37,True,True,356724.0
110,2021-12-06,24.42,24.91,23.77,24.4,6632620,67677,24.5364,24.17,False,True,299899.0
111,2021-12-07,24.78,25.27,24.16,24.22,5897035,55336,24.616587,24.98,True,False,450526.0
112,2021-12-08,24.35,24.89,23.965,24.03,4947703,44712,24.303607,24.63,True,False,277355.0
113,2021-12-09,23.8,23.93,23.05,23.58,7214923,60495,23.371666,23.64,False,False,159709.0
114,2021-12-10,23.87,23.92,23.105,23.29,4788648,45653,23.382815,23.64,False,False,346317.0
115,2021-12-13,23.06,23.25,22.57,22.75,4327679,41559,22.787132,22.78,False,False,413572.0
116,2021-12-14,22.63,23.07,22.45,22.51,8515507,51045,22.665419,22.67,True,False,275732.0
117,2021-12-15,22.41,22.67,21.655,22.57,5847619,55223,22.179048,22.02,False,True,360609.0
118,2021-12-16,22.84,23.55,22.715,23.41,6671150,59017,23.273466,22.92,True,True,296431.0
119,2021-12-17,23.51,23.61,22.59,23.28,7155103,52885,23.227803,22.71,False,True,398985.0
120,2021-12-20,22.85,23.33,22.45,22.89,6078672,56206,22.756114,22.67,False,True,414779.0
121,2021-12-21,23.01,23.955,22.85,23.53,5278723,50766,23.578419,23.45,True,True,523814.0
122,2021-12-22,23.47,24.0,23.06,23.63,5081836,49829,23.685918,23.22,False,True,221407.0
123,2021-12-23,23.79,24.64,23.7223,24.42,4738405,40075,24.320342,23.956,True,True,228731.0
124,2021-12-27,24.35,24.665,23.96,24.36,3341219,32363,24.390757,24.14,False,True,340089.0
125,2021-12-28,24.27,24.885,24.13,24.33,3571576,32716,24.52224,24.68,True,False,265069.0
126,2021-12-29,24.21,24.66,23.75,23.87,4990313,39750,24.069857,24.3,True,False,394139.0
127,2021-12-30,23.87,24.91,23.77,24.45,6283588,49488,24.536108,24.3,True,True,333947.0
128,2021-12-31,24.44,24.6,23.52,23.54,6715190,49096,23.90187,24.07,False,False,371415.0
129,2022-01-03,23.9,25.8,23.84,25.33,10229226,81453,25.198425,24.54,True,True,672810.0
130,2022-01-04,25.68,27.155,25.64,26.75,12072064,95936,26.671303,26.25,True,True,943716.0
131,2022-01-05,27.1,27.97,26.375,26.45,12531019,106484,27.059059,27.66,True,False,903085.0
132,2022-01-06,26.65,26.82,25.615,25.72,7238200,67779,26.055827,26.4291,False,False,607896.0
133,2022-01-07,27.8,31.18,27.26,30.06,42889275,250205,29.773496,28.84,True,True,4728224.0
134,2022-01-10,30.17,30.39,28.27,28.59,12099236,105989,28.898338,29.63,False,False,1263179.0
135,2022-01-11,28.76,29.3,28.03,28.68,7014324,60260,28.479203,28.59,False,True,578165.0
136,2022-01-12,28.65,29.22,28.28,28.79,5036030,48831,28.752261,28.945,True,False,519249.0
137,2022-01-13,28.73,30.01,28.44,29.34,9006667,87966,29.508628,29.26,True,True,734789.0
138,2022-01-14,29.1,31.28,28.94,31.18,12180588,82973,30.524731,29.16,True,True,402518.0
