,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,41.68,41.94,41.23,41.8,1806275,18792,41.644282,41.5025,False,True,27405.0
1,2021-07-01,42.01,42.81,41.96,42.44,2448126,22855,42.577571,42.51,False,False,191991.0
2,2021-07-02,42.34,42.685,42.08,42.58,1048252,13412,42.466235,42.25,False,True,15449.0
3,2021-07-06,42.47,42.47,41.09,41.73,2451053,25536,41.627595,41.34,False,True,70488.0
4,2021-07-07,41.54,41.82,40.87,40.91,1704167,20376,41.113547,41.06,True,False,57611.0
5,2021-07-08,40.61,41.16,39.95,40.45,2140711,23119,40.616097,40.61,True,False,42757.0
6,2021-07-09,41.01,41.81,40.7,41.5,4006437,23808,41.254856,41.055,True,True,69256.0
7,2021-07-12,41.31,41.56,41.0,41.3,1705386,19078,41.265021,41.26,False,True,38632.0
8,2021-07-13,41.37,41.48,40.17,40.25,1758567,19052,40.544835,41.03,False,False,29024.0
9,2021-07-14,40.34,40.77,40.16,40.39,1562117,14990,40.432904,40.655,True,False,23256.0
10,2021-07-15,40.2,40.45,39.6,39.91,1549337,17736,39.940648,39.99,False,False,77341.0
11,2021-07-16,40.14,40.37,39.28,39.45,1443427,17359,39.747124,40.125,True,False,50132.0
12,2021-07-19,38.89,39.74,38.71,39.04,2860857,31240,39.127568,39.18,True,False,88274.0
13,2021-07-20,39.1,41.52,39.04,40.87,3398855,31886,40.760009,40.77,True,True,136824.0
14,2021-07-21,41.13,42.1801,40.9,41.83,2522132,22335,41.858093,41.74,True,True,49926.0
15,2021-07-22,41.53,42.13,41.16,41.92,2082597,22745,41.816317,41.86,True,True,28706.0
16,2021-07-23,41.83,42.15,41.36,41.68,1083712,15609,41.63253,41.61,False,True,30765.0
17,2021-07-26,42.04,43.41,41.9,42.7,2368857,26455,42.711654,42.99,False,False,61315.0
18,2021-07-27,42.47,42.895,42.19,42.87,2032971,19087,42.686657,42.79,True,True,42510.0
19,2021-07-28,43.02,43.25,42.14,42.39,2388794,18589,42.591792,42.39,True,False,40232.0
20,2021-07-29,42.64,43.18,42.18,42.21,1153433,13595,42.513295,42.525,False,False,19341.0
21,2021-07-30,42.02,42.51,41.79,41.89,1904670,21965,42.145591,42.45,True,False,49657.0
