,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,152.18,153.58,150.26,150.46,1330870,17131,151.138639,152.55,False,False,20356.0
1,2021-07-01,150.46,151.56,149.74,149.84,1552337,22334,150.391416,150.5,True,False,50668.0
2,2021-07-02,150.93,151.62,149.66,150.27,1186370,15914,150.237826,149.83,False,True,23190.0
3,2021-07-06,150.2,152.52,149.88,152.32,1398010,18462,151.842624,151.1,True,True,27812.0
4,2021-07-07,152.5,154.63,151.14,153.89,1646669,21854,153.758113,153.455,True,True,32392.0
5,2021-07-08,153.65,155.4083,153.31,154.58,1071621,17514,154.46606,154.51,False,True,23136.0
6,2021-07-09,155.1,155.82,154.535,155.76,1274995,16709,155.419845,155.51,True,True,37145.0
7,2021-07-12,156.08,158.06,155.5001,157.68,1021044,17462,157.39734,157.25,True,True,23691.0
8,2021-07-13,157.54,158.0,154.985,155.49,770725,13990,156.037042,157.17,False,False,11643.0
9,2021-07-14,155.5,157.75,155.12,157.36,731411,12161,157.103251,156.63,True,True,8912.0
10,2021-07-15,157.37,158.5,156.1,157.09,621997,11339,157.032143,157.01,False,True,19448.0
11,2021-07-16,156.93,158.76,156.77,157.32,737591,11832,157.76835,158.31,True,False,8553.0
12,2021-07-19,157.35,158.58,155.1,156.32,1552996,18971,156.366765,157.21,False,False,22804.0
13,2021-07-20,156.7,157.8,156.25,157.0,953831,16154,157.064781,156.795,True,True,27192.0
14,2021-07-21,156.35,156.615,154.41,154.68,919954,15160,155.059795,155.2791,True,False,14890.0
15,2021-07-22,154.25,154.875,153.33,153.98,804039,12232,154.066484,154.275,True,False,17235.0
16,2021-07-23,153.98,155.09,152.73,154.86,735596,13732,154.403864,153.3203,True,True,28304.0
17,2021-07-26,154.04,154.445,152.85,153.78,973105,16260,153.681846,153.4,True,True,23269.0
18,2021-07-27,153.39,155.75,152.85,155.38,812483,14080,154.905995,153.945,True,True,21831.0
19,2021-07-28,154.96,155.33,153.37,154.16,762319,14195,154.224312,154.54,False,False,16459.0
20,2021-07-29,154.56,154.89,149.8,150.49,1612425,25199,151.360737,153.39,False,False,25674.0
21,2021-07-30,154.47,157.685,153.38,154.16,1816549,23038,154.703843,154.93,False,False,78296.0
22,2021-08-02,154.34,156.61,153.0,154.74,859965,17323,154.935182,155.68,False,False,22327.0
23,2021-08-03,155.0,156.55,153.97,155.15,1071870,16346,155.375229,155.53,True,False,23574.0
24,2021-08-04,155.52,157.115,154.35,155.93,827524,16526,155.521056,154.88,False,True,21812.0
25,2021-08-05,156.245,156.615,154.09,155.96,1106907,15180,155.513806,155.79,False,True,20184.0
26,2021-08-06,155.73,157.95,155.52,157.08,758642,14412,157.268655,157.25,True,False,21928.0
27,2021-08-09,156.78,158.05,156.22,157.67,1476701,20858,157.540704,157.025,True,True,26469.0
28,2021-08-10,157.41,157.75,154.24,154.37,895429,15821,155.508237,156.79,True,False,20063.0
29,2021-08-11,155.14,156.96,154.33,156.46,752331,14165,156.321904,156.64,True,False,31759.0
30,2021-08-12,156.02,158.05,155.17,157.52,868060,13454,157.236486,157.37,True,True,14446.0
31,2021-08-13,157.8,159.18,157.64,159.1,476952,8693,158.663797,158.3,True,True,5438.0
32,2021-08-16,159.49,161.7,158.19,161.4,1008810,15482,161.057188,161.08,False,True,27359.0
33,2021-08-17,161.36,162.37,160.01,161.62,812228,14826,161.426638,161.41,True,True,31205.0
34,2021-08-18,161.15,161.82,158.89,159.65,1272244,17564,160.018168,160.765,False,False,49321.0
35,2021-08-19,159.85,163.61,159.59,162.9,1132470,15007,162.479418,161.96,False,True,42379.0
36,2021-08-20,162.75,164.25,161.78,162.77,1004603,14505,163.407393,163.94,False,False,50269.0
37,2021-08-23,162.46,163.39,161.4,162.09,1213798,16334,162.381579,163.17,False,False,30417.0
38,2021-08-24,162.41,162.29,159.997,161.58,949390,15680,161.414935,161.54,True,True,43777.0
39,2021-08-25,160.7,161.05,157.08,158.63,1244563,17955,158.698074,158.96,False,False,18860.0
40,2021-08-26,158.46,159.53,157.54,158.86,789712,12678,158.892861,158.01,False,True,19718.0
41,2021-08-27,160.0,160.45,158.75,160.11,902840,15256,159.838093,159.6,False,True,24120.0
