,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,99.75,100.29,98.98,99.5,2760117,30548,99.540025,99.93,False,False,34105.0
1,2021-07-01,99.86,100.38,99.53,99.91,2064399,33676,100.021481,99.86,False,True,93447.0
2,2021-07-02,100.04,100.175,99.1763,99.45,2548922,31638,99.463837,99.73,False,False,63669.0
3,2021-07-06,99.33,99.49,98.045,99.1,1907301,28945,98.838695,98.565,True,True,55460.0
4,2021-07-07,99.3,99.95,99.07,99.37,1406524,24873,99.401567,99.26,False,True,39494.0
5,2021-07-08,98.45,99.28,98.08,98.27,2469257,39452,98.491728,98.25,False,True,65024.0
6,2021-07-09,98.55,99.51,98.43,99.51,1750553,26785,99.077682,98.76,False,True,38500.0
7,2021-07-12,99.12,99.2,98.26,98.95,2050814,25766,98.842295,98.75,False,True,53957.0
8,2021-07-13,98.95,99.15,97.84,98.0,1643161,28082,98.407573,98.67,True,False,42784.0
9,2021-07-14,98.39,99.1211,98.1,98.89,1674556,27740,98.652695,98.71,True,True,49711.0
10,2021-07-15,98.66,99.37,98.13,98.68,1572807,26117,98.657314,98.54,False,True,37623.0
11,2021-07-16,98.84,99.18,98.0,98.19,1447792,22585,98.470867,98.81,True,False,27448.0
12,2021-07-19,97.98,98.86,97.4,98.0,2287601,40856,98.042453,98.15,True,False,80627.0
13,2021-07-20,97.98,99.675,97.81,99.01,1824798,30468,99.050985,98.56,True,True,50134.0
14,2021-07-21,99.4,99.78,98.69,99.09,1828381,29735,99.093629,99.275,True,False,72446.0
15,2021-07-22,99.08,99.98,98.47,99.39,1560336,25058,99.323342,99.8,True,False,56199.0
16,2021-07-23,99.58,100.62,99.34,100.15,1237558,21801,100.200098,100.13,True,True,43574.0
17,2021-07-26,100.11,100.815,99.72,100.59,1359053,19370,100.44708,99.93,False,True,22105.0
18,2021-07-27,100.08,100.68,98.85,99.0,1725386,24404,99.30131,100.015,True,False,33562.0
19,2021-07-28,98.86,99.605,98.8,99.03,1679224,24865,99.123179,99.165,True,False,118553.0
20,2021-07-29,99.45,99.97,98.905,99.1,1307849,22653,99.29991,99.195,False,False,23809.0
21,2021-07-30,99.29,100.78,99.01,99.79,1314027,20173,100.029193,100.395,True,False,47834.0
22,2021-08-02,99.99,100.3,97.91,98.88,1744286,28891,98.91497,98.91,False,False,34893.0
23,2021-08-03,99.03,101.95,98.975,99.89,2623149,31778,100.550626,101.31,True,False,82492.0
24,2021-08-04,99.64,99.87,97.515,97.73,2190153,35875,98.044462,98.47,False,False,50731.0
25,2021-08-05,97.87,99.33,97.87,98.94,1584968,21773,98.780156,98.985,True,False,60285.0
26,2021-08-06,98.98,99.275,98.2,98.77,1983786,24059,98.81081,98.63,False,True,54829.0
27,2021-08-09,97.49,98.86,97.26,98.34,2329917,30159,98.300568,98.39,True,False,62755.0
28,2021-08-10,98.42,101.59,98.18,101.42,2481419,37268,100.744895,99.76,True,True,106153.0
29,2021-08-11,101.68,103.39,101.48,102.32,3007611,38449,102.345165,102.36,False,False,53987.0
30,2021-08-12,102.51,102.755,100.73,101.44,3410792,29018,101.488675,101.39,False,True,41973.0
31,2021-08-13,101.42,102.38,100.8269,101.77,1217528,18823,101.728743,101.72,False,True,20812.0
32,2021-08-16,101.0,102.7,100.75,102.29,2403210,29355,101.926667,101.48,True,True,70504.0
33,2021-08-17,101.81,101.99,100.06,100.48,1679136,27733,100.539101,100.5,False,False,46924.0
34,2021-08-18,100.41,102.185,100.37,101.43,2291365,28537,101.592923,101.84,False,False,129394.0
35,2021-08-19,101.15,102.17,100.355,101.06,2271499,25753,101.106078,101.185,False,False,42713.0
36,2021-08-20,100.99,102.77,100.45,102.67,1508933,24173,102.288858,101.88,False,True,40636.0
37,2021-08-23,102.65,103.8466,102.47,103.51,2850053,30744,103.470441,103.7001,True,False,173477.0
38,2021-08-24,103.94,105.48,103.53,105.21,2215060,29820,104.860809,104.3,True,True,140094.0
39,2021-08-25,105.08,106.64,105.02,106.32,3176941,39266,106.108481,105.8,True,True,47963.0
40,2021-08-26,96.45,97.9,93.41,93.48,18544625,160257,94.768349,95.0,False,False,650400.0
41,2021-08-27,92.27,94.11,90.84,90.89,6569386,80928,91.847257,92.96,False,False,198940.0
42,2021-08-30,91.16,92.61,90.77,90.93,5506060,54606,91.334531,92.33,True,False,192559.0
43,2021-08-31,90.7,92.12,90.26,90.54,3368434,46509,90.842377,91.15,False,False,94545.0
44,2021-09-01,90.62,90.75,89.64,89.99,3036326,39385,90.111871,90.31,True,False,143328.0
45,2021-09-02,90.24,92.78,90.15,92.59,3648405,44324,91.987097,91.115,False,True,86936.0
46,2021-09-03,92.22,93.33,91.65,92.81,3939276,31563,92.726101,91.87,False,True,52589.0
47,2021-09-07,92.82,92.97,92.11,92.22,3193764,35769,92.391127,92.44,True,False,123708.0
48,2021-09-08,92.1,93.465,91.5,93.09,3689283,38307,92.883609,92.08,False,True,54101.0
49,2021-09-09,93.06,93.25,90.97,91.2,3022352,36388,91.406269,91.67,False,False,76632.0
50,2021-09-10,91.5,91.69,90.13,90.21,3000440,38099,90.658165,90.91,False,False,54325.0
51,2021-09-13,90.61,90.67,88.811,89.26,4480886,37968,89.291434,89.805,False,False,84374.0
52,2021-09-14,89.54,89.54,87.8701,88.43,1731917,29734,88.392254,88.38,False,True,70326.0
53,2021-09-15,88.23,88.875,87.12,88.44,3282603,41699,88.112523,87.21,False,True,63086.0
54,2021-09-16,88.39,89.8,88.315,89.27,3919123,27177,89.272251,88.74,False,True,39720.0
55,2021-09-17,89.36,90.45,89.155,89.31,3836953,38366,89.499791,90.04,True,False,49777.0
56,2021-09-20,88.61,89.86,86.87,87.68,2953372,43611,87.734605,88.41,False,False,61196.0
57,2021-09-21,87.74,88.22,85.98,86.26,2509299,31709,86.603962,86.96,False,False,60612.0
58,2021-09-22,86.65,86.8881,84.96,85.25,3799303,39857,85.539303,86.02,False,False,55648.0
59,2021-09-23,85.39,86.56,85.33,85.6,4686484,31817,85.73743,86.32,True,False,38567.0
60,2021-09-24,85.41,85.64,84.26,84.54,3736447,34733,84.612538,84.53,False,True,136741.0
61,2021-09-27,84.64,87.269,84.41,86.87,3411499,39873,86.521038,85.94,True,True,96802.0
62,2021-09-28,86.77,87.51,86.01,86.28,2632894,32096,86.503146,86.89,False,False,50387.0
