,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,149.42,150.73,148.65,150.6,589863,9878,150.2245,149.775,True,True,24082.0
1,2021-07-01,150.99,151.75,150.41,150.96,769417,10915,150.9449,150.83,True,True,16826.0
2,2021-07-02,151.07,152.31,150.325,151.8,470015,9641,151.644274,151.18,False,True,16094.0
3,2021-07-06,150.69,151.77,148.74,150.57,598195,10254,150.274815,149.08,False,True,25633.0
4,2021-07-07,150.89,153.36,150.23,153.08,648306,10329,152.732001,151.28,False,True,17367.0
5,2021-07-08,151.49,152.615,149.62,151.14,1038875,14039,151.204575,150.67,True,True,9440.0
6,2021-07-09,153.02,153.66,152.52,153.46,673273,11913,153.260777,153.11,False,True,19492.0
7,2021-07-12,152.36,154.96,152.15,154.88,622536,11696,154.4958,154.07,True,True,10602.0
8,2021-07-13,154.84,155.665,154.015,154.41,509368,10329,154.66478,155.21,True,False,13764.0
9,2021-07-14,155.04,155.83,154.35,155.3,757276,12429,155.331567,155.21,True,True,16249.0
10,2021-07-15,154.83,156.69,154.56,155.65,678891,13520,155.56856,156.36,True,False,10145.0
11,2021-07-16,156.33,156.86,154.715,154.95,888168,15063,155.519974,154.99,False,False,21030.0
12,2021-07-19,152.7,153.31,150.49,151.97,1261805,20399,151.678917,152.05,True,False,54853.0
13,2021-07-20,153.56,163.735,152.53,162.14,1739603,30816,161.493692,160.8652,True,True,34837.0
14,2021-07-21,163.66,165.76,163.22,164.09,1786712,20647,164.365446,165.23,True,False,116892.0
15,2021-07-22,164.11,164.985,163.11,164.83,898166,17360,164.521549,164.48,True,True,21531.0
16,2021-07-23,165.93,166.34,163.36,164.29,928641,13411,164.250327,164.85,True,False,33248.0
17,2021-07-26,164.15,165.14,161.85,162.91,1119214,16739,162.752747,162.25,False,True,23401.0
18,2021-07-27,162.1,164.61,161.37,163.83,952921,15856,163.323339,163.7,True,True,56088.0
19,2021-07-28,163.53,164.1732,162.21,162.96,1268310,14399,162.945513,162.51,False,True,18930.0
20,2021-07-29,163.98,165.28,163.38,165.11,565686,11025,164.860997,164.67,False,True,17558.0
21,2021-07-30,164.51,167.3,164.2,167.12,1120130,13372,166.612078,165.01,True,True,11346.0
22,2021-08-02,167.84,169.02,166.85,166.94,692237,12932,167.456073,167.95,False,False,16032.0
23,2021-08-03,167.41,169.97,166.91,169.67,933301,13991,169.456091,169.265,True,True,15007.0
24,2021-08-04,168.86,169.64,167.1,168.07,964525,12038,168.412916,168.82,False,False,18664.0
25,2021-08-05,169.26,169.84,168.41,169.19,808571,12979,169.080718,168.93,True,True,14023.0
26,2021-08-06,170.23,170.69,168.84,169.49,718850,12477,169.528585,169.15,False,True,18600.0
27,2021-08-09,169.02,169.465,168.19,169.06,765169,12829,168.833222,168.42,False,True,26317.0
28,2021-08-10,169.39,171.98,169.22,171.75,767829,13812,171.475284,171.05,False,True,26974.0
29,2021-08-11,172.22,173.14,171.47,172.49,691224,11840,172.314638,172.56,True,False,11960.0
30,2021-08-12,172.42,172.8,171.18,172.06,1065104,16048,171.845851,171.84,False,True,20031.0
31,2021-08-13,172.11,172.69,171.145,171.64,740910,12554,171.679399,171.78,False,False,11722.0
32,2021-08-16,171.24,174.01,170.43,173.96,575562,11965,173.390909,173.15,False,True,17345.0
33,2021-08-17,172.94,173.66,171.42,173.02,586148,11161,172.540142,172.08,False,True,9410.0
34,2021-08-18,172.61,174.09,171.36,171.51,716025,10784,172.533229,173.27,False,False,26191.0
35,2021-08-19,170.3,173.68,170.04,172.42,1399925,17691,172.433337,171.17,False,True,23871.0
36,2021-08-20,172.4,173.16,171.44,172.7,1321542,12833,172.542653,171.85,False,True,14196.0
37,2021-08-23,173.74,174.32,172.85,173.1,555025,11688,173.403106,173.71,True,False,13522.0
38,2021-08-24,172.92,174.58,172.85,174.23,516530,11550,174.127381,173.52,False,True,13912.0
39,2021-08-25,174.29,175.255,173.85,174.46,549609,9966,174.480526,174.96,True,False,13417.0
40,2021-08-26,174.3,174.4731,173.52,174.04,586157,11756,174.041449,173.92,False,True,12004.0
41,2021-08-27,174.83,175.33,174.26,174.59,489914,10122,174.662972,174.37,False,True,13813.0
42,2021-08-30,175.05,176.4,174.3601,175.79,418948,8289,175.731548,175.3243,True,True,7722.0
43,2021-08-31,175.53,175.69,174.0,174.36,792904,10269,174.567459,174.755,True,False,12190.0
44,2021-09-01,174.36,174.82,172.5,173.89,449688,9700,173.671724,172.87,True,True,14952.0
45,2021-09-02,174.59,176.05,174.32,175.99,465912,7862,175.322838,175.365,False,True,7635.0
46,2021-09-03,175.87,176.239,174.61,174.93,556892,7956,175.122573,175.35,True,False,13224.0
47,2021-09-07,174.14,174.385,172.57,172.77,526142,10068,173.017862,173.03,True,False,15196.0
48,2021-09-08,172.02,175.46,171.96,174.85,640234,12531,174.576971,172.95,False,True,11483.0
49,2021-09-09,175.28,176.46,174.63,174.84,684508,13407,175.204102,175.98,False,False,17539.0
50,2021-09-10,175.58,176.08,173.47,173.56,708323,11167,174.23586,174.09,False,False,16627.0
