,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,62.84,63.62,62.75,63.28,3352213,32906,63.252969,63.32,True,False,147807.0
1,2021-07-01,64.4,64.42,63.42,63.5,3310710,34572,63.707769,63.8,True,False,105239.0
2,2021-07-02,63.21,63.77,62.8,63.51,3168688,31414,63.492096,63.51,False,False,132125.0
3,2021-07-06,63.35,63.45,61.405,61.93,3724312,43930,61.966145,61.7,False,True,268113.0
4,2021-07-07,61.63,62.49,61.0937,62.25,3420228,37652,61.981903,61.32,False,True,195369.0
5,2021-07-08,60.93,62.02,60.65,61.41,4240749,42374,61.381302,61.14,True,True,125965.0
6,2021-07-09,62.45,63.67,62.1,63.08,5051123,50200,63.086391,63.255,False,False,281097.0
7,2021-07-12,62.61,63.6,61.975,63.22,3097794,35547,63.100827,63.13,True,True,104781.0
8,2021-07-13,63.36,63.69,62.32,62.7,3056875,33460,62.739192,62.43,False,True,169385.0
9,2021-07-14,62.88,63.645,62.17,62.32,2559681,31593,62.552137,62.53,False,False,99527.0
10,2021-07-15,61.76,62.72,61.69,61.91,2736328,30314,62.099054,62.38,True,False,72308.0
11,2021-07-16,61.26,61.72,59.8,60.01,6947990,62624,60.304368,60.0581,True,False,405969.0
12,2021-07-19,58.0,58.48,57.055,57.79,7783298,73640,57.681575,58.06,True,False,309958.0
13,2021-07-20,58.1,59.19,57.6281,58.62,6750960,63525,58.61692,58.835,False,False,163670.0
14,2021-07-21,59.64,60.05,59.055,59.73,7415225,63085,59.661685,59.325,True,True,301295.0
15,2021-07-22,58.56,60.89,58.0,60.48,7108138,68314,59.743032,59.185,True,True,240116.0
16,2021-07-23,60.89,61.28,59.8,60.11,4686850,51306,60.155793,60.07,True,True,157694.0
17,2021-07-26,60.39,62.04,60.2,62.01,6529004,58494,61.361268,60.37,False,True,306012.0
18,2021-07-27,61.495,62.42,60.86,61.95,3564452,37126,61.812072,62.1,True,False,215350.0
19,2021-07-28,61.98,62.3,61.06,61.87,4096451,47401,61.753507,61.26,True,True,195792.0
20,2021-07-29,62.5,62.93,62.01,62.6,3701687,40839,62.525522,62.35,True,True,155658.0
21,2021-07-30,62.44,63.225,61.665,62.16,4636859,42354,62.192448,62.06,False,True,282707.0
22,2021-08-02,62.47,63.59,61.19,61.22,3698333,48984,61.970673,62.3,False,False,91355.0
23,2021-08-03,60.93,62.27,60.155,62.23,4812653,46492,61.708845,61.95,True,True,227680.0
24,2021-08-04,61.66,62.2,60.98,60.99,3327148,37477,61.383012,61.91,False,False,101696.0
25,2021-08-05,61.37,61.8,60.9,61.0,3035434,30169,61.206767,61.275,True,False,71838.0
26,2021-08-06,61.7,62.37,61.55,62.0,3141057,31375,61.992427,61.98,False,True,163217.0
27,2021-08-09,61.76,62.225,61.36,61.82,3174669,28110,61.779346,61.6907,True,True,104761.0
28,2021-08-10,61.99,63.57,61.94,63.12,3553782,36396,63.048375,63.01,True,True,152068.0
29,2021-08-11,63.6,64.3,63.22,64.24,3579562,35646,63.857424,63.45,True,True,199578.0
30,2021-08-12,64.37,64.62,63.3032,64.01,3580657,35745,63.928462,63.6,False,True,168251.0
31,2021-08-13,63.96,64.1,63.35,63.69,2381651,26706,63.748795,63.78,True,False,47982.0
32,2021-08-16,63.19,63.595,62.14,63.32,3161333,32575,63.110138,63.085,True,True,77240.0
33,2021-08-17,62.64,62.875,61.14,62.31,3969733,39823,62.011842,62.15,False,True,165461.0
34,2021-08-18,61.92,62.83,61.71,61.88,4553653,40831,62.179383,62.41,True,False,107698.0
35,2021-08-19,61.02,61.39,60.15,60.55,3963963,42450,60.6897,60.6,False,False,181880.0
36,2021-08-20,60.4,61.11,60.32,60.89,3191927,34498,60.827915,60.68,False,True,111091.0
37,2021-08-23,61.5,62.42,61.46,62.06,3430936,32899,62.05087,61.82,True,True,113730.0
38,2021-08-24,62.5,63.53,62.46,63.26,2895338,32987,63.168187,62.88,False,True,64397.0
39,2021-08-25,63.27,64.18,62.82,63.87,3244950,30725,63.825351,64.0523,True,False,111860.0
40,2021-08-26,63.73,64.56,63.47,63.65,3611132,41931,63.983688,64.16,False,False,135248.0
41,2021-08-27,64.22,65.855,64.12,65.38,5331492,50247,65.303181,64.85,True,True,98479.0
42,2021-08-30,65.05,65.3275,63.95,63.98,3920894,42009,64.31426,64.3,False,False,161255.0
43,2021-08-31,63.69,63.88,62.69,62.9,5443912,48121,62.983597,62.96,True,False,235429.0
44,2021-09-01,62.7,63.0,61.81,62.54,3941457,40864,62.494167,62.33,True,True,217625.0
45,2021-09-02,62.68,63.36,62.42,62.62,3410658,36193,62.784794,63.28,True,False,120977.0
46,2021-09-03,62.44,62.825,61.67,62.12,3689957,35520,62.183973,62.1317,False,False,158575.0
47,2021-09-07,61.97,62.3,61.64,61.87,2512251,30453,61.999488,62.17,False,False,106228.0
48,2021-09-08,61.82,62.11,60.51,60.69,4600888,44302,60.918799,60.885,False,False,209527.0
49,2021-09-09,60.19,61.19,60.07,60.28,4433853,44515,60.444721,61.02,True,False,134429.0
50,2021-09-10,60.91,61.44,60.34,60.41,4089140,41664,60.776657,60.73,False,False,167818.0
51,2021-09-13,61.35,61.59,60.215,60.72,4540441,56067,60.734584,60.96,True,False,185307.0
52,2021-09-14,61.22,61.3,59.5224,59.65,4482354,49083,60.036254,60.02,False,False,227525.0
53,2021-09-15,59.73,60.67,59.67,60.2,5161271,52054,60.292727,59.94,False,True,142980.0
54,2021-09-16,60.07,60.32,59.07,59.47,4647886,47720,59.604151,59.42,False,True,154352.0
55,2021-09-17,58.84,59.17,57.47,57.75,9620920,70727,57.864468,57.7386,False,True,408731.0
56,2021-09-20,56.44,57.1304,55.31,56.18,7664180,72050,56.074597,56.39,True,False,304278.0
57,2021-09-21,56.69,56.86,55.21,55.53,6151227,55472,55.670121,55.52,False,True,266178.0
58,2021-09-22,56.29,56.98,56.255,56.3,6798021,61730,56.56632,56.36,True,False,116744.0
59,2021-09-23,56.73,58.045,56.6,57.43,7789383,68416,57.521803,57.04,True,True,192460.0
60,2021-09-24,57.14,57.34,56.74,56.81,7954183,68199,56.981477,57.0,False,False,316900.0
61,2021-09-27,56.95,60.38,56.88,59.69,12345940,99159,59.316204,58.61,True,True,353165.0
62,2021-09-28,60.09,60.645,59.14,59.46,6641068,66230,59.691635,60.13,True,False,226146.0
63,2021-09-29,59.52,59.6,58.77,58.82,4537911,51294,58.983144,59.23,True,False,263852.0
64,2021-09-30,59.17,59.17,57.55,57.56,4872055,50516,58.055583,58.54,False,False,108142.0
65,2021-10-01,57.86,59.01,57.25,58.58,6903929,53709,58.344783,57.45,False,True,132798.0
66,2021-10-04,58.7,59.0,57.68,58.24,5589212,58286,58.27607,58.12,True,True,183019.0
67,2021-10-05,58.21,59.445,58.1,59.1,5623279,49444,59.007351,59.09,True,True,205853.0
68,2021-10-06,58.3,58.57,56.3,57.16,8618715,79322,57.101612,56.765,False,True,317933.0
69,2021-10-07,57.88,59.47,57.79,58.51,7217584,61207,58.755995,59.045,False,False,503128.0
70,2021-10-08,58.8,59.29,58.4,58.71,4230329,43711,58.822182,59.15,True,False,199089.0
71,2021-10-11,59.195,59.78,58.21,58.23,4126129,42287,58.756698,59.41,False,False,122401.0
72,2021-10-12,58.01,58.37,57.5,57.74,5395214,47272,57.819447,57.955,True,False,134012.0
73,2021-10-13,57.82,58.05,56.65,56.91,7695950,59126,57.071962,57.07,True,False,222274.0
74,2021-10-14,57.58,58.78,57.14,58.74,6419888,54548,58.338409,57.9254,False,True,319190.0
