,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,465.0,469.25,463.94,466.49,747808,14174,466.966251,466.43,True,True,23405.0
1,2021-07-01,466.5,467.61,461.255,466.02,439402,12400,464.834965,465.665,False,True,13365.0
2,2021-07-02,466.89,475.57,466.26,474.24,403658,11647,473.460952,471.92,True,True,19497.0
3,2021-07-06,469.74,477.85,469.88,476.61,466396,12932,475.929716,476.35,False,True,17116.0
4,2021-07-07,476.01,479.27,471.85,478.18,431682,11976,475.737122,472.37,False,True,29927.0
5,2021-07-08,474.75,478.57,472.015,474.55,536858,14016,475.447044,474.665,True,False,14062.0
6,2021-07-09,476.0,479.67,475.1,477.56,426179,11058,477.737732,475.8,False,True,15313.0
7,2021-07-12,481.25,482.61,478.67,480.11,383740,10457,480.160062,482.325,True,False,11186.0
8,2021-07-13,481.38,491.42,479.23,485.68,475396,12631,487.152574,485.27,True,True,12078.0
9,2021-07-14,485.78,488.22,482.789,485.32,279483,9076,485.414843,486.835,True,False,9869.0
10,2021-07-15,487.46,488.64,482.13,484.84,455479,14239,485.054218,486.87,False,False,35600.0
11,2021-07-16,487.36,489.48,481.4045,482.68,419599,11198,484.750122,486.345,True,False,10044.0
12,2021-07-19,482.23,484.69,473.81,478.49,576752,17105,478.752849,480.0,False,False,16487.0
13,2021-07-20,477.0,478.55,471.28,474.97,592720,16582,475.548588,475.05,True,False,24518.0
14,2021-07-21,475.99,476.45,465.93,470.37,615460,15816,469.99331,469.49,False,True,30521.0
15,2021-07-22,486.0,548.72,484.0001,538.82,3037546,65144,529.554961,522.7605,True,True,105849.0
16,2021-07-23,541.01,542.52,519.47,525.45,1341706,31229,525.974221,522.6,False,True,64545.0
17,2021-07-26,523.48,538.5699,522.67,534.32,659869,18252,532.655613,531.53,True,True,27146.0
18,2021-07-27,535.92,543.14,534.1701,538.01,499125,14410,538.055536,536.34,True,True,26875.0
19,2021-07-28,535.29,536.3099,523.33,524.57,543658,15692,526.206769,528.35,False,False,14362.0
20,2021-07-29,526.4,530.78,524.7487,526.17,449185,13718,527.654646,527.705,False,False,13922.0
21,2021-07-30,526.5,531.57,523.71,525.49,348445,13199,527.036425,527.54,True,False,12400.0
22,2021-08-02,528.38,533.45,522.1599,530.36,329719,11689,529.829998,525.85,True,True,8820.0
23,2021-08-03,530.91,543.57,530.56,540.47,459236,14523,538.625124,536.91,False,True,18105.0
24,2021-08-04,541.9,542.61,536.11,536.68,414596,13184,539.534405,539.63,True,False,8177.0
25,2021-08-05,534.57,538.51,529.37,535.48,261721,9845,534.260067,536.605,True,False,15846.0
26,2021-08-06,535.03,537.77,531.65,533.44,254015,9155,533.401381,533.47,True,False,9133.0
27,2021-08-09,531.8,533.1246,525.45,529.47,258553,8859,528.752757,530.47,True,False,5633.0
28,2021-08-10,530.95,530.9741,517.715,518.93,315760,11665,521.430134,528.05,True,False,7156.0
29,2021-08-11,518.82,523.49,514.36,515.33,263304,10991,517.566061,522.28,False,False,6334.0
30,2021-08-12,515.33,518.735,513.89,516.48,303268,10039,516.469419,517.2,False,False,8581.0
31,2021-08-13,515.78,518.66,512.35,517.02,461935,10231,516.594792,517.57,False,False,10245.0
32,2021-08-16,517.115,518.19,512.35,513.19,331799,9843,514.368121,517.38,True,False,10685.0
33,2021-08-17,514.95,531.6,512.5401,527.75,638360,17290,524.884207,517.485,True,True,12785.0
34,2021-08-18,525.82,533.7835,523.7501,525.62,335274,12113,527.63221,527.92,False,False,7887.0
35,2021-08-19,523.4,525.15,515.72,518.32,263223,9748,519.908783,522.71,False,False,5779.0
36,2021-08-20,517.94,518.36,507.03,509.52,761121,17638,510.291287,511.36,False,False,62056.0
37,2021-08-23,510.0,516.475,505.0,509.52,397764,11513,509.483134,513.0,False,False,9380.0
38,2021-08-24,509.66,510.0,500.43,501.58,377888,12947,503.287371,505.735,False,False,15005.0
39,2021-08-25,502.68,512.55,501.48,512.14,416925,12191,509.05623,506.64,True,True,26188.0
40,2021-08-26,512.13,514.49,508.44,510.59,238034,9252,510.834858,510.14,False,True,10770.0
41,2021-08-27,509.11,513.06,508.03,511.87,238326,10243,511.577242,509.05,False,True,5496.0
42,2021-08-30,512.2,520.11,511.87,517.25,272042,9519,517.692071,517.0798,True,True,8313.0
43,2021-08-31,517.16,520.5799,515.6901,516.89,299519,10282,517.730952,518.3208,True,False,6931.0
44,2021-09-01,515.75,517.47,508.47,515.4,343126,12159,514.765211,512.87,True,True,17759.0
45,2021-09-02,517.83,519.17,512.56,517.29,286037,10678,515.928316,514.66,False,True,9562.0
46,2021-09-03,516.81,520.98,512.23,514.5,373105,11963,516.343236,515.975,False,False,5478.0
47,2021-09-07,514.12,516.355,508.48,514.02,446780,13373,513.777558,513.64,True,True,12224.0
48,2021-09-08,513.2,522.22,512.8481,521.37,315855,13000,520.102931,518.65,False,True,6782.0
49,2021-09-09,523.54,525.7728,515.01,516.12,255408,10865,519.036732,523.05,False,False,7235.0
50,2021-09-10,516.47,516.475,510.41,510.87,322323,12627,512.378834,512.39,False,False,11667.0
51,2021-09-13,511.96,513.025,504.66,511.1,441234,15882,510.52579,509.59,False,True,22234.0
52,2021-09-14,510.77,511.95,505.44,506.96,277248,11177,507.888012,509.41,False,False,8931.0
53,2021-09-15,506.49,509.48,501.36,505.56,354257,13190,506.576798,505.595,True,False,5159.0
54,2021-09-16,506.96,512.71,502.55,511.21,402145,13544,508.042701,503.75,False,True,7506.0
55,2021-09-17,511.18,512.15,501.52,503.54,907611,14425,504.43288,509.6,True,False,15607.0
56,2021-09-20,500.37,504.445,493.84,497.06,394939,15497,498.521248,499.5,False,False,10134.0
57,2021-09-21,495.67,503.6,495.31,498.15,349513,10661,498.325701,496.21,False,True,9904.0
58,2021-09-22,499.62,500.68,491.25,495.52,427578,10919,496.200494,498.72,True,False,32565.0
59,2021-09-23,498.22,498.88,492.5,492.81,252340,10541,494.738867,492.98,False,False,15351.0
60,2021-09-24,494.75,495.0,486.02,489.84,356873,11415,489.808612,486.93,False,True,13041.0
61,2021-09-27,489.97,493.36,484.15,487.23,355114,11309,488.471038,491.47,False,False,37265.0
62,2021-09-28,486.05,488.655,482.46,484.91,366978,12574,484.797137,487.555,True,False,15847.0
63,2021-09-29,488.04,488.36,482.4209,483.0,247362,9601,484.666258,486.95,True,False,5753.0
64,2021-09-30,484.3,487.155,476.25,476.96,481899,13827,479.339209,484.43,False,False,20117.0
65,2021-10-01,477.31,479.02,470.33,475.07,380491,14686,475.295018,472.935,False,True,8379.0
66,2021-10-04,472.0,474.975,468.77,470.91,462449,14993,471.054586,471.215,False,False,14731.0
67,2021-10-05,472.08,477.84,470.23,474.62,356340,11296,474.430158,473.58,False,True,11257.0
68,2021-10-06,474.85,483.7794,470.69,482.66,465298,15417,478.162891,474.09,False,True,15059.0
69,2021-10-07,481.56,491.18,481.29,482.71,483953,14531,485.143787,486.61,False,False,17837.0
70,2021-10-08,484.33,488.39,479.64,480.32,327493,11085,482.392079,481.46,False,False,9381.0
71,2021-10-11,477.99,484.46,472.43,479.48,358768,10373,480.301154,480.86,False,False,5592.0
72,2021-10-12,480.0,483.16,476.125,480.05,411526,12816,480.398553,480.53,False,False,9658.0
73,2021-10-13,478.19,480.455,474.03,476.28,628336,18515,477.216947,476.96,False,False,18843.0
74,2021-10-14,460.58,489.89,455.96,477.48,1518588,32909,477.666402,478.465,True,False,130822.0
75,2021-10-15,474.33,475.0,453.34,454.91,1365569,35540,464.182299,470.08,False,False,21805.0
76,2021-10-18,458.0,467.265,456.506,459.9,758198,21687,460.653423,465.345,False,False,24423.0
77,2021-10-19,462.84,467.88,456.8524,465.37,515873,15665,464.056293,462.7,False,True,15905.0
78,2021-10-20,467.34,468.9099,455.12,458.58,574238,17201,460.054468,460.54,False,False,17948.0
79,2021-10-21,459.78,468.31,456.82,467.96,454448,12269,464.243727,463.57,True,True,23196.0
80,2021-10-22,466.9,472.36,463.48,464.33,399854,12348,467.465932,468.6,True,False,7731.0
81,2021-10-25,464.88,469.78,460.81,466.24,291540,9346,466.592459,467.38,True,False,11651.0
82,2021-10-26,468.91,469.68,462.53,465.78,360672,11296,466.015564,467.89,True,False,18766.0
83,2021-10-27,469.12,482.12,468.0,480.27,565720,16949,478.504786,474.12,True,True,15535.0
84,2021-10-28,480.32,482.53,473.82,479.33,470752,14069,478.962377,476.82,True,True,12425.0
85,2021-10-29,478.52,490.135,474.03,488.97,349632,10836,486.822401,484.09,False,True,6635.0
86,2021-11-01,490.58,489.68,479.39,487.38,455755,14654,484.74472,481.68,False,True,11815.0
