,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,47.87,48.09,47.25,47.35,1975464,15031,47.455786,47.79,True,False,48832.0
1,2021-07-01,47.37,47.735,47.03,47.36,1600500,17716,47.421165,47.23,True,True,35208.0
2,2021-07-02,47.64,48.05,47.445,47.81,2297131,16971,47.77142,47.52,False,True,27539.0
3,2021-07-06,47.89,48.415,47.376,48.38,1949983,15743,48.129721,47.67,True,True,34448.0
4,2021-07-07,48.33,49.0,48.04,48.78,2096725,15588,48.776177,48.6,True,True,57966.0
5,2021-07-08,48.59,49.25,48.34,48.84,2566020,18536,48.865389,48.96,True,False,168174.0
6,2021-07-09,49.04,49.88,48.8,49.85,2410179,19766,49.423589,49.43,True,True,143465.0
7,2021-07-12,50.13,50.61,49.84,50.38,1540972,14672,50.355744,50.485,True,False,49618.0
8,2021-07-13,50.29,50.38,49.49,49.71,1974506,16217,49.953361,50.26,True,False,32306.0
9,2021-07-14,49.7,50.32,49.34,50.09,1646849,12574,50.025536,49.88,True,True,26715.0
10,2021-07-15,50.21,50.45,49.96,50.31,1280911,10990,50.262133,50.21,False,True,172897.0
11,2021-07-16,50.5,50.82,50.33,50.4,1085860,10571,50.528727,50.63,True,False,26399.0
12,2021-07-19,50.2,50.58,49.8,50.18,2820171,21367,50.118486,50.25,True,False,42221.0
13,2021-07-20,50.22,51.4,50.18,51.07,1469505,14001,51.09524,51.0,True,True,58050.0
14,2021-07-21,51.04,51.165,50.53,50.57,1387690,13689,50.721444,50.775,True,False,30257.0
15,2021-07-22,50.53,50.6542,50.23,50.5,1058746,10742,50.453578,50.42,True,True,16874.0
16,2021-07-23,50.52,51.335,50.49,51.3,1110162,10587,51.11793,50.8,True,True,25027.0
17,2021-07-26,51.3,51.52,50.66,50.9,1578702,14450,50.944491,50.97,False,False,34255.0
18,2021-07-27,50.76,51.36,50.72,51.29,1094957,11249,51.175452,50.97,True,True,19009.0
19,2021-07-28,51.21,51.36,50.895,51.02,1506024,13521,51.098925,51.03,False,False,26763.0
20,2021-07-29,50.84,51.44,50.51,50.91,1293047,13652,50.998391,51.24,False,False,31978.0
21,2021-07-30,50.88,51.675,50.79,50.88,1747438,14318,51.029265,51.415,False,False,34429.0
22,2021-08-02,51.16,51.385,50.605,50.67,1471392,16658,50.864222,50.93,False,False,56893.0
23,2021-08-03,50.81,51.06,50.595,50.87,1935359,16748,50.771775,50.79,True,True,28129.0
24,2021-08-04,50.94,51.1,50.32,50.69,1323348,14087,50.641398,50.71,True,False,45219.0
25,2021-08-05,50.84,50.985,50.4,50.88,976959,11475,50.758671,50.78,False,True,20276.0
26,2021-08-06,50.92,51.38,50.82,51.13,1432381,12148,51.124477,50.88,True,True,20455.0
27,2021-08-09,51.1,51.11,50.655,50.89,925482,10071,50.881415,50.935,True,False,26411.0
28,2021-08-10,50.89,50.94,50.24,50.27,2033456,13745,50.616756,50.62,True,False,83462.0
