,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,143.79,146.06,143.01,145.99,2640986,27913,145.060199,144.35,True,True,58144.0
1,2021-07-01,146.25,148.47,145.52,148.17,1896087,26892,147.506714,146.99,False,True,69865.0
2,2021-07-02,147.68,148.62,147.0,148.13,1077689,17858,148.16259,148.0,False,True,29732.0
3,2021-07-06,148.5,149.38,145.5,148.88,3130836,32229,147.588176,145.94,False,True,121775.0
4,2021-07-07,148.0,150.2,147.92,148.79,2674803,26248,149.105765,148.175,False,True,43782.0
5,2021-07-08,145.425,147.07,142.65,143.95,2074451,25869,144.809399,145.12,True,False,101511.0
6,2021-07-09,145.13,148.74,145.259,148.58,1130005,19603,147.731274,146.77,False,True,56481.0
7,2021-07-12,147.985,150.145,147.69,149.95,1417137,18961,149.608284,149.44,False,True,32119.0
8,2021-07-13,149.375,149.53,147.12,147.4,1114192,18822,148.369925,148.415,False,False,21950.0
9,2021-07-14,148.3,150.07,147.11,147.36,1092881,16102,148.247942,148.69,False,False,19347.0
10,2021-07-15,146.09,147.0,142.51,144.81,1578079,21796,144.384671,144.66,False,True,40392.0
11,2021-07-16,145.6,146.01,141.47,141.74,896613,19954,143.157285,144.15,False,False,28369.0
12,2021-07-19,137.44,138.9,133.44,134.82,2543437,38636,134.966199,136.01,True,False,77490.0
13,2021-07-20,135.82,142.58,135.49,141.87,1626502,27002,140.967287,139.699,True,True,61633.0
14,2021-07-21,143.88,146.1313,143.55,145.0,1336135,21794,145.026769,144.93,False,True,58745.0
15,2021-07-22,144.48,144.89,142.21,144.2,1474041,17725,143.581586,144.405,True,False,28145.0
16,2021-07-23,146.04,146.79,143.7,144.52,1561145,18894,144.641933,144.29,True,True,35364.0
17,2021-07-26,144.6,147.42,143.43,147.35,1454031,17707,146.363726,145.04,False,True,24469.0
18,2021-07-27,146.79,149.56,145.94,149.51,1972916,23624,148.487995,146.85,False,True,39408.0
19,2021-07-28,149.51,150.0,147.13,148.2,2691457,27352,148.274109,147.59,True,True,174470.0
20,2021-07-29,149.0,150.71,148.67,150.23,1590996,19417,149.978879,150.0,True,True,34782.0
21,2021-07-30,148.45,150.34,145.21,145.88,1777882,20312,146.519767,146.69,False,False,71154.0
22,2021-08-02,147.0,149.825,146.5,147.71,1536476,24390,147.91822,147.5,False,True,30986.0
23,2021-08-03,147.99,148.085,143.7125,146.83,2729267,22115,146.016998,145.14,True,True,91229.0
24,2021-08-04,145.55,148.32,145.4,146.4,1051589,17985,146.917128,146.82,True,False,17519.0
25,2021-08-05,146.96,148.61,144.3,144.47,1802612,22297,145.074035,147.1,True,False,32287.0
26,2021-08-06,146.1,147.0,143.435,144.7,1927384,17789,144.484921,143.96,False,True,38699.0
27,2021-08-09,141.22,141.85,137.06,138.23,3418944,29418,138.191615,138.475,True,False,47578.0
28,2021-08-10,138.61,140.67,137.61,140.22,1438456,20084,139.752787,139.91,True,True,52640.0
29,2021-08-11,139.74,141.39,138.8315,141.09,978502,14931,140.838675,140.46,False,True,13114.0
30,2021-08-12,141.1,142.06,139.81,141.96,1004621,16193,141.127654,140.3,False,True,33261.0
31,2021-08-13,142.67,143.39,141.575,141.99,975712,15740,142.273246,141.94,True,True,21779.0
