,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,129.4,130.12,128.86,129.6,1307996,15963,129.418373,129.27,True,True,21105.0
1,2021-07-01,111.3,112.18,110.56,111.88,2692836,29085,111.648559,111.4,True,True,94631.0
2,2021-07-02,111.7,111.99,110.64,111.74,1479306,18516,111.519488,111.195,True,True,35428.0
3,2021-07-06,112.25,113.18,111.23,112.3,2022012,21805,112.164102,111.9,True,True,41841.0
4,2021-07-07,111.89,114.01,111.745,113.96,1872298,23272,113.359535,113.22,True,True,74943.0
5,2021-07-08,113.4,114.84,113.0,114.23,1718174,17802,114.145123,114.45,True,False,40006.0
6,2021-07-09,114.68,115.68,114.08,115.6,1124514,14025,115.101677,114.51,False,True,23682.0
7,2021-07-12,115.1,116.16,114.84,116.0,1147598,14608,115.693734,115.84,False,True,19753.0
8,2021-07-13,116.16,116.42,114.7075,114.9,831655,13957,115.544047,116.205,False,False,18203.0
9,2021-07-14,114.76,115.8,114.56,114.9,1361558,17328,115.212739,115.32,True,False,53687.0
10,2021-07-15,115.08,116.14,114.77,115.79,1941347,18748,115.543006,114.8913,False,True,29794.0
11,2021-07-16,115.72,117.36,115.61,117.05,926895,13266,116.83711,116.21,False,True,17171.0
12,2021-07-19,116.73,117.175,112.51,113.9,1368639,18739,113.843477,114.8,False,False,25914.0
13,2021-07-20,114.05,116.37,114.03,116.12,1133887,16555,115.883727,115.78,False,True,18594.0
14,2021-07-21,116.58,117.195,115.0,115.04,990092,11413,115.835713,116.65,True,False,18264.0
15,2021-07-22,115.05,115.52,114.81,114.88,680032,9958,115.087797,115.05,True,False,13795.0
16,2021-07-23,115.02,116.6,114.64,116.36,1133608,14088,115.955111,115.045,True,True,17607.0
17,2021-07-26,116.0,116.44,114.75,115.88,1225223,17166,115.575985,114.815,False,True,50748.0
18,2021-07-27,115.85,119.27,115.455,118.7,1716450,19953,118.364934,117.2925,True,True,27131.0
19,2021-07-28,118.22,118.72,115.96,117.69,972327,15173,117.289801,117.375,False,True,13260.0
20,2021-07-29,118.06,118.89,117.43,118.13,982389,14450,118.203953,117.58,False,True,29235.0
21,2021-07-30,118.03,118.66,116.95,117.32,641697,9124,117.460054,117.98,True,False,12999.0
22,2021-08-02,117.56,118.69,117.28,117.6,952588,11297,117.720444,118.395,False,False,8308.0
23,2021-08-03,117.78,118.4,117.21,118.13,785758,13563,117.842081,117.93,True,True,13019.0
24,2021-08-04,117.36,117.93,116.4,117.79,727508,10362,117.447437,117.55,True,True,14584.0
25,2021-08-05,117.96,119.37,117.92,119.33,656298,11182,118.807233,118.55,True,True,12663.0
26,2021-08-06,119.26,120.635,118.77,119.58,732668,12218,119.965578,119.9,False,False,15023.0
27,2021-08-09,119.205,120.07,119.13,119.9,802074,8970,119.760544,119.605,True,True,14658.0
28,2021-08-10,119.87,120.82,119.37,120.0,805537,13146,120.251948,120.48,True,False,23685.0
29,2021-08-11,120.38,121.07,120.0,120.18,992294,15373,120.395817,120.65,True,False,13469.0
30,2021-08-12,120.3,120.81,119.855,119.95,491550,8953,120.12545,120.445,True,False,8486.0
31,2021-08-13,120.08,120.73,119.905,120.3,987510,10412,120.412205,120.34,False,False,10260.0
32,2021-08-16,120.32,121.7,119.94,120.0,864247,12353,120.348987,121.14,False,False,14196.0
33,2021-08-17,119.51,120.39,118.94,120.31,770580,11930,119.76097,119.55,False,True,12812.0
34,2021-08-18,119.79,120.45,119.415,120.14,809460,10353,120.011975,119.93,False,True,10809.0
35,2021-08-19,120.14,121.29,119.87,120.17,934414,12538,120.303037,119.98,False,True,30834.0
36,2021-08-20,119.1,121.85,119.11,121.48,1301133,11982,121.318293,120.92,False,True,16734.0
37,2021-08-23,121.59,121.8825,120.85,121.15,914652,12640,121.232894,121.17,False,False,17540.0
38,2021-08-24,121.04,121.3,119.45,120.49,664391,10703,120.312054,119.985,True,True,17092.0
39,2021-08-25,120.21,121.12,119.93,120.78,745932,9343,120.713576,120.48,False,True,7733.0
40,2021-08-26,120.37,120.87,120.03,120.49,528008,9041,120.400137,120.47,True,True,5766.0
41,2021-08-27,120.96,121.39,120.45,120.65,517497,9009,120.828631,121.05,False,False,5578.0
42,2021-08-30,120.55,121.11,120.1,120.4,833844,10966,120.471308,120.84,False,False,14739.0
43,2021-08-31,120.06,120.9,119.5,120.34,893963,13704,120.21295,120.53,True,False,13581.0
44,2021-09-01,119.39,121.645,119.146,121.37,899074,14375,121.135082,121.35,False,True,23088.0
45,2021-09-02,121.7,122.14,121.14,122.13,954504,11132,121.746578,121.49,False,True,19041.0
46,2021-09-03,122.06,122.09,120.72,120.75,630639,9680,121.256085,121.63,True,False,7837.0
47,2021-09-07,120.0,120.13,118.8,119.28,897842,13420,119.436931,119.47,False,False,16826.0
48,2021-09-08,118.85,121.79,118.75,121.33,1413558,15191,121.156842,120.335,True,True,20939.0
49,2021-09-09,121.29,121.49,120.53,120.57,775335,12372,120.938941,121.005,True,False,12019.0
50,2021-09-10,120.65,120.65,118.73,118.77,654493,11548,119.122736,119.12,False,False,12858.0
51,2021-09-13,119.81,119.84,117.89,118.05,827125,14309,118.4875,119.065,False,False,16840.0
52,2021-09-14,118.38,118.69,117.2,117.42,773125,15077,117.584143,118.15,False,False,13648.0
53,2021-09-15,117.19,117.72,116.52,116.88,1174747,15059,117.020607,117.26,False,False,17368.0
54,2021-09-16,117.34,118.46,116.41,117.56,1691365,17915,117.642047,116.84,True,True,30329.0
55,2021-09-17,118.27,118.45,113.95,114.0,3474556,23046,115.155012,116.21,False,False,21332.0
56,2021-09-20,113.27,114.52,112.49,113.93,1741308,21019,113.792419,114.1,True,False,113286.0
