,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,98.2,98.95,97.675,98.72,2488961,28238,98.492804,98.09,True,True,46344.0
1,2021-07-01,99.05,99.87,98.35,99.55,2400307,32483,99.409749,99.0,True,True,41576.0
2,2021-07-02,99.57,99.74,99.18,99.51,1778192,19376,99.485813,99.43,True,True,16352.0
3,2021-07-06,99.58,99.89,98.4,99.83,3252237,36828,99.520694,98.951,False,True,60958.0
4,2021-07-07,99.55,100.56,99.1818,100.37,2041306,27649,100.255057,100.4,True,False,180561.0
5,2021-07-08,100.06,101.0,99.85,100.56,2379915,33455,100.480067,100.885,True,False,52428.0
6,2021-07-09,100.67,101.04,99.9,100.66,2667320,24615,100.562157,100.17,False,True,41079.0
7,2021-07-12,100.4,101.64,99.86,101.53,2507310,30814,101.181641,100.6,True,True,53570.0
8,2021-07-13,101.53,101.85,100.97,101.53,2762824,32537,101.462915,101.47,False,True,90466.0
9,2021-07-14,101.4,103.04,100.57,102.7,2684204,34864,102.357272,101.72,True,True,51181.0
10,2021-07-15,102.59,104.0,102.54,103.94,2863651,30750,103.583568,103.355,True,True,160778.0
11,2021-07-16,104.07,105.38,103.81,104.76,2752831,32236,104.812479,104.395,False,True,64303.0
12,2021-07-19,104.54,105.46,102.74,103.89,5527611,52082,103.81222,104.63,False,False,119594.0
13,2021-07-20,104.22,105.42,103.43,103.74,2401078,33319,104.03918,104.4598,False,False,59384.0
14,2021-07-21,103.75,104.095,103.12,103.16,2068948,27732,103.485647,103.91,True,False,61543.0
15,2021-07-22,103.44,103.97,102.76,102.92,2947287,29857,103.097851,103.1,True,False,36379.0
16,2021-07-23,103.1,104.59,103.06,104.47,1893100,21271,104.248962,103.62,True,True,45665.0
17,2021-07-26,104.53,105.05,103.95,104.58,3168255,24815,104.54778,104.18,False,True,32750.0
18,2021-07-27,104.37,106.68,104.05,106.36,2034465,29520,105.950267,104.96,True,True,62986.0
19,2021-07-28,106.08,106.4,104.75,105.65,2136230,28195,105.524778,105.82,True,False,43574.0
20,2021-07-29,105.91,106.06,104.972,105.68,1472832,21925,105.633011,105.11,False,True,40463.0
21,2021-07-30,105.68,106.71,104.88,105.11,2559194,26595,105.319448,105.76,True,False,88697.0
22,2021-08-02,105.45,106.66,105.155,106.19,3380276,38274,106.091928,106.2892,False,False,76323.0
23,2021-08-03,106.27,107.56,105.98,106.61,2390093,29810,106.724603,107.29,True,False,60479.0
24,2021-08-04,106.27,107.0,105.3667,106.73,2258361,28643,106.353831,106.0,True,True,62705.0
25,2021-08-05,106.57,108.0,106.33,107.93,2843047,31997,107.485194,107.36,True,True,88811.0
26,2021-08-06,107.66,108.06,106.88,106.96,2617329,29701,107.409758,107.64,False,False,91741.0
27,2021-08-09,106.73,107.01,105.4657,106.15,2432782,30712,106.036758,106.29,True,False,84077.0
28,2021-08-10,106.34,107.235,106.0,106.9,2020874,29683,106.762906,106.635,True,True,180875.0
29,2021-08-11,107.21,107.81,106.97,107.14,2508598,29513,107.256248,107.23,False,False,52491.0
30,2021-08-12,105.82,106.5,105.47,105.69,2226869,28501,105.785444,106.03,True,False,61661.0
31,2021-08-13,105.93,106.29,105.53,106.0,2008712,24758,106.021444,106.04,False,False,36159.0
32,2021-08-16,106.255,108.38,106.16,107.81,3282113,41194,107.598676,107.89,True,False,117349.0
33,2021-08-17,107.56,108.235,106.75,107.71,2145261,33735,107.504949,107.49,False,True,75836.0
34,2021-08-18,107.7,107.84,106.57,107.05,2824533,28798,107.187957,107.2,False,False,35520.0
35,2021-08-19,107.08,108.22,106.695,106.88,2451143,31374,107.134367,107.2,False,False,36709.0
36,2021-08-20,106.39,107.34,105.64,107.21,2562308,32220,107.029489,106.96,False,True,49475.0
37,2021-08-23,107.07,107.47,105.68,105.83,2707377,32167,106.082235,106.54,False,False,54608.0
38,2021-08-24,106.04,106.17,104.385,105.15,3729048,45348,105.202746,104.98,True,True,194506.0
39,2021-08-25,105.07,105.96,104.43,105.38,2356131,26765,105.324061,104.98,False,True,48761.0
40,2021-08-26,105.4,105.58,104.815,104.85,2490474,25130,105.060032,105.21,True,False,23765.0
41,2021-08-27,105.03,105.3294,104.505,104.67,1717088,24831,104.844381,105.07,False,False,33097.0
42,2021-08-30,104.52,105.16,104.335,104.79,1945840,26264,104.782116,104.86,True,False,41277.0
43,2021-08-31,104.67,105.62,104.4,104.66,3064788,29057,104.823667,105.3,False,False,60791.0
44,2021-09-01,104.75,106.38,104.67,106.12,2495876,27653,105.886024,105.88,False,True,64970.0
45,2021-09-02,106.4,106.95,106.0,106.65,2790635,28359,106.474052,106.38,False,True,38240.0
46,2021-09-03,106.26,106.64,105.47,105.68,3043296,29247,105.970526,106.31,True,False,45991.0
47,2021-09-07,105.5,105.5901,103.17,103.2,4471097,37640,103.643122,103.8,False,False,224405.0
48,2021-09-08,103.12,105.65,102.71,105.33,3599247,34416,105.064216,104.535,True,True,83223.0
49,2021-09-09,105.02,105.35,104.53,104.62,2316841,28927,104.8283,104.735,False,False,46881.0
50,2021-09-10,104.7,104.785,103.145,103.2,2391146,30454,103.4622,103.66,False,False,53969.0
51,2021-09-13,103.9,104.22,102.55,102.73,2796994,35783,103.076864,103.6169,False,False,99609.0
52,2021-09-14,103.08,103.5099,101.48,101.61,3416170,42667,102.088506,103.38,True,False,68906.0
53,2021-09-15,101.2,102.4208,100.8,102.03,2793067,34250,101.816614,101.4486,True,True,95822.0
54,2021-09-16,102.36,102.81,101.28,101.41,3213002,33468,101.754415,101.585,True,False,88571.0
55,2021-09-17,100.79,101.58,99.57,99.67,6693820,34541,100.183279,100.75,False,False,90278.0
56,2021-09-20,99.29,100.31,98.53,99.64,4897399,46795,99.561393,99.93,False,False,75624.0
57,2021-09-21,99.85,100.47,98.83,98.92,3273833,37136,99.416519,99.92,False,False,70844.0
58,2021-09-22,99.14,99.46,98.18,98.54,2724162,35721,98.713598,98.99,False,False,84566.0
59,2021-09-23,98.57,99.45,98.2,98.4,2409474,30733,98.630763,98.655,False,False,56513.0
60,2021-09-24,98.48,99.08,97.89,98.46,3002356,33255,98.47414,98.35,False,True,54030.0
61,2021-09-27,98.42,99.56,97.5,97.63,2766258,34878,98.361159,99.27,False,False,54144.0
62,2021-09-28,97.41,97.86,96.58,97.05,3109439,37599,97.131819,97.5,False,False,77563.0
63,2021-09-29,97.11,99.03,96.95,98.34,3266068,42184,98.305717,97.64,False,True,138399.0
64,2021-09-30,98.34,98.7,97.56,97.59,2908410,32159,97.950251,98.4,False,False,66682.0
65,2021-10-01,98.11,98.88,97.61,98.46,4588066,45775,98.432151,98.28,True,True,111833.0
66,2021-10-04,98.73,101.03,98.51,100.76,4608312,50762,100.327743,99.9538,True,True,182560.0
67,2021-10-05,100.9,100.98,99.95,100.17,3399672,35117,100.292714,100.4,False,False,118878.0
