,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,120.86,120.98,119.83,120.43,626393,11672,120.299945,120.2,False,True,14220.0
1,2021-07-01,120.96,123.7,120.54,122.33,618262,11891,122.603786,122.31,False,True,10585.0
2,2021-07-02,121.85,122.63,120.675,122.44,562178,9847,121.834526,121.01,True,True,13608.0
3,2021-07-06,121.75,122.36,119.19,120.86,867085,12909,120.573017,120.02,True,True,19765.0
4,2021-07-07,120.96,122.93,120.56,122.55,717460,11237,122.407686,121.96,True,True,12461.0
5,2021-07-08,121.46,122.03,120.28,120.72,535250,9589,121.081678,121.52,True,False,19570.0
6,2021-07-09,121.93,123.08,121.27,122.09,453278,9909,122.212416,122.89,False,False,31194.0
7,2021-07-12,121.7,124.09,121.65,123.7,402929,7248,123.593691,123.55,True,True,8008.0
8,2021-07-13,123.83,124.0669,121.13,121.46,527736,10081,121.731358,121.67,False,False,14115.0
9,2021-07-14,121.48,122.02,120.16,121.05,515645,7026,121.053089,120.495,True,True,17024.0
10,2021-07-15,120.41,121.91,116.05,119.81,1446252,18344,119.830195,121.41,False,False,15208.0
11,2021-07-16,120.66,120.88,119.3,119.37,479648,8447,119.863406,119.73,False,False,16524.0
12,2021-07-19,118.64,120.2299,117.025,117.82,673515,11959,118.36776,119.18,True,False,15604.0
13,2021-07-20,118.58,121.11,118.59,119.41,599719,11417,119.63793,120.65,False,False,17640.0
14,2021-07-21,120.25,121.22,119.67,120.1,643274,9925,120.154179,120.32,True,False,13070.0
15,2021-07-22,119.99,120.75,119.45,120.11,427341,7862,120.124044,120.51,True,False,10059.0
16,2021-07-23,120.94,121.19,120.34,120.61,464019,8827,120.703872,120.755,True,False,3816.0
17,2021-07-26,121.03,121.21,118.77,119.74,509334,7509,119.641913,118.78,False,True,12217.0
18,2021-07-27,119.84,120.9,119.57,120.35,455840,8570,120.188968,120.72,True,False,11347.0
19,2021-07-28,120.05,120.41,118.08,118.84,624192,11062,118.842434,118.97,True,False,22733.0
20,2021-07-29,119.43,119.96,118.46,119.01,532121,9927,119.009182,118.695,False,True,15517.0
21,2021-07-30,119.53,120.63,118.69,120.25,686507,10826,120.21297,120.34,True,False,17699.0
22,2021-08-02,120.36,122.0434,120.325,121.37,655323,12454,121.472008,121.65,True,False,16524.0
23,2021-08-03,121.31,123.32,119.55,123.15,618318,11302,122.472224,122.045,True,True,13628.0
24,2021-08-04,128.16,136.48,127.0,133.78,2132796,28619,133.861519,133.8,False,False,69634.0
25,2021-08-05,133.64,134.07,128.876,130.13,1015881,18737,130.441212,131.45,False,False,55203.0
26,2021-08-06,130.87,133.93,130.51,133.17,522790,11038,132.671309,132.6,True,True,15038.0
27,2021-08-09,133.51,133.56,131.59,132.56,555525,10336,132.381539,132.71,True,False,20234.0
28,2021-08-10,132.39,134.47,131.7,132.75,597348,11680,133.043059,133.15,True,False,24391.0
29,2021-08-11,132.8,133.625,131.82,132.75,475460,12004,132.62983,131.88,False,True,24444.0
30,2021-08-12,131.84,132.165,130.59,131.27,426218,9934,131.311155,131.365,True,False,11571.0
31,2021-08-13,132.15,132.085,130.13,130.28,327140,8734,130.768894,130.985,False,False,4755.0
32,2021-08-16,130.32,131.67,129.42,131.61,355695,8135,131.142242,131.22,True,True,7189.0
33,2021-08-17,130.79,133.0,130.25,132.61,475255,10938,132.426317,132.09,False,True,21380.0
34,2021-08-18,132.19,132.84,130.8,130.92,450803,10690,131.738606,132.26,False,False,6382.0
35,2021-08-19,130.67,132.53,130.0,132.15,389430,8577,131.872375,131.11,False,True,7261.0
36,2021-08-20,132.14,133.59,132.09,132.65,435292,9454,132.715442,132.6013,False,True,9480.0
37,2021-08-23,132.49,133.29,131.61,132.43,475094,10236,132.708399,132.3,False,True,7794.0
38,2021-08-24,132.5,132.99,131.34,131.77,330835,7457,132.119421,132.62,True,False,19653.0
39,2021-08-25,131.51,131.92,130.13,130.77,394365,8207,130.895229,130.385,True,True,9504.0
40,2021-08-26,130.51,130.79,129.27,129.96,432756,10759,129.864937,130.34,True,False,7102.0
41,2021-08-27,130.08,131.66,129.63,130.81,570589,11042,131.018535,131.12,False,False,13394.0
42,2021-08-30,130.555,132.125,130.01,131.14,322088,9515,131.428645,131.25,True,False,10233.0
43,2021-08-31,130.5,132.09,130.27,130.77,632864,10762,130.867887,131.35,False,False,6652.0
44,2021-09-01,130.81,131.12,128.08,130.77,392883,9593,129.965003,128.4,True,True,17867.0
45,2021-09-02,131.35,133.57,130.89,133.52,487725,9680,132.741525,131.665,True,True,7121.0
46,2021-09-03,133.13,133.88,132.01,132.17,437842,9541,132.588069,132.435,True,False,9790.0
47,2021-09-07,131.635,132.25,130.44,130.99,472635,10322,131.388353,131.4,True,False,12255.0
48,2021-09-08,130.73,131.12,128.86,129.07,660068,10980,129.580214,130.39,True,False,23149.0
49,2021-09-09,129.33,130.47,129.0,129.09,466605,10812,129.689597,130.08,False,False,11859.0
50,2021-09-10,128.99,128.77,123.04,123.05,634412,14242,123.950266,124.435,False,False,25221.0
51,2021-09-13,123.4,124.72,122.645,124.6,564470,13387,124.166167,124.0,False,True,13941.0
52,2021-09-14,124.59,125.18,122.08,122.33,617875,13346,122.758896,122.7,True,False,20872.0
53,2021-09-15,121.9,122.905,121.0,121.93,822817,12950,121.826316,121.45,False,True,18296.0
54,2021-09-16,122.98,123.09,120.8,121.26,790690,12501,121.474617,121.55,True,False,17968.0
55,2021-09-17,121.0,122.35,121.0,121.55,1702256,13614,121.648248,121.25,False,True,17638.0
56,2021-09-20,120.47,120.64,118.02,119.95,850579,14922,119.414569,119.42,False,True,13962.0
57,2021-09-21,120.89,121.7,119.425,119.85,802507,12613,120.114651,120.92,False,False,18786.0
58,2021-09-22,120.405,122.47,120.0,121.11,646062,10285,121.481048,121.23,False,False,6722.0
59,2021-09-23,121.46,122.91,121.14,122.1,755684,13218,122.334015,121.52,False,True,15605.0
60,2021-09-24,122.51,123.08,120.77,121.0,582680,10294,121.423588,122.03,False,False,7961.0
61,2021-09-27,121.05,122.28,120.48,120.68,488408,9981,121.282551,121.295,True,False,13323.0
62,2021-09-28,120.39,122.3,119.98,121.43,721729,13746,121.376356,121.09,True,True,39897.0
63,2021-09-29,121.36,122.63,119.64,121.19,691730,12213,121.337265,121.27,True,False,26461.0
64,2021-09-30,122.0,121.98,116.19,116.26,1102384,18689,117.715292,120.47,False,False,18940.0
65,2021-10-01,117.14,117.7,114.83,116.95,618119,13720,116.827534,115.575,True,True,19480.0
66,2021-10-04,117.18,118.43,115.05,115.7,687561,13175,115.981289,117.419,False,False,15360.0
67,2021-10-05,115.81,117.0,114.9,114.99,811627,14073,115.469667,116.56,False,False,25784.0
68,2021-10-06,114.35,114.7568,112.065,114.13,741368,13479,113.5604,112.43,False,True,24320.0
