,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,28.49,29.28,28.39,29.19,10811058,61451,29.021358,28.91,False,True,366332.0
1,2021-07-01,30.35,30.55,29.4,29.96,11419226,70686,29.902702,29.71,False,True,374747.0
2,2021-07-02,29.76,29.97,29.19,29.23,9162449,54313,29.430199,29.395,False,False,317697.0
3,2021-07-06,29.23,29.295,27.66,27.84,15091506,92407,28.157949,28.33,True,False,366490.0
4,2021-07-07,28.16,28.61,27.0233,27.53,13725245,85414,27.640215,27.11,True,True,947595.0
5,2021-07-08,26.79,28.18,26.55,27.76,10277271,72365,27.586294,27.46,True,True,302011.0
6,2021-07-09,28.21,28.74,27.6,28.65,8798425,58592,28.421543,28.46,False,True,423985.0
7,2021-07-12,28.01,28.9,27.86,28.7,8412666,54767,28.555415,28.68,False,True,616142.0
8,2021-07-13,28.5,29.18,28.32,28.97,9872224,64734,28.889495,28.4699,False,True,279689.0
9,2021-07-14,29.14,29.705,26.97,27.3,16481601,99502,27.964261,29.115,False,False,686683.0
10,2021-07-15,26.9,27.59,26.52,26.65,13413080,82833,26.964481,26.88,False,False,304792.0
11,2021-07-16,27.02,27.1,25.63,25.78,13512143,83031,26.095655,26.045,False,False,403187.0
12,2021-07-19,24.5,25.23,24.05,24.93,16785501,109220,24.561753,24.56,True,True,683749.0
13,2021-07-20,25.02,25.83,24.54,25.33,13288984,88012,25.369295,25.555,False,False,492021.0
14,2021-07-21,25.93,26.71,25.705,26.34,9047927,59912,26.285068,26.13,True,True,438161.0
15,2021-07-22,26.4,26.58,25.89,25.99,6985661,50413,26.129399,26.27,False,False,258035.0
16,2021-07-23,26.0,26.0745,25.18,25.62,7979878,51507,25.489541,25.61,True,True,223628.0
17,2021-07-26,25.84,26.76,25.68,26.65,8328315,58784,26.476396,26.23,False,True,560717.0
18,2021-07-27,26.27,26.52,25.7199,25.94,8496839,62582,26.009698,26.148,False,False,284983.0
19,2021-07-28,26.28,26.79,25.8,26.46,6864061,46811,26.323202,25.875,True,True,262175.0
20,2021-07-29,26.98,27.04,26.41,26.63,6000974,47635,26.711003,26.69,True,False,164890.0
21,2021-07-30,26.45,26.55,25.54,25.84,9252447,64071,25.905913,25.92,False,False,347360.0
22,2021-08-02,25.92,26.76,25.28,25.49,8722636,62734,25.817425,26.095,False,False,302191.0
23,2021-08-03,25.25,26.26,24.85,26.21,10427162,72951,25.867119,25.7,True,True,380500.0
24,2021-08-04,25.34,26.005,24.82,25.29,12755268,90570,25.47431,25.67,False,False,333999.0
25,2021-08-05,25.8,27.045,25.65,26.63,10405123,70377,26.675679,26.815,True,False,696910.0
26,2021-08-06,27.04,27.46,26.67,27.01,7947428,60255,27.014933,26.75,False,True,672597.0
27,2021-08-09,26.23,26.8,25.97,26.64,7779608,49901,26.509585,26.1,True,True,324429.0
28,2021-08-10,26.91,27.73,26.81,27.65,8143391,59573,27.482332,27.295,False,True,390279.0
29,2021-08-11,27.37,28.0991,27.05,28.0,6992243,53320,27.748899,27.65,False,True,167070.0
30,2021-08-12,27.93,28.53,27.655,28.47,7314258,54947,28.15633,27.96,False,True,280105.0
31,2021-08-13,28.3,28.72,27.94,28.01,5642255,40582,28.249265,28.37,True,False,147196.0
