,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,38.81,39.18,38.38,38.94,2426539,17819,38.861609,38.82,False,True,49023.0
1,2021-07-01,39.15,40.6,39.06,40.39,2974224,20671,39.948633,39.35,True,True,436015.0
2,2021-07-02,40.5,40.75,40.03,40.54,1946577,14620,40.477538,40.56,True,False,37603.0
3,2021-07-06,40.23,40.42,38.8589,39.21,3199092,19388,39.283379,39.7,True,False,75820.0
4,2021-07-07,38.92,39.52,38.28,38.94,2178890,22695,38.890991,38.465,False,True,110556.0
5,2021-07-08,38.02,39.54,37.59,39.19,1655284,17461,38.849735,38.72,True,True,133581.0
6,2021-07-09,39.785,40.47,39.53,39.73,2139104,18734,39.8474,40.21,False,False,62919.0
7,2021-07-12,39.4,40.37,39.1,40.28,1135190,12029,40.155156,40.1,True,True,30479.0
8,2021-07-13,40.09,40.18,39.53,39.75,1885322,12404,39.761008,39.63,False,True,36852.0
9,2021-07-14,39.96,40.3892,39.28,39.45,1355466,11660,39.606934,39.725,False,False,39604.0
10,2021-07-15,39.19,39.64,38.87,39.31,1869034,14437,39.270159,39.06,False,True,54004.0
11,2021-07-16,39.63,39.78,38.26,38.29,1352803,12933,38.756342,38.92,True,False,40171.0
12,2021-07-19,37.16,37.87,36.75,37.57,2061090,23364,37.462268,37.62,True,False,92730.0
13,2021-07-20,37.73,38.97,37.45,38.63,1945714,19757,38.573833,38.44,False,True,56276.0
14,2021-07-21,39.15,39.62,38.9,39.07,2173562,17809,39.153425,39.27,False,False,46078.0
15,2021-07-22,39.13,39.47,38.66,38.71,1591786,16404,38.902296,39.26,True,False,37272.0
16,2021-07-23,39.23,39.39,38.605,39.34,1258633,13096,39.075172,38.91,False,True,69521.0
17,2021-07-26,39.44,39.9899,39.41,39.82,1018233,10246,39.723892,39.7085,False,True,28316.0
18,2021-07-27,39.44,39.5946,38.87,39.39,1105128,11688,39.245142,39.16,False,True,46598.0
19,2021-07-28,39.48,39.98,38.92,39.75,1199034,10135,39.652676,39.11,True,True,19466.0
20,2021-07-29,39.99,40.97,39.81,40.67,1188155,13479,40.651482,40.6,True,True,53844.0
21,2021-07-30,40.41,40.65,39.8499,39.98,1291812,11986,40.044514,40.21,True,False,41115.0
22,2021-08-02,40.15,43.93,39.85,42.61,6727821,49779,42.258269,40.15,True,True,164275.0
23,2021-08-03,44.08,44.18,42.083,43.42,2746618,26057,43.251867,43.24,True,True,80294.0
24,2021-08-04,42.98,43.31,42.07,42.18,2437123,23632,42.448583,43.18,True,False,76399.0
25,2021-08-05,40.78,41.15,37.91,38.72,4025184,38231,38.728288,38.13,False,True,178830.0
26,2021-08-06,39.11,41.79,38.92,41.09,2614920,29434,40.776213,39.465,True,True,34387.0
27,2021-08-09,40.91,41.52,40.25,40.41,2479841,17338,40.656446,40.815,True,False,55769.0
28,2021-08-10,40.23,40.75,39.875,40.47,1156946,11495,40.403824,40.49,False,False,31908.0
29,2021-08-11,41.05,41.25,39.87,41.24,1243111,12445,40.814806,40.21,True,True,30476.0
30,2021-08-12,40.96,41.6,40.72,41.58,1775595,12324,41.367801,40.965,False,True,36341.0
31,2021-08-13,41.22,41.35,40.76,41.23,1085686,10308,41.106654,40.97,True,True,18612.0
32,2021-08-16,40.97,41.91,40.3,41.75,1272386,15090,41.461348,41.17,False,True,36455.0
33,2021-08-17,40.14,40.44,36.68,36.81,4715573,43627,37.863572,38.2547,False,False,227877.0
34,2021-08-18,36.79,37.58,36.3,36.33,2018513,24811,36.866716,37.205,True,False,50734.0
35,2021-08-19,35.6,36.0,33.78,35.31,3101390,29688,35.079037,34.73,False,True,155566.0
36,2021-08-20,35.44,35.68,34.67,35.44,2421408,19197,35.234369,34.75,True,True,103190.0
37,2021-08-23,35.72,36.31,35.45,36.07,1646386,15728,35.855818,35.635,True,True,40294.0
38,2021-08-24,36.73,37.25,36.46,36.71,1246056,11400,36.813701,36.81,False,False,21301.0
39,2021-08-25,36.755,37.44,36.32,37.21,1185270,10367,37.114096,36.86,True,True,21138.0
40,2021-08-26,37.11,37.33,36.47,36.71,1059517,11566,36.818911,36.91,False,False,22053.0
41,2021-08-27,36.82,37.49,36.742,37.35,1127430,11778,37.290697,37.08,False,True,43261.0
42,2021-08-30,37.46,37.5,36.2,36.28,1837530,15070,36.391116,36.64,True,False,40673.0
43,2021-08-31,36.37,36.75,35.9501,36.72,1495476,14103,36.560004,36.48,True,True,70192.0
44,2021-09-01,36.94,36.9924,33.27,34.86,7992963,57481,34.604605,35.58,False,False,488635.0
45,2021-09-02,34.86,35.98,34.785,35.64,2263057,18980,35.589633,35.71,True,False,86892.0
46,2021-09-03,35.44,36.05,35.13,36.02,1982599,16463,35.702551,35.35,False,True,47051.0
47,2021-09-07,36.15,36.75,35.945,35.98,3293752,27106,36.133031,36.33,False,False,74484.0
48,2021-09-08,35.85,35.9,35.0,35.39,1456016,16367,35.347998,35.07,False,True,107098.0
49,2021-09-09,35.17,35.86,35.08,35.49,1089162,12941,35.527498,35.475,True,True,51081.0
50,2021-09-10,35.74,35.81,34.36,34.37,1295269,16547,34.676988,34.89,False,False,54910.0
51,2021-09-13,34.96,36.13,34.71,35.98,1424747,14056,35.754399,35.6,True,True,38799.0
52,2021-09-14,36.64,36.76,35.25,35.38,1834099,19852,35.687954,35.585,False,False,48478.0
53,2021-09-15,35.27,35.96,34.52,35.74,1766583,16894,35.620788,35.575,False,True,39245.0
54,2021-09-16,35.35,36.34,35.34,35.99,1292369,13926,35.996093,35.63,False,True,30059.0
55,2021-09-17,36.07,36.66,35.77,35.96,3094472,17317,35.99201,36.075,True,False,42052.0
56,2021-09-20,34.9,35.32,34.32,34.98,2005717,19071,34.835548,35.17,True,False,86186.0
57,2021-09-21,35.23,35.43,34.11,34.5,1190254,12110,34.600557,34.43,False,True,27462.0
58,2021-09-22,34.5,35.09,34.44,34.78,1398458,15593,34.806202,34.85,True,False,39868.0
59,2021-09-23,34.91,35.44,34.63,35.18,1015485,11899,35.23612,35.26,True,False,37073.0
60,2021-09-24,35.08,35.24,34.67,34.93,699178,8200,35.002662,35.11,False,False,19063.0
61,2021-09-27,35.02,35.96,34.92,35.51,1281784,12606,35.512899,35.48,False,True,20493.0
62,2021-09-28,35.46,35.56,34.44,34.52,1014244,12669,34.699338,35.15,True,False,23265.0
63,2021-09-29,34.65,34.78,34.13,34.29,1089777,11211,34.315396,34.4,False,False,35971.0
64,2021-09-30,34.33,34.498,33.39,33.61,3100998,16429,33.690784,33.75,False,False,57313.0
65,2021-10-01,34.0,34.99,33.67,34.73,1662243,17530,34.562441,33.93,True,True,28618.0
66,2021-10-04,34.88,35.17,34.42,34.71,1667435,18734,34.80897,34.98,False,False,59384.0
67,2021-10-05,34.88,35.59,34.52,35.1,2090659,18694,35.148094,35.405,True,False,59201.0
68,2021-10-06,34.77,34.89,33.455,34.34,1728502,14094,34.14378,33.68,False,True,162397.0
69,2021-10-07,34.72,35.03,34.5,34.65,901555,9290,34.726141,34.75,False,False,17827.0
70,2021-10-08,34.81,35.03,34.29,34.35,706596,8468,34.518714,34.83,True,False,19684.0
71,2021-10-11,34.19,34.4,33.65,33.73,1400015,8265,33.816631,34.33,False,False,11145.0
72,2021-10-12,33.69,33.873,33.1,33.27,1712808,9672,33.319316,33.4,True,False,27718.0
73,2021-10-13,33.29,33.57,32.56,33.4,2078135,16292,33.148422,32.76,True,True,51993.0
74,2021-10-14,33.9,34.67,33.85,34.6,1655489,13485,34.489921,34.265,False,True,51378.0
75,2021-10-15,34.93,35.4737,34.83,34.92,1134599,11902,35.059577,35.23,True,False,26379.0
76,2021-10-18,34.6,35.01,34.41,34.68,1436645,9680,34.724162,34.88,True,False,9834.0
77,2021-10-19,34.73,34.8,34.255,34.48,1082300,9583,34.481388,34.42,True,True,12431.0
78,2021-10-20,34.63,35.3,34.525,34.84,1289320,11647,34.947483,35.13,False,False,27763.0
79,2021-10-21,34.88,35.1,34.31,34.97,1402602,9669,34.773574,34.69,True,True,22470.0
80,2021-10-22,35.0,35.19,34.52,34.57,745310,8780,34.685335,35.04,False,False,10999.0
81,2021-10-25,34.39,34.62,33.91,34.05,842114,8669,34.109024,34.29,False,False,22811.0
82,2021-10-26,34.03,34.05,32.63,32.78,1887453,15452,33.127212,33.68,True,False,19002.0
83,2021-10-27,32.66,33.04,32.11,32.3,1348317,14037,32.410674,32.34,False,False,62507.0
84,2021-10-28,32.415,32.91,32.345,32.63,954527,11286,32.606549,32.58,False,True,28063.0
85,2021-10-29,32.56,33.0,32.3,32.57,1535400,12162,32.671568,32.84,True,False,15309.0
86,2021-11-01,32.83,33.94,32.76,33.37,1943407,16589,33.510495,33.76,False,False,72027.0
87,2021-11-02,33.32,33.56,32.77,32.98,1760328,14986,33.01095,33.04,True,False,42998.0
88,2021-11-03,32.72,33.21,32.11,32.48,2174755,23259,32.620547,33.1725,True,False,29019.0
89,2021-11-04,32.54,34.6,32.39,33.83,2744175,23821,33.810505,33.81,True,True,160163.0
90,2021-11-05,34.47,34.91,34.18,34.33,1844049,16436,34.410579,34.3,False,True,47432.0
91,2021-11-08,34.46,34.86,33.35,33.38,1475445,13407,33.74396,34.7599,True,False,47080.0
92,2021-11-09,33.64,33.91,33.14,33.81,1621727,13826,33.702109,33.485,True,True,77280.0
93,2021-11-10,33.73,33.8613,33.295,33.58,1639239,13294,33.587102,33.68,True,False,25763.0
94,2021-11-11,33.81,34.37,33.75,33.98,1214394,11230,34.047792,34.37,True,False,79003.0
95,2021-11-12,33.79,34.17,33.32,33.34,815589,8184,33.526154,34.1,True,False,22331.0
96,2021-11-15,33.555,33.55,32.75,33.05,1237869,12098,33.08175,33.53,True,False,39472.0
97,2021-11-16,33.14,33.5,32.23,32.28,1762766,15524,32.621689,33.24,True,False,24099.0
98,2021-11-17,32.27,32.56,32.02,32.14,1274912,13736,32.253088,32.45,True,False,69649.0
99,2021-11-18,32.07,32.38,31.38,32.13,1764822,17630,31.851435,32.07,False,True,68241.0
100,2021-11-19,31.79,32.0,31.345,31.37,1876572,15734,31.514509,31.8,True,False,153274.0
