,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,144.45,144.6399,143.15,143.83,1797925,28717,143.823389,144.04,False,False,54671.0
1,2021-07-01,143.38,143.82,141.43,142.14,2617727,37757,142.257734,142.01,False,True,53055.0
2,2021-07-02,143.24,143.91,142.13,143.41,1223845,22481,143.174503,142.285,False,True,26090.0
3,2021-07-06,143.53,143.785,141.96,143.0,1883858,24682,142.915831,142.3,False,True,39480.0
4,2021-07-07,144.33,144.245,142.5405,142.95,1953990,31444,143.075352,143.125,False,False,42947.0
5,2021-07-08,141.32,142.38,140.045,140.45,1860047,32975,140.721195,141.29,False,False,36980.0
6,2021-07-09,139.81,141.48,139.4918,140.99,1735045,29540,140.819851,140.14,False,True,57738.0
7,2021-07-12,141.9,142.55,140.56,141.39,1946059,31917,141.120263,140.905,True,True,54451.0
8,2021-07-13,143.44,145.92,142.46,143.25,2688785,42445,144.145464,144.68,False,False,53313.0
9,2021-07-14,143.5,145.0,142.53,143.12,1927563,32881,143.524782,144.48,True,False,69206.0
10,2021-07-15,143.21,144.5,141.57,142.66,2419149,36610,142.70603,142.12,False,True,125487.0
11,2021-07-16,142.79,144.015,141.23,143.1,3413389,32148,142.928282,142.43,True,True,40599.0
12,2021-07-19,142.91,145.17,140.36,141.24,2188048,36653,142.073519,143.04,False,False,91003.0
13,2021-07-20,141.25,141.99,139.88,141.07,1856353,31520,141.203644,141.03,True,True,61087.0
14,2021-07-21,143.94,143.89,140.2,140.72,2078091,34470,140.999561,140.91,False,False,77560.0
15,2021-07-22,140.56,142.46,140.065,142.29,1911776,32564,141.672654,140.82,True,True,59307.0
16,2021-07-23,142.92,145.36,141.77,144.99,2267384,34537,144.537483,143.31,True,True,52708.0
17,2021-07-26,144.94,146.005,143.8,145.25,1305814,24575,145.342861,145.4726,True,False,33225.0
18,2021-07-27,145.06,145.22,140.32,141.93,2124310,39755,141.912014,141.685,False,True,78488.0
19,2021-07-28,142.5,145.17,142.24,143.56,1349031,25484,143.781376,144.34,False,False,47523.0
20,2021-07-29,143.95,144.63,142.88,143.38,1639140,24130,143.539247,142.925,False,True,34753.0
21,2021-07-30,142.6,145.4,142.4544,143.96,2822138,41006,144.246909,144.0903,True,False,66303.0
22,2021-08-02,144.88,145.64,143.81,144.11,2046652,30518,144.582693,144.58,True,False,33991.0
23,2021-08-03,142.51,143.32,137.17,139.8,4488665,55035,139.780219,139.31,True,True,214122.0
24,2021-08-04,139.8,141.34,138.365,139.91,2895416,43870,139.838557,138.995,True,True,79003.0
25,2021-08-05,144.83,146.5,134.84,136.87,5515800,75719,137.874548,137.75,False,False,182617.0
26,2021-08-06,136.38,137.33,135.41,136.34,2400541,37588,136.241879,136.24,False,True,145579.0
27,2021-08-09,136.68,137.84,135.43,136.16,1721286,28060,136.257422,136.51,False,False,66544.0
28,2021-08-10,136.16,137.09,135.16,137.03,2209047,30707,136.593252,136.5,False,True,100863.0
29,2021-08-11,137.91,138.445,137.06,138.3,1839771,28654,138.007438,137.49,False,True,35423.0
30,2021-08-12,138.45,139.02,136.93,138.99,1871374,25961,138.460889,137.33,True,True,40784.0
31,2021-08-13,138.82,139.4,138.19,138.68,1572665,23558,138.73135,138.58,False,True,49402.0
32,2021-08-16,137.96,140.02,137.4,140.0,1788637,28420,139.084097,138.38,False,True,66686.0
33,2021-08-17,139.17,142.159,138.64,141.04,2337528,36205,140.879435,141.985,True,False,69059.0
34,2021-08-18,140.94,141.9,139.825,139.99,2087364,28154,140.641476,140.9,True,False,54232.0
35,2021-08-19,139.39,141.41,139.08,140.6,1883695,29145,140.65439,140.9,True,False,63481.0
36,2021-08-20,140.99,141.775,139.63,140.17,2328117,27907,140.555645,141.64,True,False,74505.0
37,2021-08-23,139.98,143.5,139.32,142.82,1893279,27710,142.420213,141.61,True,True,53648.0
38,2021-08-24,143.6,144.35,142.16,142.57,1501691,26411,142.951169,143.37,False,False,55481.0
39,2021-08-25,142.77,142.77,140.0106,141.86,1637470,26011,141.521055,141.08,False,True,41622.0
40,2021-08-26,141.6,142.89,141.18,141.47,1014829,20104,141.645885,142.185,True,False,40003.0
41,2021-08-27,141.7,143.32,141.21,142.94,1141695,22714,142.762027,142.845,True,True,29279.0
42,2021-08-30,142.02,144.33,141.01,143.29,2018991,30006,143.174621,143.73,True,False,53493.0
43,2021-08-31,143.67,147.13,142.6,145.21,3464239,46033,145.675683,146.54,True,False,101920.0
44,2021-09-01,145.49,147.0,144.95,146.43,1567880,29468,146.214941,145.86,False,True,40669.0
45,2021-09-02,146.87,147.76,144.99,145.4,2239487,31512,145.869677,147.15,False,False,38252.0
46,2021-09-03,145.19,146.945,144.96,146.6,1192282,17319,146.443843,146.23,False,True,22380.0
47,2021-09-07,146.81,147.09,145.12,145.22,1495268,27352,145.759158,145.39,False,False,42976.0
48,2021-09-08,145.76,147.54,143.9,144.1,2195800,30847,144.764368,145.41,False,False,41126.0
49,2021-09-09,143.25,144.24,140.81,142.31,2623913,34583,142.436659,142.89,True,False,82238.0
50,2021-09-10,141.91,146.93,141.47,145.13,3664751,47782,144.855739,142.44,False,True,48655.0
51,2021-09-13,145.72,146.91,143.91,144.68,2129046,35411,144.813224,144.715,False,False,56772.0
52,2021-09-14,145.19,145.935,144.31,145.37,1316441,25001,145.283916,145.56,True,False,39175.0
53,2021-09-15,141.88,142.24,135.84,137.04,6358308,94591,137.460356,136.74,False,True,246264.0
54,2021-09-16,137.8,139.7,135.525,135.96,4637183,59313,136.848356,136.76,False,False,174469.0
55,2021-09-17,135.17,135.56,133.2,133.88,4167024,46562,134.083248,134.55,True,False,53792.0
56,2021-09-20,131.98,132.53,128.76,130.09,3525976,57783,130.380818,130.98,True,False,152543.0
57,2021-09-21,130.0,130.4999,126.56,126.76,3684256,53974,127.466373,128.53,False,False,67129.0
58,2021-09-22,126.53,127.62,124.88,126.4,4205659,57603,126.533686,127.08,True,False,176601.0
59,2021-09-23,126.95,129.12,126.115,127.89,2569935,41009,128.071919,128.875,False,False,93095.0
60,2021-09-24,127.67,130.02,126.86,129.9,2325017,38245,129.007525,127.57,True,True,36287.0
61,2021-09-27,129.4,132.56,128.94,131.98,3318534,45813,131.487092,131.54,False,True,82023.0
62,2021-09-28,132.0,135.0,131.52,133.77,4342564,59324,133.801104,133.35,False,True,121676.0
63,2021-09-29,133.91,139.59,133.81,137.94,5638609,76740,138.379028,139.165,True,False,161847.0
64,2021-09-30,139.21,144.125,138.85,142.25,4991976,68949,142.435894,141.995,True,True,162372.0
65,2021-10-01,141.9,144.11,139.54,143.59,3193064,47786,142.166921,140.645,True,True,106490.0
66,2021-10-04,143.21,145.46,140.02,143.16,3202169,59098,143.416203,143.62,False,False,116927.0
67,2021-10-05,143.13,144.73,142.6,144.09,2676452,39872,143.9533,143.88,False,True,105303.0
68,2021-10-06,143.47,143.58,132.86,134.07,8325273,102848,135.146947,134.73,False,False,457847.0
69,2021-10-07,135.0,138.12,134.4,137.59,3622199,49734,136.97116,136.52,True,True,149026.0
70,2021-10-08,137.58,140.56,137.41,139.99,2159254,29910,139.674453,138.815,False,True,88922.0
71,2021-10-11,139.86,140.61,137.51,139.47,1902759,25847,139.163934,137.86,False,True,179928.0
72,2021-10-12,139.47,139.83,136.0,136.67,3080402,40814,137.112721,137.82,True,False,152614.0
73,2021-10-13,137.08,137.76,132.9501,136.44,3084192,46798,135.837555,137.235,True,False,66537.0
74,2021-10-14,136.78,137.66,134.62,135.71,2432588,35885,135.724601,135.62,False,True,171906.0
75,2021-10-15,135.6,136.69,133.27,134.75,3289434,37509,135.103853,135.65,True,False,51063.0
76,2021-10-18,134.75,135.73,134.2,134.71,1740289,28162,134.850221,134.9,True,False,37504.0
77,2021-10-19,135.49,136.77,134.5,136.75,1600286,25530,136.056497,135.83,True,True,39273.0
78,2021-10-20,137.49,139.32,137.21,139.2,1749907,29571,138.669837,138.305,False,True,50307.0
79,2021-10-21,138.89,140.84,138.27,140.63,1843703,26954,139.880883,139.58,True,True,34932.0
80,2021-10-22,140.6,144.16,140.6,141.07,2471414,40518,142.190689,143.6,False,False,113961.0
81,2021-10-25,141.13,143.79,140.5,142.19,2148910,27249,142.291745,142.76,False,False,28756.0
82,2021-10-26,142.92,144.11,141.72,142.4,1528421,27344,142.697758,143.7,True,False,53501.0
83,2021-10-27,142.51,142.76,140.31,140.37,1677548,27820,141.282542,142.0,True,False,74674.0
84,2021-10-28,140.25,141.19,139.1,140.23,1364566,22847,140.194651,140.51,True,False,48057.0
85,2021-10-29,140.42,140.84,138.91,140.25,1969097,27531,140.099488,140.05,True,True,53447.0
86,2021-11-01,140.91,143.41,140.02,141.77,2062467,28431,141.884947,142.515,False,False,32963.0
87,2021-11-02,141.58,141.75,138.74,140.17,2514644,36020,139.997996,140.135,True,True,71726.0
88,2021-11-03,138.04,140.72,136.42,139.5,3556824,50389,139.293422,139.28,False,True,83318.0
89,2021-11-04,143.25,146.72,142.0,142.48,3496257,50619,143.345661,144.75,True,False,107433.0
90,2021-11-05,144.13,144.7,138.61,139.57,2757585,43573,140.319048,140.415,False,False,81987.0
91,2021-11-08,139.99,140.32,137.64,138.16,2537997,36957,138.557643,139.35,False,False,113052.0
92,2021-11-09,139.59,141.0,138.67,139.79,1795090,33857,139.758652,139.725,True,True,101698.0
93,2021-11-10,139.78,141.96,138.5,139.28,2057611,32054,139.886748,140.835,True,False,139454.0
94,2021-11-11,140.15,145.81,139.75,144.45,3109450,47473,144.104274,142.64,True,True,296246.0
95,2021-11-12,144.02,146.59,143.54,145.44,1613212,31433,145.563984,145.475,True,False,152265.0
96,2021-11-15,143.355,144.39,137.64,141.28,3850419,50416,140.763505,138.64,False,True,665613.0
97,2021-11-16,141.54,143.36,138.57,139.56,2976377,46293,140.157362,142.0,True,False,166052.0
98,2021-11-17,138.62,140.7,137.602,138.14,2244947,35555,138.827593,138.705,True,False,144072.0
99,2021-11-18,137.28,137.82,135.11,137.33,4118367,41603,136.554871,135.58,False,True,160608.0
100,2021-11-19,137.38,137.42,132.19,132.39,3970687,49153,134.493062,135.18,False,False,550783.0
101,2021-11-22,131.56,131.83,125.31,126.28,5352652,74532,127.048698,129.98,False,False,476860.0
