,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,206.6,207.28,204.2825,205.97,974179,17871,205.500059,204.5,False,True,43125.0
1,2021-07-01,207.21,209.39,205.3,209.18,1061005,20138,208.520981,207.67,True,True,26460.0
2,2021-07-02,209.84,211.505,208.6519,210.8,919003,15555,210.474501,209.5845,False,True,21249.0
3,2021-07-06,210.15,210.72,207.6,209.48,886956,17883,209.142229,208.055,True,True,19156.0
4,2021-07-07,208.73,212.83,208.07,211.23,1287419,23542,211.030192,210.175,False,True,48120.0
5,2021-07-08,208.71,210.755,208.36,209.83,815703,17482,209.476878,209.195,False,True,21054.0
6,2021-07-09,211.8,213.2,211.1,212.76,923775,17527,212.394253,212.07,False,True,28113.0
7,2021-07-12,212.38,214.04,211.38,213.41,1071468,19088,213.307825,213.315,False,True,30758.0
8,2021-07-13,212.88,213.69,211.2,212.75,780320,15092,212.394679,211.495,False,True,18229.0
9,2021-07-14,213.45,214.35,211.98,213.75,1333664,15244,213.573101,212.48,True,True,18990.0
10,2021-07-15,212.93,215.5,212.625,214.59,923918,15441,214.115062,215.11,True,False,32388.0
11,2021-07-16,215.62,216.13,213.6668,215.28,1249188,18163,215.041837,214.89,True,True,25920.0
12,2021-07-19,213.31,213.76,208.07,210.34,1916177,28778,210.414512,212.29,True,False,35091.0
13,2021-07-20,209.64,215.79,209.55,214.2,1311301,20513,213.992519,213.4357,False,True,43271.0
14,2021-07-21,215.34,216.0,213.865,214.47,1144543,17968,214.611729,214.64,True,False,90065.0
15,2021-07-22,214.35,215.23,213.39,214.94,604827,12649,214.593552,214.46,True,True,11326.0
16,2021-07-23,216.05,218.27,215.51,217.89,833055,14055,217.314957,216.41,False,True,26867.0
17,2021-07-26,217.94,219.53,216.52,219.14,1011982,18985,218.687726,217.42,True,True,20636.0
18,2021-07-27,217.5,221.245,213.76,220.8,1548814,24352,219.910111,220.24,True,True,35267.0
19,2021-07-28,220.75,220.77,216.49,219.13,991834,17377,218.476484,217.465,False,True,50469.0
20,2021-07-29,220.0,220.8,219.115,220.39,678866,12582,219.99309,219.53,False,True,18617.0
21,2021-07-30,220.05,222.64,219.92,220.83,941971,14681,220.994164,220.97,True,False,23014.0
22,2021-08-02,222.515,222.54,218.03,218.07,1013519,19355,218.780667,219.47,False,False,23680.0
23,2021-08-03,218.01,219.55,217.505,219.36,591603,12089,218.893181,218.92,False,True,15675.0
24,2021-08-04,217.97,218.71,217.05,217.8,720057,14558,217.901816,218.02,True,False,20651.0
25,2021-08-05,218.97,219.33,217.06,218.18,646752,12267,218.044598,217.53,True,True,14183.0
26,2021-08-06,218.31,219.88,217.33,219.65,635164,12926,219.351685,218.86,False,True,17797.0
27,2021-08-09,220.15,221.0,217.87,218.55,754770,10528,218.592528,218.89,True,False,10071.0
28,2021-08-10,218.52,219.84,218.29,219.06,586984,12814,219.002527,219.07,True,False,16641.0
29,2021-08-11,219.84,220.91,218.64,220.63,797635,16870,220.047937,219.61,True,True,17890.0
30,2021-08-12,220.22,221.0,218.8,219.57,569939,11697,219.609626,219.79,False,False,15443.0
