,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,72.05,72.25,71.55,71.72,2266300,24446,71.784073,71.81,True,False,62830.0
1,2021-07-01,71.8,72.73,71.17,72.54,2290030,26511,72.340653,72.14,True,True,63042.0
2,2021-07-02,72.66,72.66,72.2,72.47,1115807,14741,72.417869,72.44,True,True,61426.0
3,2021-07-06,72.45,72.98,71.5735,72.94,1939344,22392,72.53166,71.995,True,True,37673.0
4,2021-07-07,72.7,73.35,72.4,73.34,1803022,21604,73.154085,73.09,True,True,43076.0
5,2021-07-08,73.32,74.15,73.04,73.36,2441656,25047,73.430061,73.865,True,False,81042.0
6,2021-07-09,73.64,73.8293,72.77,73.3,1925560,18228,73.217397,73.0,False,True,45340.0
7,2021-07-12,73.2,73.65,72.85,73.36,1153737,13775,73.332195,73.36,False,False,28905.0
8,2021-07-13,73.31,73.54,72.5,72.63,1986599,22153,72.829537,73.39,False,False,31085.0
9,2021-07-14,72.42,73.42,72.07,73.19,2202035,24806,73.000175,72.75,True,True,65391.0
10,2021-07-15,73.16,74.38,73.01,74.36,2132227,23867,73.963955,73.56,False,True,71258.0
11,2021-07-16,74.52,75.26,74.25,74.93,2092382,24492,74.9337,74.435,False,True,49643.0
12,2021-07-19,75.0,75.65,72.93,73.77,2435027,31592,73.948587,74.69,False,False,93145.0
13,2021-07-20,72.64,74.63,72.621,73.57,3076398,33171,73.711772,73.83,False,False,61300.0
14,2021-07-21,73.6,73.93,72.705,72.78,1597314,19667,73.116065,73.74,True,False,25410.0
15,2021-07-22,72.75,73.27,72.44,73.04,1753858,22923,72.92411,72.83,True,True,154078.0
16,2021-07-23,73.25,74.21,73.1,74.18,1402427,16765,73.831017,73.485,True,True,37556.0
17,2021-07-26,74.22,74.51,73.63,73.96,1476802,18612,73.963769,73.66,False,True,50992.0
18,2021-07-27,73.74,75.7,73.43,75.53,1623376,22045,75.13543,74.47,True,True,59997.0
19,2021-07-28,75.47,75.6,74.01,74.59,1517686,18735,74.627524,74.94,False,False,58806.0
20,2021-07-29,74.72,74.8,74.04,74.52,1378790,18439,74.498734,74.0901,False,True,39588.0
21,2021-07-30,74.77,75.32,73.46,73.77,4346154,27729,73.912916,74.31,True,False,60605.0
22,2021-08-02,74.05,74.77,73.94,74.5,1490824,20219,74.399803,74.45,False,True,39428.0
23,2021-08-03,74.47,75.46,74.2,74.85,1431573,19681,74.877968,75.23,True,False,48273.0
24,2021-08-04,74.5,74.94,73.93,74.87,1862337,25480,74.538885,74.35,True,True,55618.0
25,2021-08-05,74.78,75.32,74.1889,75.32,1738177,22306,74.882779,74.77,False,True,76093.0
26,2021-08-06,75.25,76.31,74.36,75.52,2217307,26963,75.759274,76.16,True,False,85203.0
27,2021-08-09,75.81,76.095,75.36,76.07,1384674,18610,75.766556,75.8,True,True,68210.0
28,2021-08-10,76.0,76.76,75.74,76.4,1937143,21990,76.382194,76.36,True,True,45362.0
29,2021-08-11,76.7,77.33,76.47,77.12,1520604,19711,77.060762,76.96,False,True,40229.0
30,2021-08-12,77.32,77.85,77.03,77.25,2388241,22512,77.320968,77.72,True,False,89816.0
31,2021-08-13,77.31,78.005,77.07,77.74,1447114,19531,77.738844,77.79,False,False,47249.0
32,2021-08-16,78.02,78.76,77.62,78.25,2075426,24832,78.185776,78.365,False,False,68340.0
33,2021-08-17,77.45,77.57,76.355,77.24,1733267,21032,77.033796,76.86,False,True,56580.0
34,2021-08-18,77.18,77.38,76.255,76.6,1705166,21325,76.658047,76.925,False,False,33966.0
35,2021-08-19,76.9,77.57,76.56,76.69,1552824,20553,76.883201,76.96,False,False,52280.0
36,2021-08-20,76.46,77.25,76.07,76.95,1830407,19122,76.967136,77.06,False,False,30819.0
37,2021-08-23,76.8,76.95,75.62,75.79,1653800,21412,76.010809,76.25,False,False,48765.0
38,2021-08-24,75.76,75.75,74.73,75.02,1574793,17941,75.102199,75.06,True,False,34395.0
39,2021-08-25,74.9,75.53,74.471,75.27,1673820,17411,75.156658,74.89,False,True,35520.0
40,2021-08-26,74.99,75.36,74.66,75.22,1589729,19890,75.083749,74.96,True,True,31940.0
41,2021-08-27,75.34,75.69,75.09,75.64,1543938,19704,75.520871,75.47,False,True,74572.0
42,2021-08-30,75.68,76.03,75.5,75.7,1937460,19260,75.716431,75.9,True,False,30257.0
43,2021-08-31,75.55,76.11,75.24,75.45,3231385,21934,75.509042,75.97,False,False,34226.0
44,2021-09-01,75.5,76.65,75.46,76.44,2832185,20725,76.227611,76.19,False,True,38478.0
45,2021-09-02,76.77,77.13,76.6247,77.13,1482477,16950,76.85219,76.81,False,True,36998.0
46,2021-09-03,77.12,77.19,76.28,76.3,1948016,17513,76.568668,76.89,True,False,32047.0
47,2021-09-07,76.25,76.46,74.82,74.88,1828233,26825,75.347842,75.68,False,False,44230.0
48,2021-09-08,74.88,77.05,74.77,76.92,2414783,24175,76.400228,76.07,True,True,57820.0
