,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,57.7,58.08,57.445,57.82,1982799,18452,57.741629,57.92,True,False,48895.0
1,2021-07-01,57.67,58.03,57.066,57.91,2713037,23353,57.719401,57.42,True,True,83944.0
2,2021-07-02,57.16,57.37,56.69,57.05,1559557,17201,56.954502,56.9,False,True,62601.0
3,2021-07-06,57.01,57.41,56.62,57.37,1926752,19718,57.118167,56.83,True,True,35093.0
4,2021-07-07,57.25,57.68,56.94,57.65,1455369,16917,57.462386,57.26,True,True,37777.0
5,2021-07-08,57.36,57.71,57.201,57.52,2031470,17530,57.466994,57.57,True,False,33319.0
6,2021-07-09,57.775,58.355,57.64,58.28,1483189,15054,58.075551,57.77,False,True,68224.0
7,2021-07-12,58.09,58.3,57.77,58.2,1440684,12054,58.098779,57.98,False,True,19758.0
8,2021-07-13,57.83,57.87,56.92,57.31,2816634,21612,57.349404,57.49,False,False,80944.0
9,2021-07-14,57.01,57.48,56.53,57.24,2509783,25063,57.14242,56.94,True,True,51915.0
10,2021-07-15,57.21,57.71,56.77,57.66,1868865,17834,57.463642,57.25,True,True,39396.0
11,2021-07-16,57.96,58.655,57.76,57.99,1966082,17861,58.13576,57.77,False,True,86953.0
12,2021-07-19,57.57,57.75,55.36,56.19,2743788,30625,56.096589,56.94,False,False,59748.0
13,2021-07-20,56.23,57.225,56.14,56.85,2016658,21261,56.848157,56.73,False,True,84083.0
14,2021-07-21,57.01,57.55,56.17,56.2,1518207,14552,56.638159,57.36,True,False,41607.0
15,2021-07-22,56.2,56.275,55.68,55.9,1352091,17136,55.906984,55.7575,False,True,60253.0
16,2021-07-23,55.9,56.35,55.59,56.23,1924799,16890,56.032289,55.93,False,True,28144.0
17,2021-07-26,56.19,56.54,54.85,55.49,3253671,29158,55.563325,56.185,False,False,34199.0
18,2021-07-27,55.25,57.2,55.0,57.15,2864620,23992,56.572985,55.32,True,True,52646.0
19,2021-07-28,57.02,57.55,56.35,56.82,1378033,17931,56.794722,56.83,True,False,40283.0
20,2021-07-29,57.02,57.54,56.62,57.22,1579920,19996,57.192585,56.8221,True,True,60827.0
21,2021-07-30,56.91,57.25,54.14,54.5,4612978,37931,54.951754,56.0,True,False,86841.0
22,2021-08-02,55.07,56.0,54.69,55.1,1734338,22751,55.37179,55.76,False,False,47121.0
23,2021-08-03,55.34,55.52,54.58,55.39,1918999,19396,55.201094,54.94,True,True,105376.0
24,2021-08-04,55.05,55.13,54.27,54.86,1563093,17716,54.720494,54.71,True,True,17146.0
25,2021-08-05,54.87,55.54,54.67,55.23,1474573,14157,55.067565,55.39,True,False,59075.0
26,2021-08-06,55.3,55.46,55.0,55.07,1450029,16548,55.20953,55.245,True,False,25220.0
27,2021-08-09,55.25,55.59,55.07,55.44,1289855,13376,55.389736,55.195,True,True,20785.0
28,2021-08-10,55.37,56.27,55.18,55.88,1364186,14407,55.916547,55.64,True,True,34917.0
29,2021-08-11,56.08,57.2,55.83,57.14,1735575,16376,56.974837,56.57,False,True,25196.0
30,2021-08-12,56.9,57.34,56.735,57.03,1181406,12428,57.048009,57.17,True,False,32266.0
31,2021-08-13,57.14,57.3,56.82,57.0,1529580,15280,57.021587,56.9,False,True,30161.0
32,2021-08-16,57.06,57.98,56.83,57.28,1270009,13892,57.465029,57.83,True,False,82426.0
33,2021-08-17,56.97,57.6,56.86,57.59,1329597,17113,57.262648,56.93,False,True,24330.0
34,2021-08-18,57.83,58.66,57.39,58.57,2044625,20540,58.271406,57.68,True,True,25932.0
35,2021-08-19,58.485,59.33,57.94,58.2,2667506,27840,58.393676,58.59,False,False,82258.0
36,2021-08-20,57.83,59.63,57.72,59.53,1488734,17851,59.231563,58.77,True,True,44107.0
37,2021-08-23,59.51,59.7787,58.94,59.16,1813061,18525,59.241003,59.215,False,False,64455.0
38,2021-08-24,59.26,59.35,58.59,58.95,1403199,16436,58.962615,58.91,True,True,21137.0
39,2021-08-25,58.72,59.03,58.23,58.38,1358607,16424,58.486999,58.45,False,False,39849.0
40,2021-08-26,58.11,58.37,57.435,57.66,2127657,24584,57.66516,58.06,False,False,31731.0
41,2021-08-27,57.65,57.955,57.27,57.53,1616306,19535,57.608284,57.75,False,False,25989.0
42,2021-08-30,57.4,57.7398,57.2,57.53,1576737,19604,57.495865,57.44,False,True,35703.0
43,2021-08-31,57.44,57.975,57.28,57.84,2293246,18149,57.752751,57.5801,True,True,45891.0
44,2021-09-01,58.25,58.6391,57.715,58.24,1322597,15935,58.245777,58.35,False,False,58226.0
45,2021-09-02,58.35,59.14,58.27,59.13,1038336,12032,58.897151,58.56,False,True,28804.0
46,2021-09-03,58.82,59.12,58.4601,58.65,924413,11020,58.772905,58.56,False,True,33840.0
47,2021-09-07,58.32,58.96,57.97,58.63,1442108,16409,58.560682,57.99,False,True,37998.0
48,2021-09-08,58.72,59.69,58.39,59.09,1405930,16435,59.24087,59.38,True,False,30862.0
49,2021-09-09,58.58,58.85,58.4925,58.66,1569275,17573,58.667347,58.54,False,True,39269.0
50,2021-09-10,58.57,58.73,58.04,58.13,2068628,21132,58.312904,58.1494,False,False,50974.0
51,2021-09-13,58.7,59.58,58.55,59.06,1334557,13793,59.145975,59.28,False,False,34930.0
52,2021-09-14,59.11,59.26,58.25,58.48,1432219,20373,58.593484,58.91,True,False,45166.0
53,2021-09-15,58.41,59.32,58.2,59.04,1264599,14893,58.990184,58.95,True,True,45853.0
54,2021-09-16,58.99,59.01,57.5,57.54,1622811,19245,57.913466,58.12,False,False,36002.0
55,2021-09-17,58.2,58.52,57.4,57.75,3470611,21413,57.897657,57.77,False,False,32185.0
56,2021-09-20,57.25,58.19,57.02,57.59,2006166,23088,57.578378,57.86,True,False,37851.0
57,2021-09-21,57.74,58.23,57.62,57.72,1216282,12375,57.839606,58.03,True,False,25466.0
58,2021-09-22,57.92,58.805,57.82,58.35,1563211,17233,58.414255,58.18,True,True,36103.0
59,2021-09-23,58.35,58.89,57.6,57.61,1530540,16365,58.006146,58.275,False,False,15372.0
60,2021-09-24,57.71,57.9008,57.39,57.57,1265942,15943,57.594492,57.42,False,True,21639.0
61,2021-09-27,57.75,58.655,57.55,57.7,2011332,22699,58.175111,58.28,False,False,72364.0
62,2021-09-28,57.8,58.04,56.85,57.12,2034628,23164,57.295536,57.79,True,False,78436.0
63,2021-09-29,56.68,57.01,56.23,56.43,1794326,21405,56.577119,56.61,False,False,66297.0
64,2021-09-30,56.42,56.54,55.43,55.47,2112861,23498,55.744954,56.29,False,False,22964.0
65,2021-10-01,55.84,55.95,54.98,55.04,1716909,17822,55.381905,55.37,False,False,33735.0
66,2021-10-04,55.15,56.38,55.04,56.23,1634712,18710,55.918804,55.62,True,True,58597.0
67,2021-10-05,56.02,56.59,55.58,55.68,1189032,14126,55.827798,56.12,False,False,23376.0
68,2021-10-06,55.41,56.64,55.1,56.61,1181393,14532,56.039911,55.5,True,True,20047.0
69,2021-10-07,56.61,58.0,56.43,57.12,2174083,21223,57.332261,57.28,True,False,56113.0
70,2021-10-08,57.19,57.5,56.97,57.14,1315469,14357,57.254623,57.47,True,False,59088.0
71,2021-10-11,57.01,57.25,55.95,56.09,1727389,15748,56.179875,56.385,True,False,38719.0
72,2021-10-12,55.88,56.21,55.355,55.53,1848140,18076,55.607756,55.72,True,False,123763.0
73,2021-10-13,55.73,56.6,55.39,56.42,1375088,14455,56.252494,55.69,True,True,21742.0
74,2021-10-14,56.54,56.72,56.31,56.6,1603181,14711,56.572204,56.43,False,True,10806.0
75,2021-10-15,56.85,57.59,56.75,57.35,2337706,15151,57.219958,57.11,True,True,61924.0
76,2021-10-18,56.85,57.5459,56.6,57.16,1600800,17014,57.237311,57.12,True,True,22190.0
77,2021-10-19,57.68,57.94,57.17,57.52,1575786,13360,57.520351,57.75,False,False,73253.0
78,2021-10-20,57.75,58.99,57.71,58.95,1481884,12313,58.533791,58.775,False,True,24578.0
79,2021-10-21,58.91,59.34,58.65,59.3,1318190,11808,59.189031,59.11,False,True,25631.0
80,2021-10-22,59.255,60.49,59.3,60.45,1411427,13268,60.216446,59.81,True,True,28980.0
81,2021-10-25,60.5,61.37,60.24,61.1,1843185,17808,60.98998,60.64,True,True,25289.0
82,2021-10-26,61.1,61.887,60.93,61.47,1561255,15170,61.496429,61.47,True,False,26223.0
83,2021-10-27,61.68,62.28,61.58,62.21,1699527,20817,62.07585,61.74,True,True,25090.0
84,2021-10-28,62.29,62.84,62.096,62.8,1733114,17640,62.489792,62.255,False,True,36174.0
85,2021-10-29,62.58,63.05,62.475,62.93,3669127,24387,62.832935,62.8,False,True,51025.0
86,2021-11-01,62.93,63.38,62.73,63.3,1739264,17113,63.170161,62.9268,False,True,55307.0
87,2021-11-02,63.375,63.65,62.59,63.54,3139391,27598,63.225738,62.875,False,True,191073.0
88,2021-11-03,61.65,62.81,61.1518,62.8,4349518,31268,62.375124,62.29,False,True,94657.0
89,2021-11-04,62.45,63.12,62.03,63.04,3716299,23398,62.687111,62.925,True,True,68633.0
90,2021-11-05,63.37,64.2,63.15,64.05,3084295,26188,63.831994,63.775,True,True,121741.0
91,2021-11-08,63.76,64.17,63.15,64.07,3262066,29301,63.809059,63.45,False,True,63899.0
92,2021-11-09,64.36,65.14,63.81,64.6,4090390,30060,64.620688,63.96,False,True,54370.0
93,2021-11-10,64.79,65.61,64.44,65.46,2859319,24476,65.228936,64.59,False,True,107240.0
94,2021-11-11,65.13,65.54,64.6,65.22,2435294,18492,65.216044,65.17,False,True,46537.0
95,2021-11-12,65.0,65.32,64.14,64.24,1113434,14709,64.438867,65.16,True,False,49428.0
96,2021-11-15,64.63,65.29,64.4,64.58,1925501,18337,64.753492,64.86,True,False,72306.0
97,2021-11-16,64.51,64.6,63.725,63.77,1606412,16271,63.984507,64.47,False,False,46404.0
98,2021-11-17,63.44,64.56,63.19,64.46,1964224,15688,64.167037,63.54,True,True,29682.0
99,2021-11-18,64.45,64.7,63.86,64.6,2181393,14601,64.338772,64.51,True,True,29236.0
100,2021-11-19,64.545,65.41,64.16,64.9,1922801,20230,64.854654,64.37,False,True,115153.0
101,2021-11-22,64.72,65.54,64.59,64.89,1858464,17650,65.032787,64.64,False,True,45840.0
102,2021-11-23,65.14,65.72,64.91,65.52,2177179,20672,65.375948,65.06,True,True,143746.0
103,2021-11-24,65.81,66.21,65.27,66.15,1745195,15444,65.980168,65.76,True,True,94648.0
104,2021-11-26,64.97,65.65,64.61,64.94,962999,12544,65.033968,65.46,True,False,52171.0
105,2021-11-29,65.38,66.24,64.94,66.07,2048843,21664,65.746421,65.42,True,True,52584.0
106,2021-11-30,65.7,65.77,64.96,65.28,4357195,32644,65.332178,65.53,False,False,70001.0
107,2021-12-01,65.66,66.42,65.25,65.62,2943943,31715,65.885332,65.28,False,True,115305.0
108,2021-12-02,65.72,66.44,65.36,65.49,2968367,26987,65.936699,65.96,True,False,174204.0
109,2021-12-03,65.99,66.67,65.44,66.61,2418270,22430,66.153206,65.79,False,True,70035.0
110,2021-12-06,67.58,68.36,67.43,68.18,2466830,23582,68.037776,67.89,True,True,82065.0
111,2021-12-07,68.01,68.37,67.18,67.26,2380626,22542,67.627568,67.96,False,False,87278.0
112,2021-12-08,67.3,67.56,66.83,66.87,1956985,25661,67.036219,67.4,True,False,43886.0
113,2021-12-09,66.67,67.185,66.12,66.51,2021420,24757,66.632776,66.24,False,True,41629.0
114,2021-12-10,66.66,67.55,66.65,67.06,1479415,21362,67.175668,66.86,False,True,94066.0
115,2021-12-13,66.78,67.22,66.4038,66.88,1911483,19624,66.905836,66.86,True,True,75619.0
116,2021-12-14,66.99,67.38,66.21,66.35,1732965,16858,66.533704,67.11,True,False,42976.0
117,2021-12-15,66.52,67.345,66.41,67.3,2025624,21124,67.01375,66.6,True,True,37400.0
118,2021-12-16,67.27,68.3,67.24,67.96,1669490,17637,67.848756,67.59,True,True,40761.0
119,2021-12-17,67.72,68.07,66.53,66.7,4931597,19785,66.947007,67.63,False,False,525071.0
120,2021-12-20,66.22,67.17,65.64,67.14,2998222,19472,66.821097,65.93,False,True,85423.0
121,2021-12-21,67.3,68.07,66.86,67.24,1722360,15110,67.277433,67.77,True,False,50360.0
122,2021-12-22,67.18,67.78,67.12,67.62,1223387,12467,67.55539,67.199,False,True,37675.0
123,2021-12-23,67.67,68.015,67.42,67.67,879203,12025,67.768716,67.86,True,False,26231.0
124,2021-12-27,67.82,67.875,67.13,67.62,595701,7722,67.527169,67.19,False,True,23434.0
125,2021-12-28,67.62,68.27,67.51,68.2,692496,9466,68.113251,67.87,True,True,32757.0
126,2021-12-29,68.16,68.58,67.93,68.44,1050281,12739,68.340528,67.95,False,True,38884.0
127,2021-12-30,67.73,67.74,66.59,67.63,1763859,16782,67.378359,67.43,False,True,73394.0
128,2021-12-31,67.74,68.62,67.61,68.25,1048003,10570,68.152132,67.98,True,True,50054.0
129,2022-01-03,68.09,68.34,66.55,67.51,1577776,18868,67.36001,68.11,False,False,68101.0
130,2022-01-04,67.575,68.01,66.6,66.67,2403422,24761,67.039366,67.37,False,False,53149.0
131,2022-01-05,66.48,66.55,65.1,65.2,3341225,32841,65.473365,65.93,False,False,66515.0
132,2022-01-06,65.28,65.64,64.45,64.62,2478024,25150,64.888284,65.0,False,False,148224.0
133,2022-01-07,64.32,65.67,63.88,65.0,3700778,30333,64.977976,63.905,False,True,126940.0
134,2022-01-10,64.99,65.69,64.61,65.64,2692229,24644,65.311063,65.05,True,True,159067.0
135,2022-01-11,65.62,65.8299,64.24,64.36,1767980,17549,64.55888,65.49,False,False,54201.0
136,2022-01-12,64.06,64.83,63.77,64.43,2092629,17197,64.4556,64.3,True,True,68820.0
137,2022-01-13,64.16,64.715,63.92,64.07,2867047,25187,64.205434,64.41,True,False,123668.0
138,2022-01-14,63.84,64.25,62.949,63.75,2615172,19955,63.466071,63.54,False,True,77810.0
