,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,315.28,318.79,315.07,318.08,1074519,19437,317.672985,318.1915,True,False,20349.0
1,2021-07-01,319.71,320.2572,315.86,317.08,1192866,21148,317.212592,317.2,False,False,31938.0
2,2021-07-02,317.1,318.93,316.32,317.56,619507,14268,317.559516,318.0,True,False,48298.0
3,2021-07-06,316.99,320.43,316.84,319.04,1058089,16995,319.098559,318.72,True,True,19226.0
4,2021-07-07,319.5,321.9,318.9,319.15,733385,17287,319.978685,319.29,False,False,22852.0
5,2021-07-08,314.42,314.87,307.855,313.57,1508532,35992,311.679396,309.265,False,True,62837.0
6,2021-07-09,314.69,318.09,314.07,317.87,623018,15858,317.17104,316.11,False,True,15788.0
7,2021-07-12,317.24,322.22,316.81,320.48,834629,16078,320.299881,321.23,True,False,19916.0
8,2021-07-13,319.61,322.8,319.9,320.63,853686,17431,321.332908,321.8533,False,False,18119.0
9,2021-07-14,323.98,326.77,323.41,326.56,1465859,25516,325.650217,325.07,False,True,32727.0
10,2021-07-15,326.56,327.59,324.11,326.96,849723,18901,326.047083,325.9608,True,True,24037.0
11,2021-07-16,328.11,328.646,323.59,324.49,684103,14500,324.977811,324.52,False,False,25162.0
12,2021-07-19,319.63,321.68,313.71,316.11,1339692,25841,316.113736,314.655,False,True,53639.0
13,2021-07-20,317.3,325.02,316.11,323.45,782723,20208,322.78792,321.61,True,True,31804.0
14,2021-07-21,325.32,325.63,322.57,323.08,670952,16423,323.686062,324.92,True,False,17768.0
15,2021-07-22,321.63,326.835,320.744,326.58,760264,15349,325.162279,324.06,True,True,20054.0
16,2021-07-23,327.09,333.68,326.84,333.55,770329,18562,331.151392,327.69,False,True,23403.0
17,2021-07-26,333.01,333.71,330.36,333.32,746642,15609,332.785143,331.86,True,True,25999.0
18,2021-07-27,332.135,332.83,327.93,329.78,988608,19066,329.988907,331.94,True,False,16971.0
19,2021-07-28,331.3,331.83,329.6801,330.87,648216,14114,330.831667,331.5,True,False,25648.0
20,2021-07-29,332.22,336.555,332.08,333.59,842183,19891,334.33042,335.43,True,False,12911.0
21,2021-07-30,332.25,335.805,332.16,333.83,716749,15012,333.714989,334.16,False,False,13034.0
22,2021-08-02,332.16,333.82,327.165,327.67,1057009,22564,329.387449,329.84,False,False,33019.0
23,2021-08-03,328.0,328.295,324.42,327.54,682602,16054,326.680965,324.62,False,True,29839.0
24,2021-08-04,326.4,327.9,324.61,325.78,805690,14680,326.334331,326.43,True,False,23138.0
25,2021-08-05,327.28,330.01,326.3666,328.69,768800,15438,328.222049,328.8,False,False,21382.0
26,2021-08-06,330.05,330.41,327.82,328.83,550107,12898,328.767564,328.7587,True,True,16178.0
27,2021-08-09,328.84,328.84,325.32,326.47,725105,19812,326.407793,325.56,False,True,16296.0
28,2021-08-10,326.1,327.76,324.19,327.72,531285,13790,326.547072,327.01,False,True,12822.0
29,2021-08-11,327.72,329.78,326.34,327.59,554620,13871,327.551033,327.47,True,True,15409.0
30,2021-08-12,327.04,328.19,324.615,326.78,668015,14803,326.764238,327.5,False,False,20251.0
31,2021-08-13,327.02,328.17,326.02,326.6,648817,16991,326.750605,327.995,True,False,14968.0
32,2021-08-16,326.46,328.43,322.79,327.98,1057312,22481,326.56512,324.04,False,True,69571.0
33,2021-08-17,325.34,326.67,320.77,322.6,1077493,23234,323.322135,325.28,False,False,23227.0
34,2021-08-18,319.59,322.78,317.94,319.08,1694864,28764,319.914677,320.175,True,False,34946.0
35,2021-08-19,319.0,330.805,317.05,327.4,2326341,38407,325.997251,323.5,False,True,60758.0
36,2021-08-20,328.06,330.69,326.85,330.18,957168,21229,329.552638,328.49,True,True,23415.0
37,2021-08-23,332.26,339.9899,331.75,336.29,1090147,22951,337.312843,336.84,True,False,39404.0
38,2021-08-24,336.3,338.96,334.28,337.6,654265,15756,337.342129,337.31,True,True,23346.0
39,2021-08-25,339.34,340.25,334.53,335.32,781492,17937,336.48354,337.21,False,False,28683.0
40,2021-08-26,337.41,339.18,335.445,336.49,604877,17148,337.094022,336.42,True,True,19161.0
41,2021-08-27,337.0,341.79,336.6,340.82,867443,18214,339.989932,338.68,False,True,34481.0
42,2021-08-30,342.63,344.9,342.25,343.48,863288,19011,343.818831,344.094,True,False,31272.0
43,2021-08-31,344.47,344.78,340.12,340.49,1265831,16152,341.863571,342.705,False,False,21059.0
44,2021-09-01,342.3,347.32,341.24,344.31,682347,17590,345.149282,344.68,True,False,13575.0
45,2021-09-02,346.54,347.82,342.62,344.06,693880,17096,344.892423,345.65,False,False,21315.0
46,2021-09-03,343.06,344.67,340.49,341.83,738107,16328,342.083699,342.36,False,False,27369.0
47,2021-09-07,342.0,342.35,335.33,337.57,970996,21679,337.693507,338.205,True,False,24648.0
48,2021-09-08,337.0,337.66,333.3233,336.76,892872,17703,335.980222,333.7,False,True,36933.0
49,2021-09-09,337.41,338.71,336.6706,337.49,893473,18590,337.651673,337.6,False,False,21833.0
50,2021-09-10,341.23,341.61,335.443,335.71,611770,15235,337.328813,337.5,False,False,14349.0
51,2021-09-13,338.49,338.89,329.225,332.93,824797,24226,332.240884,331.28,True,True,68156.0
52,2021-09-14,334.05,334.0071,330.03,330.82,839495,20187,331.688472,332.785,True,False,30366.0
53,2021-09-15,330.9,331.63,323.04,326.25,1686165,35224,326.035423,325.94,False,True,80224.0
54,2021-09-16,325.62,326.02,320.1,323.13,1018991,25438,322.789147,320.695,False,True,44144.0
55,2021-09-17,321.39,323.59,318.55,319.88,1662380,23887,319.961129,321.16,True,False,19891.0
56,2021-09-20,312.36,313.6,308.07,310.6,1873960,38176,311.054587,313.44,True,False,78407.0
57,2021-09-21,312.755,315.18,311.25,311.58,952658,20177,312.795269,313.105,False,False,27854.0
58,2021-09-22,313.85,320.46,312.61,318.56,1424708,28631,318.495203,319.055,True,False,60872.0
59,2021-09-23,321.22,324.46,320.74,321.32,1245616,27540,322.475125,323.4,False,False,32558.0
60,2021-09-24,319.96,321.55,317.96,320.65,889253,17553,319.887884,319.33,False,True,26667.0
61,2021-09-27,319.29,322.3,318.02,318.68,754832,17819,319.384391,321.1,True,False,25400.0
62,2021-09-28,316.8,317.96,308.0,309.54,1162966,30973,310.779901,313.16,True,False,25105.0
63,2021-09-29,310.795,310.93,305.49,306.4,980391,24000,307.564978,309.61,False,False,37289.0
64,2021-09-30,307.69,308.38,299.76,299.93,1667894,30320,302.124117,304.286,False,False,49552.0
65,2021-10-01,303.55,312.27,301.67,310.68,1352392,29521,308.401386,304.945,False,True,42345.0
66,2021-10-04,309.16,311.16,302.3,306.2,1312110,26512,305.969728,304.715,False,True,64380.0
67,2021-10-05,308.68,316.24,307.55,313.18,1607716,31601,313.473009,312.98,True,True,72185.0
68,2021-10-06,306.99,313.98,306.82,313.55,1043492,25168,311.843579,311.22,True,True,33371.0
69,2021-10-07,316.24,319.37,314.19,314.79,795228,21113,316.450288,317.77,False,False,27283.0
70,2021-10-08,315.03,316.0899,311.46,311.71,585068,14158,312.644493,312.75,False,False,16906.0
71,2021-10-11,311.61,314.715,309.41,309.96,771791,18594,311.758545,313.58,False,False,22732.0
72,2021-10-12,310.81,313.68,307.82,309.08,839127,18963,310.260944,309.69,True,False,23257.0
73,2021-10-13,309.935,316.17,309.68,315.01,996763,20700,313.678692,311.75,True,True,20717.0
74,2021-10-14,318.28,321.95,317.56,319.54,940953,21067,320.056996,320.1736,False,False,37524.0
75,2021-10-15,322.16,322.535,318.78,320.82,822413,16444,320.44176,319.44,True,True,14762.0
76,2021-10-18,317.77,318.82,314.71,318.36,827106,21104,317.317354,315.32,False,True,39166.0
77,2021-10-19,318.14,319.08,310.51,312.43,1218823,26571,312.372846,312.31,False,True,29045.0
78,2021-10-20,315.0,314.975,303.99,304.25,2820520,37197,307.989193,308.585,False,False,105802.0
79,2021-10-21,306.035,319.24,305.23,317.77,1946270,38818,314.330763,309.515,False,True,59944.0
80,2021-10-22,318.7,328.8587,318.31,327.64,1425016,33746,326.316635,324.67,False,True,32128.0
81,2021-10-25,327.0,330.975,323.24,330.06,1403517,28299,329.17298,327.82,True,True,43265.0
82,2021-10-26,330.98,333.655,329.43,331.05,1184063,23975,331.0929,332.695,True,False,28419.0
83,2021-10-27,332.3,333.26,325.17,325.37,759384,18794,327.009768,326.59,False,False,19258.0
84,2021-10-28,325.81,327.295,323.73,325.5,928193,20105,325.566078,326.7,False,False,22357.0
85,2021-10-29,323.85,327.015,322.65,324.33,1124199,18318,324.272302,325.33,True,False,17800.0
86,2021-11-01,327.195,328.185,320.36,325.15,1249499,28364,324.219665,321.735,False,True,30176.0
87,2021-11-02,316.82,341.68,313.41,338.62,2683493,50224,332.581441,332.685,True,True,81800.0
88,2021-11-03,334.58,341.25,331.06,340.38,1499214,35230,337.635187,334.215,True,True,68249.0
89,2021-11-04,341.78,342.0,336.9926,339.75,842160,22263,339.533815,339.18,True,True,27711.0
90,2021-11-05,340.45,350.37,340.13,349.5,1317807,28197,347.467624,346.685,False,True,40543.0
91,2021-11-08,351.37,353.45,345.125,349.39,795428,22303,348.456131,348.39,False,True,53731.0
92,2021-11-09,348.46,349.67,345.57,347.07,670643,19658,347.211176,347.865,False,False,53306.0
93,2021-11-10,345.11,350.98,343.52,345.11,1029225,25981,345.673289,349.88,True,False,67358.0
94,2021-11-11,346.19,347.59,340.46,344.41,863443,20431,343.461552,345.525,False,False,45534.0
95,2021-11-12,346.0,346.85,343.53,346.72,1063632,19441,346.186595,343.86,False,True,38228.0
96,2021-11-15,347.4,350.68,346.61,348.07,1043542,22962,348.153677,349.85,True,False,47525.0
97,2021-11-16,347.16,351.82,347.191,350.32,797667,18566,350.511898,349.03,True,True,35689.0
98,2021-11-17,351.88,356.51,348.8,354.46,1201738,26522,353.800678,350.88,False,True,54889.0
99,2021-11-18,345.93,348.5,342.04,347.2,1844311,29014,346.555235,343.185,False,True,198245.0
100,2021-11-19,349.78,354.93,346.25,352.85,1555719,29258,352.070981,346.45,False,True,161416.0
101,2021-11-22,354.96,357.82,350.26,350.47,1034095,23017,352.738436,354.68,True,False,64524.0
102,2021-11-23,348.72,351.11,346.09,349.76,1103048,22620,348.942489,350.36,True,False,98305.0
103,2021-11-24,348.34,350.58,346.75,349.21,1013583,18465,349.226497,347.87,False,True,107987.0
104,2021-11-26,341.51,345.84,334.08,334.35,1377831,27764,338.303546,344.065,True,False,164761.0
105,2021-11-29,337.78,342.4,334.48,340.05,1773165,29096,339.076534,337.74,True,True,89614.0
106,2021-11-30,338.01,338.48,331.15,332.07,3472828,35162,332.933501,337.01,False,False,70540.0
107,2021-12-01,334.97,337.09,325.1,325.33,1303137,30656,330.842525,335.8,True,False,82939.0
108,2021-12-02,326.94,336.51,326.51,334.67,1036290,27034,332.937934,328.71,True,True,63385.0
109,2021-12-03,341.27,347.35,330.19,335.3,1457920,34182,334.710238,339.24,False,False,146319.0
110,2021-12-06,337.47,343.705,337.33,341.55,1354234,26285,341.286927,339.27,True,True,47091.0
111,2021-12-07,348.1,357.7414,347.25,353.64,1342445,31040,354.32338,353.285,True,True,112660.0
112,2021-12-08,352.87,357.0,351.23,356.15,943218,23387,355.380812,354.47,True,True,62313.0
113,2021-12-09,355.65,361.02,355.17,355.84,992168,22674,357.510488,357.5,True,False,46802.0
114,2021-12-10,359.9,362.7,355.31,361.39,839639,19685,360.923429,357.9,False,True,50474.0
115,2021-12-13,360.19,362.47,357.94,360.34,1116544,20376,360.156316,359.272,False,True,56439.0
116,2021-12-14,357.34,358.0,352.87,356.76,1136114,26459,355.628881,357.45,False,False,62005.0
117,2021-12-15,356.39,365.33,355.05,365.12,1036859,28356,361.009445,357.99,True,True,60826.0
118,2021-12-16,367.3,369.24,360.22,362.68,1386434,34112,364.138667,368.46,True,False,75509.0
119,2021-12-17,359.42,361.73,343.45,345.96,2637364,42208,349.635475,358.01,False,False,353590.0
120,2021-12-20,342.92,346.15,340.14,345.54,1117543,26663,344.5052,341.685,False,True,82817.0
121,2021-12-21,348.91,353.91,347.3,352.75,989920,25109,351.815684,348.9026,False,True,54725.0
122,2021-12-22,353.71,361.905,353.25,361.7,1057623,19401,359.370528,356.795,True,True,52677.0
123,2021-12-23,362.355,367.95,361.9,365.99,897220,17475,365.782154,364.99,True,True,71800.0
124,2021-12-27,368.305,369.79,366.0,369.27,552201,15763,368.968739,367.555,True,True,35251.0
125,2021-12-28,369.66,370.825,367.59,367.8,538624,15376,368.736248,369.4894,False,False,24904.0
126,2021-12-29,368.87,371.73,367.4,370.08,572652,15502,369.50892,368.81,True,True,18087.0
127,2021-12-30,370.8,372.36,367.1,367.34,505179,15455,369.262382,370.225,True,False,34332.0
128,2021-12-31,368.11,371.33,367.45,370.2,612639,14397,369.808578,369.35,True,True,12627.0
129,2022-01-03,369.83,374.2,366.91,370.29,1025868,22068,369.625075,371.275,True,False,121612.0
130,2022-01-04,371.27,373.98,368.14,371.86,1012441,24703,371.609729,369.605,False,True,60980.0
131,2022-01-05,368.25,368.66,356.1,356.11,2071660,46822,358.823752,364.4,False,False,105597.0
132,2022-01-06,357.0,357.57,353.0,355.39,1090907,25372,355.252973,354.9124,False,True,65220.0
133,2022-01-07,354.46,357.455,350.07,354.93,934347,22255,354.727873,354.7,False,True,41860.0
134,2022-01-10,349.65,349.6,333.36,335.89,1854170,43346,336.567166,344.735,False,False,107675.0
135,2022-01-11,336.0,340.95,331.57,340.57,1029680,26343,337.991718,334.89,False,True,64357.0
136,2022-01-12,342.35,349.45,342.35,345.55,1590071,26249,345.465313,344.125,True,True,109855.0
