,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,115.8,117.1,115.67,116.75,590446,9891,116.591188,116.61,True,True,8144.0
1,2021-07-01,118.2,118.5747,115.87,116.92,475655,9701,117.061346,117.33,True,False,9363.0
2,2021-07-02,116.38,117.05,115.34,116.71,305949,7066,116.564903,116.36,False,True,4251.0
3,2021-07-06,116.71,116.79,112.34,113.07,616815,12337,113.30347,112.7501,False,True,23753.0
4,2021-07-07,112.98,114.29,112.13,114.12,752507,12585,113.587549,112.37,False,True,18813.0
5,2021-07-08,111.81,112.7,110.63,111.52,594112,11492,111.510967,111.4,True,True,19839.0
6,2021-07-09,113.39,115.37,112.79,114.95,718879,12575,114.615167,114.6751,False,True,19666.0
7,2021-07-12,114.3,115.94,113.03,115.23,536506,12041,115.172886,114.76,False,True,12589.0
8,2021-07-13,114.75,115.23,112.88,113.54,451048,10847,113.579911,113.29,False,True,12531.0
9,2021-07-14,113.7,114.735,112.88,113.37,733575,10202,113.42329,113.57,False,False,11249.0
10,2021-07-15,112.8,114.67,112.25,112.89,589833,11036,113.288917,114.0,True,False,13077.0
11,2021-07-16,113.31,113.84,108.77,109.2,944998,15218,110.029548,110.5329,False,False,24349.0
12,2021-07-19,106.8,107.005,104.81,105.69,979109,15960,105.768373,106.89,True,False,55152.0
13,2021-07-20,105.35,108.71,105.16,108.19,823567,13406,107.952992,107.42,False,True,47320.0
14,2021-07-21,110.01,111.09,109.16,109.84,510422,8629,109.903787,109.93,True,False,23208.0
15,2021-07-22,109.84,109.86,107.84,108.26,624403,8552,108.485232,108.46,True,False,9383.0
16,2021-07-23,109.63,110.32,107.96,110.05,819442,12488,109.489532,108.6,True,True,23712.0
17,2021-07-26,110.49,112.165,109.935,111.79,601500,11491,111.526544,110.64,False,True,10153.0
18,2021-07-27,110.7,112.07,108.535,110.85,563542,9078,110.438279,111.67,True,False,5388.0
19,2021-07-28,110.7,112.07,109.42,111.12,715790,9463,111.124214,109.66,True,True,10627.0
20,2021-07-29,112.8,113.11,111.87,112.76,534566,8713,112.716108,112.61,True,True,15725.0
21,2021-07-30,113.09,114.24,112.005,112.72,572845,8215,112.852103,112.375,False,True,16375.0
22,2021-08-02,113.53,115.82,111.88,111.88,478094,11044,112.909614,113.5,False,False,15398.0
23,2021-08-03,112.5,113.0,108.9,111.77,825584,14169,111.348155,111.33,False,True,45333.0
24,2021-08-04,111.51,111.8474,108.94,109.02,460125,9138,109.82052,111.28,False,False,11895.0
25,2021-08-05,110.6,112.16,110.41,110.59,636561,10246,110.942329,111.0,True,False,12731.0
26,2021-08-06,112.0,113.515,111.85,112.82,492896,9397,112.792446,112.62,False,True,10567.0
27,2021-08-09,112.22,113.25,111.25,112.81,451298,9101,112.756065,112.5,True,True,11060.0
28,2021-08-10,113.1,115.43,112.61,114.45,458933,10096,114.480408,114.54,True,False,14539.0
29,2021-08-11,115.78,116.8,114.6,116.75,605941,10530,116.163775,115.67,True,True,14793.0
30,2021-08-12,116.25,116.99,114.51,116.32,597585,10590,115.813462,115.23,False,True,12463.0
31,2021-08-13,116.19,116.63,115.415,115.7,387723,8067,115.811297,116.18,True,False,6348.0
32,2021-08-16,114.65,115.215,112.87,114.73,461073,9413,114.498228,114.4,False,True,13399.0
33,2021-08-17,113.62,114.06,111.36,113.02,433634,9482,112.758155,113.23,False,False,9899.0
34,2021-08-18,112.3,113.8047,111.0,111.26,473049,10859,112.042397,113.315,False,False,12980.0
35,2021-08-19,109.8,110.82,108.48,109.74,751719,11976,109.71354,109.11,False,True,36877.0
36,2021-08-20,109.73,110.6,109.17,109.9,517939,9840,109.759882,109.34,False,True,11771.0
37,2021-08-23,111.04,112.4,110.815,111.78,663605,10691,111.831253,111.56,True,True,11784.0
38,2021-08-24,112.26,113.805,112.2,113.03,597493,10109,113.085598,112.47,False,True,9371.0
39,2021-08-25,112.9,114.44,112.26,113.85,608562,10425,113.860671,113.88,True,False,18136.0
40,2021-08-26,114.14,114.25,112.25,112.51,440302,9697,112.813431,112.991,False,False,6255.0
41,2021-08-27,112.93,115.75,113.29,115.27,453143,10111,115.115614,114.27,True,True,8325.0
42,2021-08-30,115.59,116.0,113.44,113.58,942834,10364,113.747567,114.43,True,False,14795.0
43,2021-08-31,113.245,113.75,112.5883,113.16,947104,12406,113.167677,112.9,True,True,9527.0
44,2021-09-01,113.1,113.75,111.56,112.76,707605,13140,112.674196,112.56,True,True,15232.0
45,2021-09-02,112.83,114.6,112.67,113.28,747926,12853,113.55355,114.09,True,False,20768.0
46,2021-09-03,113.34,113.76,112.14,112.56,557178,10834,112.829004,112.73,False,False,18039.0
47,2021-09-07,111.89,112.7199,111.45,111.97,493339,11293,112.148855,112.22,True,False,13144.0
48,2021-09-08,111.62,112.08,109.085,109.29,1017634,14991,109.880352,109.525,False,False,20870.0
49,2021-09-09,108.35,110.96,107.8414,109.37,900939,15604,109.658321,110.54,False,False,20871.0
50,2021-09-10,110.6,111.325,109.4,109.47,618602,11589,110.180773,110.5,False,False,16556.0
51,2021-09-13,110.5,111.22,108.88,110.2,786239,16536,109.777132,110.19,True,True,30694.0
52,2021-09-14,109.64,109.99,104.46,104.5,1399051,21653,105.710877,106.07,False,False,46738.0
53,2021-09-15,104.5,106.03,104.21,106.01,1232268,20604,105.502388,104.8,True,True,31841.0
54,2021-09-16,106.48,106.66,104.91,104.96,631327,14455,105.515299,105.445,False,False,20295.0
55,2021-09-17,104.03,104.66,101.925,103.09,1929034,23244,102.953973,102.58,False,True,32197.0
56,2021-09-20,100.02,101.26,98.241,99.65,1135702,19405,99.353461,100.09,True,False,25896.0
57,2021-09-21,100.57,100.75,98.4,99.18,913465,14713,99.220818,98.8,False,True,55737.0
58,2021-09-22,100.63,102.41,100.09,100.17,849981,11809,100.499497,101.41,True,False,25658.0
59,2021-09-23,101.26,103.46,100.79,101.82,703578,11786,102.194656,102.49,True,False,9138.0
60,2021-09-24,101.11,102.67,101.26,102.2,516739,11619,102.297905,102.34,False,False,9622.0
61,2021-09-27,103.2,106.11,102.84,105.5,819127,11977,105.437805,105.62,False,False,23975.0
62,2021-09-28,105.6,106.46,104.395,104.58,715006,14276,105.0784,105.83,True,False,14996.0
63,2021-09-29,104.4,104.95,103.34,104.0,1093410,18669,104.031969,104.46,True,False,14639.0
64,2021-09-30,104.09,104.5,100.69,100.74,1100150,18385,101.941435,103.19,False,False,18837.0
65,2021-10-01,101.95,103.32,101.24,102.5,1232685,15722,102.487474,101.37,False,True,16814.0
66,2021-10-04,102.64,104.09,100.94,102.11,1524439,16407,102.105109,102.055,False,True,15466.0
67,2021-10-05,102.01,105.11,101.75,104.62,1222573,13709,103.92492,104.41,True,True,31971.0
68,2021-10-06,103.08,103.97,101.31,103.12,1152879,15862,102.795877,101.965,False,True,20112.0
