,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,94.81,96.43,94.46,96.24,2276833,27021,96.02872,95.905,True,True,65372.0
1,2021-07-01,97.18,97.59,96.72,96.92,1899484,27362,96.971713,96.78,False,True,46927.0
2,2021-07-02,96.78,97.71,96.35,97.44,1343752,21690,97.38743,97.36,True,True,47267.0
3,2021-07-06,97.23,97.3,94.765,95.7,2282524,30147,95.676863,95.04,False,True,73814.0
4,2021-07-07,95.41,97.24,95.33,97.07,2134601,30294,96.636912,95.89,True,True,64195.0
5,2021-07-08,95.76,96.58,94.71,96.03,1651266,24599,95.82237,95.59,True,True,46125.0
6,2021-07-09,97.41,98.14,97.21,97.61,2135489,25680,97.640693,97.93,False,False,58047.0
7,2021-07-12,97.47,98.79,96.75,98.61,2337564,32970,98.489305,98.54,False,True,65547.0
8,2021-07-13,98.4,98.61,97.66,97.8,2199986,28585,97.936362,97.9459,False,False,43590.0
9,2021-07-14,97.9,98.9,97.88,98.06,2803189,38285,98.285644,98.15,False,False,55908.0
10,2021-07-15,97.62,98.85,97.4,98.52,1994680,29617,98.340946,98.45,True,True,58484.0
11,2021-07-16,98.99,99.09,97.04,97.26,4551407,33274,97.497493,97.74,True,False,94618.0
12,2021-07-19,95.63,96.04,93.325,93.81,3760228,51516,94.004326,94.38,True,False,92689.0
13,2021-07-20,93.98,97.345,93.88,97.13,3311594,43867,96.655031,96.4075,True,True,142246.0
14,2021-07-21,97.66,98.54,97.39,98.27,1790611,24892,98.186741,98.21,True,True,84207.0
15,2021-07-22,97.96,98.5,97.25,97.44,1146962,18047,97.606922,97.67,True,False,26976.0
16,2021-07-23,97.85,98.65,97.25,98.48,1652673,22879,98.277625,97.96,True,True,27664.0
17,2021-07-26,98.42,99.2,97.82,98.34,1253571,17194,98.284501,97.8242,False,True,47873.0
18,2021-07-27,97.75,99.13,97.15,98.34,1513645,22203,98.274902,98.72,True,False,41807.0
19,2021-07-28,98.12,98.92,97.06,98.36,1728694,24593,98.1966,97.45,True,True,59650.0
20,2021-07-29,99.47,100.21,98.56,100.0,2433131,30514,99.864784,99.78,True,True,55916.0
21,2021-07-30,99.98,101.03,99.47,100.89,2796421,32274,100.670702,100.13,False,True,55591.0
22,2021-08-02,101.405,102.415,99.63,99.72,1959729,30739,100.571723,101.015,False,False,100483.0
23,2021-08-03,100.21,101.29,99.18,101.16,2181357,30787,100.868555,100.68,True,True,78446.0
24,2021-08-04,98.55,101.82,97.7,100.2,1924192,28465,100.505055,101.6,True,False,48736.0
25,2021-08-05,101.44,102.07,100.7,101.06,2083900,25795,101.086765,100.88,True,True,59807.0
26,2021-08-06,102.03,102.34,100.96,101.44,1705946,28160,101.386426,101.18,False,True,62386.0
27,2021-08-09,101.21,101.46,100.62,101.16,1311692,19193,101.16552,101.22,True,False,28599.0
28,2021-08-10,101.66,103.235,101.14,103.07,2244094,29990,102.617012,102.08,False,True,58042.0
29,2021-08-11,103.28,104.36,102.8,104.28,2369833,30443,103.922411,103.67,True,True,31280.0
30,2021-08-12,103.6,104.25,103.065,104.11,1920066,30206,103.872857,103.38,False,True,39034.0
31,2021-08-13,103.96,104.18,103.29,103.74,1181835,21769,103.785798,103.41,False,True,41460.0
