,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,83.16,84.41,82.67,83.44,5390701,45999,83.572493,83.45,False,False,219815.0
1,2021-07-01,85.89,86.38,84.6,85.99,4395285,41874,85.91788,85.381,False,True,83138.0
2,2021-07-02,85.69,86.31,84.39,85.77,2882602,29129,85.834363,85.7,False,True,58337.0
3,2021-07-06,85.78,86.0,83.12,83.72,3774398,44707,83.997813,83.96,True,False,100715.0
4,2021-07-07,83.65,84.21,80.64,81.09,4428758,51346,81.535862,81.1,True,False,241821.0
5,2021-07-08,80.215,81.63,79.56,79.89,6308971,64100,80.340626,80.47,True,False,191732.0
6,2021-07-09,81.0,82.77,79.8,82.59,6356202,62218,81.24149,81.14,True,True,649117.0
7,2021-07-12,81.41,83.87,80.91,83.3,3387535,37156,83.127608,83.31,False,False,119521.0
8,2021-07-13,82.78,83.56,82.13,82.73,3506920,29400,82.826646,82.23,False,True,74334.0
9,2021-07-14,83.57,84.33,79.22,79.66,3739074,38717,80.770325,82.64,False,False,81671.0
10,2021-07-15,76.89,78.64,75.75,76.19,6223141,51069,76.626487,76.88,False,False,191680.0
11,2021-07-16,77.25,77.34,73.605,73.91,3643270,44188,74.572764,74.8,False,False,94783.0
12,2021-07-19,71.21,72.44,69.42,70.34,6330429,70402,70.171213,70.59,True,False,221244.0
13,2021-07-20,70.12,72.46,69.3,71.5,7214234,48297,71.425649,71.945,False,False,171458.0
14,2021-07-21,73.14,74.865,72.421,74.19,8749813,60947,74.098709,74.0,False,True,412112.0
15,2021-07-22,74.4,74.54,72.93,73.7,3057001,32022,73.716603,73.42,False,True,68572.0
16,2021-07-23,73.46,73.67,71.575,72.51,3886816,35446,72.546896,72.6,True,False,95973.0
17,2021-07-26,72.96,74.6,72.56,74.17,4236188,43028,74.068481,73.55,False,True,130726.0
18,2021-07-27,73.21,73.4,71.63,72.73,4968214,41862,72.487698,72.6,False,True,194980.0
19,2021-07-28,73.42,73.8,71.7,73.3,3537446,37638,73.069695,71.94,False,True,211761.0
20,2021-07-29,74.12,74.25,72.8,73.71,4439771,35857,73.687537,73.47,True,True,158248.0
21,2021-07-30,73.34,73.3504,72.08,72.86,4703045,37689,72.748873,72.17,False,True,112821.0
22,2021-08-02,73.08,74.39,71.38,71.62,5647357,46623,72.308143,73.11,False,False,103559.0
23,2021-08-03,71.36,74.29,70.8785,73.68,4710121,51217,73.446548,73.08,True,True,175001.0
24,2021-08-04,71.79,73.04,70.5,70.74,4962469,53794,71.182241,72.42,False,False,96800.0
25,2021-08-05,71.04,71.96,69.76,70.74,6530934,56960,70.987496,70.65,False,True,266693.0
26,2021-08-06,71.91,72.17,70.61,70.93,4559152,43340,71.251188,70.97,False,False,95680.0
27,2021-08-09,69.62,70.61,68.86,69.38,3907186,36151,69.571828,69.1,True,True,223046.0
28,2021-08-10,69.74,70.32,67.98,68.73,16151663,96248,69.085609,69.31,False,False,593422.0
29,2021-08-11,68.82,69.88,68.02,69.46,7841224,54793,69.171513,68.833,False,True,350295.0
30,2021-08-12,69.29,70.0,68.7,69.79,3907536,38467,69.487327,68.99,True,True,93417.0
31,2021-08-13,69.83,69.85,67.96,68.0,2507437,32904,68.547974,68.82,True,False,65183.0
32,2021-08-16,67.03,67.4,65.83,65.92,3653901,38640,66.329874,66.8,True,False,111677.0
33,2021-08-17,65.35,66.84,65.35,65.97,4604492,47829,66.184552,66.7205,True,False,153062.0
34,2021-08-18,66.08,67.553,65.23,65.36,5496732,51316,66.182536,66.79,True,False,635379.0
35,2021-08-19,64.3,65.44,62.81,64.26,5461324,60067,63.77756,63.18,False,True,223912.0
36,2021-08-20,63.35,65.0,63.25,64.47,3549591,37163,64.34194,64.1,False,True,133124.0
37,2021-08-23,66.68,68.04,66.3415,67.64,4191266,44558,67.48931,67.05,False,True,124207.0
38,2021-08-24,68.41,68.815,67.47,68.45,3638792,34562,68.189059,67.87,False,True,223472.0
39,2021-08-25,68.46,69.29,67.77,68.73,2362441,25372,68.644863,68.4,True,True,50982.0
40,2021-08-26,67.88,68.35,67.02,67.43,3244498,32994,67.541978,67.575,False,False,96305.0
41,2021-08-27,68.45,70.41,68.4,69.63,3435776,38033,69.702687,69.75,True,False,124049.0
42,2021-08-30,68.86,69.355,67.36,67.39,4613388,43717,67.972517,68.43,True,False,114421.0
43,2021-08-31,67.25,68.21,66.67,67.52,4740958,36673,67.507751,67.11,True,True,118438.0
44,2021-09-01,67.54,68.02,66.0544,66.36,3733414,41499,66.602047,67.21,False,False,84153.0
45,2021-09-02,67.0,69.515,66.93,68.36,3539681,39065,68.571177,69.035,True,False,297100.0
46,2021-09-03,68.0,68.5508,67.21,67.99,2450283,28224,67.835298,67.56,False,True,69304.0
47,2021-09-07,67.25,68.32,66.95,67.67,2272231,29300,67.4767,67.23,False,True,80672.0
48,2021-09-08,68.18,68.5599,66.85,67.18,2906795,32533,67.409053,67.405,False,False,150582.0
49,2021-09-09,66.56,68.2,66.075,67.35,3283460,37032,67.331553,68.07,True,False,99315.0
50,2021-09-10,68.57,68.92,66.9654,67.14,2769247,30418,67.504005,67.385,False,False,55431.0
51,2021-09-13,69.35,71.38,69.08,70.09,5096515,54435,70.096893,70.07,True,True,170947.0
52,2021-09-14,70.7,70.95,69.17,69.52,4741909,57671,69.852464,69.5,False,True,197931.0
53,2021-09-15,71.22,75.53,71.02,75.31,8410710,84648,74.557804,73.7765,False,True,427942.0
54,2021-09-16,75.0,75.45,73.4,73.97,4325492,51056,74.19891,74.28,False,False,152336.0
55,2021-09-17,74.12,74.93,73.49,74.25,6395709,42361,74.130549,73.66,False,True,121148.0
56,2021-09-20,71.76,72.91,70.41,71.53,5221355,50485,71.352546,72.03,True,False,99324.0
57,2021-09-21,72.69,73.155,71.3766,72.21,3865297,49104,72.434317,71.77,True,True,91019.0
