,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,804.53,809.85,798.592,802.6,716057,15567,801.828294,800.75,False,True,9034.0
1,2021-07-01,802.6,808.6,795.2,797.64,505866,13223,801.121888,803.04,True,False,6715.0
2,2021-07-02,801.61,804.3059,796.01,800.5,379912,11137,799.698122,799.14,True,True,6443.0
3,2021-07-06,801.38,819.85,799.99,819.11,458174,14444,816.093443,816.39,True,True,8196.0
4,2021-07-07,823.28,831.72,817.22,827.81,525288,14913,826.75908,823.75,False,True,14788.0
5,2021-07-08,825.0,832.92,820.63,828.19,401538,13207,825.859949,824.49,False,True,8969.0
6,2021-07-09,828.3,834.0,812.98,820.32,478914,15027,819.591185,823.74,False,False,9243.0
7,2021-07-12,823.05,833.94,815.69,829.55,600620,16173,828.861402,831.105,True,False,8837.0
8,2021-07-13,828.99,835.71,821.56,823.04,398009,13477,826.653403,833.29,True,False,24125.0
9,2021-07-14,823.2,834.77,818.8973,831.84,409196,13556,829.931586,827.59,True,True,23057.0
10,2021-07-15,832.52,835.71,824.65,834.04,309928,9609,831.611008,830.495,False,True,5302.0
11,2021-07-16,835.56,845.62,829.29,831.47,541517,14678,837.199691,843.325,True,False,12800.0
12,2021-07-19,829.2,838.86,824.16,834.3,475605,15328,831.885797,830.12,False,True,5724.0
13,2021-07-20,838.49,840.0,828.18,832.65,408620,13178,834.140155,833.895,False,False,7329.0
14,2021-07-21,826.03,829.53,812.84,819.76,580842,16931,819.485261,818.3848,True,True,10425.0
15,2021-07-22,821.97,826.79,817.57,820.82,377154,11601,821.687542,825.24,True,False,2278.0
16,2021-07-23,820.67,835.46,815.96,833.48,348076,11236,830.671644,823.07,True,True,4385.0
17,2021-07-26,832.03,835.02,823.85,829.51,393793,9856,829.454333,828.44,True,True,7648.0
18,2021-07-27,827.72,842.53,825.39,841.83,392263,12149,838.490206,833.25,False,True,6127.0
19,2021-07-28,835.98,841.59,832.32,836.31,390510,12170,836.072578,836.74,False,False,14753.0
20,2021-07-29,829.59,836.25,784.29,786.38,891062,22313,799.646369,818.33,False,False,11577.0
21,2021-07-30,789.95,829.74,790.96,820.41,675575,20221,821.351127,822.27,False,False,15733.0
22,2021-08-02,820.41,826.0645,813.42,818.99,505388,14782,819.334822,819.51,False,False,13498.0
23,2021-08-03,823.42,834.0,816.15,820.31,478204,13020,821.284043,819.94,True,True,7411.0
24,2021-08-04,821.96,832.85,818.835,828.34,331207,11139,825.923369,824.17,False,True,4421.0
25,2021-08-05,832.08,833.9,822.52,830.62,334805,11843,828.173739,828.1,False,True,5525.0
26,2021-08-06,826.67,829.04,818.605,820.15,524424,15256,823.542067,826.5,True,False,4371.0
27,2021-08-09,823.92,824.02,814.29,814.99,422049,13245,817.671989,816.084,True,False,12304.0
28,2021-08-10,818.18,818.18,797.65,797.97,487673,13702,805.803106,809.35,False,False,5819.0
29,2021-08-11,800.01,809.9,797.67,806.88,596234,13298,804.008223,801.475,False,True,30724.0
30,2021-08-12,809.72,817.03,805.21,811.72,453827,12606,812.008558,814.5,True,False,13105.0
31,2021-08-13,814.32,817.08,805.2,814.09,315658,8967,812.278246,811.795,True,True,3154.0
32,2021-08-16,814.07,824.28,814.07,822.94,300157,11107,821.108719,819.2,False,True,14623.0
33,2021-08-17,819.98,829.08,816.06,827.81,295054,11157,825.705506,825.11,True,True,6045.0
34,2021-08-18,824.6,826.02,811.94,814.27,268986,9878,816.257311,818.45,False,False,3625.0
35,2021-08-19,815.06,838.0,811.225,833.96,451551,12874,831.99315,825.74,False,True,6102.0
36,2021-08-20,833.04,843.5,829.79,835.63,338555,12744,837.667844,838.635,False,False,9536.0
37,2021-08-23,835.0,840.0,830.17,835.57,391695,14250,836.34693,837.13,False,False,7754.0
38,2021-08-24,836.86,838.0,819.3,820.24,349845,11699,822.774565,826.435,True,False,6858.0
39,2021-08-25,818.97,821.48,801.2,807.53,317226,11819,808.324521,808.6,False,False,11621.0
40,2021-08-26,807.53,830.18,807.53,824.99,515854,14403,821.310079,812.355,True,True,10280.0
41,2021-08-27,825.0,830.26,819.0,824.81,383732,13976,824.456641,821.755,False,True,8274.0
42,2021-08-30,823.95,842.79,824.65,840.03,322527,11139,836.037769,838.49,True,True,2102.0
43,2021-08-31,840.07,848.48,833.83,843.45,507405,16497,842.916555,841.9839,True,True,31318.0
44,2021-09-01,843.0,869.88,837.93,868.84,477252,16224,863.1175,858.71,True,True,41160.0
45,2021-09-02,866.05,875.79,852.11,874.43,616336,19093,865.506296,856.99,False,True,17299.0
46,2021-09-03,866.03,885.26,866.0,882.83,516409,16689,880.689645,874.93,True,True,8329.0
47,2021-09-07,866.18,884.23,859.56,881.76,447532,19499,877.050815,870.1,True,True,9857.0
48,2021-09-08,881.28,883.24,874.09,882.31,329909,15992,879.408915,877.71,True,True,5477.0
49,2021-09-09,878.16,878.09,852.42,854.56,532936,17865,861.032425,863.24,False,False,11940.0
50,2021-09-10,849.98,850.89,832.91,844.0,474763,17598,843.525271,839.09,True,True,13564.0
51,2021-09-13,849.8,852.93,833.46,839.54,435772,15358,840.403861,842.47,False,False,8500.0
52,2021-09-14,845.98,852.57,832.79,834.89,608783,18046,839.308536,849.81,False,False,17626.0
53,2021-09-15,843.55,850.15,833.08,843.44,466359,15314,841.726065,836.03,True,True,31166.0
