,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,80.24,80.81,79.85,80.24,1309153,15717,80.237505,80.32,True,False,36404.0
1,2021-07-01,80.22,80.69,79.57,79.86,1836788,21941,80.100289,80.11,True,False,34428.0
2,2021-07-02,80.15,80.885,79.79,80.7,1071328,12717,80.554894,80.41,True,True,24601.0
3,2021-07-06,80.7,81.08,79.57,81.04,1129910,14758,80.610227,80.3,True,True,28589.0
4,2021-07-07,81.13,82.76,80.66,82.7,1441154,17682,82.317022,82.12,True,True,49264.0
5,2021-07-08,82.47,83.44,82.26,82.61,1775303,21960,82.801447,83.28,True,False,97479.0
6,2021-07-09,82.47,82.84,82.08,82.63,1340118,15462,82.560708,82.34,False,True,34586.0
7,2021-07-12,82.37,82.68,81.89,82.5,950067,12432,82.406428,82.39,True,True,22115.0
8,2021-07-13,82.44,83.43,82.23,82.93,2194961,22276,82.918068,82.85,False,True,28243.0
9,2021-07-14,82.76,84.46,82.36,84.04,1656396,19288,83.902471,83.27,True,True,46255.0
10,2021-07-15,83.99,86.36,83.89,86.11,2872394,29779,85.47599,84.4909,False,True,116373.0
11,2021-07-16,86.36,87.67,86.11,87.36,2188959,25382,87.209524,86.755,False,True,75431.0
12,2021-07-19,87.29,88.2,85.34,86.23,2301186,26822,86.415104,86.94,False,False,79712.0
13,2021-07-20,86.56,87.79,85.41,85.94,1767609,23482,86.247728,87.07,False,False,38680.0
14,2021-07-21,85.51,85.765,83.35,83.78,2324751,22356,84.162586,84.8,True,False,99703.0
15,2021-07-22,84.33,85.05,83.75,84.81,1329247,15349,84.668283,84.09,True,True,33557.0
16,2021-07-23,84.99,86.26,84.74,86.22,834147,11428,85.791838,85.21,True,True,17615.0
17,2021-07-26,85.85,86.41,85.04,85.82,1144402,13200,85.843961,85.44,False,True,26894.0
18,2021-07-27,85.5,87.81,85.35,87.6,1338544,17377,87.159703,86.27,True,True,32044.0
19,2021-07-28,87.495,87.88,85.75,86.38,1462253,17140,86.543349,86.84,False,False,46005.0
20,2021-07-29,86.42,86.69,85.6109,86.39,1452636,19076,86.193784,85.65,False,True,33171.0
21,2021-07-30,86.99,88.11,85.98,86.27,2079930,18484,86.550907,87.44,True,False,28890.0
22,2021-08-02,86.33,87.345,85.94,87.3,1264613,17188,87.00272,86.81,True,True,35040.0
23,2021-08-03,87.15,88.96,86.94,87.8,1664736,20174,87.904172,88.15,False,False,35837.0
24,2021-08-04,87.33,88.22,86.71,88.17,1207592,15096,87.79902,87.025,True,True,31139.0
25,2021-08-05,88.1,89.15,87.885,89.03,1044821,15731,88.587179,88.23,False,True,49392.0
26,2021-08-06,88.75,89.86,88.52,88.96,1071761,14773,89.324562,89.48,False,False,22935.0
27,2021-08-09,89.23,89.41,88.33,88.95,872036,12349,88.811625,88.84,True,True,20006.0
28,2021-08-10,88.8,89.26,88.39,88.92,862455,12212,88.94344,88.895,True,True,19962.0
29,2021-08-11,89.16,89.98,88.97,89.92,1060119,13398,89.669537,89.38,False,True,41921.0
30,2021-08-12,89.72,90.415,89.555,89.6,1196469,14693,89.861943,90.31,True,False,39969.0
31,2021-08-13,89.65,90.46,89.575,90.44,1400802,15078,90.275504,89.95,False,True,41852.0
32,2021-08-16,90.62,91.49,90.47,90.81,1271779,13651,90.868351,91.17,False,False,30253.0
33,2021-08-17,90.49,90.88,89.785,90.84,1345715,15461,90.44072,90.14,False,True,32087.0
34,2021-08-18,90.96,91.06,89.7,90.22,1147813,16207,90.150926,90.36,False,False,17036.0
35,2021-08-19,90.32,91.83,90.12,91.18,1562210,18739,91.166718,91.175,False,True,55034.0
36,2021-08-20,90.93,92.66,90.555,92.11,2311325,23913,92.069014,92.35,False,False,97018.0
37,2021-08-23,91.75,92.1,90.79,91.12,1652573,19125,91.273543,91.56,False,False,105455.0
38,2021-08-24,90.92,91.245,89.75,90.88,1212542,15039,90.797037,90.68,True,True,26889.0
39,2021-08-25,90.65,90.77,90.11,90.35,1515372,20733,90.435414,90.5,False,False,23063.0
40,2021-08-26,90.32,90.64,89.98,90.29,1641329,19059,90.248964,90.34,True,False,33325.0
41,2021-08-27,90.35,90.51,89.9,90.18,1117679,15860,90.201314,90.19,False,False,24495.0
42,2021-08-30,90.19,91.15,90.04,91.05,682408,11404,90.887163,90.73,False,True,28104.0
43,2021-08-31,90.9,91.32,90.3,90.73,1662155,14113,90.764246,91.11,True,False,23079.0
44,2021-09-01,90.87,92.06,90.85,91.66,1539593,18517,91.554492,91.85,True,False,30335.0
45,2021-09-02,91.95,92.65,91.7,92.62,943214,12615,92.344436,91.85,False,True,18072.0
46,2021-09-03,92.44,92.6,91.65,91.99,926750,11135,92.149924,92.17,True,False,14491.0
47,2021-09-07,91.69,91.88,89.72,89.73,1462674,17678,90.327304,90.6553,True,False,37943.0
48,2021-09-08,89.62,92.61,89.39,91.89,2730464,22756,91.92731,91.79,True,True,136524.0
49,2021-09-09,89.99,90.65,88.89,89.81,2579808,25620,89.920853,89.75,False,True,68379.0
50,2021-09-10,89.58,90.01,88.21,88.33,1535036,20000,88.574815,88.825,False,False,26070.0
51,2021-09-13,89.17,89.48,87.88,88.35,1549052,18926,88.457304,88.66,False,False,65642.0
52,2021-09-14,88.36,88.88,86.42,86.97,2132805,27264,87.292518,88.63,True,False,41161.0
53,2021-09-15,86.01,86.29,85.175,85.31,1904141,23874,85.478781,85.81,False,False,28488.0
54,2021-09-16,85.08,85.54,84.13,84.86,986031,13814,84.855385,84.3,False,True,37093.0
55,2021-09-17,84.31,85.02,83.12,83.3,3090442,17396,83.79605,83.85,False,False,30397.0
56,2021-09-20,83.5,84.32,82.41,83.37,1285163,16895,83.42803,83.93,False,False,26815.0
57,2021-09-21,83.37,84.45,83.29,83.54,1064952,15030,83.785147,84.05,True,False,29457.0
58,2021-09-22,83.05,83.81,82.53,82.95,882499,15388,83.122065,83.35,False,False,19520.0
59,2021-09-23,82.96,83.43,82.36,82.49,1144133,15389,82.760533,82.8,False,False,20354.0
60,2021-09-24,82.25,83.02,82.24,82.67,1357830,17700,82.663615,82.57,False,True,29786.0
61,2021-09-27,82.66,83.61,81.37,81.5,1026153,14636,82.35849,83.34,False,False,28744.0
62,2021-09-28,81.02,81.47,80.35,81.07,1462736,20522,80.913124,80.77,False,True,30706.0
63,2021-09-29,81.43,82.5,81.02,82.14,1067263,16155,82.050936,81.89,True,True,35201.0
64,2021-09-30,82.2,82.67,81.53,81.76,1954421,23558,82.048222,82.485,True,False,56677.0
65,2021-10-01,82.26,82.7,81.6,81.84,1597771,21607,82.09183,82.09,True,False,32370.0
66,2021-10-04,82.34,85.4,82.15,84.92,2495413,28421,84.431198,84.78,True,True,90985.0
67,2021-10-05,84.85,85.41,84.39,84.69,1440367,17753,84.863604,84.67,False,True,36212.0
68,2021-10-06,84.46,86.32,84.18,86.26,1637477,19289,85.466007,84.88,True,True,64593.0
69,2021-10-07,86.32,87.05,85.27,86.09,1547318,14566,86.098009,86.41,False,False,43300.0
70,2021-10-08,85.88,86.66,85.29,85.41,821217,12491,85.675244,85.72,True,False,24845.0
71,2021-10-11,85.0,85.41,84.16,84.33,1158428,15594,84.618314,84.98,False,False,31732.0
72,2021-10-12,84.46,85.65,84.325,85.51,1450212,17069,85.436368,85.33,True,True,19218.0
73,2021-10-13,85.6,86.53,84.79,86.24,1514345,16465,86.007926,85.11,True,True,29091.0
74,2021-10-14,86.54,87.81,86.37,87.69,1200372,15575,87.508447,86.97,False,True,19135.0
75,2021-10-15,87.83,87.925,86.16,86.41,1154692,13107,86.619994,87.06,False,False,16005.0
76,2021-10-18,85.64,85.88,84.98,85.41,1154457,16782,85.442955,85.599,True,False,24427.0
77,2021-10-19,86.64,86.81,85.59,86.16,1434312,15160,86.121037,86.35,True,False,31147.0
78,2021-10-20,86.67,87.13,85.79,86.3,1540618,16403,86.408068,86.88,True,False,60935.0
79,2021-10-21,86.48,86.62,85.79,86.09,973377,12177,86.079839,85.935,False,True,26225.0
80,2021-10-22,86.53,86.84,86.21,86.5,915721,11763,86.535125,86.68,True,False,16904.0
81,2021-10-25,86.26,86.52,85.72,86.01,856188,11254,86.070144,86.33,True,False,23566.0
82,2021-10-26,86.11,86.53,85.61,86.03,1133657,12540,86.020288,85.81,False,True,21740.0
83,2021-10-27,86.41,86.69,85.11,85.58,1133237,14534,85.655731,86.06,True,False,27618.0
84,2021-10-28,85.79,86.365,85.255,85.66,1004248,12708,85.737954,85.94,True,False,18172.0
