,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,302.6,304.46,299.77,300.01,302824,6183,300.999348,302.575,False,False,3351.0
1,2021-07-01,300.9,307.12,300.18,303.93,388387,7937,304.472804,303.25,True,True,3805.0
2,2021-07-02,306.78,307.6,304.61,305.86,287824,6977,305.924882,305.32,False,True,4162.0
3,2021-07-06,305.26,309.39,303.22,308.81,410668,8034,307.392063,305.5475,True,True,4705.0
4,2021-07-07,308.0,314.55,306.21,312.88,324503,8643,312.204362,310.75,True,True,8102.0
5,2021-07-08,310.22,314.65,309.0,314.65,286766,6651,312.908197,311.37,True,True,2551.0
6,2021-07-09,315.89,320.64,315.84,320.24,324030,9144,318.762054,318.05,False,True,8296.0
7,2021-07-12,320.04,324.92,318.77,324.13,391600,7631,323.804477,324.17,True,False,42542.0
8,2021-07-13,322.48,323.89,318.71,320.53,329758,7608,320.750405,322.06,False,False,2401.0
9,2021-07-14,321.09,325.97,320.03,325.5,265811,5780,324.722822,322.55,True,True,3404.0
10,2021-07-15,324.45,327.89,323.45,326.98,210268,6667,326.264126,325.165,True,True,8087.0
11,2021-07-16,329.225,329.56,327.53,328.33,227586,6299,328.509469,328.67,False,False,3299.0
12,2021-07-19,324.33,326.0,319.5199,322.71,381312,10260,322.572713,324.36,True,False,7446.0
13,2021-07-20,325.0,332.55,324.19,330.73,311670,9201,329.95424,328.03,False,True,5352.0
14,2021-07-21,332.15,334.4,330.46,330.53,303196,7479,332.121972,332.78,True,False,1995.0
15,2021-07-22,329.05,331.1,326.68,327.51,237512,6236,327.929991,329.61,True,False,2672.0
16,2021-07-23,328.92,332.2,327.37,331.91,133449,4919,330.944349,328.19,False,True,1099.0
17,2021-07-26,330.64,333.6,328.29,331.12,280992,7220,330.458609,329.05,False,True,7735.0
18,2021-07-27,329.16,335.36,329.15,331.8,236541,6184,332.534664,332.76,True,False,3445.0
19,2021-07-28,332.69,333.18,329.93,331.14,300034,7162,331.298349,331.905,True,False,6158.0
20,2021-07-29,331.88,333.73,328.78,330.6,308716,8243,330.529019,331.4,True,False,9770.0
21,2021-07-30,330.71,336.75,325.45,328.1,690021,9817,329.019438,333.735,False,False,7983.0
22,2021-08-02,328.65,333.88,326.5,328.3,366222,9680,328.199209,329.19,False,False,5614.0
23,2021-08-03,328.0,328.94,322.91,327.68,353339,9044,325.902556,325.07,True,True,8296.0
24,2021-08-04,327.02,327.99,322.36,323.99,351629,7983,323.805195,325.5046,False,False,792.0
25,2021-08-05,326.0,326.28,321.32,325.61,296153,8997,324.002571,324.73,True,True,8488.0
26,2021-08-06,326.44,329.07,325.8,326.86,274876,6649,327.374927,326.71,False,True,10476.0
27,2021-08-09,324.54,325.68,320.48,321.48,219501,6542,321.965417,324.78,True,False,4219.0
28,2021-08-10,320.77,321.26,317.68,317.85,201197,7349,318.583555,320.54,True,False,3139.0
29,2021-08-11,320.46,320.565,314.485,315.16,236883,6675,315.963435,318.0,False,False,4590.0
30,2021-08-12,316.94,316.455,313.17,314.89,239248,5638,314.732602,316.0,True,False,4530.0
31,2021-08-13,317.29,317.5,314.23,316.95,150885,4967,316.221407,314.51,False,True,4971.0
32,2021-08-16,315.74,319.57,314.935,316.27,269310,7433,316.416426,318.63,False,False,9273.0
33,2021-08-17,314.29,319.46,314.1,318.74,354135,9147,316.784993,315.6,True,True,13241.0
34,2021-08-18,316.74,318.68,315.22,316.07,225489,6649,316.850266,317.43,True,False,3513.0
35,2021-08-19,314.88,318.71,313.49,318.65,206515,5258,317.155953,315.39,False,True,2508.0
36,2021-08-20,316.83,321.61,315.14,319.49,202749,6419,319.815486,319.15,False,True,8796.0
37,2021-08-23,320.17,321.49,315.42,317.05,136755,5563,317.345908,318.82,False,False,3002.0
38,2021-08-24,317.35,317.42,313.94,315.01,229700,6580,315.401331,314.91,True,True,4075.0
39,2021-08-25,316.34,321.4,314.72,317.95,325709,7236,318.802949,318.38,True,False,4602.0
40,2021-08-26,317.115,320.67,315.76,318.59,163583,4552,318.783661,317.71,False,True,4962.0
41,2021-08-27,321.45,322.4,319.265,320.76,159488,4736,320.866139,319.45,False,True,4651.0
42,2021-08-30,322.13,327.35,321.01,326.8,432751,10344,325.263986,324.42,True,True,6746.0
43,2021-08-31,326.55,331.66,326.3,330.74,470928,10793,329.894218,329.13,True,True,19585.0
44,2021-09-01,331.63,336.54,330.78,336.3,430811,9042,335.096096,333.38,True,True,5799.0
45,2021-09-02,336.17,337.43,331.39,337.0,374555,7854,335.587563,333.05,False,True,3765.0
46,2021-09-03,334.65,335.75,331.27,335.58,294096,6944,334.256348,331.86,False,True,2935.0
47,2021-09-07,333.48,334.52,324.6,327.52,328887,8273,327.46461,329.72,True,False,4251.0
48,2021-09-08,327.04,333.39,325.2,331.7,154756,5286,330.896321,329.86,False,True,2497.0
49,2021-09-09,329.42,331.69,327.21,328.3,303754,7805,329.665485,330.55,False,False,5681.0
50,2021-09-10,331.17,331.43,321.56,321.94,232708,6873,323.849455,323.85,False,False,5396.0
51,2021-09-13,324.3,329.63,323.57,324.49,236136,6793,325.969556,327.68,False,False,8284.0
52,2021-09-14,324.59,326.16,322.26,324.46,201295,7098,324.111751,324.63,True,False,4420.0
53,2021-09-15,323.88,329.84,323.77,327.25,320262,8718,327.148669,324.6,False,True,2014.0
54,2021-09-16,327.4,329.43,324.9,327.71,213648,5589,327.598028,325.87,True,True,1930.0
55,2021-09-17,328.02,328.35,321.7,322.53,520498,6449,323.501326,324.27,False,False,2516.0
56,2021-09-20,320.02,324.57,317.94,321.46,362202,9788,320.684362,322.37,True,False,2089.0
57,2021-09-21,324.92,330.03,323.65,323.66,325289,8492,325.839082,327.31,False,False,12244.0
58,2021-09-22,325.95,331.76,321.51,329.64,319940,7721,329.698539,329.36,False,True,11205.0
59,2021-09-23,330.6,333.71,329.65,330.9,217989,6175,331.77048,331.48,False,False,4652.0
60,2021-09-24,331.2,333.1,327.42,327.52,193478,6280,328.640173,329.35,False,False,2993.0
61,2021-09-27,328.64,331.61,320.33,320.55,257355,6503,323.859375,329.38,False,False,8774.0
62,2021-09-28,317.54,321.95,317.24,319.67,303810,8347,319.599676,320.7,False,False,11608.0
63,2021-09-29,322.55,326.34,320.864,323.93,260062,7000,324.133757,324.925,False,False,5507.0
64,2021-09-30,324.02,327.11,319.52,319.74,238751,7576,321.842016,325.655,False,False,4132.0
65,2021-10-01,321.6,326.98,317.78,326.13,263004,7727,324.641254,318.51,False,True,5183.0
66,2021-10-04,326.31,329.47,323.93,327.62,250215,7020,326.974758,326.05,True,True,6724.0
67,2021-10-05,329.49,329.4,323.58,325.49,212369,6648,326.245829,323.59,False,True,2418.0
68,2021-10-06,324.97,329.27,318.6,328.87,210670,6044,325.481395,321.65,True,True,2793.0
69,2021-10-07,331.75,334.845,327.29,329.27,204895,6167,330.462654,332.877,True,False,7651.0
