,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,146.24,148.49,145.79,148.18,1594837,27607,147.720965,147.66,True,True,52720.0
1,2021-07-01,149.84,150.71,149.35,150.17,2237274,40550,150.195584,150.45,True,False,107706.0
2,2021-07-02,149.66,151.45,149.39,151.4,1185648,24560,151.081017,150.59,False,True,14808.0
3,2021-07-06,150.65,151.25,147.37,149.7,1630344,26056,149.298398,147.79,False,True,50927.0
4,2021-07-07,149.64,152.27,149.47,152.18,1405381,23344,151.535518,150.0816,False,True,47704.0
5,2021-07-08,150.22,151.8,149.52,150.57,1849986,29463,150.553129,150.8426,True,False,46342.0
6,2021-07-09,152.55,154.3,152.24,153.56,1475188,27386,153.540066,153.91,False,False,52794.0
7,2021-07-12,153.38,155.25,152.3301,155.07,1760574,31081,154.549472,154.61,True,True,52887.0
8,2021-07-13,154.71,155.31,153.77,154.04,1635534,34895,154.341475,154.71,False,False,44394.0
9,2021-07-14,154.61,155.67,148.3101,153.4,3896378,57942,152.818453,154.57,True,False,45850.0
10,2021-07-15,152.2,154.54,152.18,153.87,1272660,25678,153.558171,153.75,True,True,34675.0
11,2021-07-16,154.98,155.25,152.61,152.74,1630232,29357,153.377798,153.05,False,False,41384.0
12,2021-07-19,150.34,150.53,146.99,149.19,1856157,40752,148.508144,147.94,True,True,100688.0
13,2021-07-20,149.11,154.42,149.11,154.09,1734377,31371,153.441633,152.82,False,True,42896.0
14,2021-07-21,155.0,156.64,154.745,155.63,1548877,26948,155.629002,155.87,True,False,25310.0
15,2021-07-22,156.13,156.23,154.9,156.05,1310506,26245,155.69576,155.25,False,True,88688.0
16,2021-07-23,156.86,157.34,155.85,156.73,1102275,23183,156.725572,156.79,True,False,34046.0
17,2021-07-26,156.58,157.64,155.34,156.03,1705700,27068,155.948318,155.53,False,True,62733.0
18,2021-07-27,155.24,157.23,154.3012,156.14,1325594,24710,155.948583,156.7,True,False,54069.0
19,2021-07-28,156.2,156.93,154.76,155.46,1881810,32188,155.507021,154.84,False,True,49753.0
20,2021-07-29,156.43,158.11,155.93,157.71,1221282,22564,157.482888,157.48,True,True,38068.0
21,2021-07-30,157.71,158.69,157.04,158.05,1497408,21185,157.864087,157.77,False,True,29299.0
22,2021-08-02,158.78,159.96,156.49,156.49,1363727,26221,157.693532,158.38,False,False,40449.0
23,2021-08-03,159.15,163.29,158.89,162.81,2413380,32077,162.38955,162.74,True,True,71986.0
24,2021-08-04,162.87,164.27,161.685,161.83,1569423,27591,162.446613,163.0,False,False,57082.0
25,2021-08-05,163.02,163.66,161.09,161.92,1279927,20997,162.042793,162.005,True,False,29170.0
26,2021-08-06,163.14,163.73,162.04,162.89,1058051,18716,163.042377,163.14,True,False,30936.0
27,2021-08-09,162.41,163.79,161.63,163.29,1178959,19734,163.213609,162.6905,True,True,21419.0
28,2021-08-10,164.07,167.53,163.9,167.35,2056460,29118,166.87123,166.11,False,True,42355.0
29,2021-08-11,168.66,168.88,166.39,166.91,1472895,26907,167.255914,168.15,True,False,24177.0
30,2021-08-12,165.57,167.35,165.04,167.17,1710138,23115,166.68514,166.22,False,True,21823.0
31,2021-08-13,166.65,167.93,166.225,167.62,1715302,27504,167.394965,166.73,True,True,48830.0
32,2021-08-16,166.87,168.9,166.34,168.51,1178595,21486,168.280583,168.53,True,False,28732.0
33,2021-08-17,167.5,167.9,164.96,166.9,1178841,22190,166.51015,166.685,False,True,31051.0
34,2021-08-18,166.45,168.3,166.33,166.44,1318937,24790,167.399082,167.95,False,False,56980.0
35,2021-08-19,165.09,168.18,163.5787,166.94,1379236,22220,166.923864,165.22,False,True,19952.0
36,2021-08-20,166.78,167.92,166.23,167.46,1016657,19065,167.267217,166.8299,True,True,22641.0
37,2021-08-23,168.3,169.643,167.73,168.84,1393930,23233,169.012932,168.94,True,False,50530.0
38,2021-08-24,168.7,170.26,167.6724,169.39,1524251,23577,169.484077,169.395,False,False,32612.0
39,2021-08-25,169.52,171.32,169.42,170.21,994352,17164,170.495526,171.14,True,False,30127.0
40,2021-08-26,170.34,170.57,169.19,169.36,1197109,22630,169.70382,169.7976,False,False,23072.0
41,2021-08-27,170.15,170.67,168.64,170.03,1133488,21617,169.985145,169.81,False,True,46031.0
42,2021-08-30,170.78,171.23,169.705,170.21,968455,20553,170.57363,170.73,False,False,22148.0
43,2021-08-31,169.8,170.2,168.02,168.36,1859875,26428,168.620514,168.77,True,False,36485.0
44,2021-09-01,168.36,168.41,165.76,166.75,1544982,25312,166.63484,166.4,True,True,76932.0
45,2021-09-02,167.2,168.17,166.68,168.13,1527434,23016,167.513844,167.62,True,True,41332.0
46,2021-09-03,168.01,168.19,166.33,166.38,1254867,21678,166.941684,167.1,False,False,31739.0
47,2021-09-07,165.72,165.8,163.56,163.7,1747996,26321,164.026947,163.9955,False,False,43612.0
48,2021-09-08,162.81,164.3,161.395,163.36,1594030,29238,163.051454,161.605,False,True,104749.0
49,2021-09-09,163.23,164.33,161.21,161.53,1213994,22934,162.20844,163.15,False,False,40212.0
50,2021-09-10,162.96,163.28,160.31,160.39,1652790,29746,161.290571,161.12,False,False,78795.0
51,2021-09-13,161.62,162.0,156.19,158.27,2681568,42141,157.914749,158.375,False,False,97779.0
52,2021-09-14,156.24,158.47,155.52,156.3,2779913,42277,156.689497,156.03,False,True,91341.0
53,2021-09-15,155.99,161.14,155.76,160.55,2962888,39424,159.627058,159.27,True,True,131682.0
54,2021-09-16,160.56,160.71,158.23,159.29,1477946,26743,159.240298,159.06,True,True,39491.0
55,2021-09-17,158.08,158.16,156.17,157.53,3111930,34614,157.271159,156.3,False,True,50174.0
56,2021-09-20,154.26,156.65,153.89,156.5,1694790,28502,155.349964,154.955,True,True,39699.0
57,2021-09-21,157.25,157.52,153.89,154.59,1230843,22085,154.92617,154.58,False,True,47366.0
58,2021-09-22,156.11,157.59,155.63,156.43,1336359,24785,156.838255,156.83,True,False,34882.0
59,2021-09-23,157.52,158.46,157.36,158.0,2223399,32725,157.979498,157.75,True,True,38920.0
60,2021-09-24,157.51,158.199,155.88,156.01,1041316,20691,156.59308,157.13,False,False,28833.0
61,2021-09-27,156.15,157.3105,155.08,155.15,1634427,25765,155.997136,156.75,True,False,44562.0
62,2021-09-28,154.97,155.3869,152.52,153.99,1795432,30436,153.84443,153.95,True,True,83441.0
63,2021-09-29,154.635,154.635,153.17,153.47,1574395,23099,153.805544,153.835,True,False,36141.0
64,2021-09-30,153.82,154.19,149.25,149.31,2086330,32999,150.782807,152.44,False,False,47013.0
65,2021-10-01,149.7,151.61,148.1898,150.65,1597891,26244,150.122362,148.425,False,True,52205.0
66,2021-10-04,150.05,151.39,147.3501,148.36,1720955,30068,148.382251,148.82,False,False,78705.0
67,2021-10-05,148.84,152.115,148.2,151.26,1754808,22705,151.063287,150.6,True,True,27907.0
68,2021-10-06,149.89,151.82,148.11,151.7,1045835,20089,150.391534,148.66,False,True,28643.0
69,2021-10-07,153.39,154.65,153.21,153.92,1776622,23357,154.146011,154.3,False,False,42650.0
70,2021-10-08,153.52,154.22,152.77,153.56,1142553,21911,153.631045,154.08,True,False,43368.0
71,2021-10-11,153.64,154.76,152.43,152.56,1184096,19862,153.254394,154.2425,False,False,32335.0
72,2021-10-12,153.1,154.28,151.355,151.62,1256229,20897,152.640583,153.42,True,False,32121.0
73,2021-10-13,152.23,154.45,151.54,153.39,1379796,22297,153.173023,152.99,True,True,47283.0
74,2021-10-14,155.41,159.95,153.75,159.57,2066192,35271,158.608671,156.95,False,True,55981.0
75,2021-10-15,160.38,162.445,159.53,161.45,1658249,23259,161.414524,160.79,False,True,42245.0
76,2021-10-18,160.33,161.88,159.81,161.27,862310,17054,161.157354,160.77,True,True,24284.0
77,2021-10-19,162.0,162.57,160.885,161.48,862646,19372,161.683805,161.685,False,False,27444.0
78,2021-10-20,161.5,163.33,160.73,163.2,1130996,17630,162.674142,161.53,False,True,20924.0
79,2021-10-21,162.47,162.565,160.665,162.12,1353496,20475,161.867759,161.73,True,True,26372.0
80,2021-10-22,162.89,164.04,162.28,162.38,751226,16190,162.823648,163.57,False,False,19620.0
81,2021-10-25,162.24,163.94,161.33,162.51,1008038,17946,162.742836,162.87,True,False,22864.0
82,2021-10-26,162.95,163.18,161.29,161.34,964693,18339,161.891198,161.49,False,False,50944.0
83,2021-10-27,161.56,163.45,160.06,160.12,1011717,17372,161.246377,161.64,False,False,23282.0
84,2021-10-28,160.4,165.07,160.12,164.96,1607446,24294,164.173982,162.87,False,True,21533.0
85,2021-10-29,164.31,165.96,163.82,164.76,1658964,19432,164.770179,165.52,True,False,29807.0
86,2021-11-01,165.09,165.9444,163.26,164.34,1620041,25776,164.430019,163.95,True,True,44589.0
87,2021-11-02,165.22,172.24,165.0,171.63,2397957,39546,170.890577,170.64,False,True,115391.0
88,2021-11-03,169.53,172.01,167.33,169.49,1951476,32631,169.005486,168.8,True,True,53409.0
89,2021-11-04,170.88,173.06,170.59,171.98,1147609,21826,171.943206,172.4,False,False,34136.0
90,2021-11-05,173.2,173.45,170.28,171.3,1217242,23938,171.403676,172.045,False,False,27250.0
91,2021-11-08,174.06,174.81,172.2986,173.72,1695025,26935,173.737502,172.98,False,True,100285.0
92,2021-11-09,174.23,175.24,173.43,174.66,1034803,20827,174.398147,174.27,True,True,43654.0
93,2021-11-10,173.56,173.95,171.32,171.87,1311378,22878,172.287709,173.51,False,False,57693.0
94,2021-11-11,171.18,172.13,169.51,169.92,1155962,24753,170.287402,171.95,False,False,51902.0
95,2021-11-12,170.09,172.32,168.82,171.8,1187042,18530,171.151452,169.735,False,True,51597.0
96,2021-11-15,172.14,173.21,171.56,172.74,1016722,17658,172.53143,171.6267,False,True,41368.0
97,2021-11-16,172.77,175.72,172.42,173.8,1434240,22368,174.274677,173.2,True,True,61270.0
98,2021-11-17,174.08,174.295,171.51,173.1,1432476,24021,172.894053,172.93,False,True,82631.0
99,2021-11-18,173.08,173.58,171.661,173.32,899042,15445,172.9991,173.13,False,True,47027.0
100,2021-11-19,173.22,173.81,171.92,172.3,1333516,22515,172.712682,172.86,False,False,121106.0
101,2021-11-22,172.96,174.905,172.192,172.32,1254594,26316,173.515321,172.65,False,False,49301.0
102,2021-11-23,171.96,172.94,171.28,172.57,1049782,21203,172.192429,171.84,False,True,46695.0
103,2021-11-24,171.48,172.225,170.17,170.95,1233018,22256,170.918065,171.325,False,False,44956.0
104,2021-11-26,165.75,168.18,164.411,167.51,1113626,24091,166.926938,166.53,False,True,93162.0
105,2021-11-29,169.01,169.65,165.45,167.38,2066299,30772,167.335995,168.23,False,False,68250.0
106,2021-11-30,165.86,166.91,161.38,162.06,4240617,44613,162.566124,165.31,False,False,90417.0
107,2021-12-01,165.39,167.26,161.37,161.47,1939522,36234,164.435905,164.744,True,False,84092.0
108,2021-12-02,162.8,167.53,162.1,166.63,1399836,29020,166.315983,163.325,True,True,31536.0
109,2021-12-03,167.68,168.1,164.48,166.44,1357217,24600,165.896816,167.16,False,False,27421.0
110,2021-12-06,167.88,170.66,166.53,169.83,1732652,29073,169.450706,167.64,False,True,48006.0
111,2021-12-07,171.8,174.47,170.25,170.59,1878912,31640,171.769741,173.28,True,False,61949.0
112,2021-12-08,171.34,171.45,168.03,169.92,1984710,32982,169.343882,169.78,False,True,64605.0
113,2021-12-09,169.48,170.0,167.455,168.59,1843586,27806,168.638138,169.8,True,False,32660.0
114,2021-12-10,169.38,170.89,169.14,170.46,1429648,25141,170.393007,170.71,True,False,57133.0
115,2021-12-13,170.64,171.35,168.8,169.7,1598830,22866,169.805544,170.35,False,False,90142.0
116,2021-12-14,168.47,169.345,162.55,164.84,2832539,39158,165.124415,169.1,True,False,66714.0
117,2021-12-15,166.36,169.5,165.4,169.26,2253194,31733,167.50775,165.76,False,True,98973.0
118,2021-12-16,170.75,171.25,167.94,168.8,1394317,26879,169.39952,169.75,False,False,61199.0
119,2021-12-17,168.98,169.49,164.72,165.07,2660492,32289,166.527396,168.11,False,False,350949.0
120,2021-12-20,163.435,164.55,161.16,164.06,2139714,35631,163.231073,163.15,False,True,89359.0
121,2021-12-21,165.81,167.37,164.4025,167.24,2012906,31843,166.505922,165.175,False,True,84247.0
122,2021-12-22,166.94,167.68,166.32,166.74,1257701,19835,166.890358,166.98,True,False,57848.0
123,2021-12-23,167.69,169.18,167.15,168.04,861295,16281,168.448897,168.37,True,False,41213.0
124,2021-12-27,168.81,170.74,167.73,170.67,730272,15209,169.761399,169.085,True,True,28298.0
125,2021-12-28,170.35,171.76,170.31,171.2,672248,13756,171.1814,170.9772,True,True,25882.0
126,2021-12-29,171.17,172.12,170.48,171.71,1465985,17438,171.666061,171.01,False,True,35244.0
127,2021-12-30,172.12,172.52,171.215,171.42,883812,15589,171.658721,171.8599,False,False,33547.0
128,2021-12-31,171.58,173.68,170.97,172.82,838214,14727,172.779148,171.4,True,True,14996.0
129,2022-01-03,172.97,173.39,167.92,168.66,1306274,24381,169.155535,172.19,False,False,41040.0
130,2022-01-04,169.12,172.28,168.84,171.46,2064773,29945,171.245394,169.82,True,True,53805.0
131,2022-01-05,171.24,172.91,168.83,169.01,1712768,28017,170.638622,171.26,False,False,51475.0
132,2022-01-06,169.43,170.74,168.4,169.41,1426765,22353,169.378778,169.72,True,False,47224.0
133,2022-01-07,169.63,170.88,167.81,167.85,2075671,31407,169.029911,170.25,True,False,58107.0
134,2022-01-10,166.48,166.895,162.8,166.42,1883003,29974,165.333149,164.83,False,True,82990.0
135,2022-01-11,167.0,168.03,164.645,167.76,1075660,20811,166.860702,165.58,False,True,46256.0
136,2022-01-12,169.0,172.0,168.695,171.46,1982601,30711,171.050923,169.88,True,True,106422.0
137,2022-01-13,171.99,172.29,170.37,171.18,1331228,22725,171.39757,171.63,True,False,43062.0
138,2022-01-14,169.26,171.71,167.6,170.92,2818755,35220,169.830948,169.11,True,True,96883.0
