,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,100.64,100.82,99.27,99.7,1190858,13076,99.697887,99.72,False,False,36536.0
1,2021-07-01,99.55,102.0806,99.49,101.56,770753,11862,101.285521,100.61,True,True,18618.0
2,2021-07-02,101.49,102.08,101.06,101.81,775455,11696,101.635895,101.38,True,True,11770.0
3,2021-07-06,101.53,102.37,100.49,102.31,772894,11267,101.82504,101.13,True,True,11686.0
4,2021-07-07,101.95,102.84,101.6,102.79,774979,11954,102.410378,102.09,True,True,28491.0
5,2021-07-08,102.34,102.84,101.96,102.27,791117,11526,102.296903,102.58,True,False,16895.0
6,2021-07-09,102.74,103.185,101.95,102.92,670745,9317,102.753838,102.15,False,True,15312.0
7,2021-07-12,102.14,103.25,102.13,103.04,594764,7947,102.925892,102.87,False,True,7777.0
8,2021-07-13,102.97,103.19,101.265,101.66,567152,9489,102.04457,102.86,True,False,10892.0
9,2021-07-14,101.52,103.08,101.22,102.53,639100,8984,102.593393,102.0,True,True,8750.0
10,2021-07-15,102.43,103.72,102.09,103.62,975288,13684,103.15988,102.52,False,True,15816.0
11,2021-07-16,103.66,105.34,103.39,104.72,747218,11384,104.708733,104.17,False,True,13348.0
12,2021-07-19,104.15,104.46,100.2,101.61,1150043,20843,101.676017,102.35,False,False,45423.0
13,2021-07-20,101.85,103.34,101.67,102.35,763290,14209,102.467668,102.225,False,True,22193.0
14,2021-07-21,102.51,102.96,101.07,101.15,536903,9930,101.529282,102.4,True,False,11795.0
15,2021-07-22,101.25,101.61,100.45,100.89,577711,10274,100.858853,100.62,True,True,15086.0
16,2021-07-23,101.115,102.76,101.05,102.74,798665,10024,102.348131,101.47,True,True,10874.0
17,2021-07-26,102.77,104.01,102.48,103.78,1050569,13442,103.379805,102.91,False,True,19051.0
18,2021-07-27,103.63,105.9339,103.2,105.34,715913,11426,105.196639,104.62,True,True,24597.0
19,2021-07-28,105.32,105.5,103.58,104.31,635652,9889,104.291821,104.52,False,False,10177.0
20,2021-07-29,104.58,104.9595,103.82,104.38,556954,9453,104.343014,103.975,False,True,12910.0
21,2021-07-30,104.47,105.51,102.66,102.92,1159429,11818,103.527945,104.73,True,False,105459.0
22,2021-08-02,103.16,104.2,103.01,103.58,1676495,15452,103.710873,103.76,False,False,18149.0
23,2021-08-03,103.35,104.7,103.16,103.97,942135,13194,103.849244,104.14,True,False,29241.0
24,2021-08-04,103.83,104.09,102.15,103.71,1262726,15759,103.2534,103.11,True,True,29248.0
25,2021-08-05,103.77,106.6,103.6,106.46,1108870,14984,105.430532,104.64,True,True,29728.0
26,2021-08-06,106.11,106.89,105.6,106.09,1258915,15672,106.117887,106.36,True,False,39850.0
27,2021-08-09,106.335,106.93,105.8,106.83,1110633,15019,106.482865,106.045,False,True,34296.0
28,2021-08-10,106.8,108.915,106.45,108.67,1269675,17538,108.356655,107.88,True,True,32940.0
29,2021-08-11,107.9,109.31,107.52,109.01,1037207,15487,108.788918,108.905,False,True,26786.0
30,2021-08-12,108.78,109.49,108.41,108.69,953894,12684,108.795764,109.155,True,False,21746.0
31,2021-08-13,108.66,110.04,108.41,109.88,941477,12276,109.568373,109.03,False,True,10684.0
32,2021-08-16,109.1,111.75,109.01,110.28,1722285,21405,110.601582,111.01,False,False,65593.0
33,2021-08-17,110.25,110.565,108.84,110.1,1072337,14852,109.686374,109.655,False,True,24044.0
