,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,60.82,60.79,60.11,60.43,796866,8810,60.402143,60.359,True,True,9279.0
1,2021-07-01,60.58,61.73,60.46,61.39,667894,8727,61.346891,60.98,True,True,12650.0
2,2021-07-02,61.23,61.72,61.12,61.58,519667,6734,61.517681,61.36,True,True,7272.0
3,2021-07-06,61.29,61.79,60.79,61.71,877290,10446,61.496298,61.14,True,True,12367.0
4,2021-07-07,61.52,61.89,61.08,61.82,894002,11491,61.594396,61.3,True,True,36400.0
5,2021-07-08,61.35,62.08,60.77,61.81,828083,9170,61.784279,61.96,True,False,15425.0
6,2021-07-09,61.96,62.01,60.95,61.79,1380816,12585,61.544703,61.24,False,True,14440.0
7,2021-07-12,61.53,62.08,61.46,61.9,939356,8612,61.830943,61.98,True,False,7892.0
8,2021-07-13,61.92,62.15,61.24,61.49,624497,8354,61.710014,61.9,False,False,11571.0
9,2021-07-14,61.44,62.78,61.1,62.31,1037323,11732,62.259543,61.85,True,True,17370.0
10,2021-07-15,62.22,63.42,62.02,63.23,1146476,12472,62.939904,62.26,False,True,14265.0
11,2021-07-16,63.33,64.8,63.12,64.56,1648408,17690,64.42665,64.28,False,True,106147.0
12,2021-07-19,64.47,64.715,63.4,64.11,2669319,27897,63.814472,63.755,False,True,45000.0
13,2021-07-20,64.27,64.74,63.7,64.0,2482485,19258,64.05286,64.165,False,False,33227.0
14,2021-07-21,64.02,64.43,63.73,63.91,1300263,13140,63.982108,64.19,True,False,15942.0
15,2021-07-22,63.96,64.31,63.375,64.14,1321694,14812,63.986052,63.735,True,True,109896.0
16,2021-07-23,64.2,65.09,63.86,65.08,1341698,13076,64.845923,64.42,True,True,15170.0
17,2021-07-26,64.88,65.26,64.45,65.15,1694649,16639,65.000876,64.82,True,True,31119.0
18,2021-07-27,64.9,66.53,64.82,66.3,1202346,16434,66.134625,65.83,True,True,68251.0
19,2021-07-28,66.13,66.3,64.97,65.21,1050317,15104,65.364404,65.86,True,False,24039.0
20,2021-07-29,65.17,65.775,65.17,65.36,1081072,12943,65.453852,65.28,True,True,21954.0
21,2021-07-30,65.35,65.87,65.02,65.22,2447716,13453,65.262675,65.5,True,False,16667.0
22,2021-08-02,65.42,66.17,65.12,65.81,920481,10447,65.796333,65.89,True,False,15737.0
23,2021-08-03,65.67,66.45,65.62,66.38,875510,10691,66.247858,66.2,True,True,16363.0
24,2021-08-04,65.84,66.34,65.495,66.24,1248496,13924,65.994196,65.99,True,True,15165.0
25,2021-08-05,66.7,67.09,66.12,67.05,1180058,11560,66.780736,66.44,False,True,40165.0
26,2021-08-06,66.91,67.3,66.655,66.72,886028,10707,66.917467,67.14,True,False,12090.0
27,2021-08-09,66.93,67.055,66.41,66.74,849140,9918,66.670924,66.75,True,False,21615.0
28,2021-08-10,66.55,67.14,66.4,66.92,685892,8796,66.943696,66.89,True,True,19846.0
29,2021-08-11,67.02,67.83,66.87,67.55,1185188,11374,67.490018,67.32,True,True,13225.0
30,2021-08-12,67.545,67.7,67.23,67.41,1015473,8919,67.461519,67.39,True,True,11460.0
31,2021-08-13,67.56,68.14,67.38,68.1,904824,8981,67.913014,67.81,False,True,13626.0
32,2021-08-16,68.28,69.0,68.11,68.8,1151369,13298,68.772227,68.8,False,False,20332.0
33,2021-08-17,68.64,69.06,68.38,68.97,1390104,14010,68.741801,68.59,False,True,30979.0
34,2021-08-18,68.82,69.2,68.43,68.87,2101341,15511,68.802006,68.98,True,False,17141.0
35,2021-08-19,68.395,68.925,68.205,68.6,1894408,15285,68.546149,68.4,False,True,116844.0
36,2021-08-20,68.36,69.29,68.2,69.26,1474051,13805,69.025506,68.82,False,True,71788.0
37,2021-08-23,69.315,69.315,68.52,68.91,1577206,14340,68.801863,68.95,False,False,15954.0
38,2021-08-24,68.78,68.925,67.97,68.48,1669661,13820,68.489609,68.43,False,True,141640.0
39,2021-08-25,68.16,69.08,68.178,68.86,1142683,11208,68.772848,68.605,True,True,15906.0
40,2021-08-26,68.84,69.14,68.68,69.11,1650382,15176,68.951925,69.01,False,True,70379.0
41,2021-08-27,69.0,69.45,68.25,68.31,1446066,15377,68.743667,69.22,False,False,24260.0
42,2021-08-30,68.25,68.609,67.84,67.91,935100,14019,68.060121,68.07,False,False,28732.0
43,2021-08-31,67.81,68.63,67.84,68.45,1825805,17806,68.311468,68.305,True,True,34252.0
44,2021-09-01,68.58,68.82,68.13,68.62,945077,13822,68.588778,68.68,False,False,30440.0
45,2021-09-02,68.755,69.18,68.62,68.95,1018159,10832,68.882288,68.8647,False,True,18646.0
46,2021-09-03,68.78,69.09,68.27,68.5,903268,10423,68.665019,68.67,False,False,62837.0
47,2021-09-07,68.31,68.45,67.11,67.23,1310260,17281,67.44948,67.68,False,False,17457.0
48,2021-09-08,67.22,68.66,67.1,68.41,1064497,12273,68.373195,68.15,False,True,18605.0
49,2021-09-09,68.27,68.55,67.81,68.19,776291,8263,68.289996,68.3352,False,False,59075.0
50,2021-09-10,67.95,68.16,66.61,66.69,912673,11539,67.081379,67.32,False,False,14328.0
51,2021-09-13,67.28,67.58,66.49,66.58,943839,11504,66.807606,67.21,False,False,46404.0
52,2021-09-14,67.0,67.0,65.6,65.76,1012448,15432,65.933957,66.515,False,False,23110.0
53,2021-09-15,64.85,65.61,64.16,64.78,2229109,19901,65.039068,65.09,False,False,55575.0
54,2021-09-16,64.89,65.16,64.44,64.55,1257536,12903,64.718836,64.63,False,False,22551.0
55,2021-09-17,64.05,65.16,63.9,64.2,3391032,21005,64.394956,64.38,False,False,46569.0
56,2021-09-20,64.33,65.47,63.58,64.26,1736766,21604,64.418741,65.19,True,False,48439.0
57,2021-09-21,64.32,64.67,63.68,63.87,1661134,17075,64.08137,64.145,False,False,111741.0
58,2021-09-22,63.96,64.24,62.57,62.83,1527305,16723,63.023759,63.52,False,False,17224.0
59,2021-09-23,62.84,64.17,62.84,63.32,1601958,15607,63.664835,63.55,False,False,24687.0
60,2021-09-24,64.22,64.66,63.12,63.15,1396942,16718,63.633713,63.79,True,False,42258.0
61,2021-09-27,63.29,64.4,62.96,63.09,1411649,16783,63.623975,64.2,False,False,40059.0
62,2021-09-28,63.01,63.34,62.38,62.53,1459905,16049,62.683049,63.17,True,False,33555.0
63,2021-09-29,62.64,63.55,62.36,63.16,960256,12653,63.117981,62.77,False,True,17339.0
64,2021-09-30,63.87,64.01,62.19,62.2,1834360,17068,62.751346,62.95,False,False,89890.0
65,2021-10-01,62.47,62.69,61.52,61.8,1908782,20067,61.978905,61.58,False,True,51964.0
66,2021-10-04,61.8,62.8361,61.64,62.62,779054,10664,62.436943,62.16,True,True,35882.0
67,2021-10-05,63.11,63.11,62.51,62.88,1168339,12183,62.869859,62.5407,False,True,21304.0
68,2021-10-06,62.73,63.49,62.305,63.43,881564,11203,63.030321,62.705,True,True,21582.0
69,2021-10-07,63.66,63.93,62.66,62.72,1471674,13645,62.977009,63.44,False,False,14927.0
70,2021-10-08,62.74,62.83,61.97,62.01,1083084,11683,62.205279,62.5,True,False,33840.0
71,2021-10-11,61.97,62.2,61.2,61.96,1864606,14594,61.76095,61.785,True,True,35284.0
72,2021-10-12,62.05,62.47,61.81,62.1,914967,11267,62.131454,62.28,False,False,19078.0
73,2021-10-13,62.17,62.85,61.51,62.7,885227,11968,62.384238,61.69,True,True,14419.0
74,2021-10-14,62.74,63.74,62.7,63.64,882601,12453,63.444613,62.94,False,True,18161.0
75,2021-10-15,63.68,63.9,63.2,63.31,1056387,12043,63.399432,63.42,False,False,13469.0
76,2021-10-18,62.67,63.31,62.51,63.05,1313875,14117,63.055389,63.05,True,False,27654.0
77,2021-10-19,63.47,63.74,63.11,63.64,637400,8460,63.543975,63.5201,True,True,16606.0
78,2021-10-20,63.91,64.79,63.8,64.35,947520,10633,64.396497,64.46,False,False,11618.0
79,2021-10-21,64.35,64.47,64.01,64.09,671292,8999,64.178264,64.25,False,False,12080.0
80,2021-10-22,64.11,64.82,64.02,64.64,677495,7784,64.572998,64.375,True,True,10274.0
81,2021-10-25,64.64,64.89,64.03,64.23,711179,10997,64.441292,64.7,True,False,10335.0
82,2021-10-26,64.35,64.95,64.08,64.38,743490,8456,64.502814,64.38,True,False,42276.0
83,2021-10-27,64.41,64.65,63.57,63.77,934582,13091,63.979693,64.45,True,False,20219.0
84,2021-10-28,63.88,64.2,63.685,64.18,770525,9937,64.009643,63.875,True,True,37738.0
85,2021-10-29,64.13,64.54,63.3,63.75,1360347,13817,63.772799,64.16,False,False,46862.0
