,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,103.82,104.64,103.241,103.57,2513180,27728,103.788531,103.96,True,False,35788.0
1,2021-07-01,103.22,105.0,103.525,104.81,2650124,31992,104.635519,104.52,True,True,47512.0
2,2021-07-02,105.25,106.73,105.06,106.59,1834249,23904,106.156675,105.46,True,True,65248.0
3,2021-07-06,106.16,106.58,105.07,106.46,2202805,27419,106.060655,105.485,True,True,51214.0
4,2021-07-07,107.01,108.07,105.97,107.88,2489520,28832,107.572858,105.98,False,True,53925.0
5,2021-07-08,106.79,108.29,106.11,108.19,1800581,25200,107.524764,106.46,False,True,68194.0
6,2021-07-09,108.25,109.01,107.1,107.51,1559881,21616,107.702583,107.98,False,False,46582.0
7,2021-07-12,107.38,107.6975,106.21,106.84,2417327,35578,106.683399,106.47,False,True,120715.0
8,2021-07-13,106.79,107.04,105.8867,106.74,1368813,21034,106.582609,106.3,True,True,36408.0
9,2021-07-14,106.97,107.55,106.52,106.79,1746804,23467,106.936203,107.48,True,False,66036.0
10,2021-07-15,106.66,106.83,105.45,106.34,2533221,27738,106.33772,106.025,True,True,50115.0
11,2021-07-16,106.79,107.46,106.14,106.92,5366765,36981,106.931644,107.21,True,False,67421.0
12,2021-07-19,106.0,106.1,102.7,102.91,4646346,46985,103.471949,104.56,False,False,73344.0
13,2021-07-20,103.45,107.08,103.21,106.58,2766058,34109,106.145404,105.6406,True,True,92313.0
14,2021-07-21,107.15,107.32,105.3,106.05,2098938,31290,106.002767,105.715,True,True,48906.0
15,2021-07-22,106.43,107.1,105.59,107.06,1193161,17561,106.659988,106.5186,True,True,18906.0
16,2021-07-23,108.1,109.665,107.44,109.4,2521264,32278,109.048155,108.335,False,True,72672.0
17,2021-07-26,108.88,109.145,107.88,108.89,2573605,26921,108.748661,108.245,True,True,64749.0
18,2021-07-27,109.07,110.14,108.8,109.9,1779022,30067,109.594923,109.61,False,True,56616.0
19,2021-07-28,109.98,110.78,109.39,110.06,1582847,22336,110.149007,110.04,False,True,37876.0
20,2021-07-29,110.205,111.96,109.96,111.62,3430762,41183,111.271449,110.17,False,True,108171.0
21,2021-07-30,114.0,114.225,109.8301,112.27,3513370,41400,111.975216,110.92,True,True,99737.0
22,2021-08-02,112.77,113.84,112.08,113.28,2267503,33942,113.240225,113.44,False,False,57960.0
23,2021-08-03,113.3,114.7425,113.05,114.7,2079287,27920,114.164152,114.09,False,True,41782.0
24,2021-08-04,114.6,114.99,113.54,114.46,2071757,27259,114.309712,113.93,True,True,47896.0
25,2021-08-05,114.67,115.595,113.18,114.78,1650770,24913,114.318222,113.74,False,True,53798.0
26,2021-08-06,114.51,115.4,113.96,115.21,1592779,21367,114.976449,114.32,True,True,25480.0
27,2021-08-09,115.75,115.83,113.8,114.33,1590040,23753,114.391522,114.755,False,False,71216.0
28,2021-08-10,114.455,114.66,111.755,111.95,2386363,28925,112.471519,112.5,False,False,68133.0
29,2021-08-11,112.1,112.28,110.815,111.14,1803509,23973,111.394361,111.67,False,False,51874.0
30,2021-08-12,111.35,112.25,110.965,111.77,1312097,23264,111.740512,112.11,True,False,45695.0
31,2021-08-13,111.73,113.18,111.31,113.15,1955423,25171,112.778031,112.765,True,True,43788.0
32,2021-08-16,112.97,114.42,112.73,114.36,1994198,27249,113.843771,113.215,False,True,33846.0
33,2021-08-17,114.05,117.405,113.75,117.26,2682435,35736,116.520943,115.76,True,True,42407.0
34,2021-08-18,117.455,118.18,116.18,116.26,1992936,28139,117.029775,117.74,False,False,57894.0
35,2021-08-19,115.64,118.31,115.305,117.95,1251810,23620,117.607559,117.02,False,True,18729.0
36,2021-08-20,118.0,119.33,117.31,118.95,1465033,23081,118.904668,119.09,True,False,43112.0
37,2021-08-23,119.73,119.94,116.9,116.96,2311957,26668,117.852229,118.42,True,False,78154.0
38,2021-08-24,116.4,118.7113,115.67,118.09,2086196,29917,117.865295,118.035,False,True,63486.0
39,2021-08-25,117.78,118.0,116.35,117.02,1956068,29256,117.064857,116.67,True,True,68711.0
40,2021-08-26,116.69,117.11,116.09,116.96,1642696,19120,116.764712,116.33,True,True,37017.0
41,2021-08-27,117.43,117.71,116.09,116.39,1606576,24896,116.640216,116.98,False,False,52090.0
42,2021-08-30,116.95,118.48,116.54,118.04,1428448,22155,117.964248,117.89,True,True,24998.0
43,2021-08-31,118.08,118.72,116.37,117.18,2318583,24778,117.178802,117.83,False,False,59795.0
44,2021-09-01,117.47,119.59,116.84,119.43,1791610,26865,118.895,118.24,False,True,52451.0
45,2021-09-02,120.0,120.94,119.7,120.61,1911335,23485,120.378597,120.04,False,True,32484.0
46,2021-09-03,120.45,121.37,119.9449,121.07,1279301,20936,120.864422,120.3,True,True,28938.0
47,2021-09-07,121.11,122.12,119.7,121.99,1906869,25682,121.476989,121.22,True,True,59179.0
48,2021-09-08,121.73,123.2658,120.91,122.75,1668309,21575,122.68115,122.13,False,True,39400.0
49,2021-09-09,122.75,123.0,121.8577,122.08,1552195,26234,122.304644,122.33,False,False,44590.0
50,2021-09-10,122.86,123.0,120.58,120.89,1869824,26513,121.479287,121.845,False,False,100727.0
51,2021-09-13,121.62,121.795,117.85,119.35,1535243,23460,119.13531,118.65,False,True,51061.0
52,2021-09-14,120.37,121.335,119.41,120.94,1585971,23458,120.828385,120.02,False,True,34233.0
53,2021-09-15,120.92,121.89,119.93,121.02,1861904,23741,121.139858,121.47,True,False,55402.0
54,2021-09-16,121.25,121.6,119.52,120.69,1905328,24253,120.420285,120.1,True,True,49654.0
55,2021-09-17,117.42,119.67,116.85,119.42,3693092,26812,118.933833,118.8,False,True,55558.0
56,2021-09-20,117.83,118.925,116.36,117.99,2441912,32796,117.797487,118.15,False,False,44619.0
57,2021-09-21,118.92,120.15,118.42,118.5,1358543,22294,118.996941,119.7,True,False,39468.0
58,2021-09-22,118.55,120.41,118.03,119.66,1568475,21195,119.58382,119.035,True,True,29176.0
59,2021-09-23,120.26,121.785,119.65,121.02,1511261,22624,121.149106,120.71,False,True,36662.0
60,2021-09-24,120.34,120.9,119.1,120.07,1669451,22751,119.990176,119.99,False,True,64350.0
