,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,44.57,44.72,44.18,44.31,3837894,28971,44.33184,44.345,True,False,98468.0
1,2021-07-01,44.45,45.09,44.26,44.98,3096538,28151,44.888125,44.63,True,True,49402.0
2,2021-07-02,45.08,45.19,44.8,45.13,2337287,21280,45.052603,44.935,True,True,43619.0
3,2021-07-06,44.99,45.02,44.24,44.88,4048401,32345,44.784535,44.44,False,True,57700.0
4,2021-07-07,45.02,45.19,44.6,45.13,3077787,26833,45.055688,44.99,True,True,64594.0
5,2021-07-08,44.81,45.18,44.68,44.93,3088680,28108,44.929206,44.96,True,False,65578.0
6,2021-07-09,44.9,45.11,44.55,44.91,2999186,27032,44.851594,44.68,False,True,77871.0
7,2021-07-12,44.89,45.3,44.68,45.28,3639964,25366,45.17518,45.015,True,True,66312.0
8,2021-07-13,45.24,45.3,44.62,44.79,2702079,27195,44.948986,45.105,False,False,66907.0
9,2021-07-14,44.97,45.49,44.65,45.14,3689984,28310,45.142765,45.05,True,True,54253.0
10,2021-07-15,44.99,45.79,44.9,45.73,4638317,33876,45.576091,45.313,True,True,116475.0
11,2021-07-16,45.84,46.3,45.72,45.99,3794781,32603,46.082446,45.95,False,True,76120.0
12,2021-07-19,45.94,46.06,44.74,45.32,8064588,58786,45.294224,45.305,False,True,223711.0
13,2021-07-20,45.53,46.42,45.3,46.06,4817491,38434,46.114688,46.07,False,False,94848.0
14,2021-07-21,45.97,46.28,45.79,45.84,3746518,30461,46.012764,46.13,True,False,72398.0
15,2021-07-22,45.89,46.109,45.8,46.01,2941527,28692,45.967927,45.88,True,True,66302.0
16,2021-07-23,46.16,46.65,46.09,46.52,2513427,21866,46.432302,46.23,True,True,49856.0
17,2021-07-26,46.55,46.89,46.1472,46.41,4561759,30144,46.33867,46.17,False,True,103867.0
18,2021-07-27,46.21,47.36,46.11,47.24,3598661,30652,47.035617,46.73,True,True,115480.0
19,2021-07-28,46.99,47.39,46.6,46.98,3802594,33652,46.950975,47.19,True,False,115936.0
