,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,126.29,126.82,125.66,126.6,1162270,11999,126.438147,126.01,True,True,13453.0
1,2021-07-01,127.04,127.335,126.22,127.28,1083256,15280,127.066031,126.88,True,True,39184.0
2,2021-07-02,127.51,128.15,127.14,128.0,861877,14114,127.833634,127.595,False,True,53496.0
3,2021-07-06,128.04,128.105,125.5182,127.0,1086556,15061,126.865848,125.63,False,True,23747.0
4,2021-07-07,126.99,129.26,126.73,129.15,1057428,15479,128.238328,127.27,True,True,26581.0
5,2021-07-08,128.27,128.54,126.65,126.88,836141,15143,127.204366,126.94,False,False,17591.0
6,2021-07-09,128.21,128.54,127.335,128.4,1672721,17536,128.241073,127.86,False,True,27649.0
7,2021-07-12,128.5,129.08,127.93,128.19,1186407,18425,128.360086,128.81,False,False,41707.0
8,2021-07-13,128.06,128.745,127.26,127.41,788777,14677,127.883076,128.51,True,False,43647.0
9,2021-07-14,127.77,128.93,127.66,128.12,937522,14832,128.161684,128.4,True,False,37430.0
10,2021-07-15,127.81,128.385,127.3737,127.43,782715,13593,127.670684,128.0,False,False,21295.0
11,2021-07-16,127.49,127.735,126.295,126.8,1424349,15568,126.888961,126.46,True,True,18713.0
12,2021-07-19,126.15,126.95,125.5,126.68,1047100,16124,126.530016,126.615,True,True,30913.0
13,2021-07-20,126.85,129.1,126.64,128.62,1083587,16274,128.454088,128.355,True,True,24789.0
14,2021-07-21,128.78,129.59,128.24,128.94,788602,12219,128.744661,128.49,True,True,13512.0
15,2021-07-22,129.06,129.52,128.04,128.38,813171,13805,128.456306,128.6,True,False,24062.0
16,2021-07-23,129.05,130.49,128.27,130.36,591168,13894,129.976356,129.35,True,True,8050.0
17,2021-07-26,130.33,130.76,128.781,129.6,732606,14227,129.522881,129.09,False,True,12753.0
18,2021-07-27,127.89,127.98,125.68,126.35,1515530,21893,126.393708,126.625,True,False,71626.0
19,2021-07-28,126.49,126.49,123.6,125.16,1018503,18953,125.063761,124.75,True,True,27751.0
20,2021-07-29,125.9,127.22,125.33,126.97,956767,16419,126.77478,126.76,True,True,27903.0
21,2021-07-30,126.76,128.97,126.38,128.25,1634921,19704,128.21675,128.435,True,False,34604.0
22,2021-08-02,128.08,128.53,126.345,126.59,1024474,21319,126.965066,128.03,False,False,33187.0
23,2021-08-03,124.8,127.37,122.06,126.62,1267412,19123,126.034298,125.94,True,True,76758.0
24,2021-08-04,126.57,127.0,125.51,125.54,1042008,19158,125.978602,126.02,False,False,30551.0
25,2021-08-05,125.86,126.65,123.43,124.16,977108,15893,124.36394,125.32,True,False,29246.0
26,2021-08-06,124.34,125.2739,123.66,124.24,804027,13930,124.384922,125.035,True,False,15505.0
27,2021-08-09,123.96,124.12,122.75,122.8,735461,11910,123.099112,123.64,True,False,23618.0
28,2021-08-10,123.07,123.45,122.08,122.3,822496,14486,122.594051,122.79,False,False,25658.0
29,2021-08-11,122.4,124.68,122.31,123.34,905023,14180,123.384714,124.19,True,False,13123.0
30,2021-08-12,123.73,124.068,122.07,122.28,976727,13330,122.54218,122.29,False,False,16749.0
31,2021-08-13,122.53,124.55,122.1,123.91,742939,13796,123.844481,123.37,True,True,8910.0
32,2021-08-16,123.56,125.59,123.185,125.53,871298,16239,125.024895,124.94,False,True,21287.0
33,2021-08-17,125.1,125.07,122.7,124.19,783236,11944,123.919757,123.19,False,True,20155.0
34,2021-08-18,123.13,124.01,121.43,121.52,1082530,15927,122.11051,122.82,False,False,26080.0
35,2021-08-19,120.78,122.98,120.46,122.13,898806,15387,122.07109,121.99,False,True,59074.0
36,2021-08-20,122.26,123.19,121.92,123.03,885451,13435,122.861417,122.67,False,True,17383.0
37,2021-08-23,123.46,124.9,123.15,123.55,711599,11238,123.756696,124.65,True,False,19782.0
38,2021-08-24,123.99,123.86,122.7,122.76,537474,12602,123.023061,123.18,True,False,23798.0
39,2021-08-25,122.97,124.48,121.56,124.13,590049,10913,123.968275,123.835,True,True,9774.0
40,2021-08-26,123.94,124.01,122.405,122.86,551799,11368,123.071104,122.74,False,True,14075.0
41,2021-08-27,122.87,124.75,122.82,124.57,589591,13246,124.335988,123.385,False,True,11220.0
42,2021-08-30,125.03,126.19,124.75,125.54,703520,12198,125.573096,125.52,True,True,13008.0
43,2021-08-31,125.71,125.85,123.81,124.64,1362412,14794,124.607274,124.06,False,True,14035.0
44,2021-09-01,124.85,124.69,121.18,122.92,926828,16561,122.88236,122.81,True,True,38913.0
45,2021-09-02,123.56,124.04,122.81,124.03,785302,14779,123.681942,123.76,False,True,14074.0
46,2021-09-03,123.87,124.19,122.74,123.57,750311,10933,123.57045,123.35,True,True,9259.0
47,2021-09-07,123.17,123.98,122.31,122.88,757028,14517,123.093859,123.03,True,False,19416.0
48,2021-09-08,122.59,123.85,122.43,123.77,616382,12638,123.332382,122.73,False,True,17990.0
49,2021-09-09,123.82,125.88,122.94,123.45,1365701,15221,123.978599,124.85,False,False,45700.0
50,2021-09-10,124.0,126.29,123.7,125.76,887887,15038,125.585759,125.15,True,True,33725.0
51,2021-09-13,126.78,128.455,125.58,127.35,1292418,19331,127.216759,126.85,True,True,33828.0
52,2021-09-14,127.9,129.99,127.61,128.28,1455103,19908,128.653815,129.07,False,False,34280.0
53,2021-09-15,128.47,129.84,127.76,128.29,803177,13141,128.76998,129.22,True,False,15696.0
54,2021-09-16,128.84,128.93,126.5,126.72,650959,11765,127.277906,127.61,False,False,40614.0
55,2021-09-17,126.02,126.09,122.84,123.74,1514292,16209,124.129504,124.03,False,False,20962.0
56,2021-09-20,122.5,122.91,120.29,121.21,1196287,15677,121.204369,121.91,True,False,23505.0
57,2021-09-21,122.0,123.2,120.85,121.3,897582,12478,121.535566,121.693,False,False,16860.0
58,2021-09-22,121.68,124.34,121.09,123.04,937554,15898,123.146225,123.13,True,False,15044.0
59,2021-09-23,123.64,125.28,123.4,124.98,789322,14261,124.752876,123.92,False,True,14523.0
60,2021-09-24,123.98,125.21,123.96,124.69,509138,7811,124.671792,124.51,False,True,15865.0
61,2021-09-27,124.24,125.02,123.57,123.83,573348,10330,124.039745,124.62,True,False,9244.0
62,2021-09-28,123.18,123.465,120.61,120.9,723409,15343,121.142095,121.64,True,False,12658.0
63,2021-09-29,121.63,121.96,120.35,121.06,480122,9862,121.170676,120.95,False,True,16696.0
64,2021-09-30,121.7,122.67,118.62,119.13,1076107,15577,119.927304,121.73,False,False,14960.0
65,2021-10-01,120.0,120.1,115.5204,116.16,1046863,19709,116.742391,115.88,False,True,41518.0
66,2021-10-04,116.16,116.72,113.85,114.35,1118167,18462,114.748355,116.0,True,False,22589.0
67,2021-10-05,114.86,116.78,114.34,115.22,1116858,15310,115.513335,115.64,False,False,38688.0
