,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,159.75,164.24,159.14,163.71,2046141,33304,162.894458,163.545,True,True,76653.0
1,2021-07-01,164.8,167.7274,164.21,167.03,2241578,37078,166.685626,165.95,False,True,42282.0
2,2021-07-02,167.99,169.29,166.97,167.42,1840594,28823,167.914234,168.49,False,False,47108.0
3,2021-07-06,166.91,167.79,164.4016,165.57,1548037,27247,165.487045,166.03,True,False,61163.0
4,2021-07-07,165.39,166.9399,161.14,162.96,1668066,29624,163.263852,161.52,False,True,124572.0
5,2021-07-08,158.72,162.58,156.51,161.56,2219752,34009,160.258841,160.32,True,True,115501.0
6,2021-07-09,163.68,168.46,163.03,167.74,1807885,32281,167.074802,165.86,False,True,48899.0
7,2021-07-12,166.58,167.57,164.575,167.35,1702183,20825,166.597043,165.24,False,True,54622.0
8,2021-07-13,166.38,166.97,161.63,162.02,2897174,40464,163.622284,164.7386,False,False,68250.0
9,2021-07-14,163.42,167.24,160.33,160.99,2199401,32061,162.664579,163.53,False,False,114101.0
10,2021-07-15,159.69,160.63,157.8,159.29,2235293,30305,158.95849,158.5746,False,True,71631.0
11,2021-07-16,160.66,161.57,156.96,157.61,2213754,29703,158.588417,160.6,True,False,44607.0
12,2021-07-19,152.97,153.96,150.02,151.64,4167919,59142,151.767361,152.8386,True,False,82742.0
13,2021-07-20,152.62,157.61,150.1,156.12,2136755,39442,154.784065,151.82,False,True,106290.0
14,2021-07-21,157.59,163.7,157.59,162.42,2463677,35733,161.625754,162.05,False,True,114695.0
15,2021-07-22,161.62,162.17,158.665,160.03,1259391,23291,160.183111,160.16,True,False,28520.0
16,2021-07-23,161.38,162.67,160.35,161.55,1417077,25447,161.424001,161.09,False,True,28926.0
17,2021-07-26,161.13,163.935,160.18,162.7,1613723,22579,161.813047,162.15,False,True,20708.0
18,2021-07-27,162.15,164.05,160.83,163.72,1896591,28229,162.622174,161.325,False,True,120487.0
19,2021-07-28,164.5,166.58,161.01,163.19,1015382,20553,163.069999,161.24,False,True,29455.0
20,2021-07-29,163.63,165.61,162.2,163.73,1138368,21354,163.960465,163.625,True,True,35896.0
21,2021-07-30,163.24,165.314,160.26,160.87,1421797,24577,162.034013,163.36,False,False,29413.0
22,2021-08-02,161.68,166.2,158.85,159.19,1778771,34829,161.803684,163.085,False,False,57189.0
23,2021-08-03,159.02,159.25,152.94,154.78,2976345,39120,154.548472,154.4,False,True,85361.0
24,2021-08-04,153.23,155.979,152.5,153.25,1396010,27543,153.54297,154.26,True,False,50297.0
25,2021-08-05,155.29,162.61,154.5,161.69,4336138,49533,159.197353,159.49,True,True,155876.0
26,2021-08-06,149.9,150.95,145.4,148.89,12101473,147296,148.225352,148.1,True,True,651273.0
27,2021-08-09,147.03,149.74,146.05,148.8,3422417,51536,148.065021,148.215,False,True,160568.0
28,2021-08-10,149.2,151.59,147.12,148.6,1848196,30974,149.271634,147.51,False,True,69244.0
29,2021-08-11,147.97,150.33,146.68,150.07,1695388,28300,148.96261,148.38,False,True,71455.0
30,2021-08-12,149.57,150.895,145.975,150.33,1759372,25541,148.762675,146.7979,False,True,52104.0
31,2021-08-13,150.5,150.8299,147.33,148.63,1727040,28874,148.492512,149.06,True,False,48198.0
32,2021-08-16,147.3,147.54,143.13,144.14,3609971,37036,144.360827,144.515,True,False,61505.0
33,2021-08-17,143.15,143.44,140.62,142.57,2003141,33563,141.985941,142.335,False,True,69711.0
34,2021-08-18,142.08,143.21,139.81,140.35,1606526,27661,141.336612,141.592,True,False,53013.0
35,2021-08-19,139.25,141.59,137.32,138.05,2626012,34729,138.431938,137.74,False,True,97831.0
