,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,14.93,15.11,14.81,14.86,72067983,169675,14.922138,15.025,False,False,2081587.0
1,2021-07-01,14.94,14.97,14.84,14.91,51055378,126665,14.905716,14.94,True,False,1865400.0
2,2021-07-02,14.91,15.04,14.83,14.93,43762135,115384,14.93415,14.925,True,True,2207744.0
3,2021-07-06,14.84,14.88,14.39,14.5,73993952,181569,14.54854,14.5254,False,False,4952635.0
4,2021-07-07,14.41,14.46,14.02,14.23,72914234,168389,14.242909,14.03,False,True,5817804.0
5,2021-07-08,13.88,14.23,13.735,14.06,62590288,158480,14.001422,13.99,True,True,2513591.0
6,2021-07-09,14.4,14.575,14.27,14.48,65895210,158778,14.442573,14.37,False,True,2948527.0
7,2021-07-12,14.33,14.74,14.24,14.61,49192602,122675,14.588626,14.61,False,False,1992833.0
8,2021-07-13,14.5,14.625,14.295,14.42,45320557,108100,14.447269,14.37,False,True,1920477.0
9,2021-07-14,14.45,14.63,14.2,14.25,38967169,106116,14.327792,14.38,False,False,1535219.0
10,2021-07-15,14.14,14.3,13.94,14.01,45600897,115111,14.096244,14.1399,False,False,1295465.0
11,2021-07-16,14.14,14.14,13.58,13.61,48048492,129952,13.772645,13.8199,False,False,1931670.0
12,2021-07-19,13.25,13.32,12.7901,13.28,99559939,264102,13.123942,13.135,True,True,4840457.0
13,2021-07-20,13.35,13.96,13.28,13.91,70460935,175655,13.743093,13.7499,False,True,4252286.0
14,2021-07-21,14.08,14.34,14.03,14.19,53754395,129972,14.169013,14.1401,True,True,2794634.0
15,2021-07-22,14.09,14.14,13.78,13.91,40425658,108347,13.916567,13.895,False,True,1762019.0
16,2021-07-23,14.0,14.04,13.73,13.82,37873670,99110,13.833455,13.8382,True,False,1167705.0
17,2021-07-26,13.9,14.0815,13.87,14.03,43804985,112231,13.991235,13.985,False,True,1890942.0
18,2021-07-27,13.85,13.955,13.65,13.79,41953895,115209,13.779001,13.82,False,False,1273303.0
19,2021-07-28,13.89,13.99,13.565,13.86,70583870,175436,13.840004,13.615,True,True,2894990.0
20,2021-07-29,14.5,14.79,14.3,14.39,111540276,245168,14.491766,14.515,False,False,4510121.0
21,2021-07-30,14.2,14.3,13.87,13.95,74914490,172999,14.007892,14.025,False,False,4144166.0
22,2021-08-02,14.01,14.33,13.88,13.91,64387091,150340,14.024865,14.07,False,False,2437572.0
23,2021-08-03,13.96,14.08,13.64,14.02,53182786,130203,13.918866,13.94,True,True,2493495.0
24,2021-08-04,13.87,13.93,13.3,13.32,81525005,201861,13.530825,13.7,True,False,2994268.0
25,2021-08-05,13.45,13.82,13.45,13.71,60514401,147151,13.686451,13.725,True,False,2653135.0
26,2021-08-06,13.81,13.91,13.73,13.8,44448200,124699,13.830848,13.8435,False,False,2250914.0
27,2021-08-09,13.72,13.82,13.55,13.75,38715009,114501,13.71298,13.625,True,True,1393704.0
28,2021-08-10,13.76,13.91,13.66,13.82,32114689,97803,13.816589,13.875,True,False,1357541.0
29,2021-08-11,13.85,13.95,13.67,13.93,42786242,110157,13.814464,13.74,False,True,2189418.0
30,2021-08-12,13.92,14.05,13.79,13.9,38602781,99899,13.898102,13.82,False,True,1583689.0
31,2021-08-13,13.9,13.95,13.54,13.59,45115542,107616,13.705436,13.775,False,False,1301554.0
32,2021-08-16,13.49,13.56,13.32,13.46,38725350,113079,13.4535,13.485,True,False,1511198.0
33,2021-08-17,13.26,13.33,12.81,12.99,74605704,179421,13.022015,13.129,False,False,1762937.0
34,2021-08-18,12.97,13.21,12.9,13.0,50844020,114404,13.067428,13.05,True,False,1948231.0
35,2021-08-19,12.77,12.92,12.57,12.67,68974535,163119,12.71791,12.725,False,False,2906889.0
36,2021-08-20,12.61,12.67,12.38,12.57,53544993,142523,12.512158,12.4599,True,True,2092553.0
37,2021-08-23,12.7,12.85,12.47,12.73,64550075,140880,12.671819,12.4878,False,True,1972616.0
38,2021-08-24,12.8,13.14,12.76,13.08,53668903,131893,13.021526,12.9999,False,True,1261549.0
39,2021-08-25,13.1,13.28,13.02,13.17,51193833,120242,13.185376,13.175,True,False,1432884.0
40,2021-08-26,13.11,13.13,12.81,12.9,57518613,131557,12.943249,12.9744,False,False,2160754.0
41,2021-08-27,12.89,13.37,12.87,13.31,57537252,133005,13.207524,13.125,False,True,3010714.0
42,2021-08-30,13.37,13.37,13.03,13.05,42716347,101663,13.133123,13.11,False,False,1401136.0
43,2021-08-31,13.05,13.135,12.93,13.03,42203314,91479,13.038501,12.9918,True,True,1795670.0
44,2021-09-01,12.97,13.22,12.9,13.11,58884531,124208,13.088109,13.0899,True,True,2600435.0
45,2021-09-02,13.08,13.21,12.97,13.01,49319516,107536,13.079274,13.115,True,False,1996458.0
46,2021-09-03,13.04,13.05,12.87,12.89,41740661,104102,12.925881,12.9537,False,False,1375113.0
47,2021-09-07,12.83,13.04,12.81,12.95,63984011,142255,12.9399,12.9199,False,True,1836054.0
48,2021-09-08,12.98,13.22,12.91,13.03,57726765,133587,13.026148,12.9485,False,True,4952494.0
