,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,93.55,95.42,92.605,93.89,2107667,28551,93.75237,94.32,False,False,90411.0
1,2021-07-01,97.0,102.53,95.09,99.6,5549585,65896,99.289455,98.15,True,True,430184.0
2,2021-07-02,97.61,99.06,96.75,98.06,1772802,26204,98.243288,98.11,False,False,71925.0
3,2021-07-06,98.36,98.6128,90.97,91.17,3325760,46428,92.708489,93.23,True,False,134330.0
4,2021-07-07,91.33,92.6499,86.8,87.99,3722721,54892,88.638271,87.88,True,True,137399.0
5,2021-07-08,85.82,89.13,85.35,88.19,3047447,44532,87.679033,86.7502,False,True,106786.0
6,2021-07-09,89.39,90.75,88.0,89.42,1831583,29258,89.470283,90.31,False,False,62612.0
7,2021-07-12,88.0,90.4115,86.9104,89.83,1403006,22536,89.518385,89.65,False,True,36569.0
8,2021-07-13,89.75,91.13,88.2,90.04,1209753,20521,89.917858,88.33,False,True,58212.0
9,2021-07-14,90.8,91.378,84.06,84.58,2216362,34354,86.16431,88.84,False,False,39331.0
10,2021-07-15,83.15,84.62,80.77,81.74,2981301,39969,82.210905,82.24,False,False,103171.0
11,2021-07-16,82.78,82.9129,78.01,78.36,1963513,29209,79.40099,80.415,False,False,66263.0
12,2021-07-19,74.48,76.28,71.35,73.19,4693848,63669,73.004857,73.35,True,False,214688.0
13,2021-07-20,73.0,76.25,71.88,74.92,2794976,38501,74.720814,75.13,False,False,208474.0
14,2021-07-21,75.75,80.3589,75.75,79.34,2986113,37544,78.752878,78.86,True,True,111557.0
15,2021-07-22,79.25,79.39,76.89,78.67,1593067,23662,78.230336,77.49,False,True,56389.0
16,2021-07-23,79.9,79.9,77.0301,78.24,1937137,27493,78.281344,78.45,True,False,49429.0
17,2021-07-26,78.2,81.43,78.11,80.25,2015466,24285,79.899565,80.2,False,True,166581.0
18,2021-07-27,79.0,79.69,77.68,78.55,1815176,26103,78.580637,78.84,False,False,48492.0
19,2021-07-28,79.19,80.67,78.01,79.58,2749019,32003,79.203822,78.29,False,True,34176.0
20,2021-07-29,80.66,80.7996,78.645,79.54,1478589,20065,79.566522,79.09,False,True,52251.0
21,2021-07-30,79.41,79.41,76.25,77.13,2082341,27696,77.041335,76.75,False,True,63461.0
22,2021-08-02,77.64,79.73,75.92,76.75,2850803,42496,77.505357,77.58,False,False,109044.0
23,2021-08-03,75.52,81.2572,75.5,80.53,4090355,52039,79.576451,78.42,False,True,168209.0
24,2021-08-04,78.8,80.25,76.0233,76.42,2713643,39089,77.794182,79.295,False,False,158292.0
25,2021-08-05,77.01,80.66,76.28,79.83,2331326,32484,79.451394,78.83,False,True,98254.0
26,2021-08-06,81.16,82.29,79.325,80.05,1659803,23932,80.426649,79.54,False,True,56596.0
27,2021-08-09,78.27,79.13,76.59,77.23,2150070,29631,77.460937,77.02,True,True,78727.0
28,2021-08-10,78.36,79.75,77.99,78.12,2718939,32765,78.825261,78.73,False,False,92748.0
29,2021-08-11,77.23,79.02,75.2101,79.01,1695573,24362,77.605394,76.69,False,True,49058.0
30,2021-08-12,78.62,79.86,77.32,79.37,972192,17272,78.909365,78.18,False,True,30755.0
31,2021-08-13,79.3,79.52,75.5304,75.64,1785678,23554,76.708403,77.51,False,False,36304.0
32,2021-08-16,74.35,74.52,72.15,72.54,2564147,30339,72.865478,72.959,True,False,157730.0
33,2021-08-17,72.0,74.25,71.4011,71.88,1904289,25944,72.440999,73.97,True,False,100764.0
34,2021-08-18,72.1,73.2,69.7,69.81,1632138,25114,71.337626,72.43,True,False,66094.0
35,2021-08-19,67.92,69.2,65.9304,67.88,4152779,49135,67.336418,66.36,False,True,111622.0
36,2021-08-20,67.05,68.55,66.12,68.18,2323419,31628,67.68153,66.22,False,True,82498.0
37,2021-08-23,71.3,73.27,70.9154,72.2,3153815,34655,72.133427,72.88,True,False,163432.0
38,2021-08-24,73.36,74.7231,72.79,74.2,2315794,28655,73.912682,73.35,False,True,32739.0
39,2021-08-25,74.17,75.36,73.31,75.01,1758022,21014,74.710834,74.4,True,True,95515.0
40,2021-08-26,74.3,74.52,72.48,73.08,1885180,25092,73.32617,73.16,False,False,74230.0
41,2021-08-27,74.42,77.07,74.2,76.65,2357545,33079,76.007735,75.365,True,True,157598.0
42,2021-08-30,77.85,78.1,75.78,76.28,1550606,23347,76.89312,76.53,True,False,37219.0
43,2021-08-31,75.72,78.05,74.86,77.14,1549012,23055,77.040693,76.425,True,True,25708.0
44,2021-09-01,77.04,77.3,73.26,74.16,4147165,49353,74.761042,76.38,False,False,323882.0
45,2021-09-02,75.04,78.2,74.96,76.57,2422842,32567,76.918802,77.7,True,False,123722.0
46,2021-09-03,76.42,76.9,74.6737,75.56,1672318,24523,75.468458,75.4,False,True,45514.0
47,2021-09-07,75.17,76.72,73.97,74.93,2166845,25834,75.005618,74.78,False,True,67593.0
48,2021-09-08,75.84,76.92,73.95,74.7,1893132,28008,75.261778,74.95,False,False,137684.0
49,2021-09-09,74.04,77.43,73.31,75.66,1823595,29793,75.947429,76.87,True,False,165475.0
50,2021-09-10,76.96,77.39,74.92,75.04,1384783,23722,75.789039,75.94,False,False,36817.0
51,2021-09-13,76.16,78.95,76.16,77.8,2115765,31704,77.802426,78.32,True,False,88562.0
52,2021-09-14,78.84,78.885,75.05,75.68,1934564,29707,76.093769,75.81,False,False,102412.0
53,2021-09-15,77.64,81.97,77.39,81.58,3564945,47403,80.686746,79.705,False,True,136989.0
54,2021-09-16,80.96,81.04,78.925,80.07,1994190,30699,80.06824,79.72,False,True,88392.0
55,2021-09-17,83.11,84.35,82.0,82.62,6716681,50098,82.762191,82.49,False,True,166682.0
56,2021-09-20,78.7,80.84,77.21,79.11,3201782,42881,78.589452,79.45,True,False,105574.0
57,2021-09-21,80.36,81.03,78.1369,80.04,2146745,28961,80.021256,78.9903,False,True,59454.0
58,2021-09-22,81.99,85.25,81.81,84.38,2860019,38556,84.169202,83.6853,True,True,110756.0
59,2021-09-23,84.93,88.76,84.47,87.86,2531209,33919,87.460059,87.42,True,True,90114.0
60,2021-09-24,87.0,90.87,86.75,88.72,2383174,31207,89.37596,90.779,True,False,140973.0
61,2021-09-27,91.54,95.719,91.53,95.48,3889434,49635,94.443838,93.42,False,True,143440.0
62,2021-09-28,96.84,97.43,93.39,94.98,3424139,49959,94.998051,94.69,True,True,165304.0
63,2021-09-29,94.42,96.9506,94.06,96.05,2392007,39314,95.864291,96.56,True,False,131395.0
64,2021-09-30,95.565,97.69,94.49,94.67,2982205,40118,95.512838,95.16,True,False,54828.0
65,2021-10-01,95.27,98.96,94.8092,98.86,2774352,38623,97.64767,96.66,False,True,110976.0
66,2021-10-04,100.43,104.93,99.0501,103.38,4556327,60980,102.727003,101.965,True,True,246617.0
67,2021-10-05,105.05,107.55,102.19,104.16,4146008,54528,105.070655,107.125,False,False,147664.0
68,2021-10-06,101.66,104.59,100.17,104.11,2992521,43539,102.839064,100.82,False,True,94704.0
69,2021-10-07,104.39,105.73,102.602,105.12,2156535,30165,104.672283,103.39,False,True,54302.0
70,2021-10-08,106.52,110.5,106.24,109.9,3152145,45527,109.178176,109.16,True,True,280701.0
71,2021-10-11,112.25,114.1,110.1201,110.73,3246569,46780,112.034329,113.76,True,False,175713.0
72,2021-10-12,110.57,113.01,108.24,110.0,2454660,35791,110.130128,111.48,True,False,98537.0
73,2021-10-13,107.475,109.62,104.84,108.19,2920948,39885,107.683072,107.98,True,True,109036.0
74,2021-10-14,110.02,110.64,106.22,108.83,2326644,37367,107.88715,107.35,False,True,78795.0
75,2021-10-15,109.99,110.8,107.98,108.28,2381607,33375,109.463405,110.165,True,False,51745.0
76,2021-10-18,111.19,114.73,108.5,109.26,3613421,44114,110.888269,112.98,False,False,208010.0
77,2021-10-19,109.97,111.36,108.42,110.94,1677389,25881,110.210069,109.3936,True,True,64900.0
78,2021-10-20,109.0,111.48,108.51,111.15,1645910,24471,110.408799,111.41,True,False,65138.0
79,2021-10-21,110.31,110.86,107.76,108.93,1529480,23585,108.966394,110.28,True,False,49673.0
80,2021-10-22,109.88,111.12,108.58,109.33,2153341,28084,109.604948,110.525,True,False,52551.0
81,2021-10-25,111.26,112.89,108.97,109.41,2832326,35323,110.7556,111.3,False,False,178693.0
82,2021-10-26,110.5,112.455,109.62,111.69,1891667,29634,111.415533,111.76,False,False,58206.0
83,2021-10-27,109.74,111.62,107.38,107.58,2070714,32758,108.959016,109.87,False,False,94221.0
84,2021-10-28,107.0,109.055,106.45,109.01,1673075,30926,108.087994,108.41,False,True,51254.0
85,2021-10-29,108.89,109.31,105.47,107.19,2143292,27746,107.333437,106.3,True,True,77784.0
86,2021-11-01,109.59,112.12,109.35,111.61,3981251,54104,110.853149,110.82,False,True,196527.0
87,2021-11-02,109.3,116.11,108.1,114.45,4232693,61446,113.791715,115.13,True,False,251984.0
88,2021-11-03,113.01,115.239,110.51,111.81,2672253,42914,112.273464,114.715,False,False,89531.0
89,2021-11-04,114.58,116.3876,110.9201,112.76,2656299,42012,113.198981,114.26,True,False,105238.0
90,2021-11-05,114.5,115.3999,112.56,113.79,1869174,33423,114.053613,113.82,False,False,62460.0
91,2021-11-08,115.23,117.71,114.85,115.71,2161778,34060,116.437524,116.745,True,False,205210.0
92,2021-11-09,115.0,116.15,110.69,112.99,2345859,35001,112.864822,113.5,False,False,178922.0
93,2021-11-10,112.0,112.3999,105.67,107.16,2657293,43323,108.00013,111.675,False,False,81988.0
94,2021-11-11,107.73,109.95,107.56,108.77,1648687,26517,108.943536,108.915,True,False,96687.0
95,2021-11-12,108.02,110.965,107.69,109.95,1835774,29849,109.661251,109.5301,True,True,136530.0
96,2021-11-15,109.6,111.87,106.76,111.17,1706976,26204,110.068499,107.52,False,True,129557.0
97,2021-11-16,112.0,112.75,109.68,110.18,2032161,27919,111.05567,111.045,False,False,90776.0
98,2021-11-17,108.0,111.24,106.61,107.24,2339862,37917,108.185564,108.845,True,False,176867.0
99,2021-11-18,107.4,110.33,105.86,107.96,1903749,29441,108.416626,108.88,True,False,83708.0
100,2021-11-19,105.19,105.785,100.775,102.17,4786786,62231,102.267921,103.49,False,False,445126.0
101,2021-11-22,102.29,108.06,102.24,105.47,2790978,40000,105.892497,104.53,True,True,223625.0
102,2021-11-23,108.17,111.29,108.01,110.19,2827800,40632,109.669304,111.12,True,False,310047.0
103,2021-11-24,108.65,114.93,108.5,114.2,2160471,31143,113.459823,112.4,True,True,257864.0
104,2021-11-26,105.16,108.34,102.45,107.48,3125111,45666,105.122944,102.67,False,True,432485.0
105,2021-11-29,111.9,115.76,108.37,109.93,4237227,59285,110.93015,113.19,True,False,482102.0
106,2021-11-30,106.13,111.29,105.91,106.73,15936452,104744,107.44829,110.66,True,False,416916.0
107,2021-12-01,109.66,109.89,102.91,103.0,4076994,59094,106.31225,107.7,False,False,292479.0
108,2021-12-02,102.0,107.68,99.52,106.43,2887604,39335,105.271386,102.34,True,True,306914.0
109,2021-12-03,108.4,109.19,103.66,106.0,2492429,36479,105.831506,107.38,False,False,178931.0
110,2021-12-06,107.57,109.735,105.55,108.23,1926827,29732,108.090824,107.05,False,True,167724.0
111,2021-12-07,110.17,116.8682,109.95,115.59,2949284,44413,114.950663,112.0,True,True,204799.0
112,2021-12-08,116.34,116.63,113.09,113.63,2303284,32486,114.052845,114.16,False,False,135961.0
113,2021-12-09,112.68,113.4315,109.82,110.33,1928828,28994,110.879914,112.34,False,False,70567.0
114,2021-12-10,112.21,112.2444,107.75,111.18,1939597,30183,109.759546,110.135,False,True,102366.0
115,2021-12-13,109.89,110.91,105.55,106.61,2010846,30022,106.99244,108.22,False,False,113623.0
116,2021-12-14,104.42,107.56,103.55,104.07,2761891,31316,104.789929,104.92,True,False,127723.0
117,2021-12-15,104.25,104.56,99.0317,103.75,3685395,53748,101.444585,101.6599,False,True,138098.0
118,2021-12-16,105.53,108.27,104.79,105.3,2637175,39549,106.425996,105.67,True,False,99223.0
119,2021-12-17,104.35,104.8,100.647,102.43,5004492,37013,102.63821,101.2,False,True,332482.0
120,2021-12-20,97.78,99.99,95.02,99.12,2756384,44351,97.980582,96.51,False,True,400323.0
121,2021-12-21,101.2,105.315,100.88,104.9,2141354,32713,103.592198,102.48,True,True,170662.0
122,2021-12-22,103.57,107.02,102.98,105.69,1765956,22680,105.525974,104.4,True,True,130637.0
123,2021-12-23,106.11,107.4,105.235,105.94,1639046,18755,106.067845,107.23,True,False,95648.0
124,2021-12-27,105.82,111.22,104.115,111.14,2062852,26773,109.639229,105.51,False,True,62390.0
125,2021-12-28,111.72,112.33,109.08,110.16,1408394,21777,110.447174,111.81,True,False,107993.0
126,2021-12-29,109.66,111.22,108.521,108.71,1256238,20483,109.486273,109.57,False,False,63677.0
127,2021-12-30,108.71,109.9082,107.17,107.31,1230902,19155,108.090977,108.8001,False,False,64714.0
128,2021-12-31,106.02,108.32,105.47,107.85,1293151,19438,107.540809,106.43,True,True,84166.0
129,2022-01-03,107.62,112.425,107.55,111.84,2009154,30606,111.379179,110.185,True,True,121216.0
130,2022-01-04,113.25,119.7,112.74,119.2,4504355,64132,117.565841,114.24,True,True,280647.0
131,2022-01-05,121.37,123.4898,117.315,118.11,3373268,46494,120.03113,121.44,True,False,204953.0
132,2022-01-06,122.95,124.415,121.1322,123.65,3340929,46324,123.007293,124.25,True,False,257470.0
133,2022-01-07,124.0,124.69,120.216,121.52,2439366,38712,122.061453,122.585,False,False,279567.0
134,2022-01-10,121.6,121.82,117.68,121.35,2349415,40186,119.790113,120.36,False,True,164294.0
135,2022-01-11,122.22,124.92,118.89,124.36,3423504,45675,122.243365,121.46,False,True,156417.0
136,2022-01-12,125.4,125.69,122.28,124.57,3483749,46237,124.267609,125.163,False,False,189713.0
137,2022-01-13,124.29,127.2696,123.53,124.08,2631008,40046,125.31974,124.9923,True,False,103604.0
138,2022-01-14,124.89,129.3425,124.6,129.21,1940732,32052,127.711486,127.5089,True,True,168364.0
