,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,51.84,52.11,51.72,52.0,2746901,27331,51.972643,51.95,False,True,47783.0
1,2021-07-01,52.25,52.41,51.885,52.06,3390015,33987,52.047069,52.045,True,True,251023.0
2,2021-07-02,52.29,52.81,52.11,52.6,1758953,22245,52.595025,52.535,True,True,30729.0
3,2021-07-06,52.55,52.61,51.53,52.46,3044930,27953,52.254204,51.755,True,True,66141.0
4,2021-07-07,52.5,53.84,52.43,53.7,3143979,33617,53.526555,53.1,True,True,162693.0
5,2021-07-08,53.04,53.62,52.73,53.0,3162246,28949,53.047271,53.085,True,False,73955.0
6,2021-07-09,53.12,53.92,53.12,53.84,2846719,29705,53.7629,53.79,True,True,181865.0
7,2021-07-12,54.71,54.76,53.69,54.02,6861490,54319,54.048038,54.12,True,False,157849.0
8,2021-07-13,52.93,53.73,52.57,53.16,6301880,56599,53.141169,53.32,True,False,415339.0
9,2021-07-14,53.25,53.38,52.37,53.23,3466398,35647,52.963368,52.58,False,True,153332.0
10,2021-07-15,53.02,53.74,52.91,53.53,3597397,32271,53.488942,53.58,True,False,123419.0
11,2021-07-16,53.73,53.92,53.245,53.59,3174189,35595,53.561828,53.3,False,True,66816.0
12,2021-07-19,53.24,53.73,53.015,53.5,5832314,50713,53.41325,53.1846,True,True,212401.0
13,2021-07-20,53.62,54.34,53.35,54.15,3179410,31774,54.109653,54.2164,True,False,61938.0
14,2021-07-21,54.39,54.71,53.92,54.24,2378423,26768,54.218213,54.26,True,False,87932.0
15,2021-07-22,54.25,54.39,53.85,53.91,1399419,17014,53.984,54.1601,True,False,49146.0
16,2021-07-23,54.2,54.735,54.03,54.64,1869603,20005,54.534584,54.38,True,True,35759.0
17,2021-07-26,54.36,54.49,53.96,54.35,1892719,20410,54.314237,54.0016,False,True,56656.0
18,2021-07-27,54.24,54.53,53.86,54.39,4756961,31216,54.353293,54.42,True,False,71386.0
19,2021-07-28,54.25,54.33,53.65,54.02,2484235,25475,54.014734,53.75,False,True,64532.0
20,2021-07-29,54.2,55.055,54.09,54.85,2409262,24926,54.792973,54.885,True,False,116992.0
21,2021-07-30,54.7,55.04,54.545,54.77,3823376,30759,54.750442,54.61,False,True,68761.0
22,2021-08-02,54.9,55.31,54.52,54.71,2673892,33046,54.892385,55.135,True,False,84545.0
23,2021-08-03,55.01,56.11,54.915,55.93,2697719,29235,55.808361,55.78,True,True,62309.0
24,2021-08-04,55.78,55.93,55.16,55.3,1848088,26510,55.381839,55.52,False,False,58480.0
25,2021-08-05,55.57,55.855,55.24,55.45,1748763,24218,55.451924,55.49,True,False,70856.0
26,2021-08-06,55.45,55.61,55.05,55.26,2118799,27827,55.246837,55.235,True,True,65227.0
27,2021-08-09,55.21,55.23,54.86,54.96,1397579,18895,55.003239,55.06,True,False,36543.0
28,2021-08-10,54.97,55.33,54.73,54.87,2616603,23491,54.957549,55.07,False,False,57921.0
29,2021-08-11,55.22,55.68,55.01,55.67,1827887,24025,55.522404,55.43,True,True,53777.0
30,2021-08-12,55.8,55.84,55.24,55.32,1782164,20417,55.446036,55.615,False,False,61802.0
31,2021-08-13,55.33,55.48,55.06,55.27,1271296,16238,55.293848,55.315,False,False,33192.0
32,2021-08-16,55.21,55.8,55.01,55.62,2130639,22683,55.539859,55.46,True,True,69584.0
33,2021-08-17,55.48,55.61,54.48,54.87,2183985,28784,54.859902,54.78,False,True,62017.0
34,2021-08-18,54.63,54.97,54.16,54.21,1926300,22485,54.443917,54.81,False,False,37197.0
35,2021-08-19,53.97,55.275,53.85,55.06,2833706,30776,54.918682,54.37,False,True,49527.0
36,2021-08-20,55.09,56.06,54.92,55.47,5630377,37010,55.595705,55.91,True,False,102280.0
37,2021-08-23,55.47,56.17,55.39,55.55,2142046,23310,55.635318,56.07,True,False,64384.0
38,2021-08-24,55.53,55.57,54.99,55.1,1893110,22731,55.181826,55.34,False,False,37196.0
39,2021-08-25,55.22,55.645,55.08,55.51,2256588,27944,55.458506,55.505,True,True,54742.0
40,2021-08-26,55.37,55.71,54.79,55.57,2143399,23358,55.447923,54.92,False,True,49328.0
41,2021-08-27,55.94,56.18,55.56,55.67,1652175,20600,55.767114,55.73,False,False,50494.0
42,2021-08-30,55.7,56.39,55.585,56.13,1356565,16781,56.136284,56.06,False,True,104028.0
43,2021-08-31,56.2,56.29,55.685,55.85,2015339,20434,55.883471,56.06,True,False,36571.0
44,2021-09-01,55.87,55.8875,55.08,55.46,2375438,25865,55.462206,55.24,True,True,41493.0
45,2021-09-02,55.88,56.27,55.71,56.21,6878054,18426,55.788645,55.815,False,True,40541.0
46,2021-09-03,56.0,56.225,55.63,55.89,1670975,21900,55.928859,55.699,False,True,39729.0
47,2021-09-07,55.8,55.86,53.93,54.01,4407789,36228,54.411278,54.82,False,False,75352.0
48,2021-09-08,53.8,54.16,53.39,53.88,2512520,27348,53.927541,53.85,False,True,64754.0
49,2021-09-09,54.08,54.09,53.14,53.41,2324277,27935,53.551121,53.9585,True,False,53500.0
50,2021-09-10,53.78,53.94,53.52,53.58,2955201,27623,53.7103,53.76,True,False,118461.0
51,2021-09-13,54.0,54.09,52.98,53.38,2257904,27862,53.419082,53.46,False,False,77176.0
52,2021-09-14,53.61,53.815,52.78,53.04,2775592,26234,53.034864,52.98,False,True,54134.0
53,2021-09-15,53.04,54.17,52.9079,53.76,2739916,29420,53.760392,53.545,True,True,67533.0
54,2021-09-16,53.66,53.91,53.47,53.51,2046258,22496,53.615155,53.6,False,False,51784.0
55,2021-09-17,53.02,53.1,52.76,52.96,5427137,26207,52.944559,52.9,False,True,123367.0
56,2021-09-20,52.46,53.06,52.14,52.9,3522691,36176,52.785459,52.9098,False,False,129436.0
57,2021-09-21,53.21,53.22,52.26,52.67,2730950,28128,52.67189,52.38,False,True,93304.0
58,2021-09-22,53.06,53.485,52.87,53.23,2334671,27227,53.240296,53.165,True,True,61619.0
59,2021-09-23,53.26,54.14,53.1,53.87,1964515,25258,53.897431,53.84,False,True,74199.0
60,2021-09-24,53.65,54.27,53.55,54.1,1819032,21791,54.089928,53.965,False,True,73696.0
61,2021-09-27,53.89,54.17,53.37,53.98,2213621,26133,53.834982,53.64,False,True,134137.0
62,2021-09-28,53.91,53.97,52.57,52.67,2603192,29431,52.980082,53.28,False,False,160649.0
63,2021-09-29,52.67,53.14,52.58,52.82,1609776,22755,52.894326,52.89,False,False,47315.0
64,2021-09-30,53.14,53.25,51.58,51.61,2859293,31908,52.027723,52.43,False,False,90437.0
65,2021-10-01,51.73,52.255,50.9812,51.68,2880170,39093,51.719752,51.32,False,True,61951.0
66,2021-10-04,51.61,51.91,51.13,51.3,2877352,27768,51.360211,51.47,False,False,75357.0
67,2021-10-05,51.3,51.94,50.99,51.7,2551632,25674,51.617148,51.42,False,True,54616.0
68,2021-10-06,51.33,52.05,50.7,51.99,2436922,24841,51.51919,50.96,False,True,58485.0
69,2021-10-07,52.3,53.42,52.27,52.72,3482926,32890,52.946142,53.18,False,False,94247.0
70,2021-10-08,51.5,53.015,51.42,52.72,5146745,44793,52.593942,52.63,True,True,260466.0
71,2021-10-11,52.75,53.31,52.18,52.23,3716351,33086,52.531219,52.66,False,False,72817.0
72,2021-10-12,53.01,54.55,52.39,53.83,5958401,44020,53.610361,53.57,True,True,208401.0
73,2021-10-13,54.21,54.41,53.49,53.65,4188106,43233,53.875277,54.36,True,False,148234.0
74,2021-10-14,54.23,55.7,53.72,55.62,4175919,41144,55.137607,54.41,False,True,112791.0
75,2021-10-15,55.92,56.14,55.56,55.74,2821817,26579,55.778503,55.88,True,False,103460.0
76,2021-10-18,55.52,55.757,55.195,55.66,2330741,23642,55.531266,55.41,True,True,46937.0
77,2021-10-19,56.02,56.565,55.85,56.26,2683078,26483,56.232063,56.266,True,False,61000.0
78,2021-10-20,56.3,56.59,55.819,56.01,2297717,24602,56.0458,56.28,False,False,43971.0
79,2021-10-21,56.0,56.14,55.62,56.1,1366915,16287,55.988024,55.97,False,True,61484.0
80,2021-10-22,56.22,56.6,56.02,56.05,1782181,17474,56.202548,56.506,False,False,35438.0
81,2021-10-25,55.97,56.63,55.67,56.15,2145157,21902,56.212248,56.23,True,False,41489.0
82,2021-10-26,56.31,56.46,55.88,56.03,1746770,16228,56.144395,56.24,False,False,35592.0
83,2021-10-27,56.19,56.25,55.42,55.57,2043597,20025,55.689247,55.567,True,True,32952.0
84,2021-10-28,55.84,56.24,55.66,56.18,1816278,20537,56.020987,55.78,False,True,45708.0
85,2021-10-29,56.22,57.235,56.1,57.08,3182112,26697,56.896453,56.65,True,True,58518.0
