,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,296.56,298.62,295.0,298.33,1809498,31194,297.220589,296.87,True,True,49442.0
1,2021-07-01,299.49,300.0997,296.82,299.12,1742442,34704,298.273849,299.3,True,False,81588.0
2,2021-07-02,299.11,299.9,297.37,299.38,1334303,26173,299.056826,298.04,True,True,50914.0
3,2021-07-06,299.01,299.63,292.6,294.61,2281121,42608,294.665818,293.87,False,True,75302.0
4,2021-07-07,294.0,295.15,291.24,293.55,2289411,38828,293.416572,291.77,False,True,89651.0
5,2021-07-08,287.11,294.62,285.85,293.24,1966104,41294,291.798517,291.385,True,True,59875.0
6,2021-07-09,295.9,298.2,293.18,296.4,2313398,37549,296.455336,295.02,False,True,82755.0
7,2021-07-12,297.19,302.24,294.6001,299.67,1903923,37607,299.694835,300.58,False,False,86126.0
8,2021-07-13,299.01,302.655,298.69,299.08,1740511,34935,300.246123,300.46,True,False,53877.0
9,2021-07-14,299.0,300.8599,294.6,295.86,1425258,28599,296.497641,296.585,False,False,52053.0
10,2021-07-15,294.27,298.74,293.67,296.08,1162074,25227,296.399175,297.0772,False,False,51309.0
11,2021-07-16,296.67,297.0,292.0901,292.49,1969679,34687,293.61627,293.53,True,False,67159.0
12,2021-07-19,287.65,295.34,286.32,294.82,2841999,53337,292.140492,290.85,True,True,97526.0
13,2021-07-20,295.28,299.04,294.45,298.02,1644792,32247,297.763843,297.52,False,True,37298.0
14,2021-07-21,297.93,301.945,297.3301,298.35,1335298,25502,298.636677,298.25,True,True,47231.0
15,2021-07-22,297.82,298.85,296.06,296.62,980740,21243,297.049584,297.4314,True,False,39850.0
16,2021-07-23,297.17,298.66,296.09,297.07,994647,20482,297.322193,297.89,True,False,38684.0
17,2021-07-26,296.94,298.5,295.65,297.5,1202768,24861,297.132346,296.02,False,True,39214.0
18,2021-07-27,287.42,288.38,279.12,282.63,4833966,88326,282.858051,283.21,False,False,131877.0
19,2021-07-28,284.35,284.2975,280.28,281.83,2724703,49526,281.953979,281.705,True,True,87872.0
20,2021-07-29,282.18,284.65,281.19,281.92,1817452,36061,282.953446,284.28,True,False,161799.0
21,2021-07-30,280.22,282.0,277.79,279.95,2333532,40053,280.346559,280.755,True,False,95556.0
22,2021-08-02,280.32,282.605,275.39,276.16,2485704,47693,277.731751,280.88,False,False,33560.0
23,2021-08-03,276.43,281.715,274.25,280.81,2143471,40922,279.770864,280.6,True,True,86370.0
24,2021-08-04,279.9,280.2902,275.08,275.12,1974434,39755,276.804912,278.1,False,False,64854.0
25,2021-08-05,275.76,277.78,274.67,275.8,2088348,33130,276.086126,275.61,True,True,49007.0
