,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,141.95,142.29,141.56,141.67,2400031,26200,141.837739,142.09,True,False,55824.0
1,2021-07-01,142.0,144.69,141.7,143.72,4390724,40194,143.597953,143.4,True,True,135165.0
2,2021-07-02,144.34,145.795,143.81,145.57,1775685,23409,145.270496,144.635,False,True,40825.0
3,2021-07-06,145.26,145.83,143.64,145.24,1832217,23411,144.851363,144.235,False,True,41165.0
4,2021-07-07,145.86,146.24,145.0,145.62,1546590,21051,145.667517,145.395,True,True,62682.0
5,2021-07-08,144.19,144.36,142.7,143.15,1912516,26773,143.204486,143.36,True,False,62924.0
6,2021-07-09,144.23,144.95,143.94,144.42,1196173,19784,144.406986,144.48,False,False,30935.0
7,2021-07-12,144.05,145.12,143.3,145.04,1587561,25978,144.607079,144.035,True,True,50621.0
8,2021-07-13,145.28,148.05,145.08,146.23,2705986,38757,146.602714,147.77,True,False,160984.0
9,2021-07-14,147.01,148.23,146.45,148.02,2054164,30238,147.698826,147.48,True,True,36183.0
10,2021-07-15,147.69,149.49,147.27,148.59,1958820,28871,148.483215,148.555,False,True,52426.0
11,2021-07-16,149.7,149.76,148.32,148.54,1479575,21382,148.756179,149.19,True,False,44496.0
12,2021-07-19,147.53,147.625,141.66,142.44,2404013,35702,143.021946,143.69,True,False,104956.0
13,2021-07-20,143.12,146.1,142.83,144.83,1811936,26421,145.05237,144.28,True,True,25943.0
14,2021-07-21,144.53,146.01,144.12,145.47,1332251,20178,145.411206,145.42,False,True,22195.0
15,2021-07-22,145.51,146.15,144.26,146.11,2167097,21514,145.558655,145.4573,True,True,52296.0
16,2021-07-23,147.78,149.42,147.39,148.83,2326371,27139,148.657721,148.76,True,True,48628.0
17,2021-07-26,148.98,148.98,147.315,148.42,1572914,20021,148.263498,147.7,True,True,32944.0
18,2021-07-27,148.42,151.34,148.01,150.86,3082550,37181,150.248226,150.42,False,True,156410.0
19,2021-07-28,150.965,152.2,148.01,148.71,2193209,23864,149.047777,149.84,False,False,47785.0
20,2021-07-29,149.78,151.39,149.19,149.63,2206204,24736,150.150703,150.59,True,False,54058.0
21,2021-07-30,149.03,150.02,148.5,149.05,1589901,21530,149.309168,149.18,True,False,53924.0
22,2021-08-02,149.81,150.74,137.54,139.12,8878388,90737,141.669879,146.45,False,False,168643.0
23,2021-08-03,133.18,134.18,126.66,130.4,13396557,117755,129.786217,127.86,False,True,691303.0
24,2021-08-04,129.88,131.03,127.83,128.77,4953051,61377,129.024529,128.79,False,False,229978.0
25,2021-08-05,128.765,130.69,127.955,129.52,4701276,45680,129.499111,130.15,True,False,241630.0
26,2021-08-06,129.46,135.19,128.5,133.82,5821725,55879,133.253347,131.36,False,True,148145.0
27,2021-08-09,133.73,135.1,133.225,134.07,2863143,35680,134.300306,133.82,False,True,75213.0
28,2021-08-10,134.02,134.53,131.48,132.5,3830844,37360,132.769853,133.08,False,False,118644.0
29,2021-08-11,132.91,134.44,132.73,133.87,2547610,32365,133.825151,133.24,False,True,79623.0
30,2021-08-12,133.87,135.55,133.68,133.89,2551770,33880,134.317695,135.015,False,False,140412.0
31,2021-08-13,133.73,134.78,133.53,134.06,3268890,34335,134.275841,134.26,False,False,75968.0
32,2021-08-16,133.59,133.74,131.8505,133.02,3073326,36678,132.854663,132.6026,True,True,88683.0
33,2021-08-17,132.34,135.45,131.79,134.3,3599735,39210,134.255984,134.77,True,False,110651.0
34,2021-08-18,133.97,135.615,133.28,134.44,3735148,44946,134.773984,134.51,True,False,91976.0
35,2021-08-19,133.35,133.8,128.46,128.87,4997324,55699,129.51993,129.3917,False,False,120418.0
36,2021-08-20,128.63,130.13,128.21,129.98,3244637,37211,129.740817,129.02,False,True,161239.0
37,2021-08-23,130.38,130.53,129.38,129.67,4608228,50789,129.875575,129.58,False,True,98690.0
38,2021-08-24,129.45,130.26,128.82,130.01,4650523,46983,129.692591,129.185,False,True,225426.0
39,2021-08-25,129.77,130.41,128.7,130.01,3790506,36837,129.622495,129.585,True,True,255198.0
40,2021-08-26,129.49,130.27,127.73,128.34,4482936,27857,128.613242,128.21,False,True,67317.0
41,2021-08-27,128.64,128.7925,127.61,128.59,2429390,30055,128.256012,128.115,False,True,68858.0
42,2021-08-30,128.0,129.15,126.67,127.22,3574723,38069,127.222131,127.25,True,False,147615.0
43,2021-08-31,127.59,129.1,126.91,127.77,4786039,39796,127.784337,128.365,False,False,191237.0
44,2021-09-01,127.86,130.169,127.37,129.29,4129541,36837,128.940565,128.2,True,True,104546.0
45,2021-09-02,129.55,129.83,126.23,126.86,3818880,37269,127.138142,127.07,False,False,99356.0
46,2021-09-03,126.81,127.39,124.85,125.39,4770976,48415,125.588047,125.33,False,True,278088.0
47,2021-09-07,125.44,126.38,125.25,125.73,3423052,36810,125.878261,126.22,True,False,91636.0
48,2021-09-08,126.18,130.55,125.81,130.0,5061900,53457,129.208817,127.85,True,True,145863.0
49,2021-09-09,129.34,130.17,126.95,127.03,2683653,33004,128.116984,129.88,False,False,90643.0
50,2021-09-10,127.42,127.99,123.61,123.79,3767340,46922,124.336297,123.985,False,False,132347.0
51,2021-09-13,124.49,125.19,123.57,124.63,3838081,36545,124.536212,124.0,False,True,63464.0
52,2021-09-14,125.26,125.45,122.57,123.42,3204022,39685,123.497291,123.28,True,True,68230.0
53,2021-09-15,123.63,125.66,122.955,125.1,4890047,46127,124.862495,124.5,False,True,68347.0
54,2021-09-16,125.09,126.18,124.73,125.4,3443463,37244,125.398159,124.9525,False,True,84087.0
55,2021-09-17,124.23,125.19,123.06,123.73,4247742,28779,123.886632,123.34,False,True,61711.0
56,2021-09-20,122.1,123.45,121.66,123.12,2822822,35303,122.760393,122.755,True,True,73060.0
57,2021-09-21,123.24,123.8699,121.2,121.38,3899798,27496,121.545685,122.08,True,False,41686.0
58,2021-09-22,122.09,122.56,120.955,122.07,2233056,28017,122.060245,121.91,True,True,33162.0
59,2021-09-23,122.65,123.57,121.97,122.31,3541194,41856,122.564468,122.985,True,False,152982.0
60,2021-09-24,122.17,123.19,121.5438,122.03,2302758,29093,122.04377,122.26,False,False,94497.0
61,2021-09-27,122.05,124.67,121.77,124.32,2592507,32085,123.869806,123.4436,False,True,56821.0
62,2021-09-28,123.46,123.9,121.79,122.24,2468693,31800,122.465289,122.85,True,False,54512.0
63,2021-09-29,122.28,124.19,121.62,123.34,2855775,33157,123.355621,122.78,True,True,150950.0
64,2021-09-30,124.18,124.365,121.04,121.68,3106137,37189,122.032069,121.945,False,False,69138.0
65,2021-10-01,122.03,123.89,121.09,123.27,2840016,33417,122.921353,121.94,True,True,60325.0
66,2021-10-04,123.32,123.96,120.28,121.03,2776391,37165,121.08574,121.12,False,False,81478.0
67,2021-10-05,120.9,122.69,120.23,120.34,2557850,29966,120.974846,122.305,False,False,87329.0
68,2021-10-06,119.14,121.19,118.28,121.12,2379619,29405,120.094896,119.79,False,True,66937.0
69,2021-10-07,121.8,122.99,121.11,121.3,2204008,27923,122.044032,122.59,True,False,132247.0
70,2021-10-08,121.93,122.3157,119.95,120.03,1629136,24369,120.757263,121.8505,True,False,31650.0
71,2021-10-11,119.7,119.715,115.77,115.87,3934867,46301,117.100655,118.73,True,False,88935.0
72,2021-10-12,116.44,117.94,114.82,116.09,2828566,34500,116.263667,116.6,True,False,253180.0
73,2021-10-13,116.45,116.81,114.335,116.78,2416008,28261,115.942767,115.39,True,True,82821.0
74,2021-10-14,117.88,122.31,117.6001,121.68,4088832,45126,120.439356,119.025,True,True,112863.0
75,2021-10-15,122.22,125.11,122.28,124.8,3585616,40950,124.444396,124.39,False,True,87027.0
76,2021-10-18,124.01,124.73,122.445,123.03,2830673,35427,123.641497,123.77,True,False,66211.0
